 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.463,0.708,19.279,0,0.289,19.174,0,0.433,0.434,255,255
2,1,0.332,0.236,18.885,0,0.289,19.174,0,0.293,0.312,255,255
3,1,0.301,0.052,19.331,0,0.289,19.174,0,0.284,0.279,255,255
4,2,0.026,0.184,7.790,0,0.184,7.816,0,0.026,0.026,255,255
5,3,0.037,0.184,18.623,0,0.210,18.597,0,0.037,0.037,255,255
6,4,0.052,0.289,4.721,0,0.289,4.774,0,0.052,0.052,255,255
7,5,0.216,0.315,14.872,0,0.498,14.951,0,0.200,0.206,255,255
8,6,0.090,0.341,23.213,0,0.393,23.266,0,0.074,0.080,255,255
9,7,0.148,0.420,20.380,0,0.525,20.275,0,0.148,0.148,255,255
10,8,0.507,0.970,8.918,0,0.761,8.498,0,0.469,0.464,255,255
11,8,0.502,0.446,8.000,0,0.839,8.210,0,0.446,0.451,255,255
12,8,0.450,1.128,7.895,0,0.839,8.210,0,0.427,0.437,255,255
13,8,0.369,0.446,8.367,0,0.761,8.498,0,0.341,0.346,255,255
14,8,0.358,0.761,8.498,0,0.839,8.210,0,0.299,0.286,255,255
15,9,0.037,0.446,17.469,0,0.472,17.443,0,0.037,0.037,255,255
16,10,0.216,0.603,10.125,0,0.787,10.046,0,0.200,0.211,255,255
17,11,0.063,0.630,15.030,0,0.682,15.056,0,0.059,0.056,255,255
18,12,0.052,0.682,9.233,0,0.734,9.233,0,0.052,0.052,255,255
19,13,0.991,1.784,18.439,0,2.046,17.600,0,0.879,0.928,255,255
20,13,0.876,1.154,17.705,0,1.889,17.574,0,0.746,0.720,255,255
21,13,0.596,2.046,17.600,0,2.466,17.285,0,0.525,0.525,255,255
22,13,0.395,0.839,17.862,0,1.154,17.705,0,0.352,0.372,255,255
23,13,0.391,1.574,17.390,0,1.889,17.574,0,0.364,0.354,255,255
24,13,0.258,1.207,17.469,0,1.154,17.705,0,0.242,0.247,255,255
25,13,0.168,1.889,17.574,0,2.046,17.600,0,0.160,0.110,255,255
26,13,0.090,2.492,17.207,0,2.466,17.285,0,0.083,0.094,255,255
27,13,0.074,2.518,17.285,0,2.466,17.285,0,0.052,0.074,255,255
28,14,0.310,1.128,20.328,0,1.075,20.039,0,0.293,0.300,255,255
29,14,0.269,1.180,19.830,0,1.075,20.039,0,0.235,0.257,255,255
30,14,0.242,0.866,20.118,0,1.075,20.039,0,0.224,0.228,255,255
31,15,0.275,0.970,18.833,0,1.180,18.675,0,0.262,0.273,255,255
32,16,1.013,2.518,24.420,0,3.016,25.180,0,0.909,0.877,255,255
33,16,0.970,3.567,25.784,0,4.013,26.439,0,0.793,0.863,255,255
34,16,0.952,2.492,22.059,0,2.754,22.872,0,0.854,0.810,255,255
35,16,0.924,3.043,20.800,0,3.777,21.220,0,0.846,0.797,255,255
36,16,0.917,3.016,25.180,0,3.567,25.784,0,0.817,0.739,255,255
37,16,0.882,2.334,20.538,0,2.649,21.246,0,0.775,0.808,255,255
38,16,0.834,4.433,20.748,0,4.984,21.246,0,0.743,0.755,255,255
39,16,0.808,5.062,20.354,0,4.433,20.748,0,0.742,0.762,255,255
40,16,0.795,2.492,21.954,0,2.649,21.246,0,0.725,0.738,255,255
41,16,0.784,4.092,21.482,0,4.485,21.823,0,0.521,0.675,255,255
42,16,0.767,1.075,23.921,0,1.810,23.948,0,0.735,0.633,255,255
43,16,0.749,2.177,23.843,0,2.518,24.420,0,0.670,0.634,255,255
44,16,0.698,2.964,23.895,0,2.518,23.397,0,0.669,0.668,255,255
45,16,0.688,3.777,21.220,0,4.223,20.748,0,0.649,0.552,255,255
46,16,0.677,1.810,22.505,0,2.308,22.111,0,0.635,0.647,255,255
47,16,0.649,2.177,23.843,0,2.518,23.397,0,0.561,0.547,255,255
48,16,0.629,2.754,22.872,0,3.252,23.134,0,0.563,0.559,255,255
49,16,0.622,2.518,23.397,0,2.754,22.872,0,0.575,0.551,255,255
50,16,0.620,2.072,21.508,0,2.492,21.954,0,0.612,0.599,255,255
51,16,0.609,2.649,21.246,0,3.043,20.800,0,0.595,0.565,255,255
52,16,0.576,3.698,22.820,0,3.252,23.134,0,0.546,0.546,255,255
53,16,0.485,3.777,21.220,0,4.092,21.482,0,0.410,0.372,255,255
54,16,0.469,3.646,23.266,0,3.252,23.134,0,0.415,0.436,255,255
55,16,0.452,0.970,24.315,0,1.075,23.921,0,0.407,0.430,255,255
56,16,0.448,5.089,20.879,0,4.984,21.246,0,0.382,0.405,255,255
57,16,0.428,2.702,25.416,0,3.016,25.180,0,0.393,0.399,255,255
58,16,0.411,1.810,23.948,0,2.177,23.843,0,0.382,0.353,255,255
59,16,0.406,5.141,21.587,0,4.984,21.246,0,0.376,0.390,255,255
60,16,0.384,2.990,20.459,0,3.043,20.800,0,0.345,0.334,255,255
61,16,0.378,3.069,24.892,0,3.016,25.180,0,0.293,0.374,255,255
62,16,0.363,4.039,21.823,0,4.092,21.482,0,0.345,0.349,255,255
63,16,0.349,1.574,24.184,0,1.810,23.948,0,0.334,0.316,255,255
64,16,0.347,1.154,23.607,0,1.075,23.921,0,0.324,0.330,255,255
65,16,0.338,2.046,21.928,0,2.308,22.111,0,0.320,0.307,255,255
66,16,0.301,2.807,20.643,0,3.043,20.800,0,0.284,0.272,255,255
67,16,0.288,4.748,21.849,0,4.485,21.823,0,0.264,0.272,255,255
68,16,0.273,3.593,26.046,0,3.567,25.784,0,0.264,0.269,255,255
69,16,0.249,3.856,26.623,0,4.013,26.439,0,0.242,0.235,255,255
70,16,0.227,4.197,26.544,0,4.013,26.439,0,0.211,0.200,255,255
71,16,0.227,2.308,22.111,0,2.492,22.059,0,0.191,0.154,255,255
72,16,0.221,2.125,20.511,0,2.334,20.538,0,0.211,0.216,255,255
73,16,0.221,2.728,24.393,0,2.518,24.420,0,0.211,0.210,255,255
74,16,0.210,4.223,20.748,0,4.433,20.748,0,0.210,0.157,255,255
75,16,0.164,4.092,20.669,0,4.223,20.748,0,0.153,0.140,255,255
76,16,0.153,4.407,21.928,0,4.485,21.823,0,0.131,0.140,255,255
77,16,0.127,2.492,21.954,0,2.492,22.059,0,0.105,0.093,255,255
78,16,0.074,2.361,20.511,0,2.334,20.538,0,0.037,0.000,0,0
79,16,0.063,4.433,21.797,0,4.485,21.823,0,0.059,0.056,255,255
80,17,0.052,0.997,0.184,0,1.049,0.184,0,0.052,0.052,255,255
81,18,0.216,0.997,24.918,0,1.128,24.944,0,0.134,0.174,255,255
82,19,0.443,1.285,9.941,0,1.207,9.574,0,0.376,0.415,255,255
83,19,0.194,1.023,9.548,0,1.207,9.574,0,0.185,0.190,255,255
84,19,0.100,1.259,9.495,0,1.207,9.574,0,0.095,0.093,255,255
85,20,0.450,1.023,19.226,0,1.285,18.885,0,0.430,0.425,255,255
86,21,0.037,1.049,14.977,0,1.075,15.003,0,0.037,0.037,255,255
87,22,0.127,1.049,15.790,0,1.102,15.685,0,0.117,0.116,255,255
88,23,0.485,1.705,16.131,0,1.311,16.262,0,0.415,0.485,255,255
89,23,0.327,1.128,16.498,0,1.311,16.262,0,0.299,0.287,255,255
90,23,0.090,1.285,16.184,0,1.311,16.262,0,0.083,0.083,255,255
91,23,0.063,1.154,16.551,0,1.128,16.498,0,0.059,0.026,255,255
92,23,0.037,1.102,16.525,0,1.128,16.498,0,0.037,0.037,255,255
93,24,0.858,2.466,14.898,0,2.125,14.243,0,0.739,0.802,255,255
94,24,0.610,1.154,14.295,0,1.731,14.321,0,0.578,0.587,255,255
95,24,0.555,2.911,14.348,0,2.466,14.085,0,0.517,0.521,255,255
96,24,0.426,1.731,14.321,0,2.125,14.243,0,0.401,0.378,255,255
97,24,0.417,2.780,13.875,0,2.466,14.085,0,0.378,0.397,255,255
98,24,0.406,2.125,14.243,0,2.466,14.085,0,0.376,0.314,255,255
99,24,0.323,1.521,14.085,0,1.731,14.321,0,0.316,0.265,255,255
100,25,0.280,1.443,18.859,0,1.443,19.095,0,0.236,0.242,255,255
101,26,0.179,1.469,6.007,0,1.521,5.849,0,0.166,0.161,255,255
102,27,0.258,1.548,5.508,0,1.784,5.508,0,0.236,0.243,255,255
103,28,1.652,3.384,8.341,0,3.593,9.862,0,1.536,1.526,255,255
104,28,1.184,2.308,7.475,0,2.361,6.374,0,1.103,1.025,255,255
105,28,1.155,5.770,9.784,0,4.852,9.285,0,1.045,1.082,255,255
106,28,1.138,4.066,8.787,0,4.852,9.285,0,0.931,0.999,255,255
107,28,1.046,3.567,7.449,0,3.305,8.236,0,0.829,0.968,255,255
108,28,0.867,3.384,8.341,0,4.066,8.787,0,0.815,0.807,255,255
109,28,0.865,1.574,7.633,0,2.308,7.475,0,0.751,0.752,255,255
110,28,0.834,2.308,7.475,0,2.702,8.131,0,0.765,0.717,255,255
111,28,0.819,2.072,9.626,0,1.993,8.839,0,0.791,0.803,255,255
112,28,0.771,2.964,9.521,0,3.593,9.862,0,0.716,0.754,255,255
113,28,0.657,2.833,6.007,0,2.361,6.374,0,0.598,0.645,255,255
114,28,0.647,2.702,8.131,0,3.305,8.236,0,0.612,0.560,255,255
115,28,0.620,2.938,7.790,0,3.305,8.236,0,0.578,0.599,255,255
116,28,0.612,1.993,8.839,0,2.230,8.341,0,0.551,0.493,255,255
117,28,0.574,2.230,8.341,0,2.702,8.131,0,0.517,0.489,255,255
118,28,0.522,1.705,8.079,0,1.574,7.633,0,0.465,0.484,255,255
119,28,0.480,4.616,9.652,0,4.852,9.285,0,0.437,0.439,255,255
