 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.284,0.131,2.466,0,0.184,2.728,0,0.267,0.270,255,255
2,2,0.090,0.210,18.361,0,0.236,18.439,0,0.083,0.083,255,255
3,3,0.116,0.446,20.511,0,0.472,20.616,0,0.108,0.107,255,255
4,4,0.074,0.446,23.397,0,0.498,23.344,0,0.074,0.074,255,255
5,5,0.413,0.551,17.180,0,0.839,16.918,0,0.390,0.399,255,255
6,6,0.205,0.813,8.105,0,0.761,7.921,0,0.191,0.164,255,255
7,6,0.090,0.734,7.843,0,0.761,7.921,0,0.083,0.056,255,255
8,6,0.063,0.708,7.948,0,0.761,7.921,0,0.059,0.056,255,255
9,7,0.264,0.734,12.721,0,0.918,12.879,0,0.242,0.244,255,255
10,8,0.280,0.734,24.000,0,0.787,24.236,0,0.242,0.271,255,255
11,9,0.100,0.761,25.207,0,0.813,25.128,0,0.095,0.098,255,255
12,10,0.063,0.787,14.190,0,0.839,14.164,0,0.059,0.056,255,255
13,11,0.026,0.944,21.561,0,0.970,21.561,0,0.026,0.026,255,255
14,12,0.636,1.364,20.721,0,1.469,20.144,0,0.587,0.562,255,255
15,12,0.522,1.128,19.856,0,1.469,20.144,0,0.447,0.480,255,255
16,12,0.463,1.889,20.092,0,1.469,20.144,0,0.423,0.447,255,255
17,12,0.434,0.997,21.298,0,1.311,21.010,0,0.427,0.442,255,255
18,12,0.347,1.679,20.852,0,1.364,20.879,0,0.316,0.325,255,255
19,12,0.310,1.364,21.298,0,1.311,21.010,0,0.293,0.306,255,255
20,12,0.179,1.364,20.721,0,1.364,20.879,0,0.157,0.116,255,255
21,12,0.153,1.311,21.010,0,1.364,20.879,0,0.141,0.082,255,255
22,12,0.090,1.285,20.695,0,1.364,20.721,0,0.083,0.083,255,255
23,13,0.201,1.075,7.318,0,1.180,7.161,0,0.189,0.174,255,255
24,14,0.079,1.207,24.446,0,1.285,24.446,0,0.079,0.079,255,255
25,15,0.343,1.600,12.380,0,1.731,12.092,0,0.317,0.262,255,255
26,15,0.336,1.285,12.433,0,1.600,12.380,0,0.319,0.318,255,255
27,15,0.247,1.416,11.934,0,1.652,11.908,0,0.238,0.240,255,255
28,15,0.232,1.731,11.725,0,1.652,11.908,0,0.200,0.227,255,255
29,15,0.216,1.652,11.908,0,1.731,12.092,0,0.200,0.152,255,255
30,15,0.116,1.626,12.485,0,1.600,12.380,0,0.108,0.116,255,255
31,15,0.100,1.810,12.092,0,1.731,12.092,0,0.079,0.104,255,255
32,16,0.627,1.311,22.636,0,1.338,23.187,0,0.551,0.589,255,255
33,17,2.459,5.272,18.990,0,6.295,20.957,0,2.217,2.265,255,255
34,17,1.830,5.298,24.656,0,6.610,23.738,0,1.601,1.720,255,255
35,17,1.792,6.951,21.377,0,7.108,23.082,0,1.712,1.683,255,255
36,17,1.761,6.295,20.957,0,7.607,19.934,0,1.663,1.603,255,255
37,17,1.495,4.275,17.967,0,5.298,18.885,0,1.374,1.341,255,255
38,17,1.454,2.702,23.816,0,3.593,22.793,0,1.357,1.284,255,255
39,17,1.310,3.934,22.584,0,4.459,23.633,0,1.173,1.240,255,255
40,17,1.297,3.777,23.790,0,2.702,23.816,0,1.076,1.226,255,255
41,17,1.173,5.220,21.193,0,6.295,20.957,0,1.101,1.073,255,255
42,17,1.052,1.862,24.420,0,2.623,23.790,0,0.987,0.926,255,255
43,17,1.030,8.262,23.580,0,7.449,23.056,0,0.968,0.994,255,255
44,17,0.995,3.987,20.669,0,4.669,21.298,0,0.928,0.960,255,255
45,17,0.991,4.643,22.426,0,5.010,21.587,0,0.916,0.893,255,255
46,17,0.981,7.449,23.056,0,8.289,22.715,0,0.906,0.914,255,255
47,17,0.939,6.610,23.738,0,7.108,23.082,0,0.824,0.826,255,255
48,17,0.908,4.852,23.108,0,4.643,22.426,0,0.714,0.854,255,255
49,17,0.889,6.951,21.377,0,7.764,21.193,0,0.834,0.777,255,255
50,17,0.830,6.295,20.957,0,6.951,21.377,0,0.779,0.745,255,255
51,17,0.773,3.934,22.584,0,4.643,22.426,0,0.725,0.725,255,255
52,17,0.764,8.892,22.505,0,8.289,22.715,0,0.639,0.714,255,255
53,17,0.738,8.236,22.085,0,8.289,22.715,0,0.632,0.686,255,255
54,17,0.690,4.066,21.089,0,4.669,21.298,0,0.639,0.678,255,255
55,17,0.635,5.298,18.885,0,5.718,18.439,0,0.612,0.569,255,255
56,17,0.633,6.085,23.790,0,6.610,23.738,0,0.527,0.542,255,255
57,17,0.546,3.934,23.685,0,4.459,23.633,0,0.527,0.453,255,255
58,17,0.517,4.459,23.633,0,4.800,23.948,0,0.464,0.427,255,255
59,17,0.496,5.010,21.587,0,5.220,21.193,0,0.446,0.425,255,255
60,17,0.480,2.308,23.502,0,2.623,23.790,0,0.427,0.367,255,255
61,17,0.478,1.495,24.472,0,1.862,24.420,0,0.371,0.454,255,255
62,17,0.474,3.593,22.793,0,3.934,22.584,0,0.400,0.421,255,255
63,17,0.460,4.669,21.298,0,5.010,21.587,0,0.447,0.371,255,255
64,17,0.439,4.984,20.852,0,5.220,21.193,0,0.415,0.410,255,255
65,17,0.439,8.079,20.931,0,7.764,21.193,0,0.410,0.397,255,255
66,17,0.432,8.131,21.298,0,7.764,21.193,0,0.382,0.362,255,255
67,17,0.397,8.105,20.170,0,7.816,19.908,0,0.390,0.376,255,255
68,17,0.380,7.502,19.620,0,7.607,19.934,0,0.332,0.362,255,255
69,17,0.352,7.108,23.082,0,7.449,23.056,0,0.342,0.263,255,255
70,17,0.349,5.928,18.177,0,5.718,18.439,0,0.336,0.347,255,255
71,17,0.321,2.282,23.213,0,2.308,23.502,0,0.290,0.332,255,255
72,17,0.310,6.007,18.439,0,5.718,18.439,0,0.289,0.302,255,255
73,17,0.242,1.784,24.210,0,1.862,24.420,0,0.224,0.222,255,255
74,17,0.221,7.607,19.934,0,7.816,19.908,0,0.211,0.200,255,255
75,17,0.201,3.698,22.951,0,3.593,22.793,0,0.189,0.177,255,255
76,17,0.201,7.974,19.803,0,7.816,19.908,0,0.189,0.191,255,255
77,17,0.164,4.695,24.052,0,4.800,23.948,0,0.148,0.157,255,255
78,17,0.148,4.170,18.072,0,4.275,17.967,0,0.148,0.148,255,255
79,17,0.142,4.302,17.836,0,4.275,17.967,0,0.134,0.142,255,255
80,17,0.138,5.272,18.990,0,5.298,18.885,0,0.108,0.063,255,255
81,17,0.131,5.141,18.990,0,5.272,18.990,0,0.131,0.131,255,255
82,17,0.100,3.934,23.607,0,3.934,23.685,0,0.079,0.093,255,255
83,17,0.090,2.230,23.528,0,2.308,23.502,0,0.083,0.083,255,255
84,17,0.090,4.879,23.921,0,4.800,23.948,0,0.083,0.082,255,255
85,17,0.090,2.623,23.790,0,2.702,23.816,0,0.083,0.026,255,255
86,17,0.026,3.908,23.685,0,3.934,23.685,0,0.026,0.026,255,255
87,18,0.037,1.521,0.761,0,1.548,0.734,0,0.037,0.037,255,255
88,19,0.996,1.600,5.482,0,2.413,5.587,0,0.820,0.914,255,255
89,20,0.138,1.784,17.259,0,1.862,17.154,0,0.131,0.120,255,255
90,22,2.417,4.538,9.233,0,5.089,10.754,0,1.618,2.186,255,255
91,22,2.295,2.308,13.456,0,2.990,11.567,0,2.008,2.137,255,255
92,22,2.077,4.407,12.511,0,5.089,10.754,0,1.885,1.878,255,255
93,22,1.553,2.544,13.534,0,3.934,13.403,0,1.396,1.430,255,255
94,22,1.524,2.597,8.682,0,3.567,9.574,0,1.318,1.435,255,255
95,22,1.492,4.407,12.511,0,5.692,12.485,0,1.286,1.376,255,255
96,22,1.370,2.990,11.567,0,4.013,10.990,0,1.174,1.258,255,255
97,22,1.363,4.223,7.948,0,4.433,9.180,0,1.251,1.232,255,255
98,22,1.361,4.590,10.361,0,4.538,9.233,0,1.129,1.290,255,255
99,22,1.266,3.541,7.056,0,4.223,7.948,0,1.123,1.131,255,255
100,22,1.087,3.934,13.403,0,4.407,12.511,0,1.009,0.981,255,255
101,22,1.081,4.459,6.925,0,3.541,7.056,0,0.927,1.013,255,255
102,22,0.967,2.807,10.072,0,3.567,9.574,0,0.909,0.879,255,255
103,22,0.954,3.934,13.403,0,4.538,14.085,0,0.911,0.924,255,255
104,22,0.899,3.567,8.630,0,4.249,9.154,0,0.860,0.836,255,255
105,22,0.891,5.718,11.436,0,6.138,10.780,0,0.779,0.763,255,255
106,22,0.887,6.584,9.600,0,6.216,10.334,0,0.821,0.864,255,255
107,22,0.871,3.567,9.574,0,4.249,9.154,0,0.801,0.806,255,255
108,22,0.782,2.964,6.636,0,3.541,7.056,0,0.714,0.734,255,255
109,22,0.778,3.646,11.803,0,2.990,11.567,0,0.697,0.733,255,255
110,22,0.633,4.538,10.728,0,4.013,10.990,0,0.587,0.555,255,255
111,22,0.633,5.692,12.485,0,6.216,12.748,0,0.587,0.518,255,255
112,22,0.583,5.587,11.961,0,5.692,12.485,0,0.535,0.498,255,255
113,22,0.579,5.587,11.961,0,5.718,11.436,0,0.541,0.463,255,255
114,22,0.574,2.282,11.593,0,2.780,11.462,0,0.515,0.540,255,255
115,22,0.533,4.013,14.479,0,4.459,14.689,0,0.493,0.487,255,255
116,22,0.533,6.584,10.990,0,6.138,10.780,0,0.493,0.493,255,255
117,22,0.511,4.302,11.252,0,4.013,10.990,0,0.390,0.457,255,255
118,22,0.496,3.148,8.813,0,3.567,8.630,0,0.458,0.470,255,255
119,22,0.478,6.138,10.780,0,6.216,10.334,0,0.453,0.426,255,255
120,22,0.474,4.249,15.030,0,4.459,14.689,0,0.400,0.405,255,255
121,22,0.463,4.538,14.085,0,4.643,14.505,0,0.433,0.378,255,255
122,22,0.459,6.059,13.141,0,6.216,12.748,0,0.424,0.446,255,255
123,22,0.402,5.325,10.466,0,5.089,10.754,0,0.373,0.368,255,255
124,22,0.380,3.961,15.161,0,4.249,15.030,0,0.317,0.296,255,255
125,22,0.363,4.354,7.370,0,4.407,7.711,0,0.345,0.352,255,255
126,22,0.354,3.200,8.341,0,3.489,8.498,0,0.329,0.327,255,255
127,22,0.349,2.623,11.200,0,2.780,11.462,0,0.306,0.322,255,255
128,22,0.338,6.479,12.564,0,6.216,12.748,0,0.320,0.305,255,255
129,22,0.327,4.223,7.948,0,4.407,7.711,0,0.299,0.272,255,255
130,22,0.323,2.308,13.744,0,2.544,13.534,0,0.316,0.302,255,255
131,22,0.306,3.908,15.423,0,3.961,15.161,0,0.267,0.277,255,255
132,22,0.290,4.459,14.689,0,4.643,14.505,0,0.260,0.204,255,255
133,22,0.290,5.587,11.200,0,5.718,11.436,0,0.270,0.257,255,255
134,22,0.269,2.308,13.456,0,2.544,13.534,0,0.249,0.186,255,255
135,22,0.253,2.780,11.462,0,2.990,11.567,0,0.235,0.172,255,255
136,22,0.238,5.430,12.118,0,5.587,11.961,0,0.223,0.219,255,255
137,22,0.232,2.098,13.508,0,2.308,13.456,0,0.216,0.217,255,255
138,22,0.227,4.590,7.659,0,4.407,7.711,0,0.191,0.211,255,255
139,22,0.221,6.426,10.361,0,6.216,10.334,0,0.211,0.216,255,255
140,22,0.216,3.593,8.341,0,3.489,8.498,0,0.189,0.206,255,255
141,22,0.216,3.882,14.977,0,3.961,15.161,0,0.200,0.195,255,255
142,22,0.201,4.800,14.400,0,4.643,14.505,0,0.189,0.204,255,255
143,22,0.194,4.249,9.154,0,4.433,9.180,0,0.185,0.131,255,255
144,22,0.164,3.489,8.498,0,3.567,8.630,0,0.153,0.056,255,255
145,22,0.157,4.695,14.085,0,4.538,14.085,0,0.157,0.157,255,255
146,22,0.138,4.144,14.951,0,4.249,15.030,0,0.131,0.120,255,255
147,22,0.127,4.433,9.180,0,4.538,9.233,0,0.117,0.056,255,255
148,23,1.018,2.125,16.472,0,2.256,15.790,0,0.694,0.988,255,255
149,24,0.216,2.177,22.243,0,2.256,22.059,0,0.200,0.204,255,255
150,25,0.090,2.308,18.859,0,2.387,18.833,0,0.083,0.094,255,255
151,26,0.227,2.466,20.957,0,2.518,20.774,0,0.191,0.220,255,255
152,27,0.216,2.623,21.508,0,2.807,21.482,0,0.185,0.191,255,255
