Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.033,1.889,18.754,0,1.443,19.436,0,0.815,0.952,255,255
1,0.528,0.682,19.987,0,0.944,19.567,0,0.495,0.495,255,255
1,0.450,1.548,19.908,0,1.285,19.567,0,0.430,0.419,255,255
1,0.363,0.944,19.567,0,1.285,19.567,0,0.341,0.262,255,255
1,0.264,0.813,19.357,0,0.944,19.567,0,0.247,0.233,255,255
1,0.212,1.285,19.567,0,1.443,19.436,0,0.205,0.182,255,255
1,0.090,1.521,19.462,0,1.443,19.436,0,0.083,0.082,255,255
2,0.531,1.705,2.754,0,1.207,2.780,0,0.499,0.518,255,255
2,0.426,0.839,2.833,0,1.207,2.780,0,0.371,0.409,255,255
2,0.153,1.154,2.649,0,1.207,2.780,0,0.141,0.138,255,255
3,0.179,0.866,25.626,0,1.023,25.574,0,0.166,0.190,255,255
4,1.489,2.938,7.266,0,1.889,8.105,0,1.344,1.393,255,255
4,1.070,0.970,7.843,0,1.889,8.105,0,0.955,0.994,255,255
4,0.496,2.020,8.525,0,1.889,8.105,0,0.440,0.472,255,255
5,1.197,1.023,14.584,0,1.731,14.531,0,0.710,1.104,255,255
6,0.026,1.102,15.292,0,1.102,15.318,0,0.026,0.026,255,255
7,0.380,1.311,3.751,0,1.548,3.987,0,0.334,0.368,255,255
8,0.574,1.469,24.918,0,1.889,24.656,0,0.495,0.530,255,255
9,2.431,4.013,11.882,0,6.216,12.328,0,2.248,2.241,255,255
9,1.859,6.584,12.616,0,7.843,13.246,0,1.408,1.739,255,255
9,1.687,2.570,12.957,0,3.698,12.039,0,1.454,1.505,255,255
9,1.403,2.728,11.069,0,3.698,12.039,0,1.372,1.355,255,255
9,1.297,2.728,14.007,0,2.570,12.957,0,1.061,1.234,255,255
9,1.212,1.521,13.246,0,2.570,12.957,0,1.088,1.158,255,255
9,1.098,5.666,13.193,0,6.426,12.774,0,0.869,1.042,255,255
9,1.089,1.862,12.223,0,2.570,12.957,0,1.020,1.057,255,255
9,0.984,6.584,12.616,0,7.187,13.351,0,0.950,0.953,255,255
9,0.915,6.085,11.489,0,6.216,12.328,0,0.850,0.872,255,255
9,0.794,7.003,13.298,0,6.426,12.774,0,0.780,0.794,255,255
9,0.505,4.039,11.410,0,4.013,11.882,0,0.473,0.502,255,255
9,0.413,6.216,12.328,0,6.505,12.590,0,0.390,0.353,255,255
9,0.380,3.698,12.039,0,4.013,11.882,0,0.352,0.304,255,255
9,0.216,7.659,13.325,0,7.843,13.246,0,0.200,0.194,255,255
9,0.216,6.426,12.774,0,6.505,12.590,0,0.200,0.139,255,255
