 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.063,0.262,3.069,0,0.315,3.043,0,0.059,0.056,255,255
2,2,0.063,0.341,16.157,0,0.367,16.210,0,0.059,0.066,255,255
3,3,0.090,0.472,2.938,0,0.551,2.911,0,0.083,0.080,255,255
4,4,0.869,0.656,2.361,0,1.180,1.915,0,0.688,0.794,255,255
5,5,0.468,0.682,7.161,0,0.630,6.715,0,0.449,0.457,255,255
6,5,0.411,0.630,6.715,0,0.734,6.348,0,0.382,0.354,255,255
7,5,0.216,0.918,6.426,0,0.734,6.348,0,0.200,0.202,255,255
8,5,0.100,0.708,6.715,0,0.630,6.715,0,0.079,0.104,255,255
9,5,0.079,0.734,6.269,0,0.734,6.348,0,0.079,0.079,255,255
10,6,0.640,1.626,22.767,0,0.997,22.741,0,0.630,0.632,255,255
11,6,0.290,0.761,22.610,0,0.997,22.741,0,0.270,0.267,255,255
12,6,0.273,1.023,23.003,0,0.997,22.741,0,0.264,0.273,255,255
13,7,0.485,1.154,4.984,0,0.997,4.564,0,0.448,0.456,255,255
14,7,0.253,1.207,4.459,0,0.997,4.564,0,0.235,0.252,255,255
15,7,0.242,0.787,4.590,0,0.997,4.564,0,0.211,0.217,255,255
16,8,1.229,1.233,7.764,0,1.836,8.420,0,0.891,1.157,255,255
17,8,0.797,1.469,9.049,0,1.836,8.420,0,0.729,0.741,255,255
18,8,0.795,1.836,8.420,0,2.544,8.577,0,0.725,0.715,255,255
19,8,0.411,2.911,8.525,0,2.544,8.577,0,0.371,0.402,255,255
20,8,0.264,2.754,8.446,0,2.544,8.577,0,0.247,0.235,255,255
21,9,1.046,1.259,6.689,0,1.810,5.902,0,0.961,0.975,255,255
22,9,0.718,2.361,6.269,0,1.810,5.902,0,0.662,0.694,255,255
23,9,0.487,1.521,5.534,0,1.810,5.902,0,0.467,0.458,255,255
24,9,0.411,1.810,5.902,0,2.177,5.797,0,0.382,0.300,255,255
25,9,0.327,2.754,5.692,0,2.544,5.902,0,0.297,0.312,255,255
26,9,0.280,2.544,6.138,0,2.544,5.902,0,0.236,0.257,255,255
27,9,0.273,2.413,6.164,0,2.387,5.902,0,0.264,0.273,255,255
28,9,0.264,2.308,5.587,0,2.177,5.797,0,0.247,0.248,255,255
29,9,0.253,2.177,5.797,0,2.387,5.902,0,0.235,0.182,255,255
30,9,0.157,2.387,5.902,0,2.544,5.902,0,0.157,0.079,255,255
31,11,1.133,1.810,21.036,0,2.282,21.823,0,0.918,1.029,255,255
32,11,0.792,1.784,20.511,0,1.810,21.036,0,0.525,0.738,255,255
33,11,0.507,2.282,21.823,0,2.623,22.111,0,0.447,0.390,255,255
34,11,0.469,1.443,21.246,0,1.810,21.036,0,0.423,0.395,255,255
35,11,0.391,1.705,21.482,0,1.443,21.246,0,0.353,0.351,255,255
36,11,0.384,1.679,21.849,0,2.020,21.744,0,0.357,0.352,255,255
37,11,0.301,1.259,21.456,0,1.443,21.246,0,0.279,0.280,255,255
38,11,0.295,2.020,21.744,0,2.282,21.823,0,0.274,0.245,255,255
39,11,0.212,1.862,21.613,0,2.020,21.744,0,0.205,0.153,255,255
40,11,0.194,2.597,22.295,0,2.623,22.111,0,0.185,0.185,255,255
41,11,0.127,2.728,22.164,0,2.623,22.111,0,0.117,0.120,255,255
42,12,0.564,1.548,20.275,0,1.443,19.777,0,0.509,0.535,255,255
43,12,0.489,1.390,18.964,0,1.390,19.410,0,0.446,0.468,255,255
44,12,0.460,1.731,19.121,0,1.390,19.410,0,0.447,0.460,255,255
45,12,0.439,1.784,20.013,0,1.443,19.777,0,0.415,0.410,255,255
46,12,0.411,1.390,19.410,0,1.443,19.777,0,0.371,0.327,255,255
