 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.053,0.053,33.684,0,0.105,33.684,0,0.053,0.053,255,255
2,2,0.053,0.105,5.263,0,0.105,5.316,0,0.053,0.053,255,255
3,3,1.670,0.316,5.000,0,1.684,4.421,0,1.486,1.591,255,255
4,3,1.165,2.842,5.105,0,2.000,4.474,0,1.053,1.082,255,255
5,3,0.889,2.895,3.474,0,2.158,3.737,0,0.782,0.846,255,255
6,3,0.802,2.000,4.474,0,2.158,3.737,0,0.754,0.642,255,255
7,3,0.723,1.211,3.895,0,1.684,4.421,0,0.708,0.680,255,255
8,3,0.359,2.263,3.421,0,2.158,3.737,0,0.333,0.366,255,255
9,3,0.338,1.684,4.421,0,2.000,4.474,0,0.320,0.211,255,255
10,4,1.341,1.368,7.316,0,0.947,8.000,0,0.803,1.226,255,255
11,4,0.548,0.895,8.526,0,0.947,8.000,0,0.529,0.421,255,255
12,4,0.434,1.316,8.158,0,0.947,8.000,0,0.401,0.392,255,255
13,4,0.307,0.684,8.684,0,0.895,8.526,0,0.263,0.278,255,255
14,4,0.232,1.105,8.579,0,0.895,8.526,0,0.217,0.217,255,255
15,6,0.898,0.737,51.895,0,1.526,52.053,0,0.805,0.838,255,255
16,7,1.289,0.789,22.684,0,1.158,21.579,0,1.165,1.216,255,255
17,8,0.425,1.526,39.737,0,1.263,40.053,0,0.411,0.365,255,255
18,8,0.390,0.895,40.105,0,1.263,40.053,0,0.372,0.376,255,255
19,8,0.276,1.474,40.211,0,1.263,40.053,0,0.263,0.175,255,255
20,9,1.236,1.526,12.632,0,1.684,11.579,0,1.064,1.143,255,255
21,9,0.877,1.211,10.632,0,1.211,11.421,0,0.789,0.830,255,255
22,9,0.539,1.211,11.421,0,1.684,11.579,0,0.499,0.369,255,255
23,9,0.381,2.000,11.421,0,1.684,11.579,0,0.353,0.334,255,255
24,9,0.307,0.947,11.526,0,1.211,11.421,0,0.283,0.304,255,255
25,10,1.862,2.526,25.789,0,1.211,24.842,0,1.621,1.746,255,255
26,10,0.359,1.000,25.053,0,1.211,24.842,0,0.298,0.313,255,255
27,10,0.127,1.316,24.789,0,1.211,24.842,0,0.118,0.127,255,255
28,11,0.508,1.789,23.474,0,1.421,23.737,0,0.453,0.465,255,255
29,11,0.434,1.053,23.789,0,1.421,23.737,0,0.372,0.411,255,255
30,11,0.254,1.526,23.947,0,1.421,23.737,0,0.235,0.227,255,255
31,12,0.486,1.211,9.842,0,1.632,10.000,0,0.450,0.439,255,255
32,13,0.074,1.211,36.211,0,1.263,36.158,0,0.074,0.074,255,255
33,14,1.657,1.263,44.368,0,2.789,44.158,0,1.541,1.604,255,255
34,15,1.367,3.842,46.368,0,2.895,47.158,0,1.233,1.190,255,255
35,15,1.078,1.263,45.737,0,2.158,46.105,0,0.968,1.011,255,255
36,15,1.065,2.421,48.105,0,2.632,47.158,0,0.970,1.036,255,255
37,15,1.013,2.158,46.105,0,2.316,47.053,0,0.960,0.843,255,255
38,15,0.880,2.789,45.789,0,3.421,45.368,0,0.759,0.724,255,255
39,15,0.797,3.421,47.737,0,2.895,47.158,0,0.782,0.755,255,255
40,15,0.793,2.158,46.105,0,2.789,45.789,0,0.706,0.560,255,255
41,15,0.780,1.632,47.211,0,2.316,47.053,0,0.702,0.751,255,255
42,15,0.539,3.579,44.895,0,3.421,45.368,0,0.499,0.530,255,255
43,15,0.486,3.842,45.526,0,3.421,45.368,0,0.450,0.435,255,255
44,15,0.359,2.316,47.053,0,2.632,47.158,0,0.333,0.212,255,255
45,15,0.285,2.842,45.526,0,2.789,45.789,0,0.268,0.297,255,255
46,15,0.263,2.632,47.158,0,2.895,47.158,0,0.263,0.105,255,255
47,17,0.074,1.316,36.421,0,1.368,36.474,0,0.074,0.074,255,255
48,18,1.341,3.579,41.842,0,2.368,41.947,0,1.215,1.286,255,255
49,18,0.973,1.316,42.211,0,2.000,41.737,0,0.832,0.888,255,255
50,18,0.762,3.000,42.263,0,2.368,41.947,0,0.706,0.704,255,255
51,18,0.697,1.947,41.105,0,2.000,41.737,0,0.634,0.652,255,255
52,18,0.486,2.211,42.368,0,2.368,41.947,0,0.450,0.460,255,255
53,18,0.456,2.000,41.737,0,2.368,41.947,0,0.424,0.226,255,255
54,19,0.053,1.368,21.474,0,1.368,21.526,0,0.053,0.053,255,255
55,20,0.403,1.421,18.737,0,1.737,18.526,0,0.380,0.401,255,255
56,21,2.621,1.421,48.211,0,3.632,48.421,0,2.221,2.475,255,255
57,22,0.425,1.895,17.158,0,1.579,16.895,0,0.411,0.404,255,255
58,22,0.329,1.842,16.737,0,1.579,16.895,0,0.307,0.315,255,255
59,22,0.127,1.474,16.947,0,1.579,16.895,0,0.118,0.111,255,255
60,23,1.205,2.105,12.421,0,2.158,13.474,0,1.054,1.135,255,255
61,23,0.670,2.684,13.105,0,2.158,13.474,0,0.642,0.644,255,255
62,23,0.617,2.579,13.895,0,2.158,13.474,0,0.595,0.574,255,255
63,23,0.592,1.632,13.632,0,2.158,13.474,0,0.549,0.582,255,255
64,24,0.307,1.684,21.526,0,1.947,21.421,0,0.283,0.272,255,255
65,25,0.307,1.684,47.737,0,1.789,48.000,0,0.283,0.304,255,255
66,26,1.144,3.842,34.316,0,2.947,33.789,0,1.038,1.065,255,255
67,26,0.868,1.737,33.842,0,2.474,33.526,0,0.802,0.832,255,255
68,26,0.701,2.421,34.211,0,2.947,33.789,0,0.674,0.645,255,255
69,26,0.688,2.474,33.526,0,2.947,33.789,0,0.542,0.497,255,255
70,26,0.201,2.474,33.368,0,2.474,33.526,0,0.158,0.186,255,255
71,27,0.254,1.737,40.737,0,1.947,40.632,0,0.235,0.255,255,255
72,28,1.289,3.737,16.211,0,2.579,16.000,0,1.177,1.228,255,255
73,28,0.802,1.842,16.053,0,2.579,16.000,0,0.739,0.748,255,255
74,28,0.706,2.526,16.947,0,2.632,16.316,0,0.640,0.678,255,255
75,28,0.679,3.105,16.737,0,2.632,16.316,0,0.634,0.636,255,255
76,28,0.381,2.579,16.000,0,2.632,16.316,0,0.320,0.232,255,255
77,29,0.074,1.947,34.947,0,2.000,34.895,0,0.074,0.074,255,255
78,31,1.082,2.421,27.632,0,3.263,28.211,0,1.022,0.957,255,255
79,31,0.933,3.842,27.579,0,3.263,28.211,0,0.857,0.856,255,255
80,31,0.701,2.000,28.158,0,2.421,27.632,0,0.674,0.661,255,255
81,31,0.601,2.263,26.211,0,2.316,26.789,0,0.581,0.584,255,255
82,31,0.517,2.316,26.789,0,2.421,27.263,0,0.485,0.321,255,255
83,31,0.434,2.789,27.105,0,2.421,27.263,0,0.401,0.392,255,255
84,31,0.412,2.421,27.263,0,2.421,27.632,0,0.368,0.285,255,255
85,31,0.180,3.316,28.368,0,3.263,28.211,0,0.166,0.180,255,255
86,31,0.127,2.421,26.842,0,2.316,26.789,0,0.118,0.127,255,255
87,32,0.232,2.000,48.000,0,2.211,48.053,0,0.217,0.221,255,255
88,33,0.456,2.105,49.526,0,2.474,49.316,0,0.424,0.437,255,255
89,34,0.307,2.158,30.842,0,2.421,30.842,0,0.263,0.294,255,255
90,35,0.403,2.211,20.684,0,2.211,21.000,0,0.316,0.363,255,255
91,36,0.127,2.263,32.368,0,2.368,32.421,0,0.118,0.133,255,255
92,37,1.450,3.842,0.895,0,2.789,1.632,0,1.285,1.294,255,255
93,37,0.477,2.526,2.000,0,2.789,1.632,0,0.453,0.438,255,255
94,37,0.127,2.684,1.579,0,2.789,1.632,0,0.118,0.053,255,255
95,38,0.105,2.632,43.105,0,2.737,43.105,0,0.105,0.105,255,255
96,39,0.254,2.895,5.368,0,3.053,5.526,0,0.223,0.231,255,255
97,40,0.105,2.947,20.684,0,2.947,20.789,0,0.105,0.105,255,255
98,41,0.824,2.947,38.684,0,3.105,39.158,0,0.499,0.732,255,255
99,42,0.688,3.105,37.105,0,3.158,36.526,0,0.581,0.635,255,255
100,43,0.719,3.158,23.474,0,3.263,22.842,0,0.640,0.736,255,255
101,43,0.223,3.421,22.684,0,3.263,22.842,0,0.223,0.223,255,255
102,43,0.127,3.158,22.789,0,3.263,22.842,0,0.118,0.111,255,255
103,44,0.307,3.211,8.684,0,3.316,8.421,0,0.283,0.304,255,255
104,45,1.038,3.316,39.632,0,3.842,40.316,0,0.863,0.980,255,255
105,45,0.412,3.947,40.684,0,3.842,40.316,0,0.383,0.392,255,255
106,45,0.338,4.158,40.368,0,3.842,40.316,0,0.320,0.326,255,255
107,46,0.285,3.474,6.895,0,3.737,6.947,0,0.268,0.266,255,255
108,47,2.105,4.737,41.474,0,6.632,41.421,0,1.895,1.618,255,255
109,47,1.174,4.737,41.474,0,4.947,42.474,0,1.022,0.877,255,255
110,47,1.017,4.632,43.316,0,4.947,42.474,0,0.899,0.905,255,255
111,47,0.955,3.474,42.263,0,4.158,41.684,0,0.896,0.883,255,255
112,47,0.666,4.158,41.684,0,4.737,41.474,0,0.616,0.574,255,255
113,47,0.635,5.368,42.842,0,4.947,42.474,0,0.559,0.588,255,255
114,47,0.623,4.842,40.895,0,4.737,41.474,0,0.588,0.634,255,255
115,47,0.486,7.316,41.316,0,7.053,41.000,0,0.411,0.435,255,255
116,47,0.477,6.789,41.368,0,7.053,41.000,0,0.453,0.317,255,255
117,47,0.412,3.789,41.579,0,4.158,41.684,0,0.383,0.317,255,255
118,47,0.381,7.526,40.947,0,7.211,40.789,0,0.353,0.346,255,255
119,47,0.307,7.053,41.474,0,6.789,41.368,0,0.283,0.287,255,255
120,47,0.276,7.053,41.000,0,7.211,40.789,0,0.263,0.149,255,255
121,47,0.201,6.526,41.263,0,6.632,41.421,0,0.190,0.175,255,255
122,47,0.201,7.316,40.632,0,7.211,40.789,0,0.190,0.208,255,255
123,47,0.180,6.632,41.421,0,6.789,41.368,0,0.166,0.133,255,255
124,48,0.447,3.579,31.579,0,3.895,31.895,0,0.447,0.447,255,255
