Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.026,0.052,11.751,0,0.079,11.751,0,0.026,0.026,255,255
2,0.026,0.131,11.672,0,0.131,11.698,0,0.026,0.026,255,255
3,0.052,0.157,6.190,0,0.157,6.243,0,0.052,0.052,255,255
4,0.874,0.682,21.561,0,1.416,21.823,0,0.780,0.736,255,255
4,0.535,1.102,21.062,0,0.708,21.403,0,0.521,0.525,255,255
4,0.502,1.416,21.823,0,1.757,21.508,0,0.464,0.446,255,255
4,0.465,0.262,21.797,0,0.577,21.561,0,0.393,0.436,255,255
4,0.406,2.020,21.377,0,1.757,21.508,0,0.293,0.360,255,255
4,0.321,0.184,21.141,0,0.472,21.220,0,0.299,0.302,255,255
4,0.312,0.472,21.220,0,0.708,21.403,0,0.299,0.223,255,255
4,0.280,0.420,20.984,0,0.472,21.220,0,0.242,0.263,255,255
4,0.262,0.315,21.561,0,0.577,21.561,0,0.262,0.262,255,255
4,0.168,0.682,21.561,0,0.708,21.403,0,0.160,0.105,255,255
4,0.164,1.495,21.954,0,1.416,21.823,0,0.153,0.143,255,255
4,0.105,1.757,21.403,0,1.757,21.508,0,0.105,0.105,255,255
4,0.105,0.577,21.561,0,0.682,21.561,0,0.105,0.026,255,255
5,2.152,7.607,18.990,0,5.954,17.941,0,1.957,2.103,255,255
5,2.108,4.144,20.275,0,5.666,18.859,0,2.079,2.087,255,255
5,2.104,7.344,19.541,0,5.875,18.046,0,2.096,2.082,255,255
5,2.050,8.498,17.810,0,6.951,17.233,0,1.652,1.914,255,255
5,1.924,5.849,19.095,0,5.980,20.748,0,1.658,1.775,255,255
5,1.805,6.951,15.764,0,5.823,17.102,0,1.750,1.750,255,255
5,1.639,8.210,18.046,0,6.951,17.233,0,1.499,1.578,255,255
5,1.598,2.649,16.525,0,3.593,17.731,0,1.532,1.504,255,255
5,1.593,4.118,19.069,0,5.272,18.046,0,1.542,1.535,255,255
5,1.577,3.987,16.157,0,2.649,16.525,0,1.387,1.497,255,255
5,1.519,5.849,19.095,0,6.977,20.039,0,1.471,1.444,255,255
5,1.511,3.095,19.987,0,4.118,19.069,0,1.374,1.278,255,255
5,1.465,2.177,18.964,0,3.095,19.987,0,1.374,1.312,255,255
5,1.390,6.033,15.502,0,5.456,16.551,0,1.197,1.351,255,255
5,1.337,0.236,16.472,0,1.443,16.682,0,1.225,1.254,255,255
5,1.151,0.944,15.056,0,1.862,15.580,0,1.057,1.104,255,255
5,1.123,3.593,17.731,0,4.564,17.416,0,1.020,0.959,255,255
5,1.020,4.931,15.764,0,5.456,16.551,0,0.946,0.907,255,255
5,1.016,6.033,17.416,0,6.951,17.233,0,0.936,0.856,255,255
5,0.969,4.564,17.416,0,5.272,18.046,0,0.948,0.915,255,255
5,0.943,3.934,16.734,0,4.564,17.416,0,0.928,0.915,255,255
5,0.924,2.151,17.600,0,2.125,16.708,0,0.892,0.922,255,255
5,0.845,5.980,20.748,0,6.374,21.430,0,0.787,0.757,255,255
