 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.053,0.105,5.053,0,0.105,5.105,0,0.053,0.053,255,255
2,2,0.074,0.316,49.579,0,0.368,49.632,0,0.074,0.074,255,255
3,3,1.813,3.526,34.105,0,2.105,33.263,0,1.652,1.704,255,255
4,3,1.779,2.316,34.737,0,1.895,33.263,0,1.533,1.718,255,255
5,3,1.590,0.526,33.947,0,1.789,33.263,0,1.437,1.499,255,255
6,3,0.973,2.474,31.632,0,3.053,32.211,0,0.819,0.877,255,255
7,3,0.942,3.579,33.158,0,2.789,32.789,0,0.871,0.869,255,255
8,3,0.896,1.632,31.474,0,1.579,32.316,0,0.844,0.887,255,255
9,3,0.880,2.105,33.263,0,2.789,32.789,0,0.832,0.808,255,255
10,3,0.833,3.053,32.211,0,3.842,32.211,0,0.789,0.689,255,255
11,3,0.819,1.000,31.737,0,1.579,32.316,0,0.819,0.819,255,255
12,3,0.688,2.789,32.789,0,3.053,32.211,0,0.636,0.516,255,255
13,3,0.539,1.579,32.316,0,1.632,32.789,0,0.477,0.319,255,255
14,3,0.539,1.632,32.789,0,1.789,33.263,0,0.499,0.375,255,255
15,3,0.486,1.211,32.632,0,1.632,32.789,0,0.450,0.436,255,255
16,3,0.307,4.000,32.000,0,3.842,32.211,0,0.263,0.300,255,255
17,3,0.242,1.789,32.211,0,1.579,32.316,0,0.235,0.242,255,255
18,3,0.211,1.895,33.263,0,2.105,33.263,0,0.211,0.000,0,0
19,3,0.149,3.947,32.316,0,3.842,32.211,0,0.149,0.149,255,255
20,3,0.105,1.789,33.263,0,1.895,33.263,0,0.105,0.053,255,255
21,5,0.053,0.947,17.737,0,1.000,17.737,0,0.053,0.053,255,255
22,6,1.056,1.526,46.211,0,2.474,46.263,0,0.949,0.903,255,255
23,6,0.793,0.947,46.579,0,1.526,46.211,0,0.686,0.737,255,255
24,6,0.434,2.632,46.632,0,2.474,46.263,0,0.401,0.321,255,255
25,6,0.425,1.789,45.895,0,1.526,46.211,0,0.411,0.365,255,255
26,6,0.127,2.526,46.158,0,2.474,46.263,0,0.118,0.111,255,255
27,7,2.910,1.000,6.895,0,2.684,6.211,0,1.818,2.716,255,255
28,8,3.616,2.105,26.789,0,3.158,23.684,0,3.279,3.431,255,255
29,8,2.946,1.368,21.684,0,4.053,22.000,0,2.703,2.671,255,255
30,8,1.928,3.474,20.000,0,4.263,21.526,0,1.718,1.794,255,255
31,8,1.556,5.684,24.105,0,5.000,22.895,0,1.391,1.472,255,255
32,8,1.420,4.895,23.632,0,3.737,23.000,0,1.319,1.361,255,255
33,8,1.366,4.053,22.000,0,5.000,22.895,0,1.303,1.139,255,255
34,8,1.254,5.474,21.421,0,4.263,21.526,0,1.215,1.223,255,255
35,8,1.208,5.158,20.737,0,4.263,21.526,0,1.193,1.208,255,255
36,8,1.192,2.053,23.474,0,3.158,23.684,0,1.125,1.143,255,255
37,8,1.131,3.737,23.000,0,4.053,22.000,0,1.049,0.931,255,255
38,8,0.986,3.158,23.684,0,3.737,23.000,0,0.896,0.824,255,255
39,8,0.964,1.053,22.474,0,1.368,21.684,0,0.850,0.907,255,255
40,8,0.920,5.737,22.526,0,5.000,22.895,0,0.824,0.905,255,255
41,8,0.592,4.053,22.000,0,4.263,21.526,0,0.518,0.441,255,255
42,8,0.390,1.000,21.737,0,1.368,21.684,0,0.372,0.402,255,255
43,9,1.113,1.737,12.579,0,1.947,11.684,0,0.919,1.075,255,255
44,9,0.995,2.789,12.053,0,1.947,11.684,0,0.919,0.907,255,255
45,9,0.911,2.632,10.842,0,1.895,11.263,0,0.849,0.834,255,255
46,9,0.802,1.474,10.316,0,1.526,11.053,0,0.739,0.771,255,255
47,9,0.561,1.053,10.947,0,1.526,11.053,0,0.485,0.493,255,255
48,9,0.486,1.895,11.263,0,1.947,11.684,0,0.424,0.343,255,255
49,9,0.456,1.526,11.053,0,1.895,11.263,0,0.424,0.350,255,255
50,10,1.946,2.211,50.053,0,1.579,48.474,0,1.701,1.826,255,255
51,10,1.047,1.158,49.421,0,1.316,48.526,0,0.909,0.817,255,255
52,10,0.815,1.579,48.474,0,1.895,47.789,0,0.754,0.672,255,255
