Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.317,0.630,6.715,0,0.630,6.479,0,0.236,0.290,255,255
1,0.306,0.892,6.374,0,0.630,6.479,0,0.283,0.320,255,255
1,0.306,0.630,6.479,0,0.734,6.216,0,0.283,0.229,255,255
1,0.100,0.734,6.138,0,0.734,6.216,0,0.079,0.093,255,255
2,1.148,1.810,25.810,0,1.180,24.944,0,1.070,1.077,255,255
2,0.732,0.997,25.600,0,1.180,24.944,0,0.681,0.694,255,255
2,0.723,1.180,24.944,0,1.810,25.075,0,0.643,0.570,255,255
2,0.659,0.630,25.207,0,1.180,24.944,0,0.610,0.604,255,255
2,0.415,1.128,24.551,0,1.180,24.944,0,0.397,0.374,255,255
2,0.290,2.046,24.944,0,1.810,25.075,0,0.270,0.229,255,255
2,0.264,1.941,25.285,0,1.810,25.075,0,0.247,0.233,255,255
3,0.275,0.761,1.757,0,0.970,1.600,0,0.262,0.277,255,255
4,0.063,0.839,2.754,0,0.892,2.728,0,0.059,0.056,255,255
6,1.637,5.036,10.072,0,3.777,10.020,0,1.260,1.563,255,255
6,1.621,1.836,9.521,0,3.305,9.154,0,1.514,1.486,255,255
6,1.203,1.548,10.046,0,1.600,9.338,0,0.710,1.122,255,255
6,1.138,3.305,9.154,0,3.777,10.020,0,0.986,0.978,255,255
6,1.101,4.984,10.361,0,4.013,10.675,0,1.020,1.059,255,255
6,1.055,2.203,10.833,0,3.095,10.649,0,0.911,0.979,255,255
6,0.895,2.466,11.252,0,3.095,10.649,0,0.872,0.868,255,255
6,0.810,3.305,9.154,0,3.436,8.420,0,0.746,0.698,255,255
6,0.747,1.600,9.338,0,1.757,8.656,0,0.700,0.643,255,255
6,0.732,3.095,10.649,0,3.751,10.570,0,0.660,0.628,255,255
6,0.655,2.151,10.046,0,1.836,9.521,0,0.612,0.610,255,255
6,0.640,2.098,8.157,0,1.757,8.656,0,0.604,0.617,255,255
6,0.562,3.751,10.570,0,3.777,10.020,0,0.551,0.498,255,255
6,0.434,3.725,8.157,0,3.436,8.420,0,0.390,0.420,255,255
6,0.369,2.072,8.577,0,1.757,8.656,0,0.324,0.348,255,255
6,0.312,1.600,9.338,0,1.836,9.521,0,0.299,0.253,255,255
6,0.310,4.013,10.964,0,4.013,10.675,0,0.289,0.316,255,255
6,0.306,3.751,10.570,0,4.013,10.675,0,0.283,0.221,255,255
6,0.262,1.548,10.308,0,1.548,10.046,0,0.262,0.262,255,255
6,0.232,3.489,8.210,0,3.436,8.420,0,0.216,0.220,255,255
6,0.227,1.731,10.098,0,1.548,10.046,0,0.191,0.197,255,255
7,1.516,2.046,7.108,0,2.544,5.875,0,1.330,1.437,255,255
7,1.105,1.941,4.433,0,2.203,5.430,0,1.031,0.946,255,255
7,0.832,1.941,4.433,0,2.046,3.725,0,0.716,0.734,255,255
7,0.572,2.833,5.220,0,2.466,5.639,0,0.558,0.552,255,255
7,0.517,1.784,5.666,0,2.203,5.430,0,0.482,0.469,255,255
7,0.349,2.203,5.430,0,2.466,5.639,0,0.336,0.265,255,255
7,0.347,1.731,3.803,0,2.046,3.725,0,0.324,0.340,255,255
7,0.269,2.466,5.639,0,2.544,5.875,0,0.249,0.245,255,255
7,0.232,2.754,5.875,0,2.544,5.875,0,0.210,0.237,255,255
7,0.175,2.177,3.620,0,2.046,3.725,0,0.168,0.175,255,255
7,0.063,1.889,4.407,0,1.941,4.433,0,0.059,0.056,255,255
8,0.127,1.941,7.213,0,1.993,7.318,0,0.117,0.113,255,255
9,0.887,3.515,18.492,0,2.938,18.230,0,0.634,0.844,255,255
9,0.738,2.308,18.492,0,2.938,18.230,0,0.682,0.658,255,255
9,0.443,2.938,17.390,0,2.911,17.757,0,0.368,0.412,255,255
9,0.432,2.466,18.859,0,2.308,18.492,0,0.400,0.447,255,255
9,0.417,3.279,17.626,0,2.911,17.757,0,0.390,0.387,255,255
9,0.374,2.911,17.757,0,3.043,18.046,0,0.317,0.295,255,255
9,0.227,2.938,18.230,0,3.043,18.046,0,0.211,0.150,255,255
9,0.205,2.125,18.439,0,2.308,18.492,0,0.191,0.190,255,255
9,0.153,2.859,17.889,0,2.911,17.757,0,0.141,0.138,255,255
9,0.127,3.148,18.046,0,3.043,18.046,0,0.105,0.117,255,255
10,0.026,2.413,22.479,0,2.439,22.479,0,0.026,0.026,255,255
11,0.810,2.544,0.184,0,3.279,0.315,0,0.746,0.764,255,255
12,0.074,2.597,17.075,0,2.649,17.128,0,0.074,0.074,255,255
13,0.280,2.807,17.207,0,2.911,16.970,0,0.258,0.273,255,255
14,0.900,2.911,13.823,0,3.672,13.980,0,0.777,0.850,255,255
14,0.585,3.515,14.479,0,3.672,13.980,0,0.523,0.576,255,255
14,0.573,4.092,13.115,0,4.092,13.666,0,0.551,0.570,255,255
14,0.565,3.672,13.980,0,4.092,13.666,0,0.525,0.458,255,255
14,0.127,4.197,13.666,0,4.092,13.666,0,0.105,0.131,255,255
14,0.026,3.646,13.980,0,3.672,13.980,0,0.026,0.026,255,255
15,1.234,3.698,19.567,0,4.774,19.226,0,1.128,1.061,255,255
15,0.733,3.646,20.197,0,3.698,19.567,0,0.632,0.688,255,255
15,0.677,3.646,18.911,0,3.698,19.567,0,0.658,0.580,255,255
15,0.537,3.751,18.256,0,3.908,18.728,0,0.498,0.501,255,255
15,0.500,4.931,18.807,0,4.774,19.226,0,0.448,0.457,255,255
15,0.465,4.275,18.964,0,3.908,18.728,0,0.437,0.455,255,255
15,0.459,3.305,19.462,0,3.698,19.567,0,0.407,0.357,255,255
15,0.369,3.646,18.911,0,3.908,18.728,0,0.320,0.291,255,255
15,0.332,3.043,19.593,0,3.305,19.462,0,0.293,0.301,255,255
15,0.269,3.410,18.833,0,3.646,18.911,0,0.249,0.245,255,255
15,0.238,4.931,19.384,0,4.774,19.226,0,0.223,0.185,255,255
15,0.100,3.252,19.384,0,3.305,19.462,0,0.095,0.087,255,255
16,0.063,3.069,12.354,0,3.095,12.407,0,0.059,0.056,255,255
17,4.381,11.725,14.085,0,15.213,12.826,0,3.709,4.074,255,255
17,3.520,8.367,13.744,0,11.725,14.085,0,3.375,3.353,255,255
17,3.379,6.348,16.210,0,8.367,13.744,0,3.187,3.176,255,255
17,2.340,16.367,10.964,0,15.213,12.826,0,2.191,2.207,255,255
17,2.107,6.348,16.210,0,8.052,17.023,0,1.889,2.008,255,255
17,2.058,15.685,13.403,0,17.154,14.715,0,1.969,1.963,255,255
17,1.985,12.407,15.843,0,13.272,17.416,0,1.796,1.895,255,255
17,1.942,14.243,16.446,0,15.974,16.236,0,1.744,1.756,255,255
17,1.813,16.551,16.682,0,17.154,15.134,0,1.661,1.651,255,255
17,1.700,10.885,16.892,0,12.039,15.685,0,1.670,1.674,255,255
17,1.677,4.800,15.711,0,6.216,16.236,0,1.510,1.540,255,255
17,1.652,15.685,13.403,0,16.813,12.249,0,1.614,1.602,255,255
17,1.622,3.593,16.603,0,4.800,15.711,0,1.500,1.543,255,255
17,1.535,13.823,15.738,0,12.538,15.816,0,1.288,1.450,255,255
17,1.522,19.043,13.902,0,17.705,14.190,0,1.368,1.488,255,255
17,1.513,19.226,11.751,0,20.249,10.754,0,1.428,1.430,255,255
17,1.473,18.833,16.787,0,17.810,15.738,0,1.465,1.459,255,255
17,1.414,19.856,13.272,0,18.833,12.380,0,1.357,1.384,255,255
17,1.407,15.292,17.311,0,16.525,16.944,0,1.286,1.377,255,255
17,1.400,6.033,17.495,0,6.216,16.236,0,1.272,1.264,255,255
17,1.365,19.672,11.961,0,20.852,12.197,0,1.204,1.305,255,255
17,1.355,11.725,14.085,0,11.777,15.397,0,1.313,1.290,255,255
17,1.347,8.551,11.593,0,7.974,12.643,0,1.197,1.295,255,255
17,1.343,17.600,10.649,0,18.282,11.672,0,1.229,1.274,255,255
17,1.295,18.046,13.666,0,18.728,12.669,0,1.208,1.201,255,255
17,1.292,19.593,13.587,0,18.728,12.669,0,1.262,1.257,255,255
17,1.265,7.974,12.643,0,8.367,13.744,0,1.170,1.117,255,255
17,1.238,10.623,16.262,0,11.515,15.607,0,1.107,1.115,255,255
17,1.223,6.374,13.089,0,7.423,12.721,0,1.112,1.052,255,255
17,1.207,5.141,18.256,0,6.033,17.495,0,1.172,1.173,255,255
17,1.164,3.777,15.475,0,4.800,15.711,0,1.050,1.087,255,255
17,1.164,16.525,16.944,0,16.813,17.967,0,1.063,1.037,255,255
17,1.111,17.626,18.597,0,16.813,17.967,0,1.028,1.081,255,255
17,1.111,19.357,14.898,0,18.544,15.580,0,1.061,1.025,255,255
17,1.038,7.161,18.938,0,6.243,18.754,0,0.936,0.994,255,255
17,0.993,8.236,11.095,0,7.711,11.856,0,0.924,0.967,255,255
17,0.991,18.885,12.144,0,19.593,12.826,0,0.983,0.927,255,255
17,0.984,13.272,16.367,0,12.538,15.816,0,0.918,0.961,255,255
17,0.984,14.820,14.111,0,15.423,13.377,0,0.950,0.890,255,255
17,0.943,15.292,15.659,0,15.974,16.236,0,0.893,0.916,255,255
17,0.939,18.859,10.964,0,19.226,11.751,0,0.868,0.815,255,255
17,0.929,10.597,15.633,0,11.515,15.607,0,0.918,0.921,255,255
17,0.922,16.761,18.780,0,16.813,17.967,0,0.815,0.854,255,255
17,0.906,17.154,15.134,0,17.810,15.738,0,0.891,0.850,255,255
17,0.899,7.134,18.675,0,6.452,18.151,0,0.860,0.862,255,255
17,0.887,5.456,13.062,0,6.059,13.141,0,0.608,0.821,255,255
17,0.887,8.498,15.974,0,8.157,16.682,0,0.786,0.853,255,255
17,0.884,19.672,11.961,0,20.328,11.410,0,0.856,0.836,255,255
17,0.878,17.626,12.984,0,18.046,13.666,0,0.801,0.854,255,255
17,0.867,6.033,17.495,0,6.452,18.151,0,0.779,0.789,255,255
17,0.847,19.174,16.105,0,18.544,15.580,0,0.819,0.815,255,255
17,0.837,7.711,11.856,0,7.895,12.616,0,0.783,0.715,255,255
17,0.815,17.521,11.803,0,18.282,11.672,0,0.772,0.789,255,255
17,0.800,17.810,15.738,0,18.544,15.580,0,0.751,0.661,255,255
17,0.783,17.154,14.715,0,17.705,14.190,0,0.761,0.694,255,255
17,0.762,15.974,16.236,0,16.551,16.682,0,0.729,0.667,255,255
17,0.755,18.282,11.672,0,18.885,12.039,0,0.706,0.634,255,255
17,0.716,7.580,10.597,0,7.528,11.226,0,0.632,0.680,255,255
17,0.690,6.243,18.754,0,6.452,18.151,0,0.639,0.590,255,255
17,0.688,17.705,14.190,0,18.046,13.666,0,0.626,0.659,255,255
17,0.653,15.213,12.826,0,15.423,13.377,0,0.589,0.560,255,255
17,0.605,5.823,19.672,0,5.954,19.121,0,0.566,0.582,255,255
17,0.585,15.082,14.557,0,14.820,14.111,0,0.517,0.552,255,255
17,0.583,19.593,12.826,0,20.013,13.220,0,0.575,0.468,255,255
17,0.564,5.954,19.121,0,6.243,18.754,0,0.467,0.484,255,255
17,0.555,6.793,12.013,0,7.213,11.725,0,0.509,0.527,255,255
17,0.548,8.000,11.095,0,7.528,11.226,0,0.490,0.512,255,255
17,0.539,7.003,12.485,0,7.423,12.721,0,0.482,0.492,255,255
17,0.537,7.423,12.721,0,7.895,12.616,0,0.484,0.477,255,255
17,0.535,18.885,10.439,0,18.859,10.964,0,0.525,0.535,255,255
17,0.528,8.052,17.023,0,8.472,17.285,0,0.495,0.432,255,255
17,0.517,6.820,11.462,0,7.213,11.725,0,0.473,0.479,255,255
17,0.516,19.200,11.856,0,19.672,11.961,0,0.484,0.466,255,255
17,0.511,5.561,13.298,0,6.007,13.246,0,0.449,0.478,255,255
17,0.511,7.423,11.672,0,7.528,11.226,0,0.458,0.419,255,255
17,0.509,19.593,12.826,0,20.092,12.800,0,0.499,0.422,255,255
17,0.487,14.531,14.479,0,14.820,14.111,0,0.467,0.404,255,255
17,0.478,13.718,17.495,0,13.272,17.416,0,0.453,0.456,255,255
17,0.478,8.157,16.682,0,8.603,16.761,0,0.453,0.379,255,255
17,0.448,13.193,17.810,0,13.272,17.416,0,0.401,0.415,255,255
17,0.443,3.226,16.787,0,3.593,16.603,0,0.411,0.429,255,255
17,0.441,17.154,14.715,0,17.154,15.134,0,0.420,0.378,255,255
17,0.434,18.570,10.649,0,18.859,10.964,0,0.427,0.413,255,255
17,0.432,12.039,15.685,0,12.407,15.843,0,0.400,0.334,255,255
17,0.428,11.777,15.397,0,12.039,15.685,0,0.390,0.361,255,255
17,0.406,20.249,10.413,0,20.249,10.754,0,0.341,0.394,255,255
17,0.395,8.630,17.102,0,8.603,16.761,0,0.342,0.358,255,255
17,0.391,18.885,12.039,0,19.200,11.856,0,0.364,0.315,255,255
17,0.389,21.220,12.197,0,20.852,12.197,0,0.367,0.370,255,255
17,0.384,8.052,17.023,0,8.157,16.682,0,0.357,0.308,255,255
17,0.380,10.308,16.210,0,10.623,16.262,0,0.319,0.339,255,255
17,0.365,7.423,11.672,0,7.711,11.856,0,0.342,0.265,255,255
17,0.354,6.531,12.800,0,6.374,13.089,0,0.329,0.333,255,255
17,0.349,11.515,15.607,0,11.777,15.397,0,0.336,0.260,255,255
17,0.347,8.918,16.734,0,8.603,16.761,0,0.316,0.320,255,255
17,0.336,6.059,13.141,0,6.374,13.089,0,0.319,0.292,255,255
17,0.332,18.728,12.669,0,18.833,12.380,0,0.307,0.243,255,255
17,0.312,5.718,18.938,0,5.954,19.121,0,0.299,0.284,255,255
