 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,2,0.298,0.211,44.263,0,0.421,44.053,0,0.298,0.298,255,255
2,3,0.127,0.316,9.421,0,0.368,9.526,0,0.118,0.133,255,255
3,4,0.657,0.579,38.211,0,0.895,38.737,0,0.614,0.661,255,255
4,4,0.595,1.474,38.316,0,1.053,38.737,0,0.595,0.595,255,255
5,4,0.583,0.579,39.158,0,0.895,38.737,0,0.526,0.525,255,255
6,4,0.403,1.368,38.947,0,1.053,38.737,0,0.380,0.361,255,255
7,4,0.307,0.316,39.263,0,0.579,39.158,0,0.283,0.278,255,255
8,4,0.307,0.684,39.421,0,0.579,39.158,0,0.283,0.221,255,255
9,4,0.158,0.895,38.737,0,1.053,38.737,0,0.158,0.053,255,255
10,5,0.276,0.579,33.789,0,0.789,33.632,0,0.263,0.289,255,255
11,6,0.359,0.842,5.842,0,1.000,5.579,0,0.307,0.352,255,255
12,7,0.539,1.421,9.053,0,1.368,8.579,0,0.477,0.453,255,255
13,7,0.434,1.000,8.632,0,1.368,8.579,0,0.372,0.418,255,255
14,7,0.105,1.474,8.579,0,1.368,8.579,0,0.105,0.053,255,255
15,8,0.074,1.211,21.684,0,1.263,21.632,0,0.074,0.074,255,255
16,9,0.688,2.000,2.632,0,1.684,2.211,0,0.526,0.602,255,255
17,9,0.614,1.474,2.632,0,1.684,2.211,0,0.471,0.537,255,255
18,9,0.390,1.632,1.842,0,1.684,2.211,0,0.372,0.381,255,255
19,10,1.586,1.474,5.947,0,2.579,6.737,0,1.358,1.502,255,255
20,10,1.429,3.474,6.368,0,4.684,6.895,0,1.320,1.236,255,255
21,10,1.087,5.684,6.789,0,4.684,6.895,0,1.006,1.045,255,255
22,10,1.078,2.579,6.737,0,3.474,6.368,0,0.968,0.932,255,255
23,10,0.793,3.211,5.684,0,3.474,6.368,0,0.733,0.645,255,255
24,10,0.732,2.947,7.316,0,2.579,6.737,0,0.686,0.682,255,255
25,10,0.486,2.895,5.211,0,2.947,5.632,0,0.424,0.460,255,255
26,10,0.338,4.632,7.211,0,4.684,6.895,0,0.320,0.349,255,255
27,10,0.285,2.947,5.632,0,3.211,5.684,0,0.268,0.133,255,255
28,10,0.276,3.421,5.526,0,3.211,5.684,0,0.263,0.276,255,255
29,10,0.127,2.842,5.684,0,2.947,5.632,0,0.118,0.111,255,255
30,11,0.381,1.474,33.789,0,1.789,33.842,0,0.320,0.328,255,255
31,12,0.359,1.632,37.526,0,1.789,37.789,0,0.307,0.340,255,255
32,13,1.087,1.632,53.368,0,1.684,52.421,0,0.949,1.049,255,255
33,14,0.254,1.789,18.263,0,2.000,18.368,0,0.235,0.220,255,255
34,15,0.201,1.789,28.368,0,1.789,28.526,0,0.158,0.186,255,255
35,16,0.074,1.789,29.737,0,1.842,29.789,0,0.074,0.074,255,255
36,17,2.225,2.211,41.421,0,3.421,43.053,0,2.032,2.016,255,255
37,17,1.732,3.368,44.632,0,3.421,43.053,0,1.580,1.657,255,255
38,17,1.423,4.474,43.947,0,3.421,43.053,0,1.382,1.365,255,255
39,17,1.056,2.211,41.421,0,2.368,40.474,0,0.960,0.897,255,255
40,17,0.911,2.947,39.895,0,2.368,40.474,0,0.819,0.835,255,255
41,17,0.723,1.842,40.000,0,2.368,40.474,0,0.708,0.680,255,255
42,17,0.443,1.789,41.474,0,2.211,41.421,0,0.424,0.434,255,255
43,18,0.263,1.947,38.947,0,2.211,38.947,0,0.263,0.263,255,255
44,19,1.652,2.632,36.684,0,3.474,37.579,0,1.229,1.502,255,255
45,19,1.320,3.526,38.789,0,3.474,37.579,0,1.212,1.271,255,255
46,19,1.122,4.211,35.737,0,4.842,35.000,0,0.970,0.954,255,255
47,19,1.056,4.000,37.421,0,4.947,37.684,0,0.983,0.866,255,255
48,19,1.038,5.474,38.474,0,4.947,37.684,0,0.949,1.010,255,255
49,19,1.026,5.842,37.684,0,4.947,37.684,0,0.895,0.987,255,255
50,19,0.986,3.684,35.895,0,4.158,36.684,0,0.921,0.716,255,255
51,19,0.942,2.632,34.368,0,2.895,35.158,0,0.832,0.885,255,255
52,19,0.902,2.895,35.158,0,3.421,35.842,0,0.863,0.787,255,255
53,19,0.802,4.000,37.421,0,4.158,36.684,0,0.754,0.598,255,255
54,19,0.679,2.421,35.579,0,2.895,35.158,0,0.634,0.494,255,255
55,19,0.604,3.000,36.211,0,3.421,35.842,0,0.559,0.582,255,255
56,19,0.592,3.474,37.579,0,4.000,37.421,0,0.549,0.479,255,255
57,19,0.592,3.684,35.895,0,4.211,35.737,0,0.549,0.323,255,255
58,19,0.447,4.526,36.053,0,4.211,35.737,0,0.447,0.447,255,255
59,19,0.443,2.000,35.632,0,2.421,35.579,0,0.424,0.423,255,255
60,19,0.425,4.421,36.368,0,4.158,36.684,0,0.411,0.397,255,255
61,19,0.285,3.421,35.842,0,3.684,35.895,0,0.268,0.158,255,255
62,19,0.232,4.895,34.789,0,4.842,35.000,0,0.217,0.232,255,255
63,19,0.127,2.526,35.632,0,2.421,35.579,0,0.118,0.127,255,255
64,19,0.053,4.842,35.000,0,4.842,35.000,0,0.000,0.000,0,0
65,20,2.073,2.105,27.474,0,2.421,25.737,0,1.765,1.951,255,255
66,21,0.053,2.105,35.211,0,2.105,35.263,0,0.053,0.053,255,255
67,22,0.201,2.211,8.474,0,2.316,8.632,0,0.190,0.175,255,255
68,23,0.254,2.211,52.684,0,2.211,52.895,0,0.211,0.217,255,255
69,24,1.481,2.789,15.842,0,2.263,15.947,0,0.537,1.377,255,255
70,24,0.254,2.263,15.737,0,2.263,15.947,0,0.211,0.241,255,255
71,24,0.232,2.474,16.000,0,2.263,15.947,0,0.217,0.217,255,255
72,25,0.316,2.316,53.474,0,2.632,53.474,0,0.316,0.316,255,255
73,26,1.069,2.368,48.632,0,2.789,48.474,0,0.450,0.952,255,255
74,27,1.980,5.421,10.947,0,3.947,10.895,0,1.475,1.795,255,255
75,27,1.398,4.579,9.684,0,3.579,10.316,0,1.183,1.287,255,255
76,27,1.100,3.316,11.474,0,3.158,10.526,0,0.960,1.062,255,255
77,27,0.806,3.579,10.316,0,3.947,10.895,0,0.686,0.706,255,255
78,27,0.706,2.474,10.474,0,3.158,10.526,0,0.686,0.689,255,255
79,27,0.508,3.158,10.526,0,3.579,10.316,0,0.471,0.349,255,255
80,27,0.158,3.947,11.053,0,3.947,10.895,0,0.158,0.158,255,255
81,28,0.793,2.579,45.526,0,2.632,46.211,0,0.686,0.732,255,255
82,28,0.644,3.211,46.263,0,2.632,46.211,0,0.581,0.592,255,255
83,28,0.127,2.526,46.263,0,2.632,46.211,0,0.118,0.111,255,255
84,29,0.074,2.579,12.316,0,2.632,12.368,0,0.074,0.074,255,255
85,30,0.201,2.632,29.947,0,2.789,29.842,0,0.190,0.197,255,255
86,31,0.053,2.684,29.526,0,2.737,29.526,0,0.053,0.053,255,255
87,32,0.902,2.842,49.842,0,3.526,49.316,0,0.863,0.853,255,255
88,33,0.815,2.947,12.579,0,3.421,12.579,0,0.474,0.684,255,255
89,34,0.688,3.000,34.263,0,3.526,33.947,0,0.614,0.647,255,255
90,34,0.614,4.053,34.053,0,3.526,33.947,0,0.537,0.583,255,255
91,34,0.053,3.526,33.895,0,3.526,33.947,0,0.053,0.053,255,255
92,35,0.180,3.105,3.632,0,3.263,3.684,0,0.166,0.161,255,255
93,36,1.717,4.789,21.895,0,3.421,22.737,0,1.607,1.625,255,255
94,36,0.920,3.105,21.947,0,3.421,22.737,0,0.850,0.836,255,255
95,36,0.180,3.368,22.895,0,3.421,22.737,0,0.166,0.164,255,255
96,37,1.748,4.316,30.737,0,3.526,29.421,0,1.534,1.656,255,255
97,37,0.991,3.526,28.474,0,3.526,29.421,0,0.947,0.982,255,255
98,37,0.815,3.105,30.000,0,3.526,29.421,0,0.716,0.743,255,255
99,38,0.465,3.158,7.789,0,3.579,7.895,0,0.434,0.453,255,255
100,38,0.434,3.526,8.263,0,3.579,7.895,0,0.372,0.432,255,255
101,38,0.180,3.737,7.842,0,3.579,7.895,0,0.166,0.180,255,255
102,40,0.942,4.263,18.263,0,3.579,17.789,0,0.832,0.876,255,255
103,40,0.868,4.316,17.474,0,3.579,17.789,0,0.802,0.788,255,255
104,40,0.508,3.158,17.579,0,3.579,17.789,0,0.471,0.484,255,255
105,41,0.149,3.158,27.158,0,3.263,27.263,0,0.149,0.149,255,255
106,42,2.100,4.474,19.737,0,6.421,19.684,0,1.948,1.867,255,255
107,42,1.512,6.421,19.684,0,7.737,19.737,0,1.317,1.341,255,255
108,42,1.271,4.053,18.737,0,3.632,19.789,0,1.134,1.121,255,255
109,42,1.183,3.316,21.526,0,3.421,20.474,0,1.058,1.104,255,255
110,42,1.074,8.947,19.526,0,7.895,19.579,0,1.054,1.056,255,255
111,42,1.017,8.158,20.684,0,7.632,19.947,0,0.906,0.949,255,255
112,42,0.951,3.632,19.895,0,4.474,19.737,0,0.857,0.787,255,255
113,42,0.933,8.368,18.842,0,7.895,19.579,0,0.876,0.892,255,255
114,42,0.793,6.789,20.421,0,7.474,20.158,0,0.733,0.744,255,255
115,42,0.762,4.579,19.105,0,4.474,19.737,0,0.640,0.687,255,255
116,42,0.675,7.474,20.789,0,7.474,20.158,0,0.632,0.666,255,255
117,42,0.666,3.421,20.474,0,3.632,19.895,0,0.616,0.539,255,255
118,42,0.614,3.421,19.263,0,3.632,19.789,0,0.567,0.555,255,255
119,42,0.412,6.316,20.053,0,6.421,19.684,0,0.383,0.403,255,255
120,42,0.276,7.474,20.158,0,7.632,19.947,0,0.263,0.149,255,255
