Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.000,0.184,5.482,0,1.049,5.613,0,0.875,0.937,255,255
1,0.998,1.049,5.613,0,1.889,5.272,0,0.906,0.916,255,255
1,0.741,1.180,6.715,0,1.207,6.007,0,0.709,0.715,255,255
1,0.707,1.784,6.321,0,1.207,6.007,0,0.657,0.663,255,255
1,0.640,1.285,4.616,0,0.918,5.089,0,0.598,0.604,255,255
1,0.579,0.918,5.089,0,1.049,5.613,0,0.541,0.485,255,255
1,0.459,1.049,5.613,0,1.207,6.007,0,0.424,0.343,255,255
1,0.413,0.682,4.774,0,0.918,5.089,0,0.393,0.322,255,255
1,0.349,0.918,4.538,0,0.682,4.774,0,0.334,0.335,255,255
1,0.338,2.098,5.508,0,1.889,5.272,0,0.316,0.319,255,255
1,0.175,0.551,4.669,0,0.682,4.774,0,0.168,0.153,255,255
1,0.164,1.993,5.167,0,1.889,5.272,0,0.148,0.146,255,255
2,0.079,0.498,8.131,0,0.577,8.131,0,0.079,0.079,255,255
3,0.887,1.889,21.456,0,1.154,21.193,0,0.780,0.828,255,255
3,0.633,0.708,20.721,0,1.180,20.774,0,0.475,0.580,255,255
3,0.498,1.469,21.561,0,1.154,21.193,0,0.484,0.447,255,255
3,0.446,1.154,21.193,0,1.180,20.774,0,0.420,0.326,255,255
3,0.338,1.416,20.564,0,1.180,20.774,0,0.316,0.309,255,255
3,0.327,0.892,21.351,0,1.154,21.193,0,0.306,0.300,255,255
4,0.026,0.761,13.954,0,0.761,13.980,0,0.026,0.026,255,255
5,0.127,0.866,8.131,0,0.944,8.052,0,0.111,0.115,255,255
6,0.026,0.866,11.541,0,0.892,11.541,0,0.026,0.026,255,255
7,1.011,1.495,16.970,0,0.997,16.289,0,0.845,0.965,255,255
7,0.500,1.023,15.843,0,0.997,16.289,0,0.447,0.483,255,255
7,0.227,0.892,16.472,0,0.997,16.289,0,0.211,0.239,255,255
8,0.205,1.075,7.056,0,1.259,7.056,0,0.184,0.184,255,255
9,0.175,1.390,0.341,0,1.521,0.446,0,0.168,0.172,255,255
10,0.432,1.574,17.574,0,1.731,17.207,0,0.400,0.412,255,255
10,0.116,1.705,17.102,0,1.731,17.207,0,0.108,0.079,255,255
10,0.116,1.836,17.233,0,1.731,17.207,0,0.108,0.083,255,255
11,3.046,5.062,19.672,0,2.702,18.938,0,2.472,2.875,255,255
11,0.922,1.915,19.226,0,2.702,18.938,0,0.838,0.888,255,255
11,0.609,2.230,18.439,0,2.675,18.833,0,0.595,0.582,255,255
11,0.354,2.833,18.544,0,2.675,18.833,0,0.329,0.282,255,255
11,0.116,2.675,18.833,0,2.702,18.938,0,0.108,0.083,255,255
12,0.869,2.020,23.633,0,2.570,23.213,0,0.692,0.818,255,255
13,1.236,2.675,11.908,0,3.646,11.305,0,1.143,1.139,255,255
13,0.917,3.279,10.413,0,3.672,11.121,0,0.810,0.816,255,255
13,0.686,2.203,12.407,0,2.623,12.039,0,0.558,0.617,255,255
13,0.598,4.092,11.672,0,3.646,11.305,0,0.578,0.571,255,255
13,0.594,4.223,11.226,0,3.672,11.121,0,0.561,0.588,255,255
13,0.553,2.177,11.882,0,2.675,11.908,0,0.499,0.523,255,255
13,0.546,2.623,12.039,0,2.649,12.538,0,0.499,0.483,255,255
13,0.275,2.990,12.748,0,2.833,12.538,0,0.262,0.247,255,255
13,0.227,3.095,10.518,0,3.279,10.413,0,0.211,0.200,255,255
13,0.227,3.226,10.230,0,3.279,10.413,0,0.191,0.178,255,255
13,0.194,3.646,11.305,0,3.672,11.121,0,0.185,0.131,255,255
13,0.190,2.990,12.459,0,2.833,12.538,0,0.176,0.166,255,255
13,0.184,2.649,12.538,0,2.833,12.538,0,0.184,0.105,255,255
13,0.153,2.518,12.590,0,2.649,12.538,0,0.141,0.149,255,255
13,0.153,2.623,12.039,0,2.675,11.908,0,0.141,0.052,255,255
13,0.142,3.095,10.256,0,3.226,10.230,0,0.134,0.132,255,255
13,0.063,3.252,10.177,0,3.226,10.230,0,0.059,0.026,255,255
14,0.734,3.489,8.656,0,4.092,8.341,0,0.680,0.646,255,255
14,0.727,2.938,7.344,0,2.964,7.974,0,0.630,0.706,255,255
14,0.627,4.144,9.075,0,3.593,8.892,0,0.581,0.594,255,255
14,0.618,3.200,7.475,0,2.964,7.974,0,0.551,0.557,255,255
14,0.592,2.230,7.869,0,2.702,8.000,0,0.490,0.568,255,255
14,0.585,2.990,8.446,0,3.489,8.656,0,0.541,0.475,255,255
14,0.561,2.649,8.866,0,2.990,8.446,0,0.541,0.533,255,255
14,0.546,3.121,9.233,0,3.489,8.839,0,0.538,0.532,255,255
14,0.483,2.256,8.052,0,2.702,8.000,0,0.449,0.473,255,255
14,0.391,4.380,8.131,0,4.092,8.341,0,0.357,0.366,255,255
14,0.374,2.911,8.105,0,2.990,8.446,0,0.350,0.292,255,255
14,0.343,4.380,8.472,0,4.092,8.341,0,0.317,0.309,255,255
14,0.284,3.541,9.154,0,3.593,8.892,0,0.267,0.284,255,255
14,0.253,2.702,8.000,0,2.911,8.105,0,0.235,0.165,255,255
14,0.205,3.489,8.656,0,3.489,8.839,0,0.184,0.142,255,255
14,0.168,2.911,8.105,0,2.964,7.974,0,0.141,0.079,255,255
14,0.127,3.489,8.839,0,3.593,8.892,0,0.117,0.037,255,255
15,0.205,2.308,5.902,0,2.387,5.744,0,0.176,0.189,255,255
17,0.127,2.361,16.420,0,2.413,16.525,0,0.117,0.135,255,255
18,0.037,2.518,21.010,0,2.544,20.984,0,0.037,0.037,255,255
19,1.133,5.115,16.734,0,4.144,16.551,0,0.988,1.089,255,255
19,0.808,4.144,16.551,0,4.643,16.026,0,0.724,0.727,255,255
19,0.799,3.252,16.210,0,3.856,16.682,0,0.766,0.770,255,255
19,0.754,4.092,17.338,0,3.856,16.682,0,0.697,0.701,255,255
19,0.550,4.957,16.446,0,4.643,16.026,0,0.525,0.528,255,255
19,0.343,3.856,16.682,0,4.144,16.551,0,0.317,0.291,255,255
19,0.332,4.748,15.738,0,4.643,16.026,0,0.307,0.325,255,255
20,0.958,3.646,4.905,0,4.275,4.223,0,0.928,0.895,255,255
20,0.363,3.305,4.852,0,3.646,4.905,0,0.345,0.354,255,255
20,0.347,4.302,3.908,0,4.275,4.223,0,0.316,0.344,255,255
20,0.205,4.459,4.275,0,4.275,4.223,0,0.191,0.191,255,255
20,0.138,3.725,5.010,0,3.646,4.905,0,0.131,0.087,255,255
21,0.026,3.934,15.816,0,3.934,15.843,0,0.026,0.026,255,255
22,0.037,4.485,15.187,0,4.511,15.161,0,0.037,0.037,255,255
23,1.579,4.538,24.420,0,5.770,25.023,0,1.372,1.480,255,255
24,0.037,4.643,12.433,0,4.669,12.407,0,0.037,0.037,255,255
25,0.026,4.669,21.613,0,4.695,21.613,0,0.026,0.026,255,255
26,0.915,4.957,13.666,0,5.193,14.374,0,0.747,0.789,255,255
26,0.437,5.430,14.636,0,5.193,14.374,0,0.353,0.413,255,255
26,0.338,5.220,13.849,0,4.957,13.666,0,0.320,0.325,255,255
26,0.205,5.246,14.557,0,5.193,14.374,0,0.191,0.195,255,255
26,0.090,4.984,13.587,0,4.957,13.666,0,0.083,0.094,255,255
