 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.605,0.446,25.600,0,0.997,25.626,0,0.551,0.567,255,255
2,2,0.037,0.551,1.652,0,0.577,1.626,0,0.037,0.037,255,255
3,3,1.592,4.538,2.780,0,5.902,2.544,0,1.384,1.503,255,255
4,3,1.332,2.649,1.705,0,3.698,2.387,0,1.251,1.202,255,255
5,3,1.111,3.489,1.049,0,2.649,1.705,0,1.065,1.071,255,255
6,3,1.024,5.587,1.154,0,6.243,1.784,0,0.909,0.954,255,255
7,3,0.965,7.475,0.944,0,7.108,1.757,0,0.892,0.949,255,255
8,3,0.902,5.902,2.544,0,6.400,1.993,0,0.743,0.786,255,255
9,3,0.899,2.597,2.413,0,2.177,1.784,0,0.757,0.854,255,255
10,3,0.891,1.967,3.410,0,1.967,2.649,0,0.761,0.822,255,255
11,3,0.883,3.698,2.675,0,4.538,2.780,0,0.846,0.768,255,255
12,3,0.856,3.095,3.174,0,3.698,2.675,0,0.783,0.764,255,255
13,3,0.856,1.679,0.551,0,2.098,1.233,0,0.801,0.792,255,255
14,3,0.841,1.233,1.993,0,2.020,1.967,0,0.787,0.744,255,255
15,3,0.839,1.390,1.574,0,2.098,1.784,0,0.739,0.787,255,255
16,3,0.786,3.698,2.387,0,4.039,1.757,0,0.716,0.706,255,255
17,3,0.782,2.623,0.892,0,2.230,1.495,0,0.720,0.738,255,255
18,3,0.763,1.967,2.649,0,2.020,1.967,0,0.684,0.666,255,255
19,3,0.681,6.531,1.259,0,6.243,1.784,0,0.599,0.630,255,255
20,3,0.661,4.538,2.780,0,4.984,3.226,0,0.631,0.599,255,255
21,3,0.612,6.400,1.993,0,6.925,1.784,0,0.565,0.487,255,255
22,3,0.579,5.220,3.593,0,4.984,3.226,0,0.437,0.550,255,255
23,3,0.539,2.780,3.567,0,3.095,3.174,0,0.504,0.357,255,255
24,3,0.513,2.413,0.866,0,2.098,1.233,0,0.484,0.482,255,255
25,3,0.500,5.770,2.990,0,5.902,2.544,0,0.465,0.414,255,255
26,3,0.492,2.570,3.200,0,2.780,3.567,0,0.423,0.482,255,255
27,3,0.489,6.872,1.338,0,6.925,1.784,0,0.449,0.474,255,255
28,3,0.489,7.554,1.652,0,7.108,1.757,0,0.458,0.463,255,255
29,3,0.480,4.433,1.548,0,4.039,1.757,0,0.446,0.440,255,255
30,3,0.469,5.980,3.357,0,5.770,2.990,0,0.423,0.440,255,255
31,3,0.460,5.482,3.331,0,5.770,2.990,0,0.447,0.446,255,255
32,3,0.450,2.833,2.833,0,3.095,3.174,0,0.430,0.419,255,255
33,3,0.404,2.256,1.679,0,2.649,1.705,0,0.394,0.318,255,255
34,3,0.349,2.203,2.885,0,1.967,2.649,0,0.334,0.335,255,255
35,3,0.338,3.856,1.495,0,4.039,1.757,0,0.320,0.316,255,255
36,3,0.321,1.259,1.705,0,1.233,1.993,0,0.290,0.306,255,255
37,3,0.317,2.098,1.233,0,2.230,1.495,0,0.293,0.224,255,255
38,3,0.310,3.698,2.387,0,3.698,2.675,0,0.289,0.247,255,255
39,3,0.275,6.243,1.784,0,6.400,1.993,0,0.262,0.191,255,255
40,3,0.232,5.193,3.279,0,4.984,3.226,0,0.216,0.227,255,255
41,3,0.216,2.020,1.967,0,2.098,1.784,0,0.200,0.153,255,255
42,3,0.216,2.230,1.495,0,2.256,1.679,0,0.185,0.143,255,255
43,3,0.194,6.925,1.784,0,7.108,1.757,0,0.185,0.105,255,255
44,3,0.179,2.623,3.620,0,2.780,3.567,0,0.166,0.167,255,255
45,3,0.138,2.177,1.784,0,2.256,1.679,0,0.131,0.074,255,255
46,3,0.090,1.180,2.046,0,1.233,1.993,0,0.074,0.082,255,255
47,3,0.090,2.833,3.620,0,2.780,3.567,0,0.074,0.082,255,255
48,3,0.079,2.098,1.784,0,2.177,1.784,0,0.079,0.026,255,255
49,4,0.116,1.180,7.554,0,1.207,7.449,0,0.108,0.106,255,255
50,5,0.153,1.469,25.469,0,1.600,25.416,0,0.141,0.145,255,255
51,6,0.090,1.652,23.502,0,1.731,23.528,0,0.083,0.083,255,255
52,7,0.264,1.862,14.662,0,2.072,14.636,0,0.211,0.249,255,255
53,8,0.026,2.098,4.013,0,2.098,4.039,0,0.026,0.026,255,255
54,9,1.991,5.928,6.689,0,4.564,7.869,0,1.804,1.879,255,255
55,9,1.387,2.938,9.285,0,3.436,8.105,0,1.281,1.288,255,255
