 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.074,0.158,18.158,0,0.211,18.211,0,0.074,0.074,255,255
2,2,0.201,0.211,20.789,0,0.316,20.947,0,0.190,0.175,255,255
3,3,0.644,0.316,10.105,0,0.526,9.579,0,0.567,0.598,255,255
4,4,0.338,0.474,16.789,0,0.421,17.105,0,0.320,0.275,255,255
5,4,0.254,0.526,17.316,0,0.421,17.105,0,0.235,0.161,255,255
6,4,0.127,0.316,17.158,0,0.421,17.105,0,0.118,0.111,255,255
7,5,0.338,0.368,3.737,0,0.684,3.789,0,0.320,0.318,255,255
8,6,0.604,0.421,23.526,0,0.632,23.053,0,0.518,0.607,255,255
9,8,0.211,0.526,1.474,0,0.737,1.474,0,0.211,0.211,255,255
10,9,2.922,0.579,8.368,0,1.105,7.263,0,1.224,2.638,255,255
11,9,0.815,1.421,6.579,0,1.105,7.263,0,0.754,0.721,255,255
12,9,0.614,0.579,7.474,0,1.105,7.263,0,0.567,0.560,255,255
13,10,0.105,0.579,19.474,0,0.684,19.474,0,0.105,0.105,255,255
14,11,1.314,1.053,4.316,0,1.947,3.526,0,1.193,1.055,255,255
15,11,1.042,2.684,2.842,0,1.947,3.526,0,1.006,0.811,255,255
16,11,0.836,1.368,3.211,0,1.947,3.526,0,0.659,0.780,255,255
17,11,0.517,2.105,3.947,0,1.947,3.526,0,0.450,0.479,255,255
18,11,0.486,0.632,4.474,0,1.053,4.316,0,0.450,0.456,255,255
19,11,0.456,1.263,4.684,0,1.053,4.316,0,0.424,0.412,255,255
20,12,0.105,0.632,26.053,0,0.737,26.053,0,0.105,0.105,255,255
21,13,1.289,0.737,16.316,0,1.895,16.000,0,1.200,1.249,255,255
22,14,0.127,0.737,50.947,0,0.842,50.895,0,0.118,0.133,255,255
23,15,0.350,0.737,51.737,0,1.000,51.947,0,0.337,0.345,255,255
24,17,0.232,0.842,48.632,0,0.895,48.842,0,0.217,0.212,255,255
25,19,0.254,0.947,50.211,0,1.053,50.000,0,0.235,0.226,255,255
26,20,0.276,1.000,2.737,0,1.211,2.579,0,0.263,0.262,255,255
27,21,0.583,1.632,9.789,0,1.368,10.263,0,0.542,0.556,255,255
28,21,0.412,1.737,10.263,0,1.368,10.263,0,0.368,0.403,255,255
29,21,0.254,1.158,10.368,0,1.368,10.263,0,0.235,0.248,255,255
30,22,0.074,1.211,15.158,0,1.263,15.211,0,0.074,0.074,255,255
31,23,0.307,1.263,20.684,0,1.526,20.789,0,0.283,0.269,255,255
32,25,0.127,1.263,30.579,0,1.316,30.684,0,0.118,0.133,255,255
33,27,0.053,1.526,53.000,0,1.579,53.000,0,0.053,0.053,255,255
34,28,0.074,1.579,27.368,0,1.632,27.421,0,0.074,0.074,255,255
35,29,2.485,2.789,47.368,0,2.105,49.421,0,2.164,2.260,255,255
36,29,0.583,1.632,49.684,0,2.105,49.421,0,0.542,0.533,255,255
37,29,0.329,2.368,49.579,0,2.105,49.421,0,0.307,0.234,255,255
38,31,0.403,1.737,25.474,0,2.000,25.737,0,0.372,0.371,255,255
39,32,0.434,1.737,30.842,0,2.053,31.053,0,0.380,0.392,255,255
40,33,1.481,2.158,40.053,0,2.211,39.158,0,0.896,1.346,255,255
41,33,0.539,1.737,39.316,0,2.211,39.158,0,0.499,0.499,255,255
42,33,0.201,2.316,39.000,0,2.211,39.158,0,0.190,0.186,255,255
43,34,0.443,1.737,48.211,0,1.789,48.632,0,0.424,0.429,255,255
44,35,0.105,1.895,12.211,0,2.000,12.211,0,0.105,0.105,255,255
45,37,0.762,1.947,35.263,0,2.474,35.684,0,0.674,0.714,255,255
46,38,0.105,1.947,43.316,0,2.053,43.316,0,0.105,0.105,255,255
47,39,0.877,2.474,5.632,0,2.263,6.421,0,0.817,0.842,255,255
48,39,0.530,2.526,6.842,0,2.263,6.421,0,0.497,0.472,255,255
49,39,0.307,2.000,6.421,0,2.263,6.421,0,0.263,0.272,255,255
50,40,0.127,2.000,13.684,0,2.105,13.737,0,0.118,0.133,255,255
51,41,1.162,2.842,22.368,0,3.895,22.421,0,1.054,0.915,255,255
52,41,0.837,2.421,23.263,0,2.842,22.632,0,0.759,0.645,255,255
53,41,0.719,3.105,23.211,0,2.842,22.632,0,0.636,0.659,255,255
54,41,0.601,3.947,23.000,0,3.895,22.421,0,0.581,0.592,255,255
55,41,0.486,2.000,23.211,0,2.421,23.263,0,0.424,0.460,255,255
56,41,0.307,2.842,22.368,0,2.842,22.632,0,0.263,0.180,255,255
57,41,0.276,2.316,23.526,0,2.421,23.263,0,0.283,0.053,255,255
58,41,0.254,2.316,23.737,0,2.316,23.526,0,0.211,0.263,255,255
59,41,0.211,2.105,23.526,0,2.316,23.526,0,0.211,0.211,255,255
60,41,0.201,2.579,23.368,0,2.421,23.263,0,0.190,0.186,255,255
61,41,0.180,4.053,22.474,0,3.895,22.421,0,0.166,0.164,255,255
62,41,0.127,2.737,22.421,0,2.842,22.368,0,0.118,0.133,255,255
63,42,0.254,2.000,44.263,0,2.158,44.105,0,0.223,0.231,255,255
64,43,0.434,2.053,9.053,0,2.263,9.263,0,0.298,0.345,255,255
65,44,0.285,2.053,31.947,0,2.105,32.211,0,0.268,0.275,255,255
66,45,0.486,2.105,4.368,0,2.526,4.526,0,0.450,0.445,255,255
67,45,0.298,2.737,4.316,0,2.526,4.526,0,0.298,0.298,255,255
68,45,0.201,2.684,4.632,0,2.526,4.526,0,0.190,0.186,255,255
69,46,0.434,2.158,12.947,0,2.526,12.789,0,0.401,0.384,255,255
70,47,0.824,3.105,17.842,0,2.368,17.842,0,0.737,0.706,255,255
71,47,0.350,2.158,18.105,0,2.368,17.842,0,0.337,0.345,255,255
72,47,0.232,2.316,17.632,0,2.368,17.842,0,0.217,0.158,255,255
73,48,0.232,2.263,37.526,0,2.474,37.579,0,0.217,0.215,255,255
74,49,0.973,2.579,52.158,0,2.895,51.316,0,0.899,0.710,255,255
75,49,0.837,2.526,50.632,0,2.895,51.316,0,0.777,0.778,255,255
76,49,0.815,3.000,52.737,0,2.579,52.158,0,0.716,0.740,255,255
77,49,0.552,2.263,52.579,0,2.579,52.158,0,0.526,0.513,255,255
78,49,0.390,3.263,51.368,0,2.895,51.316,0,0.372,0.329,255,255
79,50,0.223,2.579,14.789,0,2.421,14.947,0,0.223,0.223,255,255
80,50,0.127,2.316,15.000,0,2.421,14.947,0,0.118,0.133,255,255
81,50,0.127,2.474,15.053,0,2.421,14.947,0,0.118,0.127,255,255
82,52,1.617,2.526,2.211,0,3.895,1.789,0,1.432,1.522,255,255
83,53,1.434,2.526,18.789,0,3.895,18.737,0,1.369,1.398,255,255
