 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.053,0.211,28.053,0,0.211,28.105,0,0.053,0.053,255,255
2,2,0.105,0.263,7.684,0,0.263,7.789,0,0.105,0.105,255,255
3,3,0.908,0.526,3.263,0,0.684,2.421,0,0.857,0.802,255,255
4,3,0.679,1.000,1.895,0,0.684,2.421,0,0.614,0.649,255,255
5,3,0.644,1.263,2.263,0,0.684,2.421,0,0.600,0.661,255,255
6,3,0.403,0.368,2.211,0,0.684,2.421,0,0.380,0.348,255,255
7,4,0.074,0.474,5.789,0,0.526,5.737,0,0.074,0.074,255,255
8,5,0.053,0.474,24.895,0,0.474,24.947,0,0.053,0.053,255,255
9,6,2.222,1.000,38.947,0,1.053,37.368,0,1.580,1.921,255,255
10,6,1.490,1.000,38.947,0,1.211,40.263,0,1.333,1.203,255,255
11,6,1.398,0.789,36.211,0,1.053,37.368,0,1.187,1.286,255,255
12,6,0.908,1.053,41.105,0,1.211,40.263,0,0.857,0.856,255,255
13,6,0.784,0.474,37.789,0,1.053,37.368,0,0.716,0.719,255,255
14,6,0.548,0.474,39.000,0,1.000,38.947,0,0.529,0.560,255,255
15,6,0.508,1.632,40.053,0,1.211,40.263,0,0.471,0.401,255,255
16,7,0.465,0.526,28.474,0,0.632,28.895,0,0.434,0.447,255,255
17,8,0.053,0.632,43.263,0,0.632,43.316,0,0.053,0.053,255,255
18,9,0.232,0.684,4.421,0,0.737,4.211,0,0.217,0.189,255,255
19,9,0.149,0.789,4.158,0,0.737,4.211,0,0.074,0.000,0,0
20,9,0.127,0.684,4.105,0,0.737,4.211,0,0.118,0.111,255,255
21,10,0.539,1.211,35.632,0,0.737,35.474,0,0.499,0.500,255,255
22,10,0.201,0.842,35.316,0,0.737,35.474,0,0.190,0.208,255,255
23,10,0.180,0.684,35.632,0,0.737,35.474,0,0.166,0.161,255,255
24,11,0.180,0.684,43.579,0,0.842,43.632,0,0.166,0.167,255,255
25,12,0.053,0.737,30.211,0,0.789,30.211,0,0.053,0.053,255,255
26,13,0.728,0.947,52.579,0,1.632,52.474,0,0.692,0.703,255,255
27,13,0.477,2.000,53.105,0,1.684,52.789,0,0.447,0.435,255,255
28,13,0.381,1.632,52.474,0,1.684,52.789,0,0.320,0.289,255,255
29,13,0.276,1.789,52.263,0,1.632,52.474,0,0.263,0.197,255,255
30,13,0.254,1.579,53.000,0,1.684,52.789,0,0.235,0.248,255,255
31,14,0.338,1.053,30.579,0,1.368,30.632,0,0.320,0.318,255,255
32,15,0.285,1.158,8.000,0,1.421,7.947,0,0.268,0.297,255,255
33,16,0.053,1.211,4.053,0,1.263,4.053,0,0.053,0.053,255,255
34,17,0.657,1.211,36.158,0,1.579,35.684,0,0.600,0.640,255,255
35,18,2.699,1.263,22.000,0,2.684,20.632,0,1.973,2.568,255,255
36,20,1.017,1.474,31.842,0,1.895,31.105,0,0.849,0.979,255,255
37,20,0.898,3.105,31.053,0,2.316,30.895,0,0.805,0.860,255,255
38,20,0.614,1.368,31.316,0,1.895,31.105,0,0.567,0.611,255,255
39,20,0.499,2.526,31.421,0,2.158,31.105,0,0.485,0.457,255,255
40,20,0.465,2.421,30.474,0,2.316,30.895,0,0.434,0.461,255,255
41,20,0.276,2.158,31.105,0,2.316,30.895,0,0.263,0.201,255,255
42,20,0.263,1.895,31.105,0,2.158,31.105,0,0.263,0.053,255,255
43,21,0.753,1.421,8.368,0,1.947,8.737,0,0.642,0.643,255,255
44,22,0.201,1.421,41.895,0,1.526,42.053,0,0.190,0.212,255,255
45,25,1.937,1.579,1.684,0,2.737,1.105,0,1.295,1.788,255,255
46,26,0.350,1.632,14.789,0,1.842,15.053,0,0.337,0.356,255,255
47,27,0.986,1.632,50.211,0,2.000,50.895,0,0.777,0.949,255,255
48,28,0.053,1.684,23.947,0,1.684,24.000,0,0.053,0.053,255,255
49,29,0.053,1.684,30.316,0,1.737,30.316,0,0.053,0.053,255,255
50,30,0.762,2.579,19.368,0,2.211,18.789,0,0.686,0.728,255,255
51,30,0.583,2.263,18.000,0,1.895,18.368,0,0.521,0.520,255,255
52,30,0.552,1.895,18.368,0,2.211,18.789,0,0.526,0.413,255,255
53,30,0.465,1.737,18.105,0,1.895,18.368,0,0.307,0.434,255,255
54,30,0.359,2.526,18.684,0,2.211,18.789,0,0.333,0.331,255,255
55,31,0.425,2.158,40.579,0,1.842,40.842,0,0.411,0.404,255,255
56,31,0.201,1.947,41.000,0,1.842,40.842,0,0.190,0.186,255,255
57,31,0.053,1.789,40.842,0,1.842,40.842,0,0.053,0.053,255,255
58,32,1.604,6.211,40.789,0,4.737,41.000,0,1.489,1.511,255,255
59,32,1.183,4.421,41.947,0,4.737,41.000,0,0.999,1.069,255,255
60,32,1.122,3.579,42.368,0,4.421,41.947,0,0.942,0.855,255,255
61,32,1.109,2.158,42.579,0,3.158,42.842,0,1.034,0.916,255,255
62,32,0.806,3.105,43.158,0,3.474,43.737,0,0.686,0.699,255,255
63,32,0.706,3.632,41.684,0,3.579,42.368,0,0.686,0.718,255,255
64,32,0.679,2.263,43.000,0,2.737,43.421,0,0.634,0.641,255,255
65,32,0.648,3.158,42.842,0,3.579,42.368,0,0.634,0.574,255,255
66,32,0.614,4.211,41.105,0,4.737,41.000,0,0.537,0.574,255,255
67,32,0.477,2.737,43.421,0,3.105,43.158,0,0.453,0.372,255,255
68,32,0.465,2.263,43.895,0,2.684,43.789,0,0.434,0.430,255,255
69,32,0.412,1.789,42.474,0,2.158,42.579,0,0.383,0.374,255,255
70,32,0.412,3.368,44.105,0,3.474,43.737,0,0.383,0.376,255,255
