 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.074,0.158,52.737,0,0.211,52.684,0,0.074,0.074,255,255
2,2,0.254,0.263,19.316,0,0.368,19.105,0,0.235,0.227,255,255
3,2,0.254,0.579,19.211,0,0.368,19.105,0,0.235,0.241,255,255
4,2,0.105,0.368,19.000,0,0.368,19.105,0,0.105,0.105,255,255
5,4,0.074,0.263,45.526,0,0.316,45.579,0,0.074,0.074,255,255
6,5,0.105,0.368,35.895,0,0.474,35.895,0,0.105,0.105,255,255
7,6,0.771,0.421,2.263,0,1.105,2.368,0,0.692,0.714,255,255
8,7,0.127,0.526,11.053,0,0.632,11.105,0,0.118,0.111,255,255
9,8,0.158,0.684,20.737,0,0.684,20.895,0,0.158,0.158,255,255
10,9,0.359,0.737,21.632,0,0.895,21.368,0,0.307,0.340,255,255
11,10,0.263,0.842,0.737,0,0.842,1.000,0,0.263,0.263,255,255
12,12,0.740,1.842,37.000,0,1.263,36.579,0,0.716,0.721,255,255
13,12,0.657,0.895,37.053,0,1.263,36.579,0,0.600,0.615,255,255
14,12,0.635,1.684,36.211,0,1.263,36.579,0,0.559,0.603,255,255
15,12,0.254,1.053,36.474,0,1.263,36.579,0,0.235,0.226,255,255
16,13,0.211,0.947,34.316,0,1.158,34.316,0,0.211,0.211,255,255
17,14,0.276,0.947,50.053,0,1.158,50.211,0,0.263,0.241,255,255
18,16,0.846,1.053,22.474,0,1.789,22.737,0,0.782,0.810,255,255
19,17,0.561,1.105,35.263,0,1.474,35.579,0,0.485,0.524,255,255
20,18,1.358,1.263,40.474,0,2.105,39.526,0,1.268,1.281,255,255
21,18,0.859,1.947,38.158,0,1.526,38.842,0,0.803,0.863,255,255
22,18,0.806,1.526,38.842,0,2.158,39.263,0,0.759,0.618,255,255
23,18,0.434,1.263,39.211,0,1.316,38.842,0,0.372,0.432,255,255
24,18,0.381,2.368,39.737,0,2.105,39.526,0,0.337,0.346,255,255
25,18,0.359,2.316,39.000,0,2.158,39.263,0,0.307,0.321,255,255
26,18,0.329,2.105,39.526,0,2.158,39.263,0,0.268,0.186,255,255
27,18,0.211,1.105,38.842,0,1.316,38.842,0,0.211,0.211,255,255
28,18,0.211,1.316,38.842,0,1.526,38.842,0,0.211,0.053,255,255
29,19,0.074,1.316,5.947,0,1.368,6.000,0,0.074,0.074,255,255
30,20,1.862,3.526,28.368,0,2.895,26.842,0,1.652,1.778,255,255
31,20,1.289,1.263,26.053,0,2.421,26.158,0,1.163,1.045,255,255
32,20,1.271,3.000,25.158,0,2.421,26.158,0,1.155,1.177,255,255
33,20,0.942,3.684,27.211,0,2.895,26.842,0,0.871,0.869,255,255
34,20,0.880,2.421,26.158,0,2.895,26.842,0,0.832,0.706,255,255
35,20,0.868,1.421,25.368,0,1.263,26.053,0,0.702,0.791,255,255
36,20,0.180,1.316,26.211,0,1.263,26.053,0,0.166,0.180,255,255
37,21,0.127,1.421,13.158,0,1.474,13.263,0,0.118,0.111,255,255
38,22,0.539,1.526,8.947,0,2.000,9.105,0,0.499,0.488,255,255
39,23,1.122,1.526,31.421,0,2.158,32.053,0,0.893,1.053,255,255
40,23,1.069,3.895,32.105,0,3.000,32.526,0,0.989,1.008,255,255
41,23,1.038,2.158,32.053,0,3.000,32.526,0,0.966,0.864,255,255
42,23,0.732,1.632,32.474,0,2.158,32.053,0,0.674,0.669,255,255
