 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.920,0.368,48.053,0,0.632,48.684,0,0.684,0.820,255,255
2,3,0.053,0.579,13.789,0,0.579,13.842,0,0.053,0.053,255,255
3,4,0.074,0.632,36.579,0,0.684,36.632,0,0.074,0.074,255,255
4,5,1.376,0.789,40.000,0,1.789,39.737,0,1.034,1.267,255,255
5,7,1.556,0.895,52.895,0,2.105,52.842,0,1.212,1.433,255,255
6,7,1.109,2.474,51.947,0,2.105,52.842,0,0.968,1.054,255,255
7,7,0.381,2.421,52.789,0,2.105,52.842,0,0.320,0.357,255,255
8,8,3.387,15.421,35.842,0,16.842,33.316,0,2.899,3.097,255,255
9,8,2.756,12.368,39.000,0,14.526,37.632,0,2.555,2.502,255,255
10,8,2.730,13.316,30.684,0,12.316,32.895,0,2.426,2.552,255,255
11,8,2.721,12.368,39.000,0,13.368,41.263,0,2.474,2.465,255,255
12,8,2.475,5.000,39.105,0,4.368,37.053,0,2.148,2.326,255,255
13,8,2.191,14.526,37.632,0,15.421,35.842,0,2.001,1.943,255,255
14,8,2.156,13.895,41.368,0,15.421,42.263,0,1.769,1.933,255,255
15,8,2.126,10.368,37.263,0,10.842,35.421,0,1.902,1.856,255,255
16,8,2.069,5.053,44.263,0,5.368,42.368,0,1.921,1.940,255,255
17,8,1.968,9.632,39.526,0,11.316,38.842,0,1.818,1.794,255,255
18,8,1.955,5.895,35.895,0,6.316,34.105,0,1.838,1.710,255,255
19,8,1.938,18.316,32.737,0,16.842,33.316,0,1.583,1.831,255,255
20,8,1.911,7.684,35.895,0,5.895,35.895,0,1.789,1.870,255,255
21,8,1.871,7.000,38.789,0,8.632,39.368,0,1.731,1.648,255,255
22,8,1.853,12.368,42.579,0,13.368,41.263,0,1.653,1.723,255,255
23,8,1.853,3.158,39.947,0,4.632,40.789,0,1.697,1.710,255,255
24,8,1.749,8.895,37.684,0,7.263,37.579,0,1.635,1.660,255,255
25,8,1.726,2.474,37.842,0,3.842,37.263,0,1.486,1.645,255,255
26,8,1.626,6.211,41.000,0,7.684,40.737,0,1.497,1.510,255,255
27,8,1.622,10.842,35.211,0,11.789,34.105,0,1.456,1.314,255,255
28,8,1.621,3.474,38.632,0,4.000,37.316,0,1.417,1.555,255,255
29,8,1.574,2.316,38.684,0,2.842,39.842,0,1.272,1.473,255,255
30,8,1.503,2.000,40.842,0,2.842,39.842,0,1.307,1.290,255,255
31,8,1.450,18.421,33.632,0,17.421,34.105,0,1.107,1.347,255,255
32,8,1.423,5.316,36.632,0,6.263,37.632,0,1.378,1.232,255,255
33,8,1.403,9.421,40.842,0,9.632,39.526,0,1.333,1.196,255,255
34,8,1.372,15.842,33.211,0,16.842,33.316,0,1.006,1.278,255,255
35,8,1.349,3.368,36.211,0,4.368,37.053,0,1.307,1.291,255,255
36,8,1.345,10.737,37.737,0,11.316,38.842,0,1.248,1.092,255,255
37,8,1.301,6.632,38.526,0,7.263,37.579,0,1.139,1.050,255,255
38,8,1.292,8.263,40.421,0,8.632,39.368,0,1.115,1.131,255,255
39,8,1.271,12.421,33.947,0,12.316,32.895,0,1.058,1.188,255,255
40,8,1.218,4.263,42.368,0,5.263,41.947,0,1.085,1.134,255,255
41,8,1.196,16.895,35.053,0,17.421,34.105,0,1.084,1.109,255,255
42,8,1.196,6.263,37.632,0,7.263,37.579,0,1.001,1.073,255,255
43,8,1.187,4.053,41.579,0,5.000,41.000,0,1.110,1.129,255,255
44,8,1.180,13.842,42.526,0,13.895,41.368,0,1.159,1.191,255,255
45,8,1.178,6.211,41.000,0,7.105,41.684,0,1.126,1.015,255,255
46,8,1.174,5.632,39.737,0,5.263,40.684,0,1.016,1.107,255,255
47,8,1.156,4.632,39.789,0,5.263,40.684,0,1.095,1.073,255,255
48,8,1.156,15.053,37.842,0,15.947,38.474,0,1.095,1.084,255,255
49,8,1.153,2.053,41.526,0,2.789,42.053,0,0.906,0.926,255,255
50,8,1.147,4.632,35.316,0,5.474,36.053,0,1.119,1.093,255,255
51,8,1.122,10.421,42.105,0,9.526,41.632,0,1.012,1.036,255,255
52,8,1.122,16.842,33.316,0,17.421,34.105,0,0.979,0.868,255,255
53,8,1.118,11.316,38.842,0,12.368,39.000,0,1.064,1.020,255,255
54,8,1.113,2.947,36.737,0,3.842,37.263,0,1.038,1.054,255,255
55,8,1.095,6.684,36.632,0,5.895,35.895,0,1.080,1.052,255,255
56,8,1.087,1.000,41.053,0,2.000,40.842,0,1.022,1.051,255,255
57,8,1.082,4.158,35.789,0,4.737,36.632,0,1.022,1.023,255,255
58,8,1.069,3.421,42.632,0,2.789,42.053,0,0.857,1.008,255,255
59,8,1.025,5.263,41.000,0,6.211,41.000,0,0.947,0.860,255,255
60,8,1.007,1.263,42.053,0,2.053,41.526,0,0.949,0.949,255,255
61,8,1.007,11.474,36.105,0,10.842,35.421,0,0.931,0.943,255,255
