 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.365,0.052,22.820,0,0.315,22.610,0,0.336,0.329,255,255
2,2,0.026,0.157,22.898,0,0.184,22.898,0,0.026,0.026,255,255
3,3,0.321,0.813,0.551,0,1.102,0.577,0,0.290,0.306,255,255
4,4,1.464,0.813,14.269,0,2.098,14.505,0,1.307,1.360,255,255
5,4,1.039,2.544,14.426,0,3.305,13.902,0,0.924,0.964,255,255
6,4,0.763,4.485,13.692,0,3.777,13.561,0,0.720,0.727,255,255
7,4,0.703,2.990,14.452,0,3.305,13.902,0,0.634,0.670,255,255
8,4,0.686,2.203,15.082,0,2.098,14.505,0,0.587,0.614,255,255
9,4,0.629,3.121,13.193,0,3.384,13.692,0,0.563,0.580,255,255
10,4,0.592,4.118,13.141,0,3.777,13.561,0,0.541,0.568,255,255
11,4,0.478,2.098,14.505,0,2.544,14.426,0,0.453,0.400,255,255
12,4,0.448,3.384,13.692,0,3.777,13.561,0,0.415,0.350,255,255
13,4,0.275,2.754,14.584,0,2.544,14.426,0,0.262,0.248,255,255
14,4,0.273,3.305,13.902,0,3.384,13.692,0,0.224,0.184,255,255
15,5,0.037,1.311,2.833,0,1.338,2.807,0,0.037,0.037,255,255
16,6,0.026,1.390,13.482,0,1.416,13.482,0,0.026,0.026,255,255
17,7,1.198,2.151,8.393,0,2.256,7.239,0,1.159,1.112,255,255
18,7,0.603,2.230,8.892,0,1.889,8.446,0,0.561,0.577,255,255
19,7,0.550,2.151,8.393,0,2.466,8.761,0,0.484,0.474,255,255
20,7,0.535,1.679,8.000,0,2.046,8.367,0,0.519,0.502,255,255
21,7,0.460,1.574,8.131,0,1.889,8.446,0,0.445,0.436,255,255
22,7,0.290,2.492,7.108,0,2.256,7.239,0,0.270,0.279,255,255
23,7,0.269,2.020,7.161,0,2.256,7.239,0,0.249,0.243,255,255
24,7,0.205,1.889,8.446,0,2.046,8.367,0,0.176,0.124,255,255
25,7,0.164,2.597,8.839,0,2.466,8.761,0,0.153,0.157,255,255
26,7,0.116,2.046,8.367,0,2.151,8.393,0,0.108,0.052,255,255
27,7,0.100,2.413,8.839,0,2.466,8.761,0,0.095,0.098,255,255
