 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.026,0.184,0.315,0,0.184,0.341,0,0.026,0.026,255,255
2,2,0.063,0.184,18.964,0,0.210,19.016,0,0.059,0.056,255,255
3,3,0.116,0.341,19.777,0,0.262,19.725,0,0.095,0.108,255,255
4,3,0.063,0.289,19.777,0,0.262,19.725,0,0.059,0.063,255,255
5,3,0.026,0.236,19.725,0,0.262,19.725,0,0.026,0.026,255,255
6,4,1.682,1.862,11.567,0,1.757,9.993,0,1.577,1.619,255,255
7,4,1.625,0.262,10.151,0,1.757,9.993,0,1.503,1.570,255,255
8,4,1.494,3.252,9.889,0,2.020,9.941,0,1.234,1.386,255,255
9,4,1.369,0.970,9.023,0,1.889,9.889,0,1.262,1.253,255,255
10,4,0.794,2.597,10.466,0,2.020,9.941,0,0.780,0.767,255,255
11,4,0.201,0.918,8.866,0,0.970,9.023,0,0.166,0.184,255,255
12,4,0.190,1.757,9.993,0,1.889,9.889,0,0.168,0.100,255,255
13,4,0.153,1.889,9.889,0,2.020,9.941,0,0.141,0.066,255,255
14,4,0.105,0.866,9.023,0,0.970,9.023,0,0.105,0.105,255,255
15,5,0.216,0.393,19.331,0,0.420,19.148,0,0.185,0.197,255,255
16,5,0.210,0.525,18.807,0,0.525,19.016,0,0.210,0.210,255,255
17,5,0.205,0.420,19.148,0,0.525,19.016,0,0.168,0.119,255,255
18,5,0.168,0.262,19.121,0,0.420,19.148,0,0.160,0.174,255,255
19,5,0.127,0.630,19.016,0,0.525,19.016,0,0.105,0.131,255,255
20,6,0.074,0.393,11.489,0,0.446,11.436,0,0.074,0.074,255,255
21,7,0.179,0.393,17.574,0,0.446,17.731,0,0.166,0.182,255,255
22,8,0.570,0.393,18.702,0,0.630,18.230,0,0.528,0.550,255,255
23,10,0.052,0.630,24.446,0,0.630,24.498,0,0.052,0.052,255,255
24,11,0.063,0.866,18.361,0,0.918,18.387,0,0.059,0.056,255,255
25,12,0.063,0.997,19.174,0,1.049,19.200,0,0.059,0.056,255,255
26,13,0.052,1.338,18.597,0,1.390,18.597,0,0.052,0.052,255,255
27,14,0.127,1.390,15.554,0,1.469,15.580,0,0.083,0.101,255,255
28,15,0.063,1.548,15.869,0,1.600,15.895,0,0.059,0.056,255,255
29,16,0.290,1.889,15.869,0,1.967,16.105,0,0.249,0.234,255,255
30,16,0.232,1.679,15.869,0,1.889,15.869,0,0.210,0.227,255,255
31,16,0.138,1.993,15.790,0,1.889,15.869,0,0.131,0.138,255,255
32,16,0.137,2.098,16.131,0,1.967,16.105,0,0.134,0.137,255,255
33,16,0.122,1.967,16.210,0,1.967,16.105,0,0.105,0.125,255,255
34,16,0.105,1.862,16.105,0,1.967,16.105,0,0.105,0.105,255,255
35,17,2.020,1.915,21.193,0,2.885,19.698,0,1.782,1.896,255,255
36,17,1.561,2.623,19.095,0,3.174,17.784,0,1.422,1.425,255,255
37,17,0.946,1.731,19.226,0,2.623,19.095,0,0.901,0.913,255,255
38,17,0.884,3.541,20.249,0,2.885,19.698,0,0.856,0.850,255,255
39,17,0.749,2.623,19.095,0,2.885,19.698,0,0.658,0.652,255,255
40,17,0.216,3.357,17.757,0,3.174,17.784,0,0.185,0.204,255,255
41,17,0.142,3.148,17.652,0,3.174,17.784,0,0.134,0.134,255,255
42,18,0.037,1.836,26.754,0,1.862,26.728,0,0.037,0.037,255,255
43,19,0.037,1.889,8.551,0,1.915,8.525,0,0.037,0.037,255,255
44,21,0.026,2.046,5.377,0,2.046,5.403,0,0.026,0.026,255,255
45,22,0.164,2.098,6.190,0,2.125,6.321,0,0.134,0.136,255,255
46,23,0.570,2.125,14.557,0,2.570,14.820,0,0.517,0.550,255,255
47,23,0.253,2.675,15.030,0,2.570,14.820,0,0.235,0.246,255,255
48,23,0.111,2.649,14.741,0,2.570,14.820,0,0.111,0.111,255,255
49,24,0.026,2.151,24.551,0,2.177,24.551,0,0.026,0.026,255,255
50,25,0.205,2.387,16.184,0,2.334,16.367,0,0.191,0.164,255,255
51,25,0.179,2.177,16.420,0,2.334,16.367,0,0.166,0.167,255,255
52,25,0.138,2.413,16.472,0,2.334,16.367,0,0.131,0.087,255,255
53,26,0.400,2.570,24.367,0,2.282,24.472,0,0.307,0.354,255,255
54,26,0.079,2.282,24.551,0,2.282,24.472,0,0.079,0.079,255,255
55,26,0.063,2.308,24.420,0,2.282,24.472,0,0.059,0.063,255,255
56,27,0.090,2.334,5.298,0,2.413,5.325,0,0.083,0.080,255,255
57,28,0.052,2.334,13.666,0,2.387,13.666,0,0.052,0.052,255,255
58,29,0.037,2.361,7.869,0,2.387,7.895,0,0.037,0.037,255,255
59,30,0.179,2.413,15.869,0,2.570,15.816,0,0.166,0.162,255,255
60,31,0.074,2.492,13.482,0,2.544,13.430,0,0.074,0.074,255,255
61,32,0.063,2.518,5.849,0,2.570,5.823,0,0.059,0.056,255,255
62,33,0.522,2.990,6.269,0,2.675,6.584,0,0.445,0.487,255,255
63,33,0.406,2.518,6.925,0,2.675,6.584,0,0.376,0.382,255,255
64,33,0.251,2.807,6.741,0,2.675,6.584,0,0.205,0.238,255,255
65,33,0.100,2.623,6.505,0,2.675,6.584,0,0.095,0.087,255,255
66,34,0.374,2.990,5.482,0,2.649,5.508,0,0.342,0.351,255,255
67,34,0.280,2.570,5.298,0,2.649,5.508,0,0.224,0.270,255,255
68,34,0.063,2.597,5.534,0,2.649,5.508,0,0.059,0.056,255,255
69,35,0.329,2.964,23.292,0,2.780,23.554,0,0.320,0.153,255,255
70,35,0.255,2.754,23.344,0,2.780,23.554,0,0.211,0.237,255,255
71,35,0.247,2.964,23.580,0,2.780,23.554,0,0.185,0.229,255,255
72,35,0.216,2.649,23.423,0,2.675,23.607,0,0.185,0.191,255,255
73,35,0.185,2.807,23.738,0,2.675,23.607,0,0.185,0.185,255,255
74,35,0.127,2.859,23.633,0,2.780,23.554,0,0.111,0.113,255,255
75,35,0.127,2.675,23.607,0,2.780,23.554,0,0.117,0.037,255,255
76,35,0.100,2.623,23.685,0,2.675,23.607,0,0.095,0.100,255,255
77,36,0.052,2.649,6.243,0,2.702,6.243,0,0.052,0.052,255,255
78,37,0.681,3.279,13.508,0,2.885,13.089,0,0.575,0.631,255,255
79,37,0.284,2.649,13.167,0,2.885,13.089,0,0.249,0.265,255,255
80,37,0.111,2.807,13.010,0,2.885,13.089,0,0.111,0.111,255,255
81,38,0.026,2.702,5.770,0,2.702,5.797,0,0.026,0.026,255,255
82,39,0.026,2.859,6.636,0,2.859,6.662,0,0.026,0.026,255,255
83,40,0.026,2.859,23.948,0,2.885,23.948,0,0.026,0.026,255,255
84,41,0.037,2.911,15.056,0,2.938,15.082,0,0.037,0.037,255,255
85,42,0.127,3.016,22.741,0,2.938,22.820,0,0.111,0.113,255,255
86,42,0.100,2.990,22.898,0,2.938,22.820,0,0.095,0.104,255,255
87,42,0.090,2.911,22.741,0,2.938,22.820,0,0.083,0.080,255,255
88,43,0.216,3.121,16.656,0,3.148,16.787,0,0.134,0.200,255,255
89,43,0.210,2.938,16.787,0,3.148,16.787,0,0.210,0.210,255,255
90,43,0.172,3.305,16.734,0,3.148,16.787,0,0.166,0.177,255,255
91,43,0.063,3.174,16.839,0,3.148,16.787,0,0.059,0.063,255,255
92,44,0.063,2.938,23.187,0,2.990,23.161,0,0.059,0.066,255,255
93,46,0.127,3.095,22.295,0,3.148,22.190,0,0.117,0.135,255,255
94,47,0.837,3.305,6.348,0,3.567,5.770,0,0.634,0.804,255,255
95,47,0.432,3.567,5.770,0,3.882,5.561,0,0.378,0.352,255,255
96,47,0.138,3.987,5.639,0,3.882,5.561,0,0.131,0.124,255,255
97,47,0.116,3.462,5.797,0,3.567,5.770,0,0.108,0.110,255,255
98,47,0.100,3.961,5.508,0,3.882,5.561,0,0.095,0.100,255,255
99,48,3.168,7.056,8.052,0,8.918,10.151,0,2.806,2.975,255,255
100,48,2.090,10.990,10.964,0,9.233,11.043,0,1.759,1.988,255,255
101,48,1.969,8.315,12.826,0,9.207,11.226,0,1.832,1.826,255,255
102,48,1.933,4.223,7.528,0,5.849,8.105,0,1.726,1.825,255,255
103,48,1.855,7.187,14.138,0,8.315,12.826,0,1.730,1.699,255,255
104,48,1.483,4.852,15.895,0,6.216,15.711,0,1.376,1.348,255,255
105,48,1.467,5.272,14.636,0,6.216,15.711,0,1.431,1.364,255,255
106,48,1.330,7.056,16.420,0,7.685,17.390,0,1.157,1.197,255,255
107,48,1.318,7.056,16.420,0,7.948,15.607,0,1.207,1.217,255,255
108,48,1.312,9.154,18.518,0,8.184,17.836,0,1.186,1.257,255,255
109,48,1.296,5.666,14.426,0,6.610,15.239,0,1.246,1.255,255,255
110,48,1.292,8.236,11.777,0,9.154,10.911,0,1.262,1.261,255,255
111,48,1.242,6.715,18.046,0,7.685,17.390,0,1.171,1.107,255,255
112,48,1.238,6.610,15.239,0,7.030,14.190,0,1.130,1.111,255,255
113,48,1.202,6.164,6.479,0,6.977,7.344,0,1.188,1.175,255,255
114,48,1.176,5.666,17.049,0,6.505,16.236,0,1.169,1.162,255,255
115,48,1.174,9.915,9.679,0,9.023,10.308,0,1.092,1.141,255,255
116,48,1.149,6.033,13.823,0,7.030,14.190,0,1.062,1.035,255,255
117,48,1.115,9.207,11.226,0,9.862,12.039,0,1.045,1.020,255,255
118,48,1.110,7.895,9.941,0,8.918,10.151,0,1.044,1.119,255,255
119,48,1.109,8.892,17.207,0,8.000,17.731,0,1.035,1.086,255,255
120,48,1.075,9.075,18.203,0,8.184,17.836,0,0.964,1.014,255,255
121,48,1.015,6.164,8.944,0,6.689,8.184,0,0.924,0.899,255,255
122,48,0.995,7.764,14.872,0,7.187,14.138,0,0.934,0.972,255,255
123,48,0.978,4.538,15.134,0,4.852,15.895,0,0.823,0.951,255,255
124,48,0.970,4.039,16.026,0,4.852,15.895,0,0.824,0.832,255,255
125,48,0.872,5.849,8.105,0,6.689,8.184,0,0.843,0.825,255,255
126,48,0.837,9.075,12.852,0,8.315,12.826,0,0.761,0.788,255,255
127,48,0.792,3.436,15.921,0,4.039,16.026,0,0.612,0.681,255,255
128,48,0.766,7.187,18.597,0,7.790,18.203,0,0.720,0.744,255,255
129,48,0.763,6.977,7.344,0,7.056,8.052,0,0.713,0.669,255,255
130,48,0.736,7.869,18.885,0,7.790,18.203,0,0.686,0.719,255,255
131,48,0.720,5.325,8.577,0,5.849,8.105,0,0.706,0.594,255,255
132,48,0.714,8.079,11.252,0,8.577,10.859,0,0.635,0.678,255,255
133,48,0.607,6.400,15.738,0,6.610,15.239,0,0.541,0.544,255,255
134,48,0.601,3.541,16.236,0,4.039,16.026,0,0.541,0.568,255,255
135,48,0.601,7.685,17.390,0,8.000,17.731,0,0.464,0.483,255,255
136,48,0.587,8.577,10.859,0,9.023,10.518,0,0.561,0.487,255,255
137,48,0.583,6.164,16.761,0,6.557,16.341,0,0.575,0.569,255,255
138,48,0.574,9.731,12.538,0,9.862,12.039,0,0.515,0.538,255,255
139,48,0.572,5.770,9.338,0,6.164,8.944,0,0.556,0.565,255,255
140,48,0.564,6.400,15.738,0,6.505,16.236,0,0.509,0.493,255,255
141,48,0.562,8.026,10.885,0,8.577,10.859,0,0.551,0.568,255,255
142,48,0.559,7.790,18.203,0,8.000,17.731,0,0.517,0.451,255,255
143,48,0.531,6.557,16.341,0,7.056,16.420,0,0.505,0.438,255,255
144,48,0.491,4.879,14.872,0,5.272,14.636,0,0.459,0.493,255,255
145,48,0.463,9.023,10.518,0,9.154,10.911,0,0.415,0.379,255,255
146,48,0.437,6.689,8.184,0,7.056,8.052,0,0.390,0.331,255,255
147,48,0.422,6.925,7.003,0,6.977,7.344,0,0.345,0.396,255,255
148,48,0.369,6.557,18.282,0,6.715,18.046,0,0.284,0.339,255,255
149,48,0.365,10.151,12.170,0,9.862,12.039,0,0.317,0.337,255,255
150,48,0.336,5.062,8.525,0,5.325,8.577,0,0.267,0.309,255,255
151,48,0.336,6.164,9.259,0,6.164,8.944,0,0.315,0.342,255,255
152,48,0.326,5.298,14.321,0,5.272,14.636,0,0.316,0.289,255,255
153,48,0.317,5.849,14.033,0,6.033,13.823,0,0.279,0.283,255,255
154,48,0.312,5.193,8.813,0,5.325,8.577,0,0.270,0.284,255,255
155,48,0.253,5.928,13.613,0,6.033,13.823,0,0.235,0.224,255,255
156,48,0.232,9.023,10.308,0,9.023,10.518,0,0.210,0.168,255,255
157,48,0.219,8.000,17.731,0,8.184,17.836,0,0.211,0.074,255,255
158,48,0.216,8.918,10.151,0,9.023,10.308,0,0.189,0.134,255,255
159,48,0.194,6.216,15.711,0,6.400,15.738,0,0.185,0.164,255,255
160,48,0.194,9.207,11.226,0,9.233,11.043,0,0.185,0.131,255,255
161,48,0.190,8.052,15.475,0,7.948,15.607,0,0.168,0.173,255,255
162,48,0.179,6.557,18.098,0,6.715,18.046,0,0.166,0.165,255,255
163,48,0.179,7.030,14.190,0,7.187,14.138,0,0.166,0.152,255,255
164,48,0.179,6.505,16.236,0,6.557,16.341,0,0.117,0.090,255,255
165,48,0.164,9.154,10.911,0,9.233,11.043,0,0.153,0.080,255,255
166,48,0.153,3.305,15.869,0,3.436,15.921,0,0.141,0.135,255,255
167,48,0.090,3.462,16.000,0,3.436,15.921,0,0.083,0.090,255,255
168,48,0.090,7.974,15.685,0,7.948,15.607,0,0.083,0.090,255,255
169,49,0.594,3.803,8.262,0,3.882,7.738,0,0.530,0.583,255,255
170,49,0.349,3.593,7.344,0,3.830,7.580,0,0.334,0.271,255,255
171,49,0.258,3.830,7.292,0,3.593,7.344,0,0.242,0.239,255,255
172,49,0.227,3.489,7.161,0,3.593,7.344,0,0.211,0.135,255,255
173,49,0.216,3.620,7.030,0,3.489,7.161,0,0.185,0.191,255,255
174,49,0.201,3.830,7.580,0,3.882,7.738,0,0.166,0.131,255,255
175,49,0.179,3.331,7.213,0,3.489,7.161,0,0.166,0.178,255,255
176,49,0.105,3.830,7.685,0,3.830,7.580,0,0.105,0.105,255,255
177,49,0.052,3.830,7.738,0,3.882,7.738,0,0.052,0.052,255,255
178,50,0.506,3.384,13.377,0,3.489,13.770,0,0.407,0.476,255,255
179,50,0.194,3.462,13.954,0,3.489,13.770,0,0.185,0.185,255,255
180,50,0.164,3.384,13.666,0,3.489,13.770,0,0.148,0.138,255,255
181,50,0.105,3.593,13.770,0,3.489,13.770,0,0.105,0.105,255,255
182,51,0.179,3.410,6.584,0,3.489,6.715,0,0.153,0.162,255,255
183,52,0.052,3.489,15.554,0,3.489,15.607,0,0.052,0.052,255,255
184,53,0.332,3.803,14.662,0,3.698,14.374,0,0.307,0.311,255,255
185,53,0.264,4.039,14.216,0,3.856,14.374,0,0.242,0.206,255,255
186,53,0.190,3.541,14.295,0,3.698,14.374,0,0.176,0.165,255,255
187,53,0.157,3.698,14.374,0,3.856,14.374,0,0.157,0.052,255,255
188,53,0.148,3.961,14.479,0,3.856,14.374,0,0.148,0.148,255,255
189,54,0.138,3.567,4.984,0,3.672,4.905,0,0.131,0.138,255,255
190,55,0.026,3.620,4.774,0,3.620,4.800,0,0.026,0.026,255,255
191,56,0.116,3.646,22.374,0,3.751,22.348,0,0.108,0.121,255,255
