 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,1.079,0.970,22.164,0,1.128,21.193,0,0.983,0.976,255,255
2,1,0.878,0.157,22.007,0,0.970,22.164,0,0.828,0.840,255,255
3,1,0.650,0.970,22.164,0,1.338,22.610,0,0.578,0.549,255,255
4,1,0.526,1.810,22.689,0,1.338,22.610,0,0.479,0.492,255,255
5,1,0.485,1.889,21.298,0,1.548,21.062,0,0.415,0.457,255,255
6,1,0.474,1.128,21.193,0,1.548,21.062,0,0.440,0.394,255,255
7,1,0.301,1.180,22.846,0,1.338,22.610,0,0.284,0.279,255,255
8,1,0.127,1.023,21.246,0,1.128,21.193,0,0.117,0.123,255,255
9,1,0.074,1.600,21.010,0,1.548,21.062,0,0.074,0.074,255,255
10,2,0.179,0.210,8.944,0,0.367,8.997,0,0.166,0.160,255,255
11,3,0.874,0.577,25.023,0,0.997,25.600,0,0.714,0.823,255,255
12,4,0.205,0.630,18.518,0,0.813,18.466,0,0.191,0.205,255,255
13,4,0.168,0.866,18.597,0,0.813,18.466,0,0.141,0.158,255,255
14,4,0.153,0.866,18.230,0,0.866,18.361,0,0.131,0.147,255,255
15,4,0.142,0.997,18.334,0,0.866,18.361,0,0.134,0.132,255,255
16,4,0.127,0.813,18.466,0,0.866,18.361,0,0.117,0.052,255,255
17,5,0.336,0.708,11.148,0,0.970,11.252,0,0.283,0.322,255,255
18,5,0.063,0.997,11.305,0,0.970,11.252,0,0.059,0.063,255,255
19,5,0.063,1.023,11.226,0,0.970,11.252,0,0.059,0.063,255,255
20,6,0.153,0.761,20.433,0,0.892,20.380,0,0.141,0.141,255,255
21,7,1.730,2.807,8.000,0,1.652,8.944,0,1.491,1.616,255,255
22,7,1.050,0.839,8.446,0,1.652,8.944,0,0.954,1.015,255,255
23,7,0.734,2.151,9.075,0,2.466,9.679,0,0.680,0.656,255,255
24,7,0.670,1.443,10.072,0,1.993,10.046,0,0.551,0.621,255,255
25,7,0.655,2.518,10.649,0,2.203,10.125,0,0.612,0.651,255,255
26,7,0.638,1.679,9.626,0,1.889,9.075,0,0.589,0.587,255,255
27,7,0.601,2.990,8.761,0,3.515,8.630,0,0.541,0.498,255,255
28,7,0.598,2.885,9.390,0,2.439,9.023,0,0.578,0.578,255,255
