 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.400,0.105,22.400,0,0.341,22.610,0,0.316,0.375,255,255
2,2,0.402,0.315,7.030,0,0.577,7.292,0,0.371,0.382,255,255
3,3,0.321,0.341,13.797,0,0.420,13.508,0,0.299,0.310,255,255
4,4,0.127,0.367,22.374,0,0.367,22.479,0,0.105,0.109,255,255
5,5,0.026,0.420,24.236,0,0.446,24.236,0,0.026,0.026,255,255
6,6,0.956,0.682,22.111,0,1.443,21.639,0,0.895,0.887,255,255
7,6,0.768,1.154,20.826,0,1.705,21.351,0,0.761,0.747,255,255
8,6,0.757,2.570,21.770,0,2.020,21.272,0,0.743,0.736,255,255
9,6,0.698,1.862,22.164,0,1.443,21.639,0,0.672,0.664,255,255
10,6,0.573,2.151,20.354,0,2.203,20.905,0,0.553,0.560,255,255
11,6,0.443,2.020,21.272,0,2.203,20.905,0,0.411,0.333,255,255
12,6,0.397,1.443,21.639,0,1.705,21.351,0,0.390,0.297,255,255
13,6,0.380,2.518,20.800,0,2.203,20.905,0,0.332,0.350,255,255
14,6,0.347,1.705,21.351,0,2.020,21.272,0,0.324,0.309,255,255
15,6,0.301,0.892,22.190,0,0.682,22.111,0,0.224,0.239,255,255
16,6,0.090,0.603,22.138,0,0.682,22.111,0,0.083,0.083,255,255
17,7,0.389,0.630,25.416,0,0.997,25.469,0,0.371,0.371,255,255
18,8,0.100,0.839,22.610,0,0.892,22.689,0,0.095,0.098,255,255
19,9,0.247,0.970,1.652,0,1.207,1.679,0,0.238,0.238,255,255
20,10,2.124,5.115,20.459,0,6.741,19.331,0,1.979,1.970,255,255
21,10,2.035,7.213,24.210,0,7.843,22.479,0,1.842,1.915,255,255
22,10,1.992,8.210,20.800,0,9.731,21.587,0,1.713,1.812,255,255
23,10,1.968,7.659,15.213,0,9.075,16.210,0,1.732,1.788,255,255
24,10,1.843,5.456,18.020,0,6.689,19.121,0,1.653,1.709,255,255
25,10,1.826,4.564,23.974,0,5.561,25.233,0,1.606,1.682,255,255
26,10,1.812,7.030,19.331,0,7.921,20.774,0,1.696,1.681,255,255
27,10,1.609,4.800,21.849,0,4.879,20.511,0,1.340,1.540,255,255
28,10,1.548,8.813,23.292,0,7.843,22.479,0,1.266,1.443,255,255
29,10,1.495,11.121,18.623,0,10.308,17.521,0,1.369,1.424,255,255
30,10,1.431,3.541,22.164,0,3.777,23.475,0,1.333,1.316,255,255
31,10,1.321,1.810,24.813,0,2.833,24.131,0,1.229,1.251,255,255
32,10,1.264,6.767,16.787,0,7.738,17.443,0,1.171,1.209,255,255
33,10,1.237,6.689,21.351,0,7.816,21.089,0,1.158,1.129,255,255
34,10,1.216,5.010,22.977,0,4.066,23.580,0,1.121,1.193,255,255
35,10,1.213,2.728,22.636,0,3.593,23.475,0,1.206,1.192,255,255
36,10,1.208,7.843,17.338,0,8.866,17.075,0,1.056,1.142,255,255
37,10,1.196,5.875,21.272,0,5.010,20.511,0,1.152,1.150,255,255
38,10,1.192,9.075,20.066,0,8.210,20.800,0,1.135,1.155,255,255
39,10,1.109,3.252,20.433,0,4.144,20.275,0,0.906,1.063,255,255
40,10,1.066,7.397,18.675,0,7.895,17.862,0,0.954,0.944,255,255
41,10,1.024,7.921,20.774,0,8.367,19.934,0,0.950,0.935,255,255
42,10,0.984,2.334,23.239,0,3.069,23.843,0,0.950,0.956,255,255
43,10,0.980,8.551,22.033,0,7.843,21.430,0,0.930,0.948,255,255
