 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.738,0.708,11.252,0,0.813,11.882,0,0.638,0.681,255,255
2,1,0.557,0.131,12.197,0,0.656,12.223,0,0.525,0.530,255,255
3,1,0.352,0.787,12.223,0,0.813,11.882,0,0.342,0.262,255,255
4,1,0.323,0.446,11.987,0,0.656,12.223,0,0.316,0.265,255,255
5,1,0.221,0.997,12.197,0,0.787,12.223,0,0.211,0.216,255,255
6,1,0.190,0.892,11.725,0,0.813,11.882,0,0.176,0.134,255,255
7,1,0.131,0.656,12.223,0,0.787,12.223,0,0.131,0.105,255,255
8,2,0.253,0.157,18.098,0,0.367,18.203,0,0.235,0.226,255,255
9,3,0.063,0.236,16.918,0,0.289,16.944,0,0.059,0.056,255,255
10,4,0.967,0.393,16.184,0,1.154,16.367,0,0.783,0.934,255,255
11,4,0.745,1.784,16.918,0,1.180,16.577,0,0.693,0.686,255,255
12,4,0.732,0.997,17.233,0,1.180,16.577,0,0.681,0.695,255,255
13,4,0.559,1.364,15.895,0,1.154,16.367,0,0.517,0.489,255,255
14,4,0.242,1.154,16.367,0,1.180,16.577,0,0.211,0.199,255,255
15,5,0.138,0.446,1.128,0,0.551,1.049,0,0.131,0.131,255,255
16,6,0.644,0.997,22.531,0,0.498,22.216,0,0.589,0.605,255,255
17,6,0.452,0.525,22.636,0,0.498,22.216,0,0.420,0.443,255,255
18,6,0.074,0.446,22.164,0,0.498,22.216,0,0.074,0.074,255,255
19,7,0.275,0.708,3.961,0,0.525,3.777,0,0.260,0.205,255,255
20,7,0.116,0.551,3.672,0,0.525,3.777,0,0.108,0.079,255,255
21,7,0.063,0.472,3.803,0,0.525,3.777,0,0.059,0.056,255,255
22,8,0.443,0.630,5.010,0,0.787,5.351,0,0.376,0.397,255,255
23,9,0.052,0.682,2.518,0,0.734,2.518,0,0.052,0.052,255,255
24,10,0.269,0.708,14.741,0,0.944,14.820,0,0.249,0.246,255,255
25,11,0.601,0.813,23.213,0,1.023,23.711,0,0.541,0.574,255,255
26,11,0.500,1.469,23.685,0,1.023,23.711,0,0.447,0.477,255,255
27,11,0.232,0.970,23.921,0,1.023,23.711,0,0.216,0.229,255,255
28,12,1.102,1.128,10.439,0,1.889,10.964,0,0.924,0.861,255,255
29,12,0.775,2.649,11.646,0,2.098,11.252,0,0.677,0.706,255,255
30,12,0.706,2.072,10.990,0,2.675,10.885,0,0.612,0.534,255,255
31,12,0.610,1.075,9.889,0,1.128,10.439,0,0.553,0.586,255,255
32,12,0.580,1.548,10.754,0,1.128,10.439,0,0.525,0.558,255,255
33,12,0.516,1.233,10.911,0,1.128,10.439,0,0.484,0.494,255,255
34,12,0.332,0.839,10.544,0,1.128,10.439,0,0.307,0.318,255,255
35,12,0.327,1.731,11.226,0,1.889,10.964,0,0.306,0.198,255,255
36,12,0.289,2.072,10.990,0,2.098,11.252,0,0.264,0.168,255,255
37,12,0.280,2.570,11.069,0,2.675,10.885,0,0.211,0.256,255,255
38,12,0.258,1.784,11.462,0,1.731,11.226,0,0.242,0.253,255,255
39,12,0.258,2.072,10.754,0,2.072,10.990,0,0.236,0.251,255,255
40,12,0.232,2.885,10.885,0,2.675,10.885,0,0.210,0.224,255,255
41,12,0.201,1.941,11.357,0,2.098,11.252,0,0.189,0.177,255,255
42,12,0.194,1.889,10.964,0,2.072,10.990,0,0.185,0.158,255,255
43,12,0.142,1.600,11.252,0,1.731,11.226,0,0.134,0.134,255,255
44,13,0.821,1.102,19.882,0,1.416,19.252,0,0.704,0.789,255,255
45,13,0.797,1.731,19.882,0,1.416,19.252,0,0.704,0.751,255,255
46,13,0.712,1.416,19.252,0,1.757,18.728,0,0.626,0.609,255,255
47,13,0.511,1.652,18.282,0,1.757,18.728,0,0.458,0.490,255,255
48,13,0.491,2.151,18.964,0,1.757,18.728,0,0.459,0.447,255,255
49,14,0.037,1.233,26.230,0,1.259,26.256,0,0.037,0.037,255,255
50,15,0.856,2.439,5.062,0,1.889,4.931,0,0.566,0.713,255,255
51,15,0.701,1.889,4.931,0,2.230,4.433,0,0.604,0.643,255,255
52,15,0.638,1.941,4.013,0,2.230,4.433,0,0.509,0.597,255,255
53,15,0.548,2.597,4.721,0,2.230,4.433,0,0.467,0.511,255,255
54,15,0.426,1.495,4.957,0,1.889,4.931,0,0.394,0.402,255,255
55,16,0.026,1.495,8.970,0,1.521,8.970,0,0.026,0.026,255,255
56,17,0.179,1.495,12.957,0,1.548,12.800,0,0.166,0.165,255,255
57,18,0.074,1.548,23.266,0,1.600,23.213,0,0.074,0.074,255,255
58,19,0.358,1.836,25.075,0,1.731,24.761,0,0.332,0.339,255,255
