 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.037,0.079,13.770,0,0.105,13.797,0,0.037,0.037,255,255
2,2,0.164,0.079,20.538,0,0.210,20.459,0,0.153,0.169,255,255
3,3,0.026,0.105,19.148,0,0.131,19.148,0,0.026,0.026,255,255
4,4,0.026,0.210,19.357,0,0.210,19.384,0,0.026,0.026,255,255
5,5,0.052,0.236,0.157,0,0.289,0.157,0,0.052,0.052,255,255
6,6,0.647,0.341,8.131,0,0.944,8.184,0,0.606,0.618,255,255
7,6,0.395,1.285,8.052,0,0.944,8.184,0,0.365,0.381,255,255
8,6,0.280,1.049,8.420,0,0.944,8.184,0,0.258,0.256,255,255
9,7,0.157,0.393,10.334,0,0.551,10.334,0,0.157,0.157,255,255
10,8,0.894,0.420,14.610,0,1.259,14.531,0,0.843,0.859,255,255
11,8,0.555,1.679,14.243,0,1.259,14.531,0,0.509,0.519,255,255
12,8,0.375,1.469,14.820,0,1.259,14.531,0,0.357,0.347,255,255
13,9,0.179,0.472,18.072,0,0.577,18.177,0,0.148,0.156,255,255
14,10,0.090,0.551,5.797,0,0.630,5.823,0,0.083,0.083,255,255
15,11,0.349,0.551,18.754,0,0.813,18.544,0,0.336,0.329,255,255
16,12,0.026,0.577,23.370,0,0.603,23.370,0,0.026,0.026,255,255
17,13,0.037,0.603,24.472,0,0.630,24.446,0,0.037,0.037,255,255
18,14,1.147,2.125,0.315,0,1.075,0.498,0,1.065,1.068,255,255
19,14,0.655,0.630,0.105,0,1.075,0.498,0,0.595,0.619,255,255
20,14,0.347,0.997,0.813,0,1.075,0.498,0,0.324,0.301,255,255
21,15,1.123,0.708,23.659,0,1.652,23.266,0,1.023,1.017,255,255
22,15,0.906,1.652,23.266,0,2.334,23.607,0,0.762,0.792,255,255
23,15,0.725,2.203,24.761,0,2.308,24.079,0,0.690,0.699,255,255
24,15,0.697,2.780,23.633,0,2.990,24.184,0,0.589,0.609,255,255
25,15,0.664,1.311,22.374,0,1.364,22.951,0,0.579,0.573,255,255
26,15,0.505,2.308,24.079,0,2.334,23.607,0,0.473,0.451,255,255
27,15,0.476,3.148,23.370,0,2.780,23.633,0,0.451,0.440,255,255
28,15,0.457,2.334,23.607,0,2.780,23.633,0,0.447,0.371,255,255
29,15,0.450,1.364,22.951,0,1.652,23.266,0,0.427,0.371,255,255
30,15,0.431,0.944,22.925,0,1.364,22.951,0,0.420,0.367,255,255
31,15,0.363,0.970,22.374,0,1.311,22.374,0,0.341,0.345,255,255
32,15,0.327,2.885,24.446,0,2.990,24.184,0,0.283,0.300,255,255
33,15,0.306,0.734,23.082,0,0.944,22.925,0,0.262,0.283,255,255
34,15,0.258,0.656,23.895,0,0.708,23.659,0,0.242,0.227,255,255
35,15,0.221,2.518,24.105,0,2.308,24.079,0,0.211,0.221,255,255
36,15,0.148,3.121,24.236,0,2.990,24.184,0,0.141,0.142,255,255
37,15,0.142,0.970,22.793,0,0.944,22.925,0,0.134,0.137,255,255
38,15,0.142,1.443,22.348,0,1.311,22.374,0,0.134,0.136,255,255
39,15,0.138,0.630,23.554,0,0.708,23.659,0,0.131,0.120,255,255
40,15,0.100,2.911,24.131,0,2.990,24.184,0,0.095,0.087,255,255
41,16,0.710,0.708,3.069,0,1.364,3.043,0,0.656,0.628,255,255
42,16,0.487,1.993,3.069,0,1.652,2.754,0,0.464,0.459,255,255
43,16,0.454,1.364,3.043,0,1.652,2.754,0,0.408,0.361,255,255
44,16,0.306,1.757,2.492,0,1.652,2.754,0,0.283,0.305,255,255
45,16,0.164,1.469,3.148,0,1.364,3.043,0,0.148,0.146,255,255
46,16,0.063,0.682,3.121,0,0.708,3.069,0,0.059,0.063,255,255
47,16,0.026,0.708,3.043,0,0.708,3.069,0,0.026,0.026,255,255
48,17,0.981,0.734,20.669,0,1.023,21.351,0,0.740,0.863,255,255
49,17,0.356,1.023,21.692,0,1.023,21.351,0,0.341,0.347,255,255
50,17,0.321,1.311,21.377,0,1.023,21.351,0,0.290,0.327,255,255
51,17,0.227,1.128,21.167,0,1.023,21.351,0,0.211,0.217,255,255
52,17,0.138,0.682,20.590,0,0.734,20.669,0,0.095,0.124,255,255
53,17,0.105,0.839,20.669,0,0.734,20.669,0,0.105,0.105,255,255
54,18,1.376,0.708,5.587,0,1.338,4.774,0,1.028,1.288,255,255
