 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.111,0.079,15.843,0,0.157,15.921,0,0.111,0.111,255,255
2,2,0.052,0.105,2.597,0,0.157,2.597,0,0.052,0.052,255,255
3,3,0.502,0.184,5.377,0,0.498,5.036,0,0.464,0.483,255,255
4,4,0.417,0.262,22.872,0,0.446,23.213,0,0.387,0.383,255,255
5,5,0.100,0.446,11.541,0,0.525,11.593,0,0.095,0.087,255,255
6,6,0.111,0.498,20.748,0,0.577,20.669,0,0.111,0.111,255,255
7,7,0.290,0.498,26.466,0,0.734,26.334,0,0.270,0.266,255,255
8,8,0.511,0.813,10.282,0,0.918,10.728,0,0.458,0.480,255,255
9,8,0.253,0.551,10.597,0,0.761,10.702,0,0.235,0.224,255,255
10,8,0.175,0.630,10.807,0,0.761,10.702,0,0.168,0.131,255,255
11,8,0.168,0.761,10.702,0,0.918,10.728,0,0.160,0.132,255,255
12,8,0.100,0.997,10.780,0,0.918,10.728,0,0.095,0.093,255,255
13,9,0.063,0.577,2.649,0,0.630,2.675,0,0.059,0.066,255,255
14,10,0.168,0.603,4.616,0,0.761,4.643,0,0.160,0.158,255,255
15,11,0.275,0.656,21.875,0,0.813,21.666,0,0.262,0.270,255,255
16,12,0.751,0.682,25.075,0,1.207,25.548,0,0.706,0.714,255,255
17,13,0.332,0.761,3.226,0,1.049,3.279,0,0.293,0.331,255,255
18,14,0.026,0.761,13.220,0,0.787,13.220,0,0.026,0.026,255,255
19,15,0.734,0.787,11.593,0,1.390,11.279,0,0.680,0.700,255,255
20,16,0.168,0.866,9.993,0,1.023,9.967,0,0.160,0.161,255,255
21,18,0.332,0.918,24.289,0,1.180,24.367,0,0.274,0.297,255,255
22,19,0.052,0.944,6.085,0,0.997,6.085,0,0.052,0.052,255,255
23,20,0.037,1.075,0.420,0,1.102,0.446,0,0.037,0.037,255,255
24,21,0.185,1.102,22.610,0,1.233,22.479,0,0.185,0.185,255,255
25,22,0.317,1.180,14.557,0,1.259,14.820,0,0.274,0.297,255,255
26,23,0.148,1.233,21.849,0,1.338,21.954,0,0.148,0.148,255,255
27,24,0.232,1.311,20.511,0,1.495,20.590,0,0.200,0.212,255,255
28,25,0.585,1.469,26.151,0,1.967,26.151,0,0.498,0.466,255,255
29,25,0.443,1.757,25.862,0,1.967,26.151,0,0.357,0.415,255,255
30,25,0.400,2.334,26.230,0,1.967,26.151,0,0.376,0.378,255,255
31,25,0.212,1.600,26.334,0,1.443,26.203,0,0.205,0.153,255,255
32,25,0.153,1.311,26.256,0,1.443,26.203,0,0.141,0.149,255,255
33,25,0.100,1.521,26.072,0,1.469,26.151,0,0.095,0.104,255,255
34,25,0.063,1.443,26.203,0,1.469,26.151,0,0.059,0.037,255,255
35,26,0.845,1.390,0.656,0,2.046,1.075,0,0.779,0.788,255,255
36,27,0.105,1.390,14.531,0,1.495,14.531,0,0.105,0.105,255,255
37,28,0.275,1.705,3.305,0,1.548,3.515,0,0.262,0.269,255,255
38,28,0.148,1.652,3.620,0,1.548,3.515,0,0.148,0.148,255,255
39,28,0.052,1.495,3.515,0,1.548,3.515,0,0.052,0.052,255,255
40,29,0.179,1.548,5.770,0,1.626,5.902,0,0.153,0.161,255,255
41,30,0.232,1.574,9.705,0,1.731,9.810,0,0.189,0.208,255,255
42,32,0.238,1.784,4.118,0,1.967,4.249,0,0.226,0.214,255,255
43,33,0.142,1.810,8.262,0,1.836,8.393,0,0.134,0.148,255,255
44,34,0.201,1.810,24.603,0,1.967,24.708,0,0.189,0.184,255,255
45,35,0.585,2.623,4.407,0,2.413,4.905,0,0.541,0.547,255,255
46,35,0.570,2.728,5.246,0,2.413,4.905,0,0.464,0.555,255,255
47,35,0.568,1.889,4.852,0,2.413,4.905,0,0.527,0.545,255,255
48,36,0.216,1.915,6.925,0,2.098,7.003,0,0.200,0.200,255,255
49,37,0.885,1.941,9.049,0,2.439,9.469,0,0.652,0.822,255,255
50,38,0.090,1.993,22.872,0,2.072,22.898,0,0.083,0.080,255,255
51,39,0.026,2.046,19.908,0,2.072,19.908,0,0.026,0.026,255,255
52,40,0.052,2.072,7.449,0,2.072,7.502,0,0.052,0.052,255,255
53,41,0.459,2.098,17.652,0,2.439,17.443,0,0.400,0.438,255,255
54,42,0.707,2.125,24.289,0,2.702,24.236,0,0.579,0.687,255,255
55,43,0.127,2.151,12.354,0,2.203,12.249,0,0.117,0.113,255,255
56,44,0.670,2.177,7.633,0,2.649,7.318,0,0.567,0.620,255,255
57,44,0.422,2.728,6.846,0,2.623,7.187,0,0.357,0.388,255,255
58,44,0.306,2.911,7.266,0,2.649,7.318,0,0.267,0.301,255,255
59,44,0.301,2.466,6.951,0,2.623,7.187,0,0.284,0.270,255,255
60,44,0.142,2.623,7.187,0,2.649,7.318,0,0.134,0.079,255,255
