 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.090,0.105,20.275,0,0.184,20.302,0,0.083,0.083,255,255
2,2,0.848,1.023,14.452,0,1.495,14.898,0,0.649,0.738,255,255
3,2,0.741,0.315,14.479,0,1.023,14.452,0,0.709,0.728,255,255
4,2,0.485,2.020,14.846,0,1.600,14.951,0,0.433,0.448,255,255
5,2,0.190,0.997,14.610,0,1.023,14.452,0,0.160,0.189,255,255
6,2,0.127,1.416,14.977,0,1.495,14.898,0,0.111,0.124,255,255
7,2,0.127,1.495,14.898,0,1.600,14.951,0,0.117,0.056,255,255
8,2,0.090,1.626,15.030,0,1.600,14.951,0,0.083,0.090,255,255
9,3,0.052,0.315,24.525,0,0.367,24.525,0,0.052,0.052,255,255
10,4,0.037,0.341,2.649,0,0.367,2.623,0,0.037,0.037,255,255
11,5,0.533,0.393,5.325,0,0.839,5.115,0,0.493,0.517,255,255
12,5,0.264,0.970,4.905,0,0.839,5.115,0,0.247,0.254,255,255
13,5,0.201,0.997,5.220,0,0.839,5.115,0,0.189,0.180,255,255
14,6,1.391,0.393,21.744,0,1.102,22.531,0,1.059,1.320,255,255
15,6,0.902,1.915,22.111,0,1.180,22.426,0,0.799,0.844,255,255
16,6,0.587,1.102,22.636,0,1.548,22.977,0,0.561,0.506,255,255
17,6,0.570,0.970,22.059,0,1.102,22.531,0,0.490,0.536,255,255
18,6,0.413,0.866,22.951,0,1.102,22.636,0,0.393,0.390,255,255
19,6,0.378,1.207,22.059,0,1.180,22.426,0,0.368,0.384,255,255
20,6,0.201,1.679,22.846,0,1.548,22.977,0,0.185,0.191,255,255
21,6,0.138,1.102,22.531,0,1.180,22.426,0,0.131,0.063,255,255
22,6,0.127,1.102,22.531,0,1.102,22.636,0,0.105,0.063,255,255
23,6,0.100,1.600,23.056,0,1.548,22.977,0,0.095,0.093,255,255
24,7,0.100,0.446,8.236,0,0.498,8.262,0,0.059,0.075,255,255
25,8,0.100,0.472,20.380,0,0.525,20.302,0,0.095,0.106,255,255
26,9,0.063,0.498,4.407,0,0.551,4.433,0,0.059,0.056,255,255
27,10,0.631,1.049,2.020,0,0.918,1.443,0,0.592,0.608,255,255
28,10,0.422,0.551,1.574,0,0.918,1.443,0,0.390,0.391,255,255
29,10,0.338,1.207,1.128,0,0.944,1.311,0,0.320,0.321,255,255
30,10,0.142,0.918,1.443,0,0.944,1.311,0,0.134,0.079,255,255
31,10,0.138,0.866,1.207,0,0.944,1.311,0,0.131,0.120,255,255
32,11,0.736,1.338,25.154,0,0.734,24.944,0,0.639,0.719,255,255
33,11,0.216,0.551,24.918,0,0.734,24.944,0,0.185,0.203,255,255
34,11,0.127,0.682,25.049,0,0.734,24.944,0,0.117,0.124,255,255
35,12,0.153,0.603,6.321,0,0.734,6.321,0,0.131,0.147,255,255
36,13,0.238,0.603,8.079,0,0.787,8.105,0,0.185,0.208,255,255
37,14,0.622,0.708,17.023,0,0.839,16.498,0,0.541,0.599,255,255
38,14,0.612,1.521,16.289,0,0.997,16.289,0,0.525,0.593,255,255
39,14,0.349,1.207,16.026,0,0.997,16.289,0,0.336,0.332,255,255
40,14,0.290,0.839,16.498,0,0.997,16.289,0,0.262,0.194,255,255
41,14,0.236,0.603,16.498,0,0.839,16.498,0,0.236,0.236,255,255
42,15,0.063,0.630,17.128,0,0.656,17.180,0,0.059,0.056,255,255
43,16,0.205,0.630,24.420,0,0.708,24.262,0,0.176,0.185,255,255
44,17,0.391,0.656,8.551,0,0.944,8.761,0,0.357,0.356,255,255
45,17,0.216,0.918,8.944,0,0.944,8.761,0,0.185,0.204,255,255
46,17,0.179,1.102,8.708,0,0.944,8.761,0,0.166,0.165,255,255
47,18,1.105,1.180,21.587,0,1.338,20.590,0,1.009,0.991,255,255
48,18,1.000,0.813,19.541,0,1.023,20.433,0,0.916,0.954,255,255
49,18,0.823,1.521,19.934,0,1.023,19.410,0,0.724,0.764,255,255
50,18,0.649,0.656,20.066,0,0.813,19.541,0,0.548,0.612,255,255
51,18,0.629,1.338,18.911,0,1.023,19.410,0,0.589,0.590,255,255
52,18,0.422,0.813,21.508,0,1.180,21.587,0,0.376,0.406,255,255
53,18,0.380,1.023,20.433,0,1.338,20.590,0,0.352,0.272,255,255
54,18,0.369,1.495,21.718,0,1.180,21.587,0,0.341,0.337,255,255
55,18,0.273,0.761,20.407,0,1.023,20.433,0,0.264,0.265,255,255
56,18,0.264,1.548,20.459,0,1.338,20.590,0,0.247,0.240,255,255
57,18,0.264,0.813,19.541,0,1.023,19.410,0,0.247,0.241,255,255
58,19,0.697,0.682,13.220,0,1.180,13.430,0,0.541,0.655,255,255
59,20,0.037,0.708,17.338,0,0.734,17.364,0,0.037,0.037,255,255
60,21,0.869,1.521,11.069,0,1.810,11.803,0,0.789,0.760,255,255
61,21,0.858,0.761,10.885,0,1.521,11.069,0,0.783,0.801,255,255
62,21,0.699,2.413,11.069,0,1.757,10.964,0,0.664,0.670,255,255
