 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.026,0.052,5.456,0,0.052,5.482,0,0.026,0.026,255,255
2,2,0.111,0.079,25.600,0,0.157,25.521,0,0.111,0.111,255,255
3,3,0.138,0.131,3.174,0,0.210,3.069,0,0.131,0.138,255,255
4,4,0.074,0.210,2.649,0,0.262,2.597,0,0.074,0.074,255,255
5,5,0.037,0.210,6.584,0,0.236,6.557,0,0.037,0.037,255,255
6,6,0.090,0.210,9.705,0,0.236,9.626,0,0.083,0.080,255,255
7,7,0.079,0.210,23.318,0,0.289,23.318,0,0.079,0.079,255,255
8,9,0.201,0.236,9.338,0,0.393,9.390,0,0.166,0.164,255,255
9,10,0.164,0.289,2.334,0,0.420,2.413,0,0.153,0.166,255,255
10,11,0.026,0.289,14.689,0,0.315,14.689,0,0.026,0.026,255,255
11,12,0.026,0.315,16.813,0,0.341,16.813,0,0.026,0.026,255,255
12,13,0.138,0.341,1.915,0,0.420,1.810,0,0.131,0.138,255,255
13,14,0.164,0.393,0.656,0,0.525,0.682,0,0.134,0.146,255,255
14,15,0.354,0.393,11.043,0,0.630,10.833,0,0.316,0.337,255,255
15,16,0.754,0.420,13.980,0,0.787,13.823,0,0.400,0.687,255,255
16,16,0.375,0.577,14.111,0,0.787,13.823,0,0.357,0.291,255,255
17,16,0.264,0.892,14.007,0,0.787,13.823,0,0.211,0.240,255,255
18,16,0.063,0.630,14.138,0,0.577,14.111,0,0.059,0.063,255,255
19,16,0.026,0.551,14.111,0,0.577,14.111,0,0.026,0.026,255,255
20,18,0.247,0.446,14.715,0,0.682,14.741,0,0.238,0.242,255,255
21,18,0.164,0.787,14.846,0,0.682,14.741,0,0.148,0.145,255,255
22,18,0.127,0.734,14.636,0,0.682,14.741,0,0.117,0.131,255,255
23,19,0.358,0.446,20.197,0,0.761,20.249,0,0.319,0.328,255,255
24,20,0.590,0.734,7.790,0,0.892,7.318,0,0.498,0.569,255,255
25,20,0.264,0.472,7.449,0,0.656,7.292,0,0.242,0.265,255,255
26,20,0.247,0.656,7.292,0,0.892,7.318,0,0.238,0.184,255,255
27,20,0.153,0.603,7.161,0,0.656,7.292,0,0.141,0.138,255,255
28,20,0.100,0.970,7.266,0,0.892,7.318,0,0.095,0.100,255,255
29,21,0.037,0.498,18.859,0,0.525,18.885,0,0.037,0.037,255,255
30,22,0.306,0.970,15.921,0,0.708,16.026,0,0.283,0.309,255,255
31,22,0.264,0.525,15.869,0,0.708,16.026,0,0.242,0.247,255,255
32,22,0.142,0.734,16.157,0,0.708,16.026,0,0.134,0.142,255,255
33,23,0.227,0.577,6.505,0,0.761,6.400,0,0.211,0.202,255,255
