 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.179,0.210,2.020,0,0.367,1.967,0,0.166,0.190,255,255
2,2,0.301,0.236,6.059,0,0.446,5.875,0,0.279,0.287,255,255
3,3,0.074,0.420,0.131,0,0.472,0.184,0,0.074,0.074,255,255
4,4,0.153,0.446,2.151,0,0.577,2.098,0,0.141,0.134,255,255
5,5,1.297,1.180,9.757,0,2.282,9.285,0,1.199,1.090,255,255
6,5,1.284,3.200,10.125,0,2.439,9.285,0,1.133,1.196,255,255
7,5,0.885,1.416,10.544,0,1.180,9.757,0,0.822,0.861,255,255
8,5,0.783,1.784,8.708,0,2.282,9.285,0,0.762,0.752,255,255
9,5,0.760,2.308,7.816,0,2.623,8.446,0,0.704,0.697,255,255
10,5,0.592,3.095,8.157,0,2.623,8.446,0,0.553,0.549,255,255
11,5,0.539,2.072,8.472,0,2.492,8.761,0,0.509,0.510,255,255
12,5,0.526,3.016,9.075,0,2.544,9.207,0,0.490,0.519,255,255
13,5,0.502,0.734,10.020,0,1.128,9.757,0,0.473,0.464,255,255
14,5,0.471,0.813,9.416,0,1.128,9.757,0,0.464,0.413,255,255
15,5,0.468,2.492,8.761,0,2.544,9.207,0,0.449,0.367,255,255
16,5,0.406,2.492,8.761,0,2.623,8.446,0,0.341,0.326,255,255
17,5,0.157,2.282,9.285,0,2.439,9.285,0,0.157,0.131,255,255
18,5,0.138,2.439,9.285,0,2.544,9.207,0,0.131,0.037,255,255
19,5,0.052,1.128,9.757,0,1.180,9.757,0,0.052,0.026,255,255
20,6,0.090,0.761,16.892,0,0.787,16.970,0,0.083,0.083,255,255
21,7,2.055,0.813,2.151,0,1.705,3.331,0,1.479,1.918,255,255
22,7,0.511,2.282,3.489,0,1.836,3.541,0,0.449,0.481,255,255
23,7,0.457,1.862,3.987,0,1.836,3.541,0,0.447,0.448,255,255
24,7,0.423,2.020,3.069,0,1.705,3.331,0,0.410,0.410,255,255
25,7,0.264,1.705,3.331,0,1.836,3.541,0,0.247,0.177,255,255
26,8,0.079,0.813,6.033,0,0.892,6.033,0,0.079,0.079,255,255
27,9,0.074,0.839,18.859,0,0.892,18.911,0,0.074,0.074,255,255
28,10,1.138,1.679,20.643,0,2.597,20.275,0,0.989,1.011,255,255
29,10,1.066,0.997,19.961,0,1.679,20.590,0,0.928,0.982,255,255
30,10,0.583,2.072,20.170,0,1.679,20.590,0,0.575,0.532,255,255
31,10,0.502,1.338,20.905,0,1.679,20.643,0,0.430,0.411,255,255
32,10,0.443,0.970,20.721,0,1.338,20.905,0,0.411,0.405,255,255
33,10,0.400,2.938,20.380,0,2.597,20.275,0,0.357,0.384,255,255
34,10,0.338,1.154,21.167,0,1.338,20.905,0,0.320,0.311,255,255
35,10,0.253,2.492,20.066,0,2.597,20.275,0,0.235,0.226,255,255
36,10,0.052,1.679,20.590,0,1.679,20.643,0,0.052,0.026,255,255
37,11,0.090,1.075,5.928,0,1.102,5.849,0,0.083,0.083,255,255
38,12,0.153,1.548,17.154,0,1.679,17.102,0,0.141,0.135,255,255
39,13,0.380,1.574,1.469,0,1.679,1.784,0,0.332,0.340,255,255
40,14,0.564,1.731,6.033,0,2.230,6.138,0,0.509,0.522,255,255
41,15,0.380,2.072,1.443,0,2.387,1.600,0,0.352,0.306,255,255
42,15,0.280,2.492,1.364,0,2.387,1.600,0,0.258,0.267,255,255
43,15,0.247,1.836,1.416,0,2.072,1.443,0,0.238,0.238,255,255
44,15,0.116,2.098,1.338,0,2.072,1.443,0,0.108,0.116,255,255
45,15,0.100,2.466,1.652,0,2.387,1.600,0,0.095,0.093,255,255
46,16,0.100,1.993,4.302,0,2.046,4.380,0,0.095,0.106,255,255
47,17,0.026,1.993,12.118,0,1.993,12.144,0,0.026,0.026,255,255
48,18,0.437,2.046,18.570,0,2.046,18.177,0,0.393,0.417,255,255
49,18,0.205,2.230,18.230,0,2.046,18.177,0,0.191,0.201,255,255
50,18,0.037,2.020,18.151,0,2.046,18.177,0,0.037,0.037,255,255
51,19,0.559,3.043,11.987,0,2.597,11.751,0,0.505,0.509,255,255
52,19,0.517,2.203,12.013,0,2.597,11.751,0,0.473,0.472,255,255
53,19,0.205,2.544,11.567,0,2.597,11.751,0,0.191,0.164,255,255
54,20,0.358,2.334,0.656,0,2.334,0.970,0,0.315,0.343,255,255
55,20,0.332,2.492,1.207,0,2.334,0.970,0,0.284,0.306,255,255
56,20,0.105,2.230,0.970,0,2.334,0.970,0,0.105,0.105,255,255
57,21,0.437,2.728,7.134,0,2.334,7.030,0,0.407,0.406,255,255
58,21,0.100,2.334,6.951,0,2.334,7.030,0,0.079,0.093,255,255
59,21,0.063,2.282,7.056,0,2.334,7.030,0,0.059,0.056,255,255
60,22,0.612,2.334,4.957,0,2.859,5.062,0,0.535,0.586,255,255
61,22,0.340,3.174,5.141,0,2.859,5.062,0,0.324,0.328,255,255
62,22,0.216,2.833,4.879,0,2.859,5.062,0,0.185,0.206,255,255
63,22,0.173,2.938,5.193,0,2.859,5.062,0,0.153,0.173,255,255
64,23,0.701,2.807,12.643,0,3.121,13.115,0,0.567,0.661,255,255
65,23,0.591,3.121,13.115,0,3.252,13.587,0,0.490,0.494,255,255
66,23,0.487,2.754,12.931,0,3.121,13.115,0,0.411,0.457,255,255
67,23,0.374,3.226,13.928,0,3.252,13.587,0,0.342,0.370,255,255
68,23,0.247,3.436,13.561,0,3.252,13.587,0,0.185,0.233,255,255
69,23,0.238,3.069,13.718,0,3.252,13.587,0,0.226,0.224,255,255
70,24,1.212,2.911,6.321,0,3.646,5.875,0,0.859,1.149,255,255
71,25,0.428,3.567,19.384,0,3.305,19.095,0,0.390,0.402,255,255
72,25,0.269,3.069,19.016,0,3.305,19.095,0,0.249,0.257,255,255
73,25,0.179,3.384,18.964,0,3.305,19.095,0,0.153,0.165,255,255
74,26,0.500,3.226,2.308,0,3.410,2.649,0,0.387,0.482,255,255
75,26,0.253,3.279,2.833,0,3.410,2.649,0,0.226,0.232,255,255
76,26,0.221,3.462,2.833,0,3.410,2.649,0,0.191,0.215,255,255
77,26,0.205,3.226,2.597,0,3.410,2.649,0,0.191,0.186,255,255
78,26,0.079,3.489,2.649,0,3.410,2.649,0,0.079,0.079,255,255
79,27,0.216,3.226,12.118,0,3.305,12.302,0,0.200,0.207,255,255
80,28,1.249,4.302,23.528,0,4.748,22.479,0,1.140,1.153,255,255
81,28,0.814,3.305,21.613,0,3.908,22.085,0,0.766,0.762,255,255
82,28,0.763,4.380,20.774,0,4.459,21.482,0,0.713,0.649,255,255
83,28,0.736,3.384,22.557,0,3.908,22.085,0,0.706,0.709,255,255
84,28,0.707,5.036,21.377,0,4.459,21.482,0,0.587,0.685,255,255
85,28,0.698,5.403,22.925,0,4.879,22.505,0,0.672,0.665,255,255
86,28,0.695,4.302,22.111,0,4.459,21.482,0,0.649,0.595,255,255
87,28,0.672,5.036,21.797,0,4.538,22.216,0,0.652,0.645,255,255
88,28,0.517,5.298,22.400,0,5.587,22.715,0,0.427,0.422,255,255
89,28,0.485,4.879,22.505,0,5.298,22.400,0,0.433,0.453,255,255
90,28,0.443,5.666,22.269,0,5.298,22.400,0,0.390,0.410,255,255
91,28,0.404,3.908,22.085,0,4.302,22.111,0,0.394,0.341,255,255
92,28,0.365,4.538,22.216,0,4.748,22.479,0,0.336,0.248,255,255
93,28,0.280,4.302,22.111,0,4.538,22.216,0,0.258,0.194,255,255
94,28,0.216,4.564,20.800,0,4.380,20.774,0,0.185,0.206,255,255
95,28,0.142,4.748,22.479,0,4.879,22.505,0,0.134,0.094,255,255
96,28,0.138,5.666,22.820,0,5.587,22.715,0,0.131,0.124,255,255
97,28,0.026,4.380,20.748,0,4.380,20.774,0,0.026,0.026,255,255
98,28,0.026,5.561,22.715,0,5.587,22.715,0,0.026,0.026,255,255
99,29,0.258,3.410,3.646,0,3.646,3.646,0,0.236,0.254,255,255
100,30,0.026,3.541,12.485,0,3.567,12.485,0,0.026,0.026,255,255
101,31,0.026,3.751,5.902,0,3.751,5.928,0,0.026,0.026,255,255
102,32,0.238,3.803,12.092,0,3.934,11.908,0,0.226,0.232,255,255
103,33,1.214,4.380,26.413,0,5.089,25.600,0,1.078,1.065,255,255
104,33,1.000,6.190,25.364,0,5.298,25.102,0,0.930,0.947,255,255
105,33,0.956,4.511,24.472,0,5.272,24.944,0,0.895,0.781,255,255
106,33,0.917,5.298,24.184,0,5.272,24.944,0,0.761,0.846,255,255
107,33,0.706,5.010,26.334,0,4.380,26.413,0,0.634,0.670,255,255
108,33,0.585,5.089,25.600,0,5.298,25.102,0,0.541,0.492,255,255
109,33,0.583,3.961,24.551,0,4.511,24.472,0,0.556,0.562,255,255
110,33,0.526,5.220,26.072,0,5.089,25.600,0,0.490,0.504,255,255
111,33,0.454,4.511,24.472,0,4.616,24.105,0,0.382,0.345,255,255
112,33,0.358,4.275,26.728,0,4.380,26.413,0,0.332,0.328,255,255
