 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.052,0.131,22.741,0,0.184,22.741,0,0.052,0.052,255,255
2,2,1.011,1.416,5.010,0,1.967,5.770,0,0.939,0.982,255,255
3,2,0.974,1.180,6.007,0,1.967,5.770,0,0.822,0.826,255,255
4,2,0.852,2.203,4.879,0,2.203,5.666,0,0.787,0.815,255,255
5,2,0.764,1.023,5.351,0,1.180,6.007,0,0.674,0.723,255,255
6,2,0.590,0.210,6.190,0,0.734,6.033,0,0.548,0.548,255,255
7,2,0.587,0.551,5.587,0,0.734,6.033,0,0.482,0.561,255,255
8,2,0.516,0.734,6.033,0,1.180,6.007,0,0.447,0.405,255,255
9,2,0.295,1.967,5.770,0,2.203,5.666,0,0.258,0.239,255,255
10,2,0.127,2.308,5.666,0,2.203,5.666,0,0.105,0.131,255,255
11,3,2.793,1.548,15.134,0,3.934,14.190,0,2.567,2.558,255,255
12,3,2.284,4.170,16.682,0,4.249,14.951,0,1.733,2.056,255,255
13,3,1.990,3.934,14.190,0,4.459,12.433,0,1.834,1.832,255,255
14,3,1.419,0.315,16.289,0,1.495,15.764,0,1.292,1.325,255,255
15,3,1.408,4.957,15.948,0,4.249,14.951,0,1.223,1.379,255,255
16,3,1.239,5.325,13.298,0,4.459,12.433,0,1.224,1.218,255,255
17,3,1.213,4.407,11.121,0,4.485,12.302,0,1.183,1.134,255,255
18,3,1.160,4.118,10.020,0,4.354,11.016,0,1.024,0.983,255,255
19,3,1.115,2.361,16.367,0,1.495,15.764,0,1.055,1.077,255,255
20,3,1.024,5.246,10.675,0,4.407,11.121,0,0.950,0.987,255,255
21,3,1.000,5.377,12.092,0,4.485,12.302,0,0.916,0.955,255,255
22,3,0.984,3.620,10.413,0,4.354,11.016,0,0.950,0.941,255,255
23,3,0.982,0.761,14.662,0,1.548,15.134,0,0.918,0.875,255,255
24,3,0.812,3.934,14.190,0,4.302,14.820,0,0.729,0.691,255,255
25,3,0.651,1.495,15.764,0,1.548,15.134,0,0.632,0.580,255,255
26,3,0.559,0.315,14.898,0,0.761,14.662,0,0.505,0.530,255,255
27,3,0.553,0.682,14.164,0,0.761,14.662,0,0.505,0.527,255,255
28,3,0.264,4.511,14.951,0,4.302,14.820,0,0.247,0.237,255,255
29,3,0.242,4.223,9.836,0,4.118,10.020,0,0.211,0.221,255,255
30,3,0.153,4.249,14.951,0,4.302,14.820,0,0.141,0.082,255,255
31,3,0.142,4.459,12.433,0,4.485,12.302,0,0.134,0.079,255,255
32,3,0.127,4.354,11.016,0,4.407,11.121,0,0.117,0.087,255,255
33,3,0.116,4.066,16.708,0,4.170,16.682,0,0.108,0.106,255,255
34,3,0.063,4.066,9.993,0,4.118,10.020,0,0.059,0.056,255,255
35,3,0.063,4.197,16.630,0,4.170,16.682,0,0.059,0.063,255,255
36,4,0.063,0.393,18.203,0,0.420,18.151,0,0.059,0.056,255,255
37,5,2.506,2.046,18.964,0,3.646,20.170,0,2.004,2.328,255,255
38,5,1.535,3.646,20.170,0,4.328,21.325,0,1.341,1.375,255,255
39,5,1.507,5.115,21.561,0,6.374,21.036,0,1.364,1.394,255,255
40,5,1.474,6.715,20.721,0,7.816,21.167,0,1.188,1.348,255,255
41,5,1.364,0.839,19.987,0,1.626,18.964,0,1.291,1.252,255,255
42,5,1.332,3.148,21.639,0,4.328,21.325,0,1.222,1.216,255,255
43,5,1.157,4.092,22.479,0,4.669,21.561,0,1.084,1.026,255,255
44,5,1.135,7.816,21.167,0,8.630,21.797,0,1.028,0.971,255,255
45,5,1.126,0.892,18.203,0,1.626,18.964,0,1.057,0.968,255,255
46,5,1.011,2.230,18.072,0,2.046,18.964,0,0.911,0.952,255,255
47,5,0.825,5.902,20.407,0,6.374,21.036,0,0.787,0.779,255,255
48,5,0.720,8.184,22.452,0,8.682,21.954,0,0.705,0.711,255,255
49,5,0.690,0.603,17.941,0,0.892,18.203,0,0.390,0.671,255,255
50,5,0.668,5.115,21.561,0,5.587,22.033,0,0.668,0.594,255,255
51,5,0.659,4.407,22.977,0,4.092,22.479,0,0.589,0.633,255,255
52,5,0.642,0.577,19.777,0,0.839,19.987,0,0.336,0.577,255,255
53,5,0.614,8.682,21.954,0,9.259,21.902,0,0.579,0.482,255,255
54,5,0.598,5.980,22.452,0,5.587,22.033,0,0.575,0.570,255,255
55,5,0.581,8.682,21.325,0,8.630,21.797,0,0.475,0.542,255,255
56,5,0.572,3.279,20.590,0,3.646,20.170,0,0.558,0.552,255,255
57,5,0.570,8.551,22.426,0,8.682,21.954,0,0.490,0.486,255,255
58,5,0.550,2.728,21.325,0,3.148,21.639,0,0.525,0.532,255,255
59,5,0.533,6.374,21.036,0,6.715,20.721,0,0.464,0.452,255,255
60,5,0.496,8.682,22.793,0,8.551,22.426,0,0.390,0.465,255,255
61,5,0.480,3.698,22.479,0,4.092,22.479,0,0.393,0.431,255,255
62,5,0.460,8.236,22.741,0,8.551,22.426,0,0.445,0.431,255,255
63,5,0.454,4.328,21.325,0,4.669,21.561,0,0.415,0.319,255,255
64,5,0.446,4.669,21.561,0,5.115,21.561,0,0.446,0.420,255,255
65,5,0.437,6.610,20.328,0,6.715,20.721,0,0.407,0.409,255,255
66,5,0.426,0.525,18.308,0,0.892,18.203,0,0.382,0.401,255,255
67,5,0.420,1.626,18.964,0,2.046,18.964,0,0.420,0.393,255,255
68,5,0.391,2.833,21.823,0,3.148,21.639,0,0.364,0.320,255,255
69,5,0.374,7.502,21.220,0,7.816,21.167,0,0.319,0.346,255,255
70,5,0.369,9.574,21.770,0,9.259,21.902,0,0.341,0.340,255,255
71,5,0.367,5.587,22.400,0,5.587,22.033,0,0.367,0.367,255,255
72,5,0.286,9.469,22.085,0,9.259,21.902,0,0.279,0.265,255,255
73,5,0.179,8.630,21.797,0,8.682,21.954,0,0.166,0.141,255,255
74,5,0.063,0.892,20.013,0,0.839,19.987,0,0.059,0.026,255,255
75,6,0.242,0.630,22.689,0,0.603,22.898,0,0.211,0.236,255,255
76,6,0.090,0.577,22.977,0,0.603,22.898,0,0.083,0.090,255,255
77,6,0.074,0.656,22.898,0,0.603,22.898,0,0.052,0.074,255,255
78,7,0.052,0.630,26.361,0,0.630,26.413,0,0.052,0.052,255,255
79,8,0.079,0.734,22.243,0,0.813,22.243,0,0.079,0.079,255,255
80,9,0.074,0.892,1.443,0,0.944,1.495,0,0.074,0.074,255,255
81,10,0.221,1.521,7.370,0,1.652,7.475,0,0.168,0.202,255,255
82,11,0.037,1.679,0.472,0,1.705,0.446,0,0.037,0.037,255,255
83,12,0.168,1.810,0.656,0,1.836,0.498,0,0.160,0.161,255,255
84,13,0.052,1.810,7.502,0,1.862,7.502,0,0.052,0.052,255,255
85,14,0.358,2.361,21.089,0,2.256,21.403,0,0.332,0.349,255,255
86,14,0.338,1.993,21.587,0,2.256,21.403,0,0.320,0.311,255,255
87,14,0.105,2.361,21.403,0,2.256,21.403,0,0.105,0.105,255,255
88,15,0.153,2.098,7.449,0,2.177,7.554,0,0.131,0.141,255,255
89,16,0.026,2.177,7.239,0,2.177,7.266,0,0.026,0.026,255,255
90,17,0.063,2.177,26.020,0,2.230,26.046,0,0.059,0.066,255,255
91,18,0.306,2.518,11.174,0,2.597,11.410,0,0.249,0.277,255,255
92,19,0.063,2.990,23.790,0,3.043,23.764,0,0.059,0.066,255,255
93,20,0.037,3.357,24.577,0,3.384,24.603,0,0.037,0.037,255,255
94,21,1.035,4.380,5.430,0,5.220,5.902,0,0.963,0.918,255,255
95,21,0.956,3.567,6.085,0,4.039,5.325,0,0.895,0.903,255,255
96,21,0.899,3.384,4.721,0,4.066,5.246,0,0.860,0.861,255,255
97,21,0.736,3.620,4.302,0,4.066,4.852,0,0.709,0.701,255,255
98,21,0.610,4.459,6.007,0,4.380,5.430,0,0.582,0.593,255,255
99,21,0.528,4.328,4.433,0,4.066,4.852,0,0.495,0.456,255,255
100,21,0.426,5.534,6.452,0,5.403,6.111,0,0.365,0.406,255,255
101,21,0.415,4.066,4.852,0,4.066,5.246,0,0.393,0.344,255,255
102,21,0.384,4.039,5.325,0,4.380,5.430,0,0.357,0.281,255,255
103,21,0.343,5.351,5.613,0,5.220,5.902,0,0.317,0.323,255,255
