 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.053,0.053,11.579,0,0.105,11.579,0,0.053,0.053,255,255
2,4,0.105,0.211,36.632,0,0.316,36.632,0,0.105,0.105,255,255
3,5,0.381,0.316,4.895,0,0.579,4.684,0,0.337,0.338,255,255
4,6,0.254,0.368,8.421,0,0.526,8.579,0,0.223,0.217,255,255
5,7,1.354,0.895,27.263,0,0.526,26.421,0,0.919,1.197,255,255
6,7,0.517,0.947,26.895,0,0.842,26.421,0,0.485,0.508,255,255
7,7,0.316,0.526,26.421,0,0.842,26.421,0,0.316,0.263,255,255
8,7,0.254,0.368,26.263,0,0.526,26.421,0,0.223,0.217,255,255
9,7,0.201,0.947,26.263,0,0.842,26.421,0,0.190,0.186,255,255
10,8,0.201,0.421,43.053,0,0.526,42.895,0,0.190,0.175,255,255
11,10,0.127,0.632,9.947,0,0.684,9.842,0,0.118,0.133,255,255
12,11,0.456,1.158,32.421,0,0.947,32.053,0,0.424,0.438,255,255
13,11,0.447,1.263,31.737,0,0.947,32.053,0,0.447,0.447,255,255
14,11,0.316,0.632,32.053,0,0.947,32.053,0,0.316,0.316,255,255
15,12,0.381,0.684,20.000,0,1.000,19.842,0,0.353,0.389,255,255
16,13,1.314,1.526,33.263,0,1.000,34.211,0,1.084,1.258,255,255
17,13,0.771,1.000,33.526,0,1.000,34.211,0,0.684,0.644,255,255
18,13,0.232,0.789,33.474,0,1.000,33.526,0,0.217,0.212,255,255
19,13,0.201,0.895,34.368,0,1.000,34.211,0,0.190,0.201,255,255
20,13,0.149,1.053,33.474,0,1.000,33.526,0,0.074,0.000,0,0
21,15,0.570,1.895,18.105,0,1.368,18.000,0,0.537,0.544,255,255
22,15,0.548,1.421,17.474,0,1.368,18.000,0,0.529,0.548,255,255
23,15,0.517,0.895,18.000,0,1.368,18.000,0,0.474,0.487,255,255
24,16,1.459,1.526,51.947,0,1.895,50.684,0,1.316,1.243,255,255
25,16,0.920,0.895,51.474,0,1.526,51.947,0,0.789,0.853,255,255
26,16,0.859,2.737,50.000,0,2.263,50.632,0,0.789,0.774,255,255
27,16,0.390,1.895,50.684,0,2.263,50.632,0,0.372,0.275,255,255
28,16,0.223,2.421,50.789,0,2.263,50.632,0,0.223,0.223,255,255
29,16,0.211,1.526,52.158,0,1.526,51.947,0,0.211,0.158,255,255
30,16,0.074,1.842,50.632,0,1.895,50.684,0,0.074,0.074,255,255
31,17,0.201,1.263,8.105,0,1.421,8.211,0,0.190,0.175,255,255
32,18,1.100,1.263,24.053,0,2.158,23.842,0,0.919,1.022,255,255
33,18,0.149,2.263,23.737,0,2.158,23.842,0,0.149,0.149,255,255
34,18,0.053,2.158,23.842,0,2.158,23.842,0,0.000,0.000,0,0
35,20,0.828,1.368,29.947,0,1.947,30.368,0,0.716,0.736,255,255
36,21,1.056,2.105,8.684,0,3.053,8.526,0,0.960,0.854,255,255
37,21,0.846,2.842,9.368,0,3.158,8.684,0,0.754,0.857,255,255
38,21,0.837,1.474,9.105,0,2.105,8.684,0,0.759,0.807,255,255
39,21,0.771,3.158,8.684,0,3.842,8.684,0,0.684,0.562,255,255
40,21,0.697,4.474,9.158,0,4.105,8.842,0,0.485,0.658,255,255
41,21,0.657,3.474,8.105,0,3.053,8.526,0,0.595,0.587,255,255
42,21,0.465,4.526,8.737,0,4.105,8.842,0,0.434,0.457,255,255
43,21,0.359,3.842,8.684,0,4.105,8.842,0,0.307,0.261,255,255
44,21,0.350,2.105,8.684,0,2.211,8.947,0,0.283,0.208,255,255
45,21,0.307,2.105,9.211,0,2.211,8.947,0,0.283,0.300,255,255
46,21,0.254,2.421,9.053,0,2.211,8.947,0,0.235,0.227,255,255
47,21,0.254,3.737,8.474,0,3.842,8.684,0,0.235,0.226,255,255
48,21,0.201,3.053,8.526,0,3.158,8.684,0,0.190,0.074,255,255
49,22,0.350,1.526,0.105,0,1.789,0.316,0,0.337,0.308,255,255
50,23,0.775,1.526,7.263,0,2.000,7.842,0,0.748,0.764,255,255
51,24,2.770,2.316,12.158,0,1.684,14.474,0,2.400,2.583,255,255
52,24,0.359,1.684,14.474,0,1.789,14.789,0,0.333,0.215,255,255
53,24,0.338,1.737,15.105,0,1.789,14.789,0,0.320,0.348,255,255
54,24,0.307,2.053,14.895,0,1.789,14.789,0,0.283,0.296,255,255
55,24,0.053,1.632,14.474,0,1.684,14.474,0,0.053,0.053,255,255
56,25,0.254,1.632,45.421,0,1.737,45.211,0,0.235,0.248,255,255
57,26,0.859,1.684,39.474,0,1.895,38.789,0,0.716,0.820,255,255
58,27,0.697,2.789,34.000,0,2.158,34.158,0,0.651,0.698,255,255
59,27,0.508,1.737,34.368,0,2.158,34.158,0,0.471,0.506,255,255
60,27,0.307,2.158,34.158,0,2.263,34.421,0,0.283,0.105,255,255
61,27,0.211,2.474,34.421,0,2.263,34.421,0,0.211,0.158,255,255
62,27,0.074,2.211,34.474,0,2.263,34.421,0,0.074,0.074,255,255
63,28,0.815,2.632,22.263,0,2.053,22.684,0,0.716,0.748,255,255
64,28,0.657,2.474,23.105,0,2.053,22.684,0,0.595,0.622,255,255
65,28,0.232,1.842,22.737,0,2.053,22.684,0,0.217,0.212,255,255
66,29,0.517,2.000,26.842,0,2.474,26.842,0,0.474,0.482,255,255
67,30,0.201,2.053,35.263,0,2.211,35.158,0,0.190,0.175,255,255
68,31,0.666,2.368,32.632,0,2.158,33.211,0,0.616,0.647,255,255
69,31,0.539,2.316,33.684,0,2.158,33.211,0,0.499,0.546,255,255
70,31,0.053,2.105,33.211,0,2.158,33.211,0,0.053,0.053,255,255
71,32,1.485,2.368,3.316,0,3.263,2.263,0,1.382,1.326,255,255
72,32,1.476,4.316,1.316,0,3.263,2.263,0,1.416,1.435,255,255
73,32,1.127,4.211,2.579,0,3.263,2.263,0,0.999,1.075,255,255
74,32,1.060,2.368,3.579,0,3.053,4.263,0,0.968,0.810,255,255
75,32,0.833,2.263,4.368,0,2.368,3.579,0,0.796,0.743,255,255
76,32,0.784,3.211,1.632,0,3.263,2.263,0,0.634,0.722,255,255
77,32,0.403,3.368,4.053,0,3.053,4.263,0,0.380,0.350,255,255
78,32,0.338,2.211,4.684,0,2.263,4.368,0,0.320,0.317,255,255
79,32,0.307,2.368,3.316,0,2.368,3.579,0,0.263,0.180,255,255
80,32,0.285,3.105,4.526,0,3.053,4.263,0,0.268,0.266,255,255
81,32,0.201,2.421,4.474,0,2.263,4.368,0,0.190,0.186,255,255
82,32,0.053,2.316,3.316,0,2.368,3.316,0,0.053,0.053,255,255
83,34,1.153,2.211,16.579,0,2.368,17.579,0,1.012,1.072,255,255
84,35,0.074,2.368,44.105,0,2.421,44.158,0,0.074,0.074,255,255
85,36,1.135,2.421,0.158,0,3.316,0.632,0,1.012,1.087,255,255
