 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.053,0.421,18.158,0,0.474,18.158,0,0.053,0.053,255,255
2,2,0.920,0.421,31.789,0,0.632,31.000,0,0.817,0.870,255,255
3,2,0.728,1.316,31.105,0,0.632,31.000,0,0.692,0.716,255,255
4,2,0.644,0.474,30.421,0,0.632,31.000,0,0.600,0.605,255,255
5,3,0.898,1.842,23.053,0,2.000,23.842,0,0.805,0.819,255,255
6,3,0.815,0.579,24.474,0,1.263,24.158,0,0.754,0.579,255,255
7,3,0.644,1.421,24.737,0,1.632,24.211,0,0.567,0.628,255,255
8,3,0.614,1.632,24.211,0,2.000,23.842,0,0.521,0.481,255,255
9,3,0.561,2.474,23.632,0,2.000,23.842,0,0.518,0.544,255,255
10,3,0.412,0.579,24.105,0,0.579,24.474,0,0.368,0.403,255,255
11,3,0.390,1.263,24.158,0,1.632,24.211,0,0.372,0.317,255,255
12,3,0.307,0.474,24.737,0,0.579,24.474,0,0.283,0.278,255,255
13,3,0.276,1.105,23.947,0,1.263,24.158,0,0.263,0.241,255,255
14,4,1.345,0.947,20.053,0,1.263,19.000,0,1.099,1.231,255,255
15,4,0.548,1.263,19.000,0,1.316,18.474,0,0.529,0.481,255,255
16,4,0.465,1.684,19.105,0,1.263,19.000,0,0.434,0.456,255,255
17,4,0.465,1.211,18.053,0,1.316,18.474,0,0.434,0.316,255,255
18,4,0.456,1.789,18.105,0,1.421,17.895,0,0.424,0.413,255,255
19,4,0.434,1.579,17.526,0,1.421,17.895,0,0.401,0.414,255,255
20,4,0.412,0.842,18.053,0,1.211,18.053,0,0.368,0.381,255,255
21,4,0.276,1.211,18.053,0,1.421,17.895,0,0.263,0.133,255,255
22,4,0.201,1.474,18.474,0,1.316,18.474,0,0.158,0.208,255,255
23,5,0.074,0.895,13.421,0,0.947,13.368,0,0.074,0.074,255,255
24,6,1.980,1.263,11.000,0,2.263,12.368,0,1.695,1.891,255,255
25,6,1.824,4.368,12.421,0,2.632,12.421,0,1.737,1.757,255,255
26,6,1.363,1.895,13.579,0,2.263,12.368,0,1.265,1.208,255,255
27,6,0.942,2.579,14.053,0,1.895,13.579,0,0.832,0.851,255,255
28,6,0.719,2.842,13.053,0,2.632,12.421,0,0.666,0.671,255,255
29,6,0.443,1.842,14.000,0,1.895,13.579,0,0.424,0.455,255,255
30,6,0.390,2.263,12.368,0,2.632,12.421,0,0.372,0.263,255,255
31,7,1.784,3.842,6.158,0,2.211,5.789,0,1.673,1.719,255,255
32,7,1.271,1.526,5.000,0,2.211,5.789,0,1.045,1.049,255,255
33,7,0.635,1.684,6.053,0,2.211,5.789,0,0.588,0.577,255,255
34,7,0.254,1.632,4.789,0,1.526,5.000,0,0.235,0.241,255,255
35,7,0.158,1.368,5.000,0,1.526,5.000,0,0.158,0.158,255,255
36,8,1.209,2.632,27.526,0,1.737,26.842,0,1.126,1.156,255,255
37,8,1.131,1.684,25.632,0,2.000,26.632,0,1.049,1.075,255,255
38,8,0.381,1.737,26.842,0,2.000,26.632,0,0.337,0.201,255,255
39,8,0.232,2.211,26.684,0,2.000,26.632,0,0.217,0.232,255,255
40,8,0.053,1.684,26.842,0,1.737,26.842,0,0.053,0.053,255,255
41,9,1.438,2.632,33.421,0,2.842,32.158,0,1.281,1.301,255,255
42,9,0.762,2.368,31.684,0,2.842,32.158,0,0.670,0.568,255,255
43,9,0.592,1.842,31.526,0,2.368,31.684,0,0.549,0.559,255,255
44,9,0.592,2.316,31.158,0,2.368,31.684,0,0.529,0.570,255,255
45,9,0.338,3.158,32.211,0,2.842,32.158,0,0.320,0.317,255,255
46,10,0.105,2.000,24.737,0,2.105,24.737,0,0.105,0.105,255,255
47,12,0.053,2.421,23.105,0,2.474,23.105,0,0.053,0.053,255,255
48,13,3.059,7.053,18.421,0,9.368,19.842,0,2.717,2.732,255,255
49,13,2.568,2.526,16.737,0,4.632,16.053,0,2.214,2.425,255,255
50,13,1.888,5.789,17.316,0,7.053,18.421,0,1.678,1.616,255,255
51,13,1.586,11.368,16.895,0,10.789,18.211,0,1.438,1.479,255,255
52,13,1.389,12.105,19.737,0,11.211,18.842,0,1.265,1.296,255,255
53,13,1.345,9.895,19.474,0,10.895,18.789,0,1.212,1.174,255,255
54,13,1.296,6.211,15.737,0,5.368,16.684,0,1.268,1.241,255,255
55,13,1.274,6.632,16.421,0,5.789,17.316,0,1.229,1.235,255,255
56,13,1.222,3.842,15.158,0,4.632,16.053,0,1.193,1.167,255,255
57,13,1.060,12.632,18.789,0,11.842,18.737,0,0.791,0.889,255,255
58,13,1.047,4.632,16.053,0,5.368,16.684,0,0.970,0.781,255,255
59,13,1.007,7.053,19.211,0,7.053,18.421,0,0.789,0.905,255,255
60,13,0.929,4.789,14.789,0,4.895,15.632,0,0.849,0.895,255,255
61,13,0.889,4.895,15.632,0,5.632,15.263,0,0.824,0.757,255,255
62,13,0.868,5.368,16.684,0,5.789,17.316,0,0.759,0.685,255,255
63,13,0.797,10.211,17.684,0,10.789,18.211,0,0.782,0.755,255,255
64,13,0.729,9.684,20.526,0,9.526,19.895,0,0.651,0.681,255,255
65,13,0.701,12.368,19.158,0,11.842,18.737,0,0.674,0.645,255,255
66,13,0.675,11.211,18.842,0,11.842,18.737,0,0.640,0.458,255,255
67,13,0.666,9.316,20.474,0,9.526,19.895,0,0.616,0.609,255,255
68,13,0.666,10.789,18.211,0,10.895,18.789,0,0.588,0.507,255,255
69,13,0.604,9.526,19.895,0,9.895,19.474,0,0.559,0.485,255,255
70,13,0.561,4.632,16.053,0,4.895,15.632,0,0.497,0.449,255,255
71,13,0.456,9.053,20.105,0,9.368,19.842,0,0.411,0.407,255,255
72,13,0.338,10.895,18.789,0,11.211,18.842,0,0.320,0.167,255,255
73,13,0.276,9.684,19.316,0,9.895,19.474,0,0.263,0.241,255,255
74,13,0.254,5.842,15.368,0,5.632,15.263,0,0.235,0.227,255,255
75,13,0.180,9.368,19.842,0,9.526,19.895,0,0.166,0.053,255,255
76,13,0.149,5.737,15.158,0,5.632,15.263,0,0.149,0.149,255,255
77,14,0.127,2.789,13.895,0,2.842,14.000,0,0.118,0.133,255,255
78,15,0.180,2.842,26.789,0,3.000,26.842,0,0.166,0.161,255,255
79,16,1.078,4.000,8.632,0,3.789,9.579,0,0.970,1.025,255,255
80,16,1.004,3.053,10.000,0,3.789,9.579,0,0.849,0.941,255,255
