 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.053,0.474,48.789,0,0.474,48.842,0,0.053,0.053,255,255
2,2,0.127,0.632,46.368,0,0.737,46.421,0,0.118,0.133,255,255
3,3,0.381,1.158,21.684,0,1.105,22.000,0,0.320,0.347,255,255
4,3,0.201,1.211,22.158,0,1.105,22.000,0,0.190,0.186,255,255
5,3,0.158,0.947,22.000,0,1.105,22.000,0,0.158,0.158,255,255
6,4,1.810,1.000,25.737,0,2.421,24.947,0,1.626,1.754,255,255
7,5,0.074,1.158,33.158,0,1.211,33.105,0,0.074,0.074,255,255
8,6,2.089,2.947,51.105,0,4.421,49.842,0,1.941,1.933,255,255
9,6,1.534,1.158,51.947,0,1.684,50.737,0,1.320,1.469,255,255
10,6,1.484,1.684,50.737,0,2.947,51.105,0,1.316,1.035,255,255
11,6,1.196,4.895,50.842,0,4.421,49.842,0,1.107,1.106,255,255
12,6,0.635,3.211,51.632,0,2.947,51.105,0,0.588,0.595,255,255
13,6,0.561,4.421,49.842,0,4.895,49.632,0,0.518,0.399,255,255
14,6,0.530,5.158,49.211,0,4.895,49.632,0,0.497,0.532,255,255
15,6,0.477,5.263,49.895,0,4.895,49.632,0,0.453,0.435,255,255
16,6,0.338,1.368,50.684,0,1.684,50.737,0,0.320,0.329,255,255
17,6,0.264,1.789,50.579,0,1.684,50.737,0,0.190,0.264,255,255
18,7,0.338,1.263,14.316,0,1.316,14.632,0,0.320,0.318,255,255
19,8,0.180,1.421,1.895,0,1.474,2.053,0,0.166,0.167,255,255
20,9,0.053,1.526,31.684,0,1.526,31.737,0,0.053,0.053,255,255
21,10,0.074,1.579,53.053,0,1.632,53.000,0,0.074,0.074,255,255
22,11,0.561,1.632,49.263,0,2.053,49.105,0,0.450,0.478,255,255
23,12,0.592,1.684,33.316,0,2.105,33.158,0,0.450,0.544,255,255
24,13,0.158,1.737,48.737,0,1.895,48.737,0,0.158,0.158,255,255
25,14,0.561,1.895,31.368,0,1.895,31.842,0,0.474,0.486,255,255
26,15,0.201,1.947,3.632,0,2.105,3.526,0,0.190,0.197,255,255
27,16,0.105,1.947,21.474,0,2.053,21.474,0,0.105,0.105,255,255
28,17,0.074,1.947,32.737,0,2.000,32.789,0,0.074,0.074,255,255
29,18,1.301,2.526,41.316,0,2.789,40.211,0,1.136,1.247,255,255
30,18,0.951,1.947,40.263,0,2.789,40.211,0,0.844,0.894,255,255
31,18,0.697,3.526,40.105,0,2.895,39.947,0,0.651,0.686,255,255
32,18,0.456,3.316,39.474,0,2.947,39.684,0,0.424,0.423,255,255
33,18,0.329,2.789,39.421,0,2.947,39.684,0,0.307,0.287,255,255
34,18,0.307,2.789,40.211,0,2.895,39.947,0,0.283,0.180,255,255
35,18,0.285,2.895,39.947,0,2.947,39.684,0,0.268,0.211,255,255
36,19,1.995,2.000,16.105,0,2.053,14.263,0,1.843,1.913,255,255
37,20,1.007,3.421,43.421,0,2.684,44.000,0,0.937,0.975,255,255
38,20,0.688,2.105,44.263,0,2.684,44.000,0,0.636,0.644,255,255
39,20,0.552,3.105,44.316,0,2.684,44.000,0,0.526,0.509,255,255
40,20,0.551,3.211,43.895,0,2.684,44.000,0,0.537,0.551,255,255
41,22,1.875,3.421,29.895,0,3.842,31.211,0,1.382,1.613,255,255
42,22,1.227,4.211,32.211,0,3.842,31.211,0,1.066,1.152,255,255
43,22,0.898,3.526,29.684,0,3.789,28.895,0,0.832,0.834,255,255
44,22,0.697,2.895,29.737,0,3.526,29.684,0,0.634,0.677,255,255
45,22,0.583,3.053,30.263,0,3.421,29.895,0,0.521,0.496,255,255
46,22,0.570,3.316,31.105,0,3.842,31.211,0,0.537,0.548,255,255
47,22,0.548,3.842,28.368,0,3.789,28.895,0,0.529,0.560,255,255
48,22,0.254,3.421,29.895,0,3.526,29.684,0,0.235,0.074,255,255
49,22,0.201,3.947,28.895,0,3.789,28.895,0,0.158,0.208,255,255
50,23,0.074,3.053,32.211,0,3.105,32.263,0,0.074,0.074,255,255
51,24,0.644,3.053,46.316,0,3.211,46.895,0,0.600,0.614,255,255
52,25,0.561,3.211,15.263,0,3.316,14.789,0,0.485,0.489,255,255
53,25,0.495,3.368,14.316,0,3.316,14.789,0,0.477,0.507,255,255
54,25,0.359,3.632,14.895,0,3.316,14.789,0,0.333,0.349,255,255
55,26,0.127,3.421,34.474,0,3.526,34.421,0,0.118,0.133,255,255
56,27,1.661,3.789,24.421,0,5.105,23.737,0,1.483,1.563,255,255
57,27,0.508,4.895,23.316,0,5.105,23.737,0,0.471,0.462,255,255
58,27,0.201,5.263,23.737,0,5.105,23.737,0,0.158,0.186,255,255
59,28,0.053,4.158,40.263,0,4.211,40.263,0,0.053,0.053,255,255
60,29,0.338,4.211,38.211,0,4.526,38.158,0,0.320,0.318,255,255
61,30,3.302,9.842,40.053,0,12.158,37.895,0,3.165,3.218,255,255
62,30,3.222,8.316,37.053,0,11.211,37.842,0,3.000,2.955,255,255
63,30,3.156,12.158,39.368,0,12.947,42.105,0,2.848,2.857,255,255
64,30,2.612,13.474,42.105,0,15.632,42.895,0,2.298,2.434,255,255
65,30,2.422,9.632,39.579,0,11.211,37.842,0,2.347,2.362,255,255
66,30,2.345,11.632,33.421,0,11.895,35.526,0,2.122,2.263,255,255
67,30,2.162,10.895,42.368,0,12.947,42.105,0,2.069,1.977,255,255
68,30,2.077,15.053,38.579,0,13.421,37.579,0,1.914,1.969,255,255
69,30,1.792,10.474,34.895,0,11.368,36.316,0,1.679,1.680,255,255
70,30,1.744,9.000,39.947,0,9.421,41.263,0,1.382,1.618,255,255
71,30,1.735,11.579,43.789,0,10.895,42.368,0,1.577,1.659,255,255
72,30,1.735,13.737,37.158,0,15.211,36.632,0,1.565,1.590,255,255
