 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.854,0.368,7.895,0,0.579,8.632,0,0.766,0.679,255,255
2,1,0.624,0.789,7.526,0,0.368,7.895,0,0.559,0.586,255,255
3,1,0.465,0.211,8.474,0,0.579,8.632,0,0.401,0.425,255,255
4,1,0.381,0.789,8.895,0,0.579,8.632,0,0.337,0.348,255,255
5,1,0.317,0.789,8.421,0,0.579,8.632,0,0.298,0.301,255,255
6,1,0.293,0.368,7.632,0,0.368,7.895,0,0.263,0.278,255,255
7,1,0.285,0.105,7.842,0,0.368,7.895,0,0.268,0.269,255,255
8,2,0.053,0.158,22.947,0,0.211,22.947,0,0.053,0.053,255,255
9,3,0.053,1.000,51.526,0,1.053,51.526,0,0.053,0.053,255,255
10,4,0.802,1.211,11.579,0,1.368,10.842,0,0.754,0.787,255,255
11,5,0.604,1.895,27.053,0,1.684,27.526,0,0.518,0.531,255,255
12,5,0.434,1.737,27.895,0,1.684,27.526,0,0.372,0.424,255,255
13,5,0.316,1.368,27.526,0,1.684,27.526,0,0.316,0.316,255,255
14,6,1.323,2.895,18.737,0,3.632,17.842,0,1.159,1.115,255,255
15,6,1.056,3.632,17.842,0,4.316,18.368,0,0.863,0.869,255,255
16,6,0.688,2.737,18.105,0,2.421,18.632,0,0.614,0.627,255,255
17,6,0.517,2.421,18.632,0,2.895,18.737,0,0.485,0.335,255,255
18,6,0.499,3.211,19.105,0,2.895,18.737,0,0.485,0.457,255,255
19,6,0.486,2.000,18.789,0,2.421,18.632,0,0.450,0.467,255,255
20,6,0.359,4.632,18.263,0,4.316,18.368,0,0.333,0.359,255,255
21,6,0.338,3.684,17.526,0,3.632,17.842,0,0.320,0.338,255,255
22,6,0.211,4.105,18.368,0,4.316,18.368,0,0.211,0.211,255,255
23,6,0.127,4.368,18.474,0,4.316,18.368,0,0.118,0.053,255,255
24,7,0.053,2.368,2.211,0,2.368,2.263,0,0.053,0.053,255,255
25,8,0.180,2.368,8.211,0,2.421,8.368,0,0.166,0.161,255,255
26,9,0.127,2.368,36.053,0,2.421,35.947,0,0.118,0.133,255,255
27,10,0.127,2.421,51.526,0,2.526,51.579,0,0.118,0.133,255,255
28,11,2.147,3.158,27.263,0,3.263,29.105,0,1.845,1.993,255,255
29,11,0.806,2.684,29.579,0,3.263,29.105,0,0.748,0.780,255,255
30,11,0.741,3.368,29.684,0,3.263,29.105,0,0.588,0.696,255,255
31,12,0.381,3.368,8.579,0,3.158,8.316,0,0.337,0.344,255,255
32,12,0.329,3.421,8.158,0,3.158,8.316,0,0.307,0.293,255,255
33,12,0.285,2.895,8.368,0,3.158,8.316,0,0.268,0.297,255,255
34,13,0.053,3.000,19.842,0,3.053,19.842,0,0.053,0.053,255,255
35,14,1.819,6.000,20.053,0,4.421,19.579,0,1.648,1.691,255,255
36,14,1.065,3.000,20.053,0,4.000,20.211,0,1.012,1.076,255,255
37,14,0.806,4.000,20.211,0,4.421,19.579,0,0.759,0.602,255,255
38,14,0.802,4.368,18.842,0,4.421,19.579,0,0.739,0.756,255,255
39,14,0.753,3.632,20.737,0,4.000,20.211,0,0.642,0.594,255,255
40,14,0.307,3.632,21.000,0,3.632,20.737,0,0.263,0.296,255,255
41,14,0.180,3.474,20.684,0,3.632,20.737,0,0.166,0.167,255,255
42,15,1.565,3.474,25.263,0,4.158,24.211,0,1.255,1.469,255,255
43,16,1.132,5.211,33.421,0,4.263,33.684,0,0.983,0.782,255,255
44,16,0.863,4.263,34.474,0,4.263,33.684,0,0.789,0.819,255,255
45,16,0.728,3.579,33.684,0,4.263,33.684,0,0.684,0.690,255,255
46,16,0.689,4.789,34.105,0,4.263,33.684,0,0.674,0.647,255,255
47,16,0.263,4.263,33.421,0,4.263,33.684,0,0.263,0.211,255,255
48,17,0.751,4.947,30.842,0,4.368,30.895,0,0.581,0.737,255,255
49,17,0.629,4.316,31.474,0,4.368,30.895,0,0.581,0.602,255,255
50,17,0.626,4.789,30.474,0,4.368,30.895,0,0.595,0.599,255,255
51,17,0.539,3.895,31.053,0,4.368,30.895,0,0.499,0.503,255,255
52,18,1.819,6.895,13.263,0,5.474,12.526,0,1.601,1.707,255,255
53,18,1.385,5.053,12.684,0,5.421,13.842,0,1.215,1.200,255,255
54,18,1.385,5.421,13.842,0,5.632,14.947,0,1.125,1.200,255,255
55,18,1.361,4.263,11.684,0,5.053,12.684,0,1.274,1.319,255,255
56,18,1.258,5.474,12.526,0,5.842,11.421,0,1.165,1.148,255,255
57,18,1.174,6.526,11.316,0,5.842,11.421,0,0.692,1.107,255,255
58,18,0.859,4.368,12.263,0,5.053,12.684,0,0.803,0.831,255,255
59,18,0.728,6.526,11.421,0,5.842,11.421,0,0.684,0.740,255,255
60,18,0.723,4.947,14.368,0,5.421,13.842,0,0.708,0.695,255,255
61,18,0.486,5.053,12.684,0,5.474,12.526,0,0.450,0.211,255,255
62,18,0.486,5.947,15.211,0,5.632,14.947,0,0.411,0.427,255,255
63,18,0.285,5.368,15.000,0,5.632,14.947,0,0.268,0.297,255,255
64,19,1.332,4.263,23.000,0,5.421,22.684,0,1.200,1.262,255,255
65,19,1.082,4.579,23.632,0,5.421,23.053,0,1.022,1.017,255,255
66,19,0.855,5.526,23.789,0,5.421,23.053,0,0.744,0.808,255,255
67,19,0.750,6.105,22.526,0,5.421,22.684,0,0.702,0.729,255,255
68,19,0.412,5.421,22.684,0,5.421,23.053,0,0.368,0.285,255,255
69,20,2.147,9.211,28.211,0,8.684,26.368,0,1.916,2.034,255,255
70,20,1.447,6.211,26.737,0,7.526,26.421,0,1.353,1.252,255,255
71,20,1.438,7.526,26.158,0,8.684,26.368,0,1.177,1.174,255,255
72,20,1.262,4.368,26.316,0,5.263,26.316,0,0.895,1.139,255,255
73,20,1.205,5.842,27.789,0,6.211,26.737,0,1.115,1.155,255,255
74,20,0.911,7.105,25.421,0,7.526,26.158,0,0.849,0.838,255,255
75,20,0.859,5.526,26.316,0,6.211,26.737,0,0.803,0.540,255,255
76,20,0.828,4.632,25.842,0,5.263,26.316,0,0.789,0.688,255,255
77,20,0.797,8.105,26.947,0,7.526,26.421,0,0.782,0.755,255,255
78,20,0.307,7.526,26.158,0,7.526,26.421,0,0.263,0.105,255,255
79,20,0.276,8.895,26.526,0,8.684,26.368,0,0.263,0.249,255,255
80,20,0.263,5.263,26.316,0,5.526,26.316,0,0.263,0.211,255,255
81,20,0.254,5.526,26.105,0,5.526,26.316,0,0.211,0.235,255,255
82,21,0.403,4.947,30.263,0,5.211,30.000,0,0.372,0.381,255,255
83,22,0.465,5.000,14.684,0,5.000,15.105,0,0.421,0.432,255,255
84,23,0.802,5.632,17.158,0,6.158,17.316,0,0.549,0.720,255,255
85,24,0.053,5.895,8.684,0,5.947,8.684,0,0.053,0.053,255,255
86,25,2.313,6.105,18.211,0,7.842,19.526,0,2.179,2.188,255,255
87,25,1.753,9.842,18.947,0,11.421,19.368,0,1.634,1.631,255,255
88,25,1.686,6.211,19.211,0,7.526,20.105,0,1.591,1.586,255,255
89,25,1.661,9.632,17.316,0,9.211,18.684,0,1.432,1.546,255,255
90,25,1.292,8.895,20.632,0,7.842,20.053,0,1.201,1.191,255,255
91,25,1.209,7.842,19.526,0,8.579,18.684,0,1.119,1.033,255,255
92,25,1.139,12.105,20.579,0,12.263,19.684,0,0.909,1.113,255,255
93,25,1.113,6.684,20.579,0,7.526,20.105,0,0.966,1.028,255,255
94,25,1.060,12.000,20.158,0,11.421,19.368,0,0.979,1.020,255,255
95,25,1.029,8.000,17.895,0,8.579,18.684,0,0.979,0.973,255,255
96,25,0.929,11.421,19.368,0,12.263,19.158,0,0.868,0.792,255,255
97,25,0.898,13.053,19.000,0,12.263,19.158,0,0.805,0.805,255,255
98,25,0.868,9.526,19.684,0,9.842,18.947,0,0.802,0.791,255,255
99,25,0.741,9.211,18.684,0,9.842,18.947,0,0.684,0.572,255,255
100,25,0.675,8.579,18.684,0,9.211,18.684,0,0.632,0.474,255,255
101,25,0.570,7.842,19.526,0,7.842,20.053,0,0.526,0.443,255,255
102,25,0.570,12.263,19.158,0,12.263,19.684,0,0.526,0.443,255,255
103,25,0.412,12.632,19.579,0,12.263,19.684,0,0.383,0.407,255,255
104,25,0.381,7.526,20.105,0,7.842,20.053,0,0.320,0.220,255,255
105,25,0.180,12.105,19.632,0,12.263,19.684,0,0.166,0.167,255,255
106,26,0.329,6.737,29.526,0,7.000,29.368,0,0.307,0.287,255,255
107,27,1.438,6.789,15.105,0,7.684,15.895,0,1.193,1.348,255,255
108,27,0.539,8.158,15.947,0,7.684,15.895,0,0.477,0.490,255,255
109,27,0.307,7.789,16.158,0,7.684,15.895,0,0.283,0.296,255,255
110,28,0.951,6.842,25.053,0,7.684,24.895,0,0.857,0.907,255,255
111,29,1.323,6.842,31.211,0,7.368,30.105,0,1.224,1.219,255,255
112,30,1.590,9.053,21.211,0,8.842,22.421,0,1.229,1.443,255,255
113,30,1.391,9.316,23.632,0,8.842,22.421,0,1.300,1.387,255,255
114,30,1.358,9.632,23.421,0,8.842,22.421,0,1.274,0.978,255,255
115,30,1.320,7.684,22.632,0,8.842,22.421,0,1.177,1.203,255,255
116,30,1.227,9.000,23.947,0,8.053,23.421,0,1.084,1.129,255,255
117,30,0.977,9.579,22.158,0,8.842,22.421,0,0.782,0.912,255,255
118,30,0.973,7.684,22.632,0,8.053,23.421,0,0.871,0.769,255,255
119,30,0.443,7.263,22.684,0,7.684,22.632,0,0.424,0.434,255,255
120,30,0.443,8.105,23.842,0,8.053,23.421,0,0.424,0.443,255,255
121,31,0.307,7.421,10.316,0,7.684,10.421,0,0.283,0.269,255,255
122,32,0.201,7.421,39.000,0,7.579,39.105,0,0.190,0.175,255,255
123,33,1.038,7.789,45.632,0,8.158,44.789,0,0.919,0.982,255,255
124,33,0.644,8.158,44.789,0,8.632,44.526,0,0.542,0.511,255,255
125,33,0.583,8.842,44.947,0,8.632,44.526,0,0.471,0.509,255,255
126,33,0.499,7.474,45.000,0,7.842,44.684,0,0.485,0.457,255,255
127,33,0.425,7.526,44.421,0,7.842,44.684,0,0.411,0.308,255,255
128,33,0.359,7.842,44.684,0,8.158,44.789,0,0.333,0.278,255,255
129,33,0.127,8.684,44.421,0,8.632,44.526,0,0.118,0.127,255,255
130,35,0.053,7.842,27.421,0,7.842,27.474,0,0.053,0.053,255,255
131,36,2.364,9.000,25.000,0,9.947,25.895,0,1.303,1.998,255,255
132,36,0.911,9.526,23.947,0,8.947,24.526,0,0.819,0.836,255,255
133,36,0.623,8.368,24.526,0,8.947,24.526,0,0.579,0.509,255,255
134,36,0.601,8.421,25.105,0,8.368,24.526,0,0.581,0.584,255,255
135,36,0.539,7.895,24.474,0,8.368,24.526,0,0.477,0.505,255,255
136,36,0.526,8.947,24.526,0,9.000,25.000,0,0.477,0.379,255,255
137,36,0.434,10.158,26.211,0,9.947,25.895,0,0.380,0.396,255,255
138,36,0.307,8.737,25.105,0,9.000,25.000,0,0.283,0.300,255,255
139,36,0.254,9.105,25.211,0,9.000,25.000,0,0.235,0.241,255,255
140,36,0.201,9.789,25.895,0,9.947,25.895,0,0.158,0.186,255,255
141,37,0.719,8.000,27.842,0,8.474,28.211,0,0.600,0.662,255,255
142,38,0.653,8.000,52.421,0,8.053,51.789,0,0.634,0.634,255,255
143,39,0.920,8.053,36.000,0,8.263,35.526,0,0.518,0.801,255,255
144,40,0.486,8.579,3.947,0,8.421,4.368,0,0.450,0.486,255,255
145,40,0.285,8.158,4.316,0,8.421,4.368,0,0.268,0.266,255,255
146,40,0.180,8.579,4.421,0,8.421,4.368,0,0.166,0.164,255,255
147,41,0.053,8.158,5.000,0,8.211,5.000,0,0.053,0.053,255,255
148,42,0.285,8.158,28.368,0,8.421,28.421,0,0.268,0.266,255,255
149,43,0.053,8.263,29.000,0,8.316,29.000,0,0.053,0.053,255,255
150,44,0.127,8.316,10.632,0,8.421,10.684,0,0.118,0.111,255,255
151,45,0.127,8.474,4.842,0,8.579,4.789,0,0.118,0.133,255,255
152,46,3.414,8.526,10.895,0,11.421,12.000,0,3.099,3.239,255,255
153,46,1.608,10.842,14.000,0,11.474,12.684,0,1.460,1.375,255,255
154,46,1.095,13.421,12.474,0,12.684,11.684,0,1.080,1.080,255,255
155,46,0.902,12.105,13.263,0,11.474,12.684,0,0.857,0.860,255,255
156,46,0.889,13.842,11.105,0,14.579,11.474,0,0.824,0.666,255,255
157,46,0.886,11.842,11.789,0,12.684,11.684,0,0.849,0.683,255,255
158,46,0.855,12.684,11.684,0,13.474,11.526,0,0.805,0.750,255,255
159,46,0.793,11.421,12.000,0,11.474,12.684,0,0.686,0.622,255,255
160,46,0.771,11.737,11.105,0,11.842,11.789,0,0.692,0.620,255,255
161,46,0.732,13.842,12.105,0,13.474,11.526,0,0.686,0.659,255,255
162,46,0.719,10.579,15.263,0,10.684,14.632,0,0.640,0.699,255,255
163,46,0.635,12.053,10.632,0,11.737,11.105,0,0.569,0.571,255,255
164,46,0.604,13.474,11.526,0,13.842,11.105,0,0.559,0.501,255,255
165,46,0.539,10.842,14.000,0,10.895,14.474,0,0.477,0.394,255,255
166,46,0.508,10.421,13.789,0,10.842,14.000,0,0.471,0.450,255,255
167,46,0.508,13.632,10.684,0,13.842,11.105,0,0.471,0.487,255,255
168,46,0.508,11.421,12.000,0,11.842,11.789,0,0.471,0.287,255,255
169,46,0.499,11.474,14.947,0,11.158,14.579,0,0.485,0.472,255,255
170,46,0.412,14.947,11.579,0,14.579,11.474,0,0.383,0.378,255,255
171,46,0.350,11.526,10.842,0,11.737,11.105,0,0.337,0.308,255,255
172,46,0.307,10.421,14.526,0,10.684,14.632,0,0.283,0.290,255,255
173,46,0.307,10.684,14.632,0,10.895,14.474,0,0.263,0.111,255,255
174,46,0.307,10.895,14.474,0,11.158,14.579,0,0.283,0.133,255,255
175,46,0.285,14.526,11.737,0,14.579,11.474,0,0.268,0.265,255,255
176,46,0.232,11.368,14.526,0,11.158,14.579,0,0.217,0.239,255,255
177,47,2.253,10.158,36.474,0,10.474,34.632,0,1.869,2.008,255,255
178,47,1.906,9.000,33.737,0,10.474,34.632,0,1.724,1.739,255,255
179,47,1.599,10.000,33.316,0,10.474,34.632,0,1.398,1.511,255,255
180,47,1.530,8.737,36.737,0,10.158,36.474,0,1.445,1.474,255,255
181,47,1.398,11.632,37.263,0,11.158,36.526,0,0.876,1.286,255,255
182,47,0.973,9.947,37.474,0,10.263,36.632,0,0.899,0.807,255,255
183,47,0.846,11.211,37.526,0,10.947,36.789,0,0.782,0.786,255,255
184,47,0.753,9.368,36.895,0,9.789,37.474,0,0.716,0.695,255,255
185,47,0.750,10.263,36.632,0,10.947,36.789,0,0.702,0.623,255,255
