"skel.num","Branches","Junctions","End.point.voxels","Junction.voxels","Slab.voxels","Average.Branch.Length","Triple.points","Quadruple.points","Maximum.Branch.Length","Labelfine"
1,8,3,6,16,118,0.535,2,1,1.22,"900-10-10C0002.tiff"
2,18,8,11,21,181,0.351,7,1,0.979,"900-10-10C0002.tiff"
3,5,2,4,4,108,0.723,2,0,1.21,"900-10-10C0002.tiff"
4,3,1,3,3,67,0.731,1,0,1.055,"900-10-10C0002.tiff"
5,4,1,4,6,102,0.887,0,1,1.149,"900-10-10C0002.tiff"
6,5,2,4,7,86,0.597,2,0,1.664,"900-10-10C0002.tiff"
7,5,2,3,3,77,0.502,1,1,0.996,"900-10-10C0002.tiff"
8,3,1,3,4,73,0.785,1,0,1.765,"900-10-10C0002.tiff"
9,3,1,3,4,46,0.516,1,0,0.808,"900-10-10C0002.tiff"
10,15,6,10,24,162,0.401,4,2,1.009,"900-10-10C0002.tiff"
11,3,1,3,3,55,0.622,1,0,0.738,"900-10-10C0002.tiff"
12,6,2,5,9,115,0.659,1,1,1.885,"900-10-10C0002.tiff"
13,9,4,6,12,125,0.486,4,0,1.863,"900-10-10C0002.tiff"
14,5,2,4,6,77,0.525,2,0,1.053,"900-10-10C0002.tiff"
15,5,2,4,6,79,0.531,2,0,0.972,"900-10-10C0002.tiff"
1,5,2,4,8,112,0.73,2,0,1.284,"900-10-10C0004.tiff"
2,7,3,5,11,89,0.437,3,0,1.221,"900-10-10C0004.tiff"
3,3,1,3,3,79,0.872,1,0,1.135,"900-10-10C0004.tiff"
4,15,7,9,18,258,0.574,7,0,1.432,"900-10-10C0004.tiff"
5,7,3,5,13,83,0.432,3,0,0.935,"900-10-10C0004.tiff"
6,5,2,4,6,78,0.565,2,0,1.131,"900-10-10C0004.tiff"
7,5,2,4,6,112,0.719,2,0,1.158,"900-10-10C0004.tiff"
8,5,2,4,8,47,0.356,2,0,0.592,"900-10-10C0004.tiff"
9,7,3,5,7,170,0.782,3,0,1.439,"900-10-10C0004.tiff"
10,9,4,6,13,123,0.483,4,0,1.465,"900-10-10C0004.tiff"
11,4,1,4,6,103,0.819,0,1,0.878,"900-10-10C0004.tiff"
12,5,2,4,7,68,0.461,2,0,0.906,"900-10-10C0004.tiff"
1,11,5,7,14,140,0.45,5,0,0.754,"900-10-10C0006.tiff"
2,11,5,7,15,137,0.448,5,0,1.107,"900-10-10C0006.tiff"
3,11,5,7,11,155,0.48,5,0,1.086,"900-10-10C0006.tiff"
4,7,3,5,9,133,0.625,3,0,1.263,"900-10-10C0006.tiff"
5,5,2,4,8,86,0.615,2,0,0.972,"900-10-10C0006.tiff"
6,9,4,6,11,145,0.528,4,0,1.341,"900-10-10C0006.tiff"
7,3,1,3,4,60,0.693,1,0,0.812,"900-10-10C0006.tiff"
8,9,4,6,11,125,0.477,4,0,0.797,"900-10-10C0006.tiff"
9,3,1,3,1,62,0.659,1,0,0.894,"900-10-10C0006.tiff"
10,5,2,4,5,97,0.638,2,0,1.149,"900-10-10C0006.tiff"
11,7,3,5,5,126,0.579,3,0,0.721,"900-10-10C0006.tiff"
