Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.358,0.105,3.934,0,0.157,4.249,0,0.319,0.347,255,255
1,0.205,0.341,4.302,0,0.157,4.249,0,0.191,0.202,255,255
1,0.111,0.079,4.328,0,0.157,4.249,0,0.111,0.111,255,255
2,0.026,0.079,13.220,0,0.105,13.220,0,0.026,0.026,255,255
3,0.138,0.105,8.446,0,0.210,8.367,0,0.131,0.120,255,255
4,0.363,0.708,21.561,0,0.367,21.613,0,0.345,0.345,255,255
4,0.227,0.105,21.718,0,0.262,21.587,0,0.205,0.217,255,255
4,0.142,0.289,21.456,0,0.262,21.587,0,0.134,0.142,255,255
4,0.116,0.262,21.587,0,0.367,21.613,0,0.108,0.037,255,255
4,0.090,0.393,21.692,0,0.367,21.613,0,0.083,0.090,255,255
5,0.459,0.289,15.607,0,0.393,15.948,0,0.357,0.411,255,255
5,0.227,0.577,16.052,0,0.393,15.948,0,0.211,0.222,255,255
5,0.100,0.446,15.869,0,0.393,15.948,0,0.095,0.093,255,255
6,0.138,0.341,6.793,0,0.446,6.715,0,0.131,0.120,255,255
7,0.063,0.367,8.761,0,0.393,8.813,0,0.059,0.056,255,255
8,0.236,0.420,8.420,0,0.420,8.656,0,0.236,0.236,255,255
9,0.583,0.420,17.679,0,0.970,17.705,0,0.551,0.557,255,255
10,0.221,0.525,4.800,0,0.734,4.774,0,0.211,0.216,255,255
11,0.026,0.525,6.164,0,0.525,6.190,0,0.026,0.026,255,255
12,0.090,0.525,6.977,0,0.577,6.925,0,0.074,0.080,255,255
13,0.384,1.075,4.197,0,1.075,3.856,0,0.341,0.365,255,255
13,0.380,1.285,3.305,0,1.128,3.620,0,0.352,0.359,255,255
13,0.349,0.866,3.410,0,1.128,3.620,0,0.336,0.322,255,255
13,0.310,0.551,3.908,0,0.839,3.856,0,0.293,0.291,255,255
13,0.284,1.416,3.882,0,1.154,3.830,0,0.267,0.275,255,255
13,0.242,1.128,3.620,0,1.154,3.830,0,0.211,0.171,255,255
13,0.238,0.656,3.725,0,0.839,3.856,0,0.226,0.177,255,255
13,0.236,0.839,3.856,0,1.075,3.856,0,0.236,0.210,255,255
13,0.090,1.075,3.856,0,1.154,3.830,0,0.083,0.026,255,255
14,0.485,0.577,25.757,0,0.997,25.652,0,0.433,0.459,255,255
15,0.185,0.682,16.052,0,0.813,16.184,0,0.185,0.185,255,255
16,0.052,0.708,3.384,0,0.761,3.384,0,0.052,0.052,255,255
17,1.444,0.813,9.784,0,2.046,9.731,0,1.234,1.365,255,255
17,0.249,2.230,9.889,0,2.046,9.731,0,0.242,0.228,255,255
17,0.247,2.282,9.757,0,2.046,9.731,0,0.238,0.242,255,255
17,0.188,2.125,9.600,0,2.046,9.731,0,0.153,0.188,255,255
17,0.116,2.020,9.626,0,2.046,9.731,0,0.108,0.106,255,255
18,0.590,1.416,20.721,0,1.128,21.062,0,0.447,0.560,255,255
18,0.581,1.049,21.456,0,1.128,21.062,0,0.401,0.543,255,255
18,0.537,1.548,20.957,0,1.128,21.062,0,0.433,0.506,255,255
19,0.976,1.679,16.420,0,2.413,16.052,0,0.821,0.863,255,255
19,0.681,1.154,16.079,0,1.679,16.420,0,0.626,0.650,255,255
19,0.338,2.151,15.869,0,2.413,16.052,0,0.320,0.316,255,255
19,0.310,1.731,16.131,0,1.679,16.420,0,0.293,0.316,255,255
19,0.090,2.492,16.079,0,2.413,16.052,0,0.083,0.082,255,255
20,0.063,1.311,9.548,0,1.364,9.521,0,0.059,0.056,255,255
21,2.684,3.777,19.357,0,5.351,21.036,0,2.301,2.445,255,255
21,1.389,5.666,20.433,0,5.928,19.174,0,1.286,1.311,255,255
21,1.234,1.364,18.334,0,2.020,18.964,0,0.909,1.155,255,255
21,1.199,3.174,18.125,0,3.252,19.095,0,0.974,1.150,255,255
21,1.053,5.928,19.174,0,6.715,18.859,0,0.848,0.940,255,255
21,0.982,3.777,19.357,0,4.354,18.675,0,0.893,0.890,255,255
21,0.951,2.334,19.174,0,3.252,19.095,0,0.921,0.900,255,255
21,0.840,5.010,18.597,0,5.639,19.069,0,0.787,0.742,255,255
21,0.823,7.764,18.177,0,7.213,18.597,0,0.692,0.759,255,255
21,0.792,6.741,18.230,0,6.715,18.859,0,0.630,0.767,255,255
21,0.701,4.354,18.675,0,4.774,18.780,0,0.433,0.571,255,255
21,0.649,3.252,19.095,0,3.777,19.357,0,0.587,0.526,255,255
21,0.607,6.715,18.859,0,7.213,18.597,0,0.563,0.463,255,255
21,0.422,5.272,19.200,0,5.639,19.069,0,0.390,0.392,255,255
21,0.402,2.020,18.964,0,2.334,19.174,0,0.378,0.294,255,255
21,0.358,5.351,21.036,0,5.456,21.351,0,0.332,0.295,255,255
21,0.332,5.692,21.508,0,5.456,21.351,0,0.284,0.325,255,255
21,0.332,5.639,19.069,0,5.928,19.174,0,0.307,0.278,255,255
21,0.327,4.774,18.780,0,5.010,18.597,0,0.299,0.228,255,255
21,0.290,2.125,19.331,0,2.334,19.174,0,0.262,0.255,255,255
21,0.290,7.633,18.754,0,7.397,18.623,0,0.270,0.224,255,255
21,0.264,7.607,18.492,0,7.397,18.623,0,0.247,0.236,255,255
21,0.194,7.213,18.597,0,7.397,18.623,0,0.185,0.131,255,255
21,0.179,4.957,18.439,0,5.010,18.597,0,0.166,0.165,255,255
21,0.168,4.800,18.938,0,4.774,18.780,0,0.160,0.174,255,255
21,0.100,5.403,21.430,0,5.456,21.351,0,0.095,0.100,255,255
21,0.079,5.430,21.036,0,5.351,21.036,0,0.079,0.079,255,255
21,0.074,1.993,18.990,0,2.020,18.964,0,0.037,0.000,0,0
21,0.026,4.354,18.675,0,4.354,18.675,0,0.000,0.000,0,0
22,1.629,4.433,2.492,0,5.718,3.174,0,1.455,1.459,255,255
22,1.525,2.649,2.282,0,4.066,2.544,0,1.440,1.409,255,255
22,1.503,3.698,3.567,0,4.433,2.492,0,1.302,1.437,255,255
22,1.350,2.361,1.967,0,2.413,0.682,0,1.286,1.296,255,255
22,1.177,1.390,1.521,0,2.361,1.967,0,1.068,1.125,255,255
22,1.147,4.092,1.416,0,4.275,2.466,0,1.065,1.100,255,255
22,1.061,1.757,2.833,0,2.413,2.151,0,0.946,0.930,255,255
22,0.943,3.489,3.226,0,4.066,2.544,0,0.893,0.923,255,255
22,0.800,4.459,3.436,0,4.695,2.780,0,0.697,0.770,255,255
22,0.780,1.731,0.446,0,2.413,0.682,0,0.722,0.732,255,255
22,0.745,2.308,3.226,0,1.757,2.833,0,0.677,0.692,255,255
22,0.727,5.954,3.803,0,5.718,3.174,0,0.672,0.699,255,255
22,0.683,5.141,3.279,0,4.695,2.780,0,0.669,0.655,255,255
22,0.612,2.439,2.807,0,2.649,2.282,0,0.565,0.606,255,255
22,0.513,1.521,3.226,0,1.757,2.833,0,0.459,0.478,255,255
22,0.494,2.885,0.630,0,2.413,0.682,0,0.475,0.491,255,255
22,0.456,2.754,0.393,0,2.413,0.682,0,0.447,0.442,255,255
22,0.392,4.433,2.492,0,4.695,2.780,0,0.390,0.297,255,255
22,0.306,2.413,2.151,0,2.649,2.282,0,0.270,0.221,255,255
22,0.286,6.138,3.279,0,5.928,3.095,0,0.279,0.228,255,255
22,0.275,6.138,2.938,0,5.928,3.095,0,0.262,0.248,255,255
22,0.242,4.066,2.544,0,4.275,2.466,0,0.224,0.143,255,255
22,0.242,5.718,3.174,0,5.928,3.095,0,0.224,0.135,255,255
22,0.205,2.361,1.967,0,2.413,2.151,0,0.191,0.169,255,255
22,0.168,4.275,2.466,0,4.433,2.492,0,0.160,0.083,255,255
23,1.421,2.230,5.325,0,3.331,4.643,0,1.296,1.282,255,255
23,1.304,2.492,4.275,0,2.230,5.325,0,1.081,1.238,255,255
23,1.086,2.125,5.849,0,2.492,6.715,0,0.940,0.947,255,255
23,1.048,3.410,4.800,0,3.620,5.613,0,0.840,0.920,255,255
23,1.025,2.492,6.715,0,2.675,7.633,0,0.936,0.915,255,255
23,0.906,3.856,6.689,0,4.092,7.423,0,0.771,0.821,255,255
23,0.803,1.521,5.089,0,2.151,5.508,0,0.757,0.753,255,255
23,0.784,3.751,8.157,0,3.043,8.184,0,0.709,0.750,255,255
23,0.740,4.328,7.187,0,3.856,6.689,0,0.686,0.698,255,255
23,0.622,3.620,5.613,0,3.856,6.138,0,0.575,0.506,255,255
23,0.613,2.623,8.970,0,2.964,8.498,0,0.582,0.574,255,255
23,0.612,2.387,8.000,0,2.911,8.105,0,0.535,0.598,255,255
23,0.592,2.675,7.633,0,2.911,8.105,0,0.528,0.495,255,255
23,0.581,2.990,3.934,0,3.279,4.380,0,0.531,0.489,255,255
23,0.487,1.757,6.138,0,2.125,5.849,0,0.467,0.454,255,255
23,0.406,3.148,8.813,0,2.964,8.498,0,0.364,0.372,255,255
23,0.386,3.541,4.118,0,3.279,4.380,0,0.371,0.373,255,255
23,0.365,2.413,7.843,0,2.675,7.633,0,0.336,0.341,255,255
23,0.352,2.125,5.849,0,2.151,5.508,0,0.342,0.262,255,255
23,0.349,2.282,6.977,0,2.492,6.715,0,0.336,0.330,255,255
23,0.347,3.830,6.374,0,3.856,6.689,0,0.316,0.256,255,255
23,0.347,2.964,8.498,0,3.043,8.184,0,0.324,0.271,255,255
23,0.327,3.305,5.062,0,3.410,4.800,0,0.283,0.285,255,255
23,0.317,4.275,7.633,0,4.092,7.423,0,0.279,0.288,255,255
23,0.306,3.279,4.380,0,3.331,4.643,0,0.267,0.242,255,255
23,0.269,2.754,3.856,0,2.990,3.934,0,0.249,0.247,255,255
23,0.253,3.751,5.430,0,3.620,5.613,0,0.226,0.246,255,255
23,0.253,4.302,7.318,0,4.092,7.423,0,0.235,0.226,255,255
23,0.249,3.148,3.751,0,2.990,3.934,0,0.242,0.248,255,255
23,0.247,3.830,6.374,0,3.856,6.138,0,0.238,0.227,255,255
23,0.242,3.331,4.643,0,3.410,4.800,0,0.176,0.158,255,255
23,0.216,2.151,5.508,0,2.230,5.325,0,0.200,0.187,255,255
23,0.179,2.911,8.105,0,3.043,8.184,0,0.153,0.098,255,255
23,0.063,3.882,6.400,0,3.830,6.374,0,0.059,0.063,255,255
23,0.063,3.908,6.164,0,3.856,6.138,0,0.059,0.063,255,255
24,2.043,2.413,12.748,0,3.987,12.590,0,1.582,1.863,255,255
24,0.893,3.279,12.302,0,3.987,12.590,0,0.765,0.804,255,255
24,0.867,4.275,11.882,0,3.987,12.590,0,0.765,0.827,255,255
24,0.821,2.046,11.384,0,1.836,12.118,0,0.764,0.784,255,255
24,0.738,4.223,12.590,0,4.852,12.852,0,0.682,0.670,255,255
24,0.692,2.728,12.223,0,2.413,12.748,0,0.612,0.652,255,255
24,0.638,2.466,13.298,0,2.413,12.748,0,0.553,0.599,255,255
24,0.594,2.387,11.803,0,1.967,12.223,0,0.594,0.594,255,255
24,0.550,4.643,12.275,0,4.223,12.590,0,0.525,0.519,255,255
24,0.522,2.125,12.407,0,2.413,12.748,0,0.447,0.411,255,255
24,0.450,2.466,12.144,0,2.125,12.407,0,0.430,0.430,255,255
24,0.380,1.521,12.170,0,1.836,12.118,0,0.319,0.346,255,255
24,0.290,4.852,12.852,0,4.984,13.089,0,0.270,0.197,255,255
24,0.249,1.967,12.223,0,2.125,12.407,0,0.242,0.164,255,255
24,0.238,5.036,12.721,0,4.852,12.852,0,0.226,0.224,255,255
24,0.236,3.987,12.590,0,4.223,12.590,0,0.236,0.105,255,255
24,0.175,1.836,12.118,0,1.967,12.223,0,0.168,0.098,255,255
24,0.153,5.115,13.036,0,4.984,13.089,0,0.141,0.139,255,255
24,0.052,3.279,12.354,0,3.279,12.302,0,0.052,0.052,255,255
24,0.052,4.984,13.141,0,4.984,13.089,0,0.052,0.052,255,255
24,0.026,3.279,12.302,0,3.279,12.302,0,0.000,0.000,0,0
25,0.037,1.574,4.407,0,1.600,4.380,0,0.037,0.037,255,255
26,0.212,1.574,8.734,0,1.731,8.866,0,0.205,0.219,255,255
27,0.227,1.626,1.233,0,1.731,1.049,0,0.211,0.198,255,255
28,0.052,1.679,9.521,0,1.731,9.521,0,0.052,0.052,255,255
