Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
2,0.179,0.131,11.384,0,0.289,11.384,0,0.157,0.162,255,255
3,0.179,0.184,13.666,0,0.341,13.718,0,0.166,0.165,255,255
3,0.074,0.315,13.744,0,0.341,13.718,0,0.037,0.000,0,0
3,0.052,0.393,13.718,0,0.341,13.718,0,0.052,0.026,255,255
4,0.063,0.184,17.915,0,0.236,17.889,0,0.059,0.056,255,255
5,0.037,0.393,21.220,0,0.420,21.193,0,0.037,0.037,255,255
6,0.037,0.420,12.957,0,0.446,12.931,0,0.037,0.037,255,255
7,0.079,0.472,11.095,0,0.472,11.174,0,0.079,0.079,255,255
8,0.205,0.551,13.770,0,0.603,13.954,0,0.191,0.193,255,255
9,0.052,0.577,10.439,0,0.577,10.492,0,0.052,0.052,255,255
10,0.116,0.630,13.377,0,0.656,13.272,0,0.108,0.106,255,255
11,0.090,0.656,2.623,0,0.734,2.649,0,0.083,0.083,255,255
12,0.168,0.734,12.879,0,0.892,12.852,0,0.160,0.164,255,255
13,0.074,0.734,19.830,0,0.787,19.882,0,0.074,0.074,255,255
14,0.037,0.761,13.167,0,0.787,13.193,0,0.037,0.037,255,255
15,0.264,0.866,6.636,0,0.997,6.846,0,0.247,0.236,255,255
16,0.026,0.866,13.062,0,0.892,13.062,0,0.026,0.026,255,255
17,0.026,0.892,17.180,0,0.918,17.180,0,0.026,0.026,255,255
18,0.443,0.944,4.616,0,1.233,4.354,0,0.390,0.428,255,255
20,1.240,4.223,17.862,0,3.252,18.387,0,1.103,1.170,255,255
20,1.159,1.679,19.200,0,2.544,18.702,0,0.999,1.117,255,255
20,1.140,3.043,18.754,0,3.620,19.593,0,1.019,0.984,255,255
20,1.118,3.252,18.072,0,3.620,17.075,0,1.062,1.044,255,255
20,1.002,4.459,19.462,0,3.620,19.593,0,0.850,0.956,255,255
20,0.941,1.889,18.125,0,2.544,18.702,0,0.873,0.773,255,255
20,0.745,2.911,17.469,0,3.252,18.072,0,0.693,0.707,255,255
20,0.576,3.279,20.249,0,3.593,19.803,0,0.546,0.462,255,255
20,0.550,3.961,20.170,0,3.593,19.803,0,0.519,0.523,255,255
20,0.520,2.544,18.702,0,3.043,18.754,0,0.501,0.477,255,255
20,0.454,3.043,18.754,0,3.252,18.387,0,0.423,0.391,255,255
20,0.434,1.574,18.413,0,1.889,18.125,0,0.427,0.420,255,255
20,0.428,1.731,17.784,0,1.889,18.125,0,0.376,0.403,255,255
20,0.315,3.252,18.072,0,3.252,18.387,0,0.315,0.289,255,255
20,0.221,3.593,19.803,0,3.620,19.593,0,0.211,0.157,255,255
20,0.168,3.121,20.275,0,3.279,20.249,0,0.160,0.164,255,255
20,0.168,3.462,17.102,0,3.620,17.075,0,0.160,0.174,255,255
20,0.153,3.672,16.944,0,3.620,17.075,0,0.141,0.143,255,255
20,0.111,3.698,17.102,0,3.620,17.075,0,0.083,0.111,255,255
20,0.063,3.305,20.302,0,3.279,20.249,0,0.059,0.063,255,255
21,0.590,2.439,6.164,0,1.941,5.928,0,0.551,0.546,255,255
21,0.539,2.282,5.561,0,1.941,5.928,0,0.501,0.543,255,255
21,0.469,1.600,5.954,0,1.941,5.928,0,0.342,0.453,255,255
21,0.380,1.626,5.823,0,1.941,5.928,0,0.332,0.357,255,255
22,0.190,1.731,12.354,0,1.889,12.433,0,0.176,0.197,255,255
23,0.063,1.784,13.115,0,1.810,13.062,0,0.059,0.056,255,255
24,0.985,3.646,14.085,0,2.780,13.797,0,0.912,0.943,255,255
24,0.932,1.810,13.193,0,2.413,13.875,0,0.911,0.906,255,255
24,0.679,2.282,14.767,0,2.203,14.216,0,0.556,0.639,255,255
24,0.428,2.203,14.216,0,2.413,13.875,0,0.400,0.346,255,255
24,0.422,2.413,13.875,0,2.780,13.797,0,0.376,0.324,255,255
24,0.375,1.915,14.426,0,2.203,14.216,0,0.357,0.352,255,255
24,0.216,2.859,13.613,0,2.780,13.797,0,0.200,0.213,255,255
25,0.454,2.570,4.616,0,2.361,4.249,0,0.423,0.425,255,255
25,0.404,1.967,4.275,0,2.361,4.249,0,0.394,0.396,255,255
25,0.201,2.361,4.249,0,2.492,4.118,0,0.185,0.113,255,255
25,0.142,2.518,3.987,0,2.492,4.118,0,0.134,0.142,255,255
26,0.052,1.993,16.970,0,2.046,16.970,0,0.052,0.052,255,255
27,0.026,2.020,6.531,0,2.020,6.557,0,0.026,0.026,255,255
28,0.258,2.203,11.148,0,2.256,11.384,0,0.242,0.184,255,255
28,0.253,2.046,11.489,0,2.256,11.384,0,0.235,0.252,255,255
28,0.190,2.361,11.121,0,2.203,11.148,0,0.160,0.174,255,255
28,0.138,2.361,11.462,0,2.256,11.384,0,0.131,0.106,255,255
28,0.026,2.203,11.148,0,2.203,11.148,0,0.000,0.000,0,0
29,0.500,2.125,16.315,0,2.544,16.420,0,0.433,0.459,255,255
30,0.116,2.361,24.315,0,2.387,24.420,0,0.108,0.110,255,255
31,0.227,2.387,15.607,0,2.570,15.711,0,0.211,0.202,255,255
32,2.136,2.597,7.607,0,3.174,6.164,0,1.554,2.002,255,255
32,1.354,2.728,5.062,0,3.174,6.164,0,1.188,1.231,255,255
32,0.972,2.623,8.813,0,2.649,7.895,0,0.918,0.871,255,255
32,0.683,3.069,7.134,0,2.597,7.607,0,0.668,0.662,255,255
32,0.528,3.725,6.741,0,3.462,6.321,0,0.495,0.505,255,255
32,0.423,3.252,7.659,0,2.938,7.921,0,0.410,0.411,255,255
32,0.423,3.252,8.184,0,2.938,7.921,0,0.410,0.359,255,255
32,0.369,3.174,6.164,0,3.462,6.321,0,0.329,0.267,255,255
32,0.354,2.911,8.970,0,2.623,8.813,0,0.329,0.323,255,255
32,0.349,2.413,9.075,0,2.623,8.813,0,0.336,0.344,255,255
32,0.326,3.777,6.348,0,3.462,6.321,0,0.316,0.326,255,255
32,0.310,2.597,7.607,0,2.649,7.895,0,0.293,0.238,255,255
32,0.299,2.649,7.895,0,2.938,7.921,0,0.290,0.210,255,255
32,0.205,2.780,4.879,0,2.728,5.062,0,0.191,0.158,255,255
32,0.201,2.597,4.931,0,2.728,5.062,0,0.185,0.183,255,255
33,0.216,2.675,26.334,0,2.780,26.177,0,0.189,0.199,255,255
34,1.801,4.905,3.043,0,6.348,2.964,0,1.445,1.692,255,255
34,1.586,4.616,4.485,0,4.721,2.964,0,1.525,1.481,255,255
34,1.367,5.692,1.862,0,4.564,2.282,0,1.203,1.319,255,255
34,1.059,5.561,3.830,0,4.905,3.043,0,1.024,1.019,255,255
34,1.026,3.567,1.705,0,4.354,2.230,0,0.946,0.992,255,255
34,0.981,2.780,2.728,0,3.620,2.387,0,0.906,0.929,255,255
34,0.977,4.459,1.364,0,4.564,2.282,0,0.924,0.950,255,255
34,0.899,7.082,2.597,0,6.348,2.964,0,0.821,0.865,255,255
34,0.880,3.620,2.387,0,4.354,2.230,0,0.751,0.805,255,255
34,0.848,6.452,3.725,0,6.348,2.964,0,0.768,0.786,255,255
34,0.801,4.616,4.485,0,4.931,5.141,0,0.727,0.670,255,255
34,0.747,4.564,2.282,0,4.721,2.964,0,0.700,0.645,255,255
34,0.605,6.348,2.964,0,6.426,2.413,0,0.556,0.460,255,255
34,0.579,6.348,2.964,0,6.898,3.043,0,0.556,0.448,255,255
34,0.428,4.957,4.695,0,4.616,4.485,0,0.400,0.391,255,255
34,0.428,7.239,3.252,0,6.898,3.043,0,0.400,0.352,255,255
34,0.349,3.410,2.125,0,3.620,2.387,0,0.336,0.284,255,255
34,0.338,6.689,2.230,0,6.426,2.413,0,0.320,0.325,255,255
34,0.275,7.108,2.885,0,6.898,3.043,0,0.262,0.264,255,255
34,0.253,4.826,5.351,0,4.931,5.141,0,0.235,0.251,255,255
34,0.232,4.354,2.230,0,4.564,2.282,0,0.216,0.158,255,255
34,0.216,4.721,2.964,0,4.905,3.043,0,0.200,0.127,255,255
34,0.100,6.374,2.334,0,6.426,2.413,0,0.095,0.087,255,255
34,0.074,4.957,5.115,0,4.931,5.141,0,0.037,0.000,0,0
35,0.052,2.885,26.334,0,2.938,26.334,0,0.052,0.052,255,255
36,0.478,2.990,9.233,0,3.331,9.049,0,0.387,0.446,255,255
37,2.477,5.115,10.807,0,6.925,9.233,0,2.398,2.360,255,255
37,1.971,3.095,11.069,0,4.643,10.256,0,1.748,1.929,255,255
37,1.901,6.925,11.777,0,8.761,11.934,0,1.843,1.772,255,255
37,1.881,4.669,8.603,0,4.643,10.256,0,1.653,1.796,255,255
37,1.797,4.643,12.616,0,5.561,11.200,0,1.688,1.762,255,255
37,1.710,5.639,12.931,0,6.138,11.515,0,1.502,1.657,255,255
37,1.552,8.367,13.325,0,9.023,12.066,0,1.420,1.444,255,255
37,1.452,7.711,12.826,0,6.925,11.777,0,1.311,1.393,255,255
37,1.180,9.023,12.066,0,10.072,12.380,0,1.095,0.989,255,255
37,1.165,7.948,12.748,0,8.761,11.934,0,1.150,1.151,255,255
37,0.896,6.138,11.515,0,6.925,11.777,0,0.829,0.796,255,255
37,0.792,4.643,10.256,0,5.115,10.807,0,0.725,0.681,255,255
37,0.784,7.397,8.603,0,6.951,9.049,0,0.631,0.689,255,255
37,0.707,5.561,11.200,0,6.138,11.515,0,0.657,0.599,255,255
37,0.655,5.115,10.807,0,5.561,11.200,0,0.595,0.558,255,255
37,0.635,10.466,12.852,0,10.072,12.380,0,0.615,0.606,255,255
37,0.620,10.728,11.882,0,10.308,12.328,0,0.612,0.606,255,255
37,0.543,9.390,11.698,0,9.023,12.066,0,0.519,0.516,255,255
37,0.513,10.702,12.616,0,10.308,12.328,0,0.488,0.486,255,255
37,0.432,8.472,13.639,0,8.184,13.613,0,0.290,0.354,255,255
37,0.365,8.184,13.613,0,8.367,13.325,0,0.342,0.293,255,255
37,0.317,8.761,11.934,0,9.023,12.066,0,0.293,0.230,255,255
37,0.290,7.056,9.469,0,6.925,9.233,0,0.270,0.258,255,255
37,0.275,6.741,8.892,0,6.951,9.049,0,0.262,0.248,255,255
37,0.258,10.072,12.380,0,10.308,12.328,0,0.242,0.213,255,255
37,0.194,6.925,9.233,0,6.951,9.049,0,0.185,0.131,255,255
37,0.164,8.472,13.430,0,8.367,13.325,0,0.148,0.146,255,255
37,0.153,8.052,13.666,0,8.184,13.613,0,0.141,0.141,255,255
38,0.090,3.252,24.708,0,3.331,24.682,0,0.083,0.083,255,255
39,0.074,3.436,0.236,0,3.489,0.289,0,0.074,0.074,255,255
40,0.100,3.462,24.131,0,3.541,24.079,0,0.095,0.106,255,255
41,0.052,3.593,24.498,0,3.646,24.498,0,0.052,0.052,255,255
42,0.559,3.672,15.738,0,3.856,15.397,0,0.387,0.514,255,255
42,0.505,4.328,15.423,0,3.856,15.397,0,0.473,0.482,255,255
42,0.100,3.908,15.318,0,3.856,15.397,0,0.095,0.104,255,255
43,1.492,5.666,15.344,0,5.115,14.111,0,1.350,1.409,255,255
43,0.931,6.164,13.639,0,7.030,13.534,0,0.872,0.827,255,255
43,0.854,5.456,13.902,0,6.164,13.639,0,0.755,0.728,255,255
43,0.721,3.830,14.111,0,4.485,14.164,0,0.658,0.675,255,255
43,0.703,4.748,13.482,0,5.115,14.033,0,0.662,0.680,255,255
43,0.651,4.485,14.164,0,5.115,14.111,0,0.632,0.583,255,255
43,0.480,5.298,13.508,0,5.456,13.902,0,0.424,0.466,255,255
43,0.395,5.115,14.033,0,5.456,13.902,0,0.365,0.288,255,255
43,0.190,4.407,14.321,0,4.485,14.164,0,0.176,0.149,255,255
43,0.100,5.115,14.033,0,5.115,14.111,0,0.079,0.000,0,0
43,0.090,7.082,13.587,0,7.030,13.534,0,0.074,0.082,255,255
43,0.074,7.082,13.482,0,7.030,13.534,0,0.074,0.074,255,255
43,0.026,6.164,13.613,0,6.164,13.639,0,0.026,0.026,255,255
44,1.298,4.144,7.397,0,5.351,7.370,0,1.207,1.178,255,255
44,1.129,8.236,4.013,0,7.292,4.197,0,0.962,1.057,255,255
44,1.090,7.685,4.879,0,7.948,5.823,0,0.980,0.975,255,255
44,1.066,7.554,7.239,0,8.262,6.636,0,0.930,0.923,255,255
44,0.965,7.948,5.823,0,8.262,6.636,0,0.872,0.857,255,255
44,0.930,5.456,6.426,0,5.875,7.161,0,0.846,0.889,255,255
44,0.915,6.243,8.000,0,5.692,7.344,0,0.856,0.869,255,255
44,0.876,6.689,7.213,0,7.554,7.239,0,0.866,0.787,255,255
44,0.860,7.449,7.948,0,7.554,7.239,0,0.716,0.813,255,255
44,0.858,8.262,6.636,0,9.023,6.400,0,0.796,0.754,255,255
44,0.808,6.689,3.777,0,7.292,4.197,0,0.735,0.754,255,255
44,0.777,6.846,6.479,0,6.426,7.030,0,0.692,0.743,255,255
44,0.686,5.246,8.000,0,5.508,7.423,0,0.634,0.639,255,255
44,0.620,4.931,6.925,0,5.351,7.370,0,0.612,0.599,255,255
44,0.588,6.400,6.452,0,6.426,7.030,0,0.578,0.583,255,255
44,0.544,7.266,4.616,0,7.685,4.879,0,0.495,0.436,255,255
44,0.483,6.715,7.685,0,6.689,7.213,0,0.473,0.483,255,255
44,0.472,5.875,7.161,0,6.348,7.161,0,0.472,0.446,255,255
44,0.450,6.925,4.879,0,7.266,4.616,0,0.430,0.427,255,255
44,0.431,7.266,4.616,0,7.292,4.197,0,0.420,0.367,255,255
44,0.411,8.052,4.774,0,7.685,4.879,0,0.382,0.381,255,255
44,0.406,4.144,7.056,0,4.144,7.397,0,0.341,0.381,255,255
44,0.363,6.348,7.161,0,6.689,7.213,0,0.345,0.291,255,255
44,0.275,5.692,7.344,0,5.875,7.161,0,0.260,0.164,255,255
44,0.264,8.131,5.980,0,7.948,5.823,0,0.242,0.243,255,255
44,0.216,5.508,7.423,0,5.692,7.344,0,0.200,0.165,255,255
44,0.194,3.961,7.423,0,4.144,7.397,0,0.185,0.187,255,255
44,0.179,5.351,7.370,0,5.508,7.423,0,0.166,0.079,255,255
44,0.164,6.348,7.161,0,6.426,7.030,0,0.153,0.090,255,255
44,0.100,9.075,6.321,0,9.023,6.400,0,0.095,0.104,255,255
44,0.100,9.102,6.452,0,9.023,6.400,0,0.095,0.093,255,255
45,1.011,4.590,17.574,0,4.511,16.734,0,0.843,0.941,255,255
45,0.616,3.961,16.734,0,4.511,16.734,0,0.551,0.577,255,255
45,0.227,4.616,16.551,0,4.511,16.734,0,0.211,0.217,255,255
46,0.116,4.066,8.446,0,4.170,8.472,0,0.108,0.107,255,255
47,0.105,4.197,23.528,0,4.302,23.528,0,0.105,0.105,255,255
48,0.090,4.380,17.810,0,4.459,17.836,0,0.083,0.083,255,255
49,0.026,4.564,8.315,0,4.590,8.315,0,0.026,0.026,255,255
50,0.100,4.590,26.072,0,4.643,25.993,0,0.095,0.098,255,255
51,0.205,4.616,23.370,0,4.695,23.213,0,0.176,0.187,255,255
52,0.138,4.721,23.502,0,4.826,23.580,0,0.131,0.138,255,255
53,0.406,5.482,18.597,0,5.220,18.308,0,0.390,0.385,255,255
53,0.247,5.193,18.544,0,5.220,18.308,0,0.238,0.253,255,255
