Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
2,2.133,4.302,22.505,0,2.597,21.508,0,1.975,2.022,255,255
2,1.605,0.682,21.351,0,1.967,20.826,0,1.388,1.517,255,255
2,1.446,2.072,22.715,0,2.597,21.508,0,1.316,1.363,255,255
2,1.270,3.226,20.328,0,2.282,21.010,0,1.165,1.235,255,255
2,1.059,1.416,19.043,0,1.757,19.961,0,0.979,0.946,255,255
2,0.945,1.757,19.961,0,1.967,20.826,0,0.891,0.760,255,255
2,0.933,0.708,19.751,0,1.521,20.039,0,0.863,0.877,255,255
2,0.783,0.944,20.538,0,1.521,20.039,0,0.762,0.726,255,255
2,0.725,2.203,19.436,0,1.757,19.961,0,0.688,0.701,255,255
2,0.644,2.282,21.010,0,2.597,21.508,0,0.589,0.544,255,255
2,0.522,1.810,19.121,0,1.416,19.043,0,0.401,0.473,255,255
2,0.474,0.997,19.121,0,1.416,19.043,0,0.427,0.450,255,255
2,0.391,1.967,20.826,0,2.282,21.010,0,0.364,0.296,255,255
2,0.315,1.521,20.039,0,1.757,19.961,0,0.249,0.289,255,255
2,0.216,0.577,21.193,0,0.682,21.351,0,0.189,0.191,255,255
2,0.138,0.577,21.430,0,0.682,21.351,0,0.131,0.087,255,255
3,0.037,0.656,20.170,0,0.682,20.144,0,0.037,0.037,255,255
4,0.026,0.839,20.170,0,0.866,20.170,0,0.026,0.026,255,255
5,0.026,0.970,4.984,0,0.970,5.010,0,0.026,0.026,255,255
6,0.797,0.970,18.439,0,1.626,18.256,0,0.681,0.754,255,255
7,0.052,1.941,23.554,0,1.993,23.554,0,0.052,0.052,255,255
8,1.694,3.698,13.062,0,4.170,11.725,0,1.419,1.591,255,255
8,1.144,2.544,11.830,0,3.515,11.725,0,0.976,0.974,255,255
8,1.100,5.167,11.908,0,4.328,11.593,0,0.896,1.050,255,255
8,0.789,5.062,11.462,0,4.328,11.593,0,0.746,0.767,255,255
8,0.677,3.515,11.725,0,4.170,11.725,0,0.656,0.633,255,255
8,0.657,3.043,11.279,0,3.515,11.725,0,0.649,0.636,255,255
8,0.620,3.961,10.833,0,4.380,11.279,0,0.612,0.599,255,255
8,0.480,2.151,11.830,0,2.544,11.830,0,0.393,0.474,255,255
8,0.445,4.695,10.964,0,4.380,11.279,0,0.445,0.408,255,255
8,0.332,4.275,11.567,0,4.380,11.279,0,0.307,0.252,255,255
8,0.201,4.170,11.725,0,4.275,11.567,0,0.189,0.109,255,255
8,0.100,2.597,11.751,0,2.544,11.830,0,0.095,0.104,255,255
8,0.063,4.275,11.567,0,4.328,11.593,0,0.059,0.026,255,255
9,0.609,4.800,19.095,0,4.354,19.436,0,0.561,0.565,255,255
9,0.544,4.354,19.436,0,4.590,19.882,0,0.505,0.443,255,255
9,0.454,3.830,18.702,0,4.039,19.069,0,0.423,0.412,255,255
9,0.397,4.302,18.780,0,4.039,19.069,0,0.390,0.339,255,255
9,0.358,4.039,19.331,0,4.354,19.436,0,0.332,0.267,255,255
9,0.306,4.039,19.069,0,4.039,19.331,0,0.262,0.252,255,255
9,0.201,3.882,19.436,0,4.039,19.331,0,0.189,0.185,255,255
9,0.127,4.538,19.987,0,4.590,19.882,0,0.117,0.124,255,255
9,0.063,4.643,19.908,0,4.590,19.882,0,0.059,0.063,255,255
10,0.391,4.223,25.705,0,4.538,25.521,0,0.364,0.362,255,255
11,0.052,4.328,2.413,0,4.328,2.466,0,0.052,0.052,255,255
12,0.127,4.538,2.334,0,4.590,2.439,0,0.117,0.109,255,255
13,0.079,4.564,2.046,0,4.564,2.125,0,0.079,0.079,255,255
14,0.365,4.669,22.348,0,4.957,22.164,0,0.342,0.331,255,255
14,0.238,5.141,22.295,0,4.957,22.164,0,0.226,0.191,255,255
14,0.194,4.931,21.980,0,4.957,22.164,0,0.185,0.157,255,255
15,0.769,5.036,2.990,0,5.062,3.646,0,0.656,0.724,255,255
15,0.138,5.089,3.751,0,5.062,3.646,0,0.108,0.130,255,255
15,0.116,4.957,3.620,0,5.062,3.646,0,0.108,0.110,255,255
16,0.026,4.984,7.187,0,5.010,7.187,0,0.026,0.026,255,255
18,0.769,5.482,13.823,0,5.587,14.505,0,0.690,0.724,255,255
18,0.733,6.216,14.662,0,5.587,14.505,0,0.649,0.685,255,255
18,0.613,5.980,14.085,0,5.587,14.505,0,0.575,0.582,255,255
18,0.338,5.403,14.767,0,5.587,14.505,0,0.320,0.261,255,255
18,0.321,5.508,15.030,0,5.403,14.767,0,0.283,0.295,255,255
18,0.221,5.193,14.793,0,5.403,14.767,0,0.211,0.210,255,255
19,1.929,6.977,23.475,0,8.787,23.502,0,1.810,1.762,255,255
19,1.609,10.230,24.052,0,11.567,23.397,0,1.490,1.552,255,255
19,1.332,5.298,23.685,0,6.479,23.948,0,1.209,1.271,255,255
19,1.248,6.243,22.584,0,6.872,23.528,0,1.135,1.220,255,255
19,1.231,8.315,24.262,0,9.259,23.607,0,1.150,1.185,255,255
19,1.139,9.416,25.207,0,10.230,24.420,0,1.132,1.118,255,255
19,1.089,10.230,22.741,0,9.862,23.554,0,0.892,1.048,255,255
19,1.083,9.652,22.689,0,9.862,23.554,0,0.891,1.043,255,255
19,1.020,10.649,26.020,0,10.623,25.075,0,0.945,0.981,255,255
19,0.976,6.741,22.662,0,6.977,23.475,0,0.847,0.925,255,255
19,0.849,10.230,24.420,0,10.623,25.075,0,0.765,0.721,255,255
19,0.784,6.348,24.656,0,6.479,23.948,0,0.720,0.761,255,255
19,0.699,9.259,23.607,0,9.862,23.554,0,0.606,0.642,255,255
19,0.666,11.436,24.813,0,10.990,25.233,0,0.612,0.619,255,255
19,0.644,9.862,23.554,0,10.230,24.052,0,0.619,0.532,255,255
19,0.629,6.479,23.948,0,6.872,23.528,0,0.575,0.539,255,255
19,0.561,8.498,23.082,0,8.787,23.502,0,0.509,0.537,255,255
19,0.516,8.787,23.502,0,9.259,23.607,0,0.484,0.427,255,255
19,0.465,11.357,25.416,0,10.990,25.233,0,0.411,0.431,255,255
19,0.454,10.623,25.075,0,10.990,25.233,0,0.400,0.384,255,255
19,0.389,10.230,24.052,0,10.230,24.420,0,0.367,0.326,255,255
19,0.127,11.620,23.502,0,11.567,23.397,0,0.117,0.120,255,255
19,0.127,11.672,23.344,0,11.567,23.397,0,0.117,0.113,255,255
19,0.127,6.872,23.528,0,6.977,23.475,0,0.117,0.066,255,255
20,0.848,7.764,21.115,0,7.030,21.298,0,0.757,0.784,255,255
20,0.749,5.980,21.272,0,6.715,21.325,0,0.736,0.620,255,255
20,0.709,5.482,21.744,0,5.980,21.272,0,0.686,0.699,255,255
20,0.610,5.980,22.007,0,6.059,21.430,0,0.582,0.606,255,255
20,0.598,6.452,21.849,0,6.059,21.430,0,0.575,0.559,255,255
20,0.537,6.610,21.797,0,6.715,21.325,0,0.484,0.538,255,255
20,0.508,7.370,21.666,0,7.030,21.298,0,0.501,0.487,255,255
20,0.326,6.715,21.325,0,7.030,21.298,0,0.316,0.253,255,255
20,0.199,5.980,21.272,0,6.059,21.430,0,0.176,0.079,255,255
20,0.063,5.954,21.220,0,5.980,21.272,0,0.059,0.056,255,255
22,1.157,6.715,6.138,0,5.954,5.403,0,1.057,1.107,255,255
22,0.706,5.902,4.459,0,5.875,5.089,0,0.630,0.659,255,255
22,0.369,5.875,5.089,0,5.954,5.403,0,0.324,0.296,255,255
22,0.323,5.718,5.613,0,5.954,5.403,0,0.316,0.302,255,255
22,0.184,5.692,5.089,0,5.875,5.089,0,0.184,0.184,255,255
23,0.380,6.111,19.305,0,6.216,18.990,0,0.332,0.345,255,255
24,1.755,8.708,2.885,0,7.318,2.754,0,1.396,1.695,255,255
24,1.254,6.216,3.069,0,7.318,2.754,0,1.146,1.179,255,255
24,1.198,7.554,3.751,0,7.318,2.754,0,1.024,1.159,255,255
24,0.882,7.318,2.754,0,8.000,3.252,0,0.845,0.723,255,255
24,0.795,7.528,2.046,0,7.318,2.754,0,0.739,0.757,255,255
24,0.581,8.262,3.725,0,8.000,3.252,0,0.540,0.542,255,255
24,0.190,8.157,3.174,0,8.000,3.252,0,0.176,0.169,255,255
25,3.056,7.502,9.128,0,9.600,11.069,0,2.858,2.825,255,255
25,2.048,8.708,12.748,0,9.600,11.069,0,1.901,1.877,255,255
25,1.522,10.938,11.121,0,9.731,11.095,0,1.207,1.427,255,255
25,1.364,9.731,11.095,0,10.780,11.751,0,1.237,1.312,255,255
25,0.854,6.321,8.105,0,7.056,8.393,0,0.789,0.788,255,255
25,0.740,6.925,9.521,0,7.502,9.128,0,0.698,0.689,255,255
25,0.526,7.213,7.948,0,7.056,8.393,0,0.473,0.493,255,255
25,0.476,7.502,8.892,0,7.790,8.551,0,0.447,0.420,255,255
25,0.460,7.528,8.236,0,7.239,8.577,0,0.447,0.441,255,255
25,0.428,8.472,13.062,0,8.708,12.748,0,0.393,0.407,255,255
25,0.423,7.239,8.577,0,7.502,8.892,0,0.410,0.346,255,255
25,0.327,10.990,11.961,0,10.780,11.751,0,0.297,0.308,255,255
25,0.306,8.052,8.498,0,7.790,8.551,0,0.267,0.284,255,255
25,0.290,7.056,8.393,0,7.239,8.577,0,0.260,0.221,255,255
25,0.286,10.964,11.541,0,10.780,11.751,0,0.279,0.265,255,255
25,0.280,8.866,12.931,0,8.708,12.748,0,0.242,0.252,255,255
25,0.258,7.502,8.892,0,7.502,9.128,0,0.236,0.194,255,255
25,0.142,9.600,11.069,0,9.731,11.095,0,0.134,0.052,255,255
25,0.116,7.764,8.446,0,7.790,8.551,0,0.108,0.110,255,255
26,0.290,6.400,18.334,0,6.531,18.098,0,0.270,0.272,255,255
27,0.432,6.767,12.826,0,7.134,12.826,0,0.367,0.404,255,255
28,0.037,7.344,15.921,0,7.370,15.895,0,0.037,0.037,255,255
29,0.642,7.659,21.875,0,7.764,22.452,0,0.587,0.605,255,255
30,0.037,8.026,4.905,0,8.052,4.931,0,0.037,0.037,255,255
31,0.238,8.420,19.043,0,8.603,18.911,0,0.226,0.243,255,255
32,0.026,8.446,21.062,0,8.472,21.062,0,0.026,0.026,255,255
