Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
2,0.063,0.105,16.184,0,0.131,16.236,0,0.059,0.056,255,255
3,0.269,0.105,22.085,0,0.131,22.321,0,0.238,0.240,255,255
4,0.063,0.105,22.531,0,0.131,22.479,0,0.059,0.056,255,255
6,0.026,0.236,16.052,0,0.262,16.052,0,0.026,0.026,255,255
7,0.026,0.236,18.177,0,0.262,18.177,0,0.026,0.026,255,255
8,0.063,0.289,6.741,0,0.315,6.793,0,0.059,0.066,255,255
9,0.026,0.289,21.246,0,0.315,21.246,0,0.026,0.026,255,255
12,0.026,0.367,12.564,0,0.367,12.590,0,0.026,0.026,255,255
13,0.037,0.367,25.338,0,0.393,25.311,0,0.037,0.037,255,255
14,0.090,0.393,19.908,0,0.472,19.934,0,0.083,0.083,255,255
15,0.052,0.420,22.610,0,0.472,22.610,0,0.052,0.052,255,255
16,0.037,0.446,7.134,0,0.472,7.108,0,0.037,0.037,255,255
17,0.052,0.472,13.744,0,0.472,13.797,0,0.052,0.052,255,255
19,0.063,0.525,15.161,0,0.551,15.213,0,0.059,0.066,255,255
20,0.052,0.734,2.413,0,0.734,2.466,0,0.052,0.052,255,255
21,0.026,0.734,16.026,0,0.761,16.026,0,0.026,0.026,255,255
22,0.026,0.787,9.705,0,0.787,9.731,0,0.026,0.026,255,255
23,0.312,0.866,7.607,0,1.075,7.397,0,0.297,0.303,255,255
23,0.227,1.233,7.528,0,1.075,7.397,0,0.205,0.206,255,255
23,0.100,1.075,7.318,0,1.075,7.397,0,0.079,0.093,255,255
24,0.026,0.918,4.695,0,0.918,4.721,0,0.026,0.026,255,255
25,0.037,0.970,0.184,0,0.997,0.210,0,0.037,0.037,255,255
26,0.063,0.970,23.318,0,1.023,23.344,0,0.059,0.056,255,255
27,0.037,0.997,26.098,0,1.023,26.125,0,0.037,0.037,255,255
28,0.063,1.049,19.226,0,1.102,19.252,0,0.059,0.066,255,255
29,0.026,1.102,8.289,0,1.128,8.289,0,0.026,0.026,255,255
30,0.026,1.102,25.338,0,1.128,25.338,0,0.026,0.026,255,255
31,0.142,1.128,5.613,0,1.154,5.482,0,0.134,0.132,255,255
33,0.026,1.180,10.466,0,1.207,10.466,0,0.026,0.026,255,255
35,0.037,1.207,3.725,0,1.233,3.698,0,0.037,0.037,255,255
37,0.286,1.207,18.885,0,1.390,18.675,0,0.279,0.278,255,255
39,0.190,1.285,16.446,0,1.364,16.603,0,0.176,0.178,255,255
40,0.026,1.285,22.584,0,1.285,22.610,0,0.026,0.026,255,255
41,0.026,1.311,9.311,0,1.311,9.338,0,0.026,0.026,255,255
42,0.063,1.338,6.557,0,1.390,6.531,0,0.059,0.056,255,255
43,0.090,1.338,15.607,0,1.390,15.659,0,0.074,0.080,255,255
45,0.026,1.443,17.390,0,1.469,17.390,0,0.026,0.026,255,255
46,0.026,1.469,19.043,0,1.495,19.043,0,0.026,0.026,255,255
47,0.074,1.469,21.036,0,1.521,21.089,0,0.074,0.074,255,255
48,0.127,1.469,26.098,0,1.521,26.203,0,0.117,0.135,255,255
50,0.037,1.495,14.557,0,1.521,14.531,0,0.037,0.037,255,255
51,0.026,1.548,3.121,0,1.548,3.148,0,0.026,0.026,255,255
52,0.194,1.548,5.193,0,1.731,5.167,0,0.185,0.185,255,255
53,0.400,1.941,5.980,0,1.731,5.744,0,0.316,0.381,255,255
53,0.358,1.574,5.534,0,1.731,5.744,0,0.262,0.320,255,255
53,0.190,1.574,5.823,0,1.731,5.744,0,0.176,0.166,255,255
54,0.138,1.600,21.692,0,1.679,21.797,0,0.131,0.144,255,255
55,0.026,1.652,1.259,0,1.652,1.285,0,0.026,0.026,255,255
56,0.026,1.652,8.525,0,1.679,8.525,0,0.026,0.026,255,255
57,0.865,1.784,1.915,0,2.282,1.889,0,0.499,0.795,255,255
58,0.052,1.784,23.239,0,1.836,23.239,0,0.052,0.052,255,255
59,0.063,1.810,6.426,0,1.862,6.452,0,0.059,0.056,255,255
60,0.100,1.862,10.072,0,1.915,9.993,0,0.095,0.087,255,255
61,0.253,2.203,9.862,0,1.993,9.757,0,0.235,0.244,255,255
61,0.116,1.889,9.784,0,1.993,9.757,0,0.108,0.107,255,255
61,0.116,2.020,9.652,0,1.993,9.757,0,0.108,0.116,255,255
62,0.063,1.915,14.348,0,1.967,14.321,0,0.059,0.056,255,255
63,0.100,1.941,11.331,0,1.993,11.410,0,0.095,0.098,255,255
64,0.074,1.941,19.698,0,1.993,19.751,0,0.074,0.074,255,255
