Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.164,0.446,18.964,0,0.525,19.095,0,0.153,0.169,255,255
2,0.443,0.603,26.177,0,0.682,26.544,0,0.376,0.407,255,255
3,0.380,0.630,16.892,0,0.944,16.734,0,0.352,0.342,255,255
3,0.369,1.233,16.577,0,0.944,16.734,0,0.329,0.324,255,255
3,0.242,0.866,16.525,0,0.944,16.734,0,0.224,0.192,255,255
4,0.063,0.682,4.538,0,0.708,4.590,0,0.059,0.056,255,255
5,0.063,0.839,4.616,0,0.866,4.669,0,0.059,0.056,255,255
6,0.037,0.839,4.774,0,0.866,4.748,0,0.037,0.037,255,255
7,1.138,0.866,2.413,0,1.731,2.466,0,0.867,1.080,255,255
8,0.052,0.892,9.128,0,0.944,9.128,0,0.052,0.052,255,255
9,0.111,1.023,7.082,0,1.102,7.003,0,0.111,0.111,255,255
10,0.395,1.207,2.911,0,1.548,2.780,0,0.365,0.364,255,255
11,0.037,1.259,13.849,0,1.285,13.823,0,0.037,0.037,255,255
12,0.483,1.390,6.689,0,1.364,6.216,0,0.473,0.483,255,255
12,0.297,1.784,6.007,0,1.574,6.216,0,0.297,0.260,255,255
12,0.249,1.757,6.374,0,1.574,6.216,0,0.242,0.228,255,255
12,0.210,1.364,6.216,0,1.574,6.216,0,0.210,0.105,255,255
12,0.090,1.285,6.243,0,1.364,6.216,0,0.083,0.094,255,255
13,0.249,1.285,18.649,0,1.443,18.833,0,0.242,0.256,255,255
14,0.201,1.338,17.967,0,1.495,17.915,0,0.166,0.186,255,255
15,0.227,1.416,10.780,0,1.521,10.597,0,0.211,0.204,255,255
16,0.037,1.443,10.230,0,1.469,10.256,0,0.037,0.037,255,255
18,0.100,1.574,21.875,0,1.652,21.928,0,0.095,0.087,255,255
19,0.797,1.810,18.361,0,2.439,18.256,0,0.638,0.736,255,255
20,0.052,1.862,3.331,0,1.915,3.331,0,0.052,0.052,255,255
21,0.212,1.889,17.233,0,2.020,17.390,0,0.205,0.191,255,255
22,2.168,1.941,7.292,0,2.938,6.348,0,1.373,2.036,255,255
22,1.114,3.856,6.715,0,2.938,6.348,0,0.989,1.047,255,255
22,0.851,2.282,5.613,0,2.938,5.980,0,0.752,0.826,255,255
22,0.740,3.803,6.033,0,3.226,5.639,0,0.698,0.694,255,255
22,0.715,3.226,5.639,0,3.252,4.957,0,0.682,0.641,255,255
22,0.694,2.780,4.459,0,3.252,4.957,0,0.686,0.673,255,255
22,0.460,2.938,5.980,0,3.226,5.639,0,0.447,0.396,255,255
22,0.417,3.462,4.643,0,3.252,4.957,0,0.378,0.390,255,255
22,0.367,2.938,5.980,0,2.938,6.348,0,0.367,0.315,255,255
