Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.201,0.026,22.164,0,0.184,22.059,0,0.189,0.174,255,255
2,0.074,0.052,10.334,0,0.105,10.387,0,0.074,0.074,255,255
3,0.190,0.105,23.239,0,0.184,23.082,0,0.176,0.203,255,255
4,0.417,0.131,9.836,0,0.341,9.521,0,0.378,0.405,255,255
5,0.242,0.157,6.767,0,0.236,6.977,0,0.224,0.251,255,255
7,0.668,0.210,5.534,0,0.315,6.138,0,0.612,0.629,255,255
8,0.837,1.207,20.092,0,0.630,20.459,0,0.684,0.820,255,255
8,0.312,0.420,20.669,0,0.630,20.459,0,0.297,0.286,255,255
8,0.284,0.630,20.197,0,0.630,20.459,0,0.262,0.280,255,255
8,0.253,0.210,20.774,0,0.420,20.669,0,0.235,0.234,255,255
8,0.116,0.446,20.774,0,0.420,20.669,0,0.108,0.079,255,255
9,0.111,0.236,9.285,0,0.315,9.207,0,0.111,0.111,255,255
11,0.090,0.289,18.885,0,0.341,18.938,0,0.074,0.080,255,255
12,0.052,0.315,9.941,0,0.367,9.941,0,0.052,0.052,255,255
13,0.111,0.315,16.315,0,0.393,16.236,0,0.111,0.111,255,255
14,0.148,0.341,1.679,0,0.446,1.784,0,0.148,0.148,255,255
15,0.100,0.341,6.767,0,0.393,6.846,0,0.095,0.106,255,255
16,0.749,0.761,14.374,0,1.259,13.954,0,0.652,0.669,255,255
16,0.688,1.915,13.613,0,1.259,13.587,0,0.656,0.662,255,255
16,0.581,0.341,14.216,0,0.761,14.374,0,0.448,0.528,255,255
16,0.389,1.259,13.587,0,1.259,13.954,0,0.367,0.316,255,255
16,0.360,0.525,14.111,0,0.761,14.374,0,0.353,0.302,255,255
16,0.216,1.443,13.928,0,1.259,13.954,0,0.185,0.198,255,255
16,0.037,1.233,13.561,0,1.259,13.587,0,0.037,0.037,255,255
17,0.127,0.341,15.449,0,0.420,15.528,0,0.111,0.115,255,255
18,0.037,0.341,16.026,0,0.367,16.052,0,0.037,0.037,255,255
19,0.052,0.341,18.544,0,0.393,18.544,0,0.052,0.052,255,255
20,0.063,0.393,5.141,0,0.420,5.193,0,0.059,0.066,255,255
21,0.729,1.049,7.948,0,0.630,7.423,0,0.672,0.688,255,255
21,0.723,2.256,6.898,0,1.652,7.187,0,0.669,0.659,255,255
