Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.133,0.105,2.072,0,0.892,2.544,0,0.918,1.071,255,255
2,0.079,0.236,15.239,0,0.315,15.239,0,0.079,0.079,255,255
3,0.100,0.787,17.889,0,0.839,17.810,0,0.095,0.106,255,255
4,1.247,1.521,0.813,0,2.466,0.997,0,0.962,1.151,255,255
4,0.629,1.967,0.472,0,2.439,0.813,0,0.582,0.590,255,255
4,0.598,2.911,1.364,0,2.466,0.997,0,0.578,0.570,255,255
4,0.507,2.675,0.420,0,2.439,0.813,0,0.459,0.478,255,255
4,0.216,2.439,0.813,0,2.466,0.997,0,0.185,0.143,255,255
5,0.052,1.784,23.948,0,1.836,23.948,0,0.052,0.052,255,255
6,0.052,1.836,20.249,0,1.889,20.249,0,0.052,0.052,255,255
7,0.369,2.098,5.430,0,2.413,5.561,0,0.341,0.342,255,255
8,0.127,2.361,13.692,0,2.413,13.587,0,0.117,0.123,255,255
9,0.317,2.570,5.298,0,2.807,5.141,0,0.284,0.304,255,255
10,1.717,3.489,25.364,0,3.646,23.843,0,1.529,1.628,255,255
10,1.478,6.190,21.167,0,7.397,21.666,0,1.305,1.405,255,255
10,1.251,7.449,20.826,0,7.397,21.666,0,0.841,1.143,255,255
10,1.239,3.095,22.977,0,3.987,22.138,0,1.225,1.203,255,255
10,1.142,4.511,20.879,0,3.961,21.770,0,1.048,1.104,255,255
10,1.104,4.695,23.869,0,3.646,23.843,0,1.050,1.064,255,255
10,1.008,4.170,21.902,0,5.167,21.928,0,0.997,0.947,255,255
10,0.989,5.403,21.823,0,5.980,21.089,0,0.934,0.880,255,255
10,0.925,6.584,20.459,0,5.980,21.089,0,0.872,0.890,255,255
10,0.849,6.111,22.164,0,5.403,21.823,0,0.786,0.807,255,255
10,0.814,3.095,23.318,0,3.646,23.843,0,0.761,0.721,255,255
10,0.684,4.066,22.767,0,3.987,22.138,0,0.634,0.650,255,255
10,0.624,6.557,21.639,0,6.190,21.167,0,0.598,0.588,255,255
10,0.605,3.016,22.426,0,3.095,22.977,0,0.556,0.580,255,255
10,0.587,3.226,21.325,0,3.620,21.666,0,0.521,0.493,255,255
10,0.579,5.902,20.564,0,5.980,21.089,0,0.530,0.541,255,255
10,0.528,6.925,22.374,0,7.344,22.111,0,0.495,0.494,255,255
10,0.485,2.675,23.266,0,3.095,23.318,0,0.423,0.450,255,255
10,0.432,7.528,22.452,0,7.344,22.111,0,0.387,0.399,255,255
10,0.389,3.252,21.613,0,3.620,21.666,0,0.371,0.378,255,255
10,0.384,3.620,21.666,0,3.961,21.770,0,0.357,0.312,255,255
10,0.363,3.095,22.977,0,3.095,23.318,0,0.341,0.329,255,255
10,0.363,7.397,21.666,0,7.397,22.007,0,0.341,0.299,255,255
10,0.352,7.921,22.190,0,7.580,22.164,0,0.342,0.347,255,255
10,0.347,2.911,21.403,0,3.226,21.325,0,0.324,0.274,255,255
10,0.323,7.816,22.374,0,7.580,22.164,0,0.316,0.302,255,255
10,0.312,3.987,22.138,0,4.170,21.902,0,0.299,0.191,255,255
10,0.280,3.961,21.770,0,4.170,21.902,0,0.247,0.178,255,255
10,0.280,5.167,21.928,0,5.403,21.823,0,0.258,0.239,255,255
10,0.249,7.397,22.007,0,7.580,22.164,0,0.242,0.185,255,255
10,0.238,5.298,22.111,0,5.167,21.928,0,0.226,0.214,255,255
10,0.236,5.980,21.089,0,6.190,21.167,0,0.224,0.094,255,255
10,0.205,3.279,21.141,0,3.226,21.325,0,0.191,0.201,255,255
10,0.168,2.938,21.561,0,2.911,21.403,0,0.160,0.160,255,255
10,0.127,2.807,21.351,0,2.911,21.403,0,0.117,0.109,255,255
10,0.127,7.344,22.111,0,7.397,22.007,0,0.117,0.056,255,255
11,0.052,2.780,9.993,0,2.780,10.046,0,0.052,0.052,255,255
12,0.090,3.043,17.731,0,3.069,17.810,0,0.083,0.083,255,255
13,0.052,3.069,0.289,0,3.121,0.289,0,0.052,0.052,255,255
14,0.812,3.279,20.302,0,3.908,20.669,0,0.729,0.762,255,255
15,1.512,4.039,18.597,0,5.167,17.967,0,1.292,1.341,255,255
15,1.109,4.144,17.049,0,5.036,17.338,0,0.937,0.933,255,255
15,0.922,5.954,18.256,0,5.167,17.967,0,0.838,0.889,255,255
15,0.803,4.407,17.652,0,3.777,18.020,0,0.729,0.755,255,255
15,0.607,3.620,18.885,0,4.039,18.597,0,0.509,0.569,255,255
15,0.581,5.351,16.918,0,5.036,17.338,0,0.525,0.551,255,255
15,0.520,3.646,17.049,0,4.144,17.049,0,0.498,0.448,255,255
15,0.519,4.380,17.993,0,4.013,18.361,0,0.519,0.519,255,255
15,0.516,3.777,18.020,0,4.013,18.361,0,0.415,0.400,255,255
15,0.508,3.436,17.652,0,3.777,18.020,0,0.501,0.487,255,255
15,0.452,4.564,17.023,0,4.144,17.049,0,0.420,0.429,255,255
15,0.384,5.036,17.338,0,5.089,17.679,0,0.345,0.318,255,255
15,0.336,5.089,17.679,0,5.167,17.967,0,0.299,0.265,255,255
15,0.317,3.489,16.813,0,3.646,17.049,0,0.284,0.296,255,255
15,0.269,4.013,18.361,0,4.039,18.597,0,0.238,0.221,255,255
15,0.221,4.879,17.705,0,5.089,17.679,0,0.211,0.216,255,255
15,0.153,4.144,16.918,0,4.144,17.049,0,0.131,0.147,255,255
15,0.090,3.620,17.128,0,3.646,17.049,0,0.083,0.090,255,255
16,0.026,3.541,3.620,0,3.567,3.620,0,0.026,0.026,255,255
17,0.153,3.646,16.000,0,3.751,16.079,0,0.131,0.134,255,255
18,0.786,3.908,2.859,0,3.987,3.436,0,0.582,0.726,255,255
19,0.411,4.275,8.157,0,4.590,8.105,0,0.319,0.381,255,255
20,0.026,4.459,8.446,0,4.485,8.446,0,0.026,0.026,255,255
21,0.026,5.141,16.026,0,5.167,16.026,0,0.026,0.026,255,255
22,0.374,5.193,19.305,0,5.272,18.964,0,0.350,0.356,255,255
23,2.948,14.190,18.125,0,16.656,17.049,0,2.690,2.682,255,255
23,2.214,8.761,18.282,0,10.544,19.174,0,1.994,2.010,255,255
23,2.041,11.672,12.984,0,11.777,14.610,0,1.630,1.902,255,255
23,2.012,10.544,19.174,0,12.092,18.387,0,1.736,1.919,255,255
23,1.994,8.839,19.987,0,10.518,20.066,0,1.681,1.883,255,255
23,1.473,10.649,11.751,0,11.672,12.800,0,1.465,1.429,255,255
23,1.469,11.252,16.603,0,12.092,15.528,0,1.364,1.384,255,255
23,1.453,6.951,16.970,0,8.262,17.311,0,1.355,1.313,255,255
23,1.431,9.784,17.285,0,8.761,18.282,0,1.428,1.431,255,255
23,1.389,10.911,20.774,0,12.170,20.984,0,1.276,1.264,255,255
23,1.354,13.482,16.918,0,13.902,18.098,0,1.253,1.204,255,255
23,1.318,13.666,21.089,0,14.951,21.167,0,1.288,1.249,255,255
23,1.266,9.469,16.866,0,8.577,17.731,0,1.243,1.245,255,255
23,1.221,5.692,16.498,0,6.793,16.787,0,1.139,1.098,255,255
23,1.201,9.102,16.708,0,8.525,17.626,0,1.084,1.160,255,255
23,1.073,10.649,22.138,0,10.780,21.141,0,1.005,1.055,255,255
23,1.068,11.725,12.170,0,10.885,11.620,0,1.004,1.014,255,255
23,1.050,7.607,18.754,0,8.472,18.623,0,0.875,1.009,255,255
23,1.029,12.092,18.387,0,13.089,18.413,0,0.997,0.941,255,255
23,1.024,11.331,16.892,0,11.777,17.679,0,0.904,0.938,255,255
23,1.000,9.311,13.298,0,9.443,12.433,0,0.875,0.901,255,255
23,0.999,16.656,17.049,0,17.600,17.075,0,0.945,0.927,255,255
23,0.996,12.957,15.843,0,12.092,15.528,0,0.921,0.946,255,255
23,0.967,12.800,14.557,0,12.039,14.951,0,0.856,0.924,255,255
23,0.959,13.089,18.413,0,13.902,18.098,0,0.872,0.858,255,255
23,0.950,11.016,10.833,0,10.728,11.620,0,0.838,0.917,255,255
23,0.934,12.170,20.984,0,12.931,21.403,0,0.869,0.824,255,255
23,0.933,13.246,20.170,0,13.325,20.984,0,0.817,0.837,255,255
23,0.924,10.518,20.066,0,10.911,20.774,0,0.810,0.817,255,255
23,0.919,11.305,17.757,0,12.039,18.203,0,0.859,0.878,255,255
23,0.903,10.518,20.066,0,10.544,19.174,0,0.892,0.839,255,255
23,0.897,6.820,17.705,0,6.951,16.970,0,0.746,0.848,255,255
23,0.885,12.459,13.220,0,11.672,12.984,0,0.822,0.819,255,255
23,0.857,10.282,16.603,0,11.095,16.603,0,0.813,0.827,255,255
23,0.856,10.020,12.223,0,10.649,11.751,0,0.787,0.800,255,255
23,0.830,8.446,19.384,0,8.472,18.623,0,0.761,0.744,255,255
23,0.810,7.974,16.420,0,8.472,17.023,0,0.783,0.774,255,255
23,0.788,10.885,11.620,0,11.489,11.174,0,0.750,0.739,255,255
23,0.786,6.662,15.475,0,6.715,16.079,0,0.606,0.630,255,255
23,0.773,12.852,20.407,0,13.325,20.984,0,0.746,0.740,255,255
23,0.764,12.774,21.666,0,13.062,22.295,0,0.692,0.615,255,255
23,0.758,11.882,11.646,0,11.489,11.174,0,0.615,0.712,255,255
23,0.746,15.318,21.744,0,14.951,21.167,0,0.684,0.723,255,255
23,0.738,13.351,19.043,0,13.089,18.413,0,0.682,0.692,255,255
23,0.731,14.164,20.564,0,13.666,21.089,0,0.724,0.717,255,255
23,0.693,8.761,12.407,0,9.443,12.433,0,0.682,0.610,255,255
23,0.681,17.941,17.600,0,17.600,17.075,0,0.626,0.639,255,255
23,0.666,12.066,14.085,0,11.777,14.610,0,0.599,0.629,255,255
23,0.664,9.443,12.433,0,10.020,12.223,0,0.614,0.522,255,255
23,0.655,11.777,17.679,0,12.039,18.203,0,0.587,0.527,255,255
23,0.642,15.502,21.403,0,14.951,21.167,0,0.599,0.604,255,255
23,0.629,16.341,16.551,0,16.656,17.049,0,0.589,0.589,255,255
23,0.627,8.577,17.731,0,8.761,18.282,0,0.581,0.490,255,255
23,0.620,10.439,12.669,0,10.020,12.223,0,0.612,0.599,255,255
23,0.599,12.039,14.951,0,12.092,15.528,0,0.579,0.529,255,255
23,0.598,8.446,11.961,0,8.761,12.407,0,0.546,0.567,255,255
23,0.570,12.931,21.403,0,13.325,21.089,0,0.504,0.493,255,255
23,0.568,9.259,13.823,0,9.311,13.298,0,0.527,0.545,255,255
23,0.565,8.839,16.446,0,8.551,16.892,0,0.531,0.492,255,255
23,0.556,15.318,20.774,0,14.951,21.167,0,0.538,0.537,255,255
23,0.546,10.780,16.210,0,11.095,16.603,0,0.504,0.524,255,255
23,0.539,11.672,12.800,0,11.934,12.407,0,0.473,0.480,255,255
23,0.524,6.321,16.105,0,6.715,16.420,0,0.504,0.495,255,255
23,0.516,18.072,17.128,0,17.600,17.075,0,0.475,0.498,255,255
23,0.508,12.407,22.007,0,12.774,21.666,0,0.501,0.487,255,255
23,0.507,14.400,18.544,0,14.190,18.125,0,0.469,0.477,255,255
23,0.489,5.666,16.997,0,5.613,16.551,0,0.449,0.465,255,255
23,0.465,11.777,14.610,0,12.039,14.951,0,0.430,0.360,255,255
23,0.460,8.472,18.623,0,8.761,18.282,0,0.447,0.383,255,255
23,0.439,8.262,17.311,0,8.525,17.626,0,0.410,0.304,255,255
23,0.437,6.295,15.161,0,6.636,15.318,0,0.376,0.403,255,255
23,0.434,8.262,16.577,0,8.551,16.892,0,0.427,0.413,255,255
23,0.434,12.459,20.669,0,12.170,20.984,0,0.427,0.413,255,255
23,0.422,10.780,21.141,0,10.911,20.774,0,0.390,0.341,255,255
23,0.422,6.715,16.420,0,6.793,16.787,0,0.376,0.330,255,255
23,0.415,8.367,12.407,0,8.761,12.407,0,0.393,0.412,255,255
23,0.391,8.262,17.311,0,8.472,17.023,0,0.357,0.315,255,255
23,0.363,13.430,16.577,0,13.482,16.918,0,0.345,0.347,255,255
23,0.363,6.715,16.079,0,6.715,16.420,0,0.341,0.329,255,255
23,0.360,6.479,15.816,0,6.715,16.079,0,0.353,0.339,255,255
23,0.354,5.325,16.656,0,5.613,16.551,0,0.307,0.328,255,255
23,0.343,11.252,16.603,0,11.331,16.892,0,0.299,0.311,255,255
23,0.341,13.325,21.089,0,13.666,21.089,0,0.341,0.262,255,255
23,0.327,11.620,17.416,0,11.777,17.679,0,0.306,0.296,255,255
23,0.327,12.774,21.666,0,12.931,21.403,0,0.306,0.208,255,255
23,0.312,5.902,16.079,0,5.666,16.262,0,0.299,0.312,255,255
23,0.299,13.902,18.098,0,14.190,18.125,0,0.290,0.210,255,255
