Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.679,0.393,14.348,0,0.708,13.875,0,0.567,0.643,255,255
2,0.052,0.787,1.993,0,0.839,1.993,0,0.052,0.052,255,255
3,1.634,3.226,18.570,0,2.675,17.180,0,1.495,1.541,255,255
3,1.194,2.675,17.180,0,3.331,16.289,0,1.107,1.064,255,255
3,1.167,1.574,17.338,0,2.675,17.180,0,1.113,1.095,255,255
3,0.970,0.839,17.075,0,1.574,17.338,0,0.780,0.892,255,255
3,0.747,4.013,16.446,0,3.331,16.289,0,0.700,0.710,255,255
3,0.664,1.521,17.915,0,1.574,17.338,0,0.579,0.591,255,255
3,0.513,3.725,15.607,0,3.410,15.974,0,0.484,0.488,255,255
3,0.432,3.252,15.607,0,3.410,15.974,0,0.400,0.399,255,255
3,0.369,3.331,16.289,0,3.410,15.974,0,0.324,0.287,255,255
4,0.812,1.233,15.292,0,1.548,14.610,0,0.751,0.723,255,255
4,0.439,1.364,14.269,0,1.548,14.610,0,0.387,0.423,255,255
4,0.338,1.469,15.502,0,1.233,15.292,0,0.316,0.319,255,255
4,0.232,1.023,15.344,0,1.233,15.292,0,0.216,0.132,255,255
4,0.205,1.731,14.662,0,1.548,14.610,0,0.191,0.188,255,255
4,0.164,0.944,15.213,0,1.023,15.344,0,0.153,0.140,255,255
4,0.153,0.970,15.475,0,1.023,15.344,0,0.141,0.150,255,255
5,0.127,0.970,14.636,0,1.023,14.741,0,0.117,0.127,255,255
6,0.100,1.128,0.525,0,1.180,0.603,0,0.095,0.106,255,255
7,2.602,6.190,5.534,0,3.987,6.348,0,2.349,2.427,255,255
7,2.224,2.990,3.908,0,3.148,5.980,0,2.078,2.115,255,255
7,1.061,3.305,7.108,0,3.777,6.243,0,0.986,0.923,255,255
7,1.059,4.459,5.482,0,3.777,6.243,0,1.022,1.026,255,255
7,0.964,4.170,5.377,0,3.489,6.059,0,0.964,0.964,255,255
7,0.842,4.564,6.951,0,3.987,6.348,0,0.835,0.821,255,255
7,0.695,2.544,6.164,0,3.148,5.980,0,0.631,0.635,255,255
7,0.688,2.020,6.452,0,2.544,6.164,0,0.599,0.647,255,255
7,0.620,2.098,5.744,0,2.544,6.164,0,0.612,0.561,255,255
7,0.402,3.043,7.318,0,3.305,7.108,0,0.336,0.372,255,255
7,0.380,3.489,6.059,0,3.777,6.243,0,0.342,0.285,255,255
7,0.374,3.148,5.980,0,3.489,6.059,0,0.350,0.296,255,255
7,0.341,2.964,7.108,0,3.305,7.108,0,0.341,0.341,255,255
7,0.263,3.777,6.243,0,3.987,6.348,0,0.235,0.107,255,255
8,1.641,2.833,14.479,0,3.148,13.246,0,1.272,1.507,255,255
8,1.100,3.148,13.246,0,3.987,12.616,0,1.049,0.918,255,255
8,0.935,3.961,13.246,0,3.148,13.246,0,0.813,0.878,255,255
8,0.828,4.643,12.957,0,3.987,12.616,0,0.739,0.760,255,255
8,0.710,3.016,12.590,0,3.148,13.246,0,0.669,0.673,255,255
8,0.707,2.230,13.062,0,2.807,13.377,0,0.657,0.657,255,255
8,0.659,4.564,12.118,0,4.013,12.328,0,0.589,0.664,255,255
8,0.605,2.990,15.003,0,2.833,14.479,0,0.548,0.576,255,255
8,0.574,4.013,12.328,0,4.197,11.830,0,0.531,0.512,255,255
8,0.513,2.439,13.692,0,2.807,13.377,0,0.484,0.459,255,255
8,0.432,2.807,13.377,0,3.148,13.246,0,0.365,0.340,255,255
8,0.299,3.987,12.616,0,4.013,12.328,0,0.290,0.236,255,255
8,0.284,4.459,11.882,0,4.197,11.830,0,0.267,0.288,255,255
8,0.269,2.203,13.613,0,2.439,13.692,0,0.249,0.247,255,255
8,0.238,2.675,14.321,0,2.833,14.479,0,0.223,0.221,255,255
8,0.201,2.334,13.849,0,2.439,13.692,0,0.189,0.154,255,255
8,0.090,4.170,11.751,0,4.197,11.830,0,0.083,0.080,255,255
9,0.037,2.334,12.459,0,2.361,12.433,0,0.037,0.037,255,255
10,1.553,3.803,23.187,0,4.197,21.797,0,1.445,1.473,255,255
10,1.496,2.518,22.138,0,3.620,21.534,0,1.256,1.424,255,255
10,0.871,4.511,23.580,0,3.803,23.187,0,0.810,0.828,255,255
10,0.686,3.620,21.534,0,4.197,21.797,0,0.634,0.580,255,255
10,0.618,3.305,23.790,0,3.593,23.292,0,0.576,0.584,255,255
10,0.612,4.957,21.902,0,4.433,21.692,0,0.565,0.573,255,255
10,0.609,3.121,22.846,0,3.515,23.239,0,0.556,0.582,255,255
10,0.483,3.043,23.266,0,3.515,23.239,0,0.473,0.489,255,255
10,0.295,4.197,21.797,0,4.433,21.692,0,0.258,0.220,255,255
10,0.290,3.593,23.292,0,3.803,23.187,0,0.235,0.207,255,255
10,0.212,3.541,21.377,0,3.620,21.534,0,0.176,0.191,255,255
10,0.100,3.515,23.239,0,3.593,23.292,0,0.095,0.037,255,255
10,0.090,4.459,21.613,0,4.433,21.692,0,0.083,0.083,255,255
11,0.528,2.649,1.967,0,2.911,2.387,0,0.495,0.521,255,255
11,0.190,2.833,2.544,0,2.911,2.387,0,0.176,0.192,255,255
11,0.100,2.990,2.387,0,2.911,2.387,0,0.079,0.104,255,255
12,0.063,2.911,11.252,0,2.938,11.200,0,0.059,0.066,255,255
14,0.194,3.384,3.121,0,3.410,2.938,0,0.185,0.131,255,255
14,0.164,3.541,3.148,0,3.384,3.121,0,0.160,0.164,255,255
14,0.122,3.384,3.226,0,3.384,3.121,0,0.105,0.125,255,255
14,0.116,3.279,3.148,0,3.384,3.121,0,0.108,0.110,255,255
14,0.105,3.410,2.833,0,3.410,2.938,0,0.105,0.105,255,255
14,0.063,3.462,2.964,0,3.410,2.938,0,0.059,0.063,255,255
15,1.081,3.620,18.649,0,4.249,19.331,0,0.928,1.002,255,255
15,0.803,4.852,18.885,0,4.249,19.331,0,0.750,0.729,255,255
15,0.564,4.407,19.830,0,4.249,19.331,0,0.523,0.508,255,255
16,0.037,3.672,14.898,0,3.698,14.925,0,0.037,0.037,255,255
17,0.791,4.590,26.072,0,4.748,25.390,0,0.700,0.754,255,255
17,0.629,4.249,25.075,0,4.748,25.390,0,0.589,0.543,255,255
17,0.524,3.830,25.495,0,4.144,25.102,0,0.504,0.497,255,255
17,0.485,4.092,24.656,0,4.249,25.075,0,0.448,0.471,255,255
17,0.469,5.298,25.679,0,4.905,25.495,0,0.434,0.439,255,255
17,0.437,4.852,25.889,0,4.905,25.495,0,0.397,0.436,255,255
17,0.201,4.748,25.390,0,4.905,25.495,0,0.189,0.113,255,255
17,0.190,3.987,25.023,0,4.144,25.102,0,0.176,0.169,255,255
17,0.153,4.144,25.102,0,4.249,25.075,0,0.108,0.082,255,255
18,0.764,5.062,4.144,0,4.407,3.882,0,0.706,0.721,255,255
18,0.658,4.354,3.200,0,4.328,3.803,0,0.604,0.641,255,255
18,0.354,4.039,3.961,0,4.328,3.803,0,0.329,0.358,255,255
18,0.269,4.328,4.118,0,4.407,3.882,0,0.249,0.257,255,255
18,0.127,4.328,3.803,0,4.407,3.882,0,0.111,0.056,255,255
19,0.026,4.433,16.525,0,4.459,16.525,0,0.026,0.026,255,255
20,0.127,4.669,14.085,0,4.721,13.980,0,0.117,0.113,255,255
21,0.153,4.669,16.656,0,4.774,16.577,0,0.131,0.130,255,255
22,1.637,6.216,24.393,0,6.636,23.134,0,1.327,1.537,255,255
22,1.604,5.534,25.731,0,5.928,24.472,0,1.319,1.566,255,255
22,1.350,4.826,24.525,0,5.928,24.472,0,1.103,1.276,255,255
22,1.299,6.216,24.393,0,7.266,24.997,0,1.210,1.265,255,255
22,0.633,7.869,24.551,0,7.423,24.839,0,0.531,0.593,255,255
22,0.343,7.607,25.311,0,7.318,25.180,0,0.317,0.310,255,255
22,0.338,7.685,25.023,0,7.423,24.839,0,0.320,0.311,255,255
22,0.327,6.820,22.898,0,6.636,23.134,0,0.299,0.312,255,255
22,0.321,5.928,24.472,0,6.216,24.393,0,0.299,0.220,255,255
22,0.238,7.266,24.997,0,7.423,24.839,0,0.223,0.150,255,255
22,0.221,7.266,24.997,0,7.318,25.180,0,0.191,0.157,255,255
22,0.201,7.213,25.338,0,7.318,25.180,0,0.189,0.191,255,255
22,0.138,6.531,23.056,0,6.636,23.134,0,0.131,0.120,255,255
23,0.673,5.089,14.636,0,5.718,14.531,0,0.638,0.643,255,255
23,0.485,5.718,14.531,0,6.138,14.689,0,0.448,0.436,255,255
23,0.460,6.059,14.243,0,5.718,14.531,0,0.447,0.404,255,255
23,0.443,6.269,14.321,0,6.138,14.689,0,0.390,0.400,255,255
23,0.439,6.138,14.689,0,6.452,14.951,0,0.410,0.360,255,255
23,0.432,6.452,14.951,0,6.689,15.239,0,0.373,0.324,255,255
23,0.384,6.977,15.397,0,6.689,15.239,0,0.329,0.371,255,255
23,0.301,6.295,15.187,0,6.452,14.951,0,0.284,0.282,255,255
23,0.194,6.715,15.423,0,6.689,15.239,0,0.185,0.190,255,255
24,0.548,5.692,20.511,0,5.272,20.748,0,0.482,0.512,255,255
24,0.216,5.246,20.931,0,5.272,20.748,0,0.185,0.215,255,255
24,0.205,5.089,20.748,0,5.272,20.748,0,0.184,0.201,255,255
25,0.052,5.141,20.328,0,5.141,20.380,0,0.052,0.052,255,255
26,0.286,5.272,13.141,0,5.482,12.957,0,0.279,0.182,255,255
26,0.168,5.325,13.272,0,5.272,13.141,0,0.141,0.158,255,255
26,0.116,5.167,13.115,0,5.272,13.141,0,0.108,0.110,255,255
26,0.063,5.534,12.984,0,5.482,12.957,0,0.059,0.026,255,255
26,0.026,5.482,12.931,0,5.482,12.957,0,0.026,0.026,255,255
27,0.800,5.167,17.443,0,5.902,17.285,0,0.751,0.780,255,255
28,0.205,5.246,13.456,0,5.430,13.403,0,0.191,0.186,255,255
29,3.938,6.138,18.649,0,9.102,17.574,0,3.153,3.649,255,255
29,1.332,8.866,16.367,0,10.046,16.105,0,1.209,1.166,255,255
29,1.326,8.866,16.367,0,9.102,17.574,0,1.229,1.194,255,255
29,1.140,9.023,15.816,0,9.521,14.951,0,0.999,1.042,255,255
29,0.994,9.102,17.574,0,10.020,17.390,0,0.936,0.875,255,255
29,0.888,8.367,15.554,0,8.866,16.236,0,0.845,0.849,255,255
29,0.874,8.079,16.157,0,8.866,16.367,0,0.814,0.804,255,255
29,0.836,6.636,18.020,0,6.138,18.649,0,0.803,0.806,255,255
29,0.836,5.587,19.226,0,6.138,18.649,0,0.798,0.815,255,255
29,0.799,5.325,19.174,0,5.797,18.570,0,0.766,0.776,255,255
29,0.794,6.505,19.252,0,6.138,18.649,0,0.706,0.762,255,255
29,0.773,10.702,17.311,0,10.020,17.390,0,0.686,0.725,255,255
29,0.760,10.702,15.921,0,11.043,15.318,0,0.693,0.640,255,255
29,0.603,11.148,16.315,0,10.702,15.921,0,0.595,0.582,255,255
29,0.601,10.046,16.105,0,10.570,15.921,0,0.556,0.529,255,255
29,0.598,10.466,17.023,0,10.020,17.390,0,0.578,0.578,255,255
29,0.565,10.334,16.367,0,10.570,15.921,0,0.505,0.540,255,255
29,0.564,10.938,14.820,0,11.043,15.318,0,0.509,0.537,255,255
29,0.546,8.630,15.449,0,9.023,15.816,0,0.538,0.532,255,255
29,0.507,8.866,16.236,0,9.023,15.816,0,0.448,0.445,255,255
29,0.462,10.754,16.367,0,10.702,15.921,0,0.449,0.462,255,255
29,0.452,10.203,14.898,0,9.784,14.872,0,0.420,0.436,255,255
29,0.402,5.482,18.361,0,5.797,18.570,0,0.378,0.248,255,255
29,0.374,5.797,18.570,0,6.138,18.649,0,0.350,0.322,255,255
29,0.332,9.521,14.951,0,9.784,14.872,0,0.274,0.246,255,255
29,0.332,5.430,18.072,0,5.482,18.361,0,0.293,0.311,255,255
29,0.312,7.843,16.341,0,8.079,16.157,0,0.299,0.284,255,255
29,0.295,9.967,16.367,0,10.046,16.105,0,0.274,0.270,255,255
29,0.238,9.338,14.820,0,9.521,14.951,0,0.226,0.211,255,255
29,0.232,9.836,14.662,0,9.784,14.872,0,0.216,0.232,255,255
29,0.168,5.325,18.334,0,5.482,18.361,0,0.160,0.164,255,255
29,0.164,8.000,16.026,0,8.079,16.157,0,0.153,0.113,255,255
29,0.148,8.866,16.236,0,8.866,16.367,0,0.131,0.114,255,255
29,0.131,10.570,15.921,0,10.702,15.921,0,0.131,0.052,255,255
29,0.105,11.148,15.318,0,11.043,15.318,0,0.105,0.105,255,255
30,0.668,5.482,22.269,0,5.928,21.849,0,0.612,0.564,255,255
30,0.638,6.479,21.246,0,6.269,21.797,0,0.589,0.590,255,255
30,0.610,7.187,22.138,0,6.610,22.111,0,0.578,0.591,255,255
30,0.513,6.321,22.505,0,6.610,22.111,0,0.488,0.481,255,255
30,0.487,6.059,22.295,0,6.348,21.928,0,0.467,0.459,255,255
30,0.406,6.348,21.928,0,6.610,22.111,0,0.320,0.325,255,255
30,0.406,5.587,21.692,0,5.928,21.849,0,0.376,0.367,255,255
30,0.384,5.928,21.849,0,6.269,21.797,0,0.345,0.312,255,255
30,0.253,5.377,22.479,0,5.482,22.269,0,0.235,0.224,255,255
30,0.164,5.403,22.138,0,5.482,22.269,0,0.153,0.140,255,255
30,0.164,6.269,21.797,0,6.348,21.928,0,0.153,0.094,255,255
30,0.148,5.561,22.374,0,5.482,22.269,0,0.131,0.139,255,255
31,0.153,5.508,13.718,0,5.613,13.639,0,0.131,0.141,255,255
32,0.452,5.718,23.423,0,5.613,23.030,0,0.407,0.437,255,255
32,0.194,5.797,23.003,0,5.613,23.030,0,0.185,0.186,255,255
32,0.063,5.561,23.003,0,5.613,23.030,0,0.059,0.066,255,255
34,0.026,5.770,13.692,0,5.797,13.692,0,0.026,0.026,255,255
35,0.537,5.875,12.538,0,6.348,12.590,0,0.475,0.499,255,255
36,0.227,6.111,17.390,0,6.216,17.574,0,0.211,0.109,255,255
36,0.216,6.190,17.757,0,6.216,17.574,0,0.185,0.190,255,255
