Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
2,0.026,0.393,14.531,0,0.420,14.531,0,0.026,0.026,255,255
4,0.450,0.656,5.639,0,0.944,5.902,0,0.390,0.410,255,255
5,0.480,1.469,24.708,0,1.285,25.075,0,0.411,0.396,255,255
5,0.253,1.075,24.970,0,1.285,25.075,0,0.235,0.229,255,255
5,0.142,1.311,25.207,0,1.285,25.075,0,0.134,0.107,255,255
6,0.585,1.259,9.967,0,1.652,10.282,0,0.504,0.549,255,255
6,0.269,1.731,10.518,0,1.652,10.282,0,0.249,0.264,255,255
6,0.179,1.810,10.334,0,1.652,10.282,0,0.166,0.174,255,255
7,0.201,1.285,9.075,0,1.443,8.970,0,0.189,0.192,255,255
8,1.101,1.521,13.823,0,1.731,14.793,0,0.993,1.056,255,255
8,0.780,2.413,14.610,0,1.731,14.793,0,0.706,0.707,255,255
8,0.694,1.967,15.711,0,1.469,15.239,0,0.686,0.643,255,255
8,0.555,1.469,15.239,0,1.731,14.793,0,0.517,0.446,255,255
8,0.074,1.416,15.292,0,1.469,15.239,0,0.074,0.074,255,255
9,0.164,1.705,2.807,0,1.731,2.938,0,0.134,0.147,255,255
10,0.026,1.784,8.026,0,1.784,8.052,0,0.026,0.026,255,255
11,1.540,4.144,8.341,0,2.702,8.525,0,1.454,1.443,255,255
11,0.533,2.282,8.289,0,2.702,8.525,0,0.482,0.410,255,255
11,0.380,2.807,8.839,0,2.702,8.525,0,0.332,0.334,255,255
11,0.301,2.125,8.525,0,2.282,8.289,0,0.284,0.288,255,255
11,0.100,2.203,8.236,0,2.282,8.289,0,0.095,0.087,255,255
12,0.142,2.230,16.131,0,2.361,16.157,0,0.134,0.134,255,255
13,0.745,2.544,23.108,0,2.938,23.607,0,0.635,0.662,255,255
13,0.522,2.938,23.607,0,3.121,24.000,0,0.434,0.441,255,255
13,0.460,2.623,23.921,0,2.938,23.607,0,0.445,0.433,255,255
13,0.354,2.439,22.820,0,2.544,23.108,0,0.307,0.335,255,255
13,0.321,2.256,23.030,0,2.544,23.108,0,0.299,0.300,255,255
13,0.253,2.938,24.131,0,3.121,24.000,0,0.226,0.223,255,255
13,0.253,3.279,24.157,0,3.121,24.000,0,0.223,0.229,255,255
14,1.260,2.282,10.938,0,3.279,10.938,0,0.997,1.171,255,255
14,0.358,3.252,11.226,0,3.279,10.938,0,0.290,0.356,255,255
14,0.111,3.357,10.859,0,3.279,10.938,0,0.111,0.111,255,255
15,0.142,2.570,5.849,0,2.702,5.823,0,0.134,0.134,255,255
16,0.616,3.541,1.521,0,3.016,1.652,0,0.541,0.557,255,255
16,0.275,2.807,1.810,0,3.016,1.652,0,0.262,0.264,255,255
16,0.238,2.833,1.521,0,3.016,1.652,0,0.226,0.174,255,255
17,0.406,3.384,19.489,0,3.226,19.830,0,0.376,0.362,255,255
17,0.395,2.964,20.144,0,3.069,19.830,0,0.332,0.366,255,255
17,0.216,2.885,19.856,0,3.069,19.830,0,0.185,0.194,255,255
17,0.157,3.069,19.830,0,3.226,19.830,0,0.157,0.052,255,255
17,0.127,3.331,19.882,0,3.226,19.830,0,0.117,0.113,255,255
18,0.238,2.911,3.174,0,3.043,3.357,0,0.226,0.228,255,255
19,1.556,4.721,6.426,0,4.826,4.957,0,1.473,1.454,255,255
19,1.423,6.610,6.085,0,5.534,6.820,0,1.302,1.336,255,255
19,1.207,5.325,6.898,0,6.085,7.738,0,1.133,1.131,255,255
19,1.205,6.479,6.610,0,5.534,6.820,0,0.967,1.135,255,255
19,1.114,5.325,6.898,0,5.377,7.816,0,0.920,1.052,255,255
19,0.937,5.220,8.630,0,5.377,7.816,0,0.828,0.895,255,255
19,0.915,3.882,6.348,0,4.721,6.426,0,0.843,0.832,255,255
19,0.882,4.721,6.426,0,5.325,6.898,0,0.766,0.782,255,255
19,0.745,2.911,6.820,0,3.489,6.452,0,0.684,0.721,255,255
19,0.731,3.384,5.823,0,3.882,6.348,0,0.724,0.710,255,255
19,0.592,4.826,4.957,0,5.089,4.511,0,0.517,0.554,255,255
19,0.459,3.489,6.452,0,3.882,6.348,0,0.407,0.337,255,255
19,0.428,4.485,4.748,0,4.826,4.957,0,0.400,0.395,255,255
19,0.365,3.200,6.269,0,3.489,6.452,0,0.342,0.270,255,255
19,0.354,2.938,6.452,0,3.200,6.269,0,0.320,0.322,255,255
19,0.354,3.043,5.980,0,3.200,6.269,0,0.329,0.320,255,255
19,0.336,5.403,4.511,0,5.089,4.511,0,0.315,0.319,255,255
19,0.253,6.164,7.921,0,6.085,7.738,0,0.200,0.220,255,255
