Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.264,0.289,24.734,0,0.446,24.551,0,0.242,0.262,255,255
1,0.153,0.393,24.420,0,0.446,24.551,0,0.141,0.138,255,255
1,0.116,0.551,24.525,0,0.446,24.551,0,0.108,0.109,255,255
2,0.216,0.367,2.020,0,0.420,2.177,0,0.166,0.189,255,255
3,1.057,0.603,2.413,0,1.075,3.252,0,0.963,0.993,255,255
4,1.336,2.177,21.797,0,1.390,22.662,0,1.170,1.241,255,255
4,0.869,1.338,23.423,0,0.866,23.082,0,0.582,0.809,255,255
4,0.760,0.866,23.082,0,1.390,22.662,0,0.672,0.680,255,255
4,0.280,0.630,23.187,0,0.866,23.082,0,0.258,0.262,255,255
4,0.179,1.469,22.793,0,1.390,22.662,0,0.153,0.165,255,255
5,0.190,0.656,3.882,0,0.734,3.725,0,0.176,0.186,255,255
6,0.052,1.233,1.364,0,1.285,1.364,0,0.052,0.052,255,255
7,0.629,2.177,12.695,0,1.784,13.115,0,0.575,0.572,255,255
7,0.395,1.548,13.534,0,1.862,13.377,0,0.352,0.359,255,255
7,0.317,1.521,12.984,0,1.784,13.115,0,0.293,0.283,255,255
7,0.295,1.784,13.115,0,1.862,13.377,0,0.274,0.250,255,255
7,0.190,2.020,13.456,0,1.862,13.377,0,0.176,0.176,255,255
8,0.111,1.521,18.780,0,1.600,18.702,0,0.111,0.111,255,255
9,0.706,1.941,2.754,0,2.413,2.413,0,0.582,0.656,255,255
9,0.526,1.548,2.859,0,1.941,2.754,0,0.407,0.486,255,255
9,0.406,1.784,3.095,0,1.941,2.754,0,0.376,0.366,255,255
9,0.138,2.334,2.308,0,2.413,2.413,0,0.131,0.138,255,255
9,0.074,2.466,2.413,0,2.413,2.413,0,0.052,0.074,255,255
10,0.157,1.810,18.623,0,1.967,18.623,0,0.157,0.157,255,255
11,0.026,1.967,21.298,0,1.967,21.325,0,0.026,0.026,255,255
12,0.996,2.020,14.898,0,2.859,14.872,0,0.840,0.922,255,255
13,1.289,3.646,18.203,0,2.466,18.098,0,1.185,1.219,255,255
13,0.347,2.151,18.177,0,2.466,18.098,0,0.324,0.331,255,255
13,0.269,2.544,17.862,0,2.466,18.098,0,0.249,0.272,255,255
15,0.714,3.174,12.485,0,2.754,11.961,0,0.672,0.659,255,255
15,0.675,2.439,11.462,0,2.754,11.961,0,0.589,0.600,255,255
15,0.489,2.334,12.092,0,2.754,11.961,0,0.440,0.462,255,255
15,0.116,2.334,11.436,0,2.439,11.462,0,0.108,0.107,255,255
15,0.100,2.492,11.384,0,2.439,11.462,0,0.095,0.093,255,255
16,0.812,2.387,6.584,0,2.675,5.928,0,0.716,0.743,255,255
16,0.284,2.938,5.875,0,2.675,5.928,0,0.267,0.275,255,255
16,0.232,2.728,5.718,0,2.675,5.928,0,0.216,0.227,255,255
17,1.336,3.751,8.184,0,3.069,9.207,0,1.229,1.274,255,255
17,1.024,3.987,8.787,0,3.148,9.233,0,0.950,0.967,255,255
17,0.922,2.780,9.993,0,3.069,9.207,0,0.838,0.842,255,255
17,0.773,3.725,9.705,0,3.148,9.233,0,0.746,0.737,255,255
17,0.718,2.597,10.570,0,2.780,9.993,0,0.606,0.667,255,255
17,0.539,2.990,10.413,0,2.780,9.993,0,0.469,0.505,255,255
17,0.389,2.413,9.941,0,2.780,9.993,0,0.371,0.378,255,255
17,0.090,3.069,9.207,0,3.148,9.233,0,0.083,0.026,255,255
18,0.698,2.964,21.167,0,3.462,21.613,0,0.669,0.592,255,255
18,0.573,3.410,22.164,0,3.462,21.613,0,0.553,0.560,255,255
18,0.533,2.518,21.377,0,2.964,21.167,0,0.493,0.429,255,255
18,0.526,3.462,21.613,0,3.934,21.482,0,0.490,0.409,255,255
18,0.386,2.754,20.905,0,2.964,21.167,0,0.336,0.366,255,255
18,0.242,2.544,21.587,0,2.518,21.377,0,0.211,0.235,255,255
18,0.223,4.092,21.325,0,3.934,21.482,0,0.223,0.185,255,255
18,0.175,4.066,21.587,0,3.934,21.482,0,0.168,0.153,255,255
18,0.127,2.413,21.325,0,2.518,21.377,0,0.117,0.109,255,255
19,1.422,3.121,16.787,0,4.407,16.498,0,1.317,1.273,255,255
19,1.260,4.275,15.423,0,4.407,16.289,0,0.875,1.184,255,255
19,0.675,2.570,17.049,0,3.121,16.787,0,0.610,0.632,255,255
19,0.537,4.643,16.892,0,4.407,16.498,0,0.459,0.502,255,255
19,0.535,3.646,17.338,0,3.252,16.997,0,0.521,0.515,255,255
19,0.434,2.833,16.262,0,3.121,16.577,0,0.427,0.413,255,255
19,0.423,4.144,15.974,0,4.407,16.289,0,0.410,0.396,255,255
19,0.338,3.331,16.341,0,3.121,16.577,0,0.316,0.319,255,255
19,0.284,3.305,17.259,0,3.252,16.997,0,0.267,0.273,255,255
19,0.259,3.121,16.787,0,3.252,16.997,0,0.247,0.164,255,255
19,0.232,3.121,16.577,0,3.121,16.787,0,0.210,0.174,255,255
19,0.232,4.407,16.289,0,4.407,16.498,0,0.210,0.168,255,255
20,0.258,2.859,24.079,0,2.938,23.869,0,0.224,0.255,255,255
21,0.317,2.990,26.308,0,3.200,26.125,0,0.279,0.297,255,255
22,0.037,3.043,25.915,0,3.069,25.941,0,0.037,0.037,255,255
23,0.559,3.226,20.433,0,3.436,19.961,0,0.517,0.532,255,255
23,0.452,3.515,19.410,0,3.436,19.830,0,0.427,0.456,255,255
23,0.374,3.777,19.934,0,3.436,19.961,0,0.342,0.352,255,255
23,0.299,3.148,19.856,0,3.436,19.830,0,0.290,0.305,255,255
23,0.153,3.436,19.830,0,3.436,19.961,0,0.131,0.090,255,255
24,0.190,3.384,7.816,0,3.279,7.685,0,0.168,0.173,255,255
24,0.100,3.331,7.607,0,3.279,7.685,0,0.095,0.104,255,255
24,0.090,3.200,7.659,0,3.279,7.685,0,0.083,0.083,255,255
25,0.280,3.541,0.079,0,3.672,0.184,0,0.168,0.254,255,255
26,0.026,3.856,22.400,0,3.882,22.400,0,0.026,0.026,255,255
