Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.673,1.469,12.695,0,2.990,12.538,0,1.529,1.522,255,255
1,1.295,1.049,13.718,0,1.469,12.695,0,1.106,1.249,255,255
1,0.980,0.525,13.193,0,1.180,12.485,0,0.965,0.960,255,255
1,0.922,0.839,10.728,0,1.259,11.384,0,0.779,0.868,255,255
1,0.854,0.367,12.643,0,1.102,12.407,0,0.771,0.820,255,255
1,0.621,1.049,11.830,0,1.102,12.407,0,0.579,0.569,255,255
1,0.620,0.341,11.174,0,0.708,11.620,0,0.578,0.610,255,255
1,0.557,0.184,11.698,0,0.708,11.620,0,0.530,0.547,255,255
1,0.555,1.049,11.830,0,1.259,11.384,0,0.493,0.497,255,255
1,0.428,0.708,11.620,0,1.049,11.830,0,0.400,0.330,255,255
1,0.406,1.180,12.485,0,1.469,12.695,0,0.357,0.312,255,255
1,0.369,1.495,11.174,0,1.626,10.859,0,0.341,0.321,255,255
1,0.338,1.259,11.384,0,1.495,11.174,0,0.316,0.249,255,255
1,0.190,1.705,10.702,0,1.626,10.859,0,0.176,0.152,255,255
1,0.179,1.652,11.174,0,1.495,11.174,0,0.157,0.174,255,255
1,0.175,3.095,12.407,0,2.990,12.538,0,0.168,0.181,255,255
1,0.164,1.102,12.407,0,1.180,12.485,0,0.111,0.074,255,255
1,0.116,3.095,12.511,0,2.990,12.538,0,0.108,0.119,255,255
1,0.100,1.548,10.807,0,1.626,10.859,0,0.095,0.087,255,255
2,0.253,0.446,18.675,0,0.630,18.807,0,0.226,0.239,255,255
2,0.232,0.682,19.016,0,0.630,18.807,0,0.216,0.227,255,255
2,0.116,0.734,18.780,0,0.630,18.807,0,0.108,0.119,255,255
3,0.074,0.656,14.689,0,0.708,14.636,0,0.074,0.074,255,255
4,0.913,0.761,8.577,0,1.207,8.367,0,0.493,0.847,255,255
4,0.655,0.918,9.075,0,1.285,8.603,0,0.598,0.551,255,255
4,0.627,1.836,8.787,0,1.285,8.603,0,0.581,0.593,255,255
4,0.354,1.364,8.079,0,1.207,8.367,0,0.329,0.340,255,255
4,0.269,1.207,8.367,0,1.285,8.603,0,0.249,0.189,255,255
4,0.153,0.787,9.128,0,0.918,9.075,0,0.141,0.141,255,255
4,0.127,0.970,9.180,0,0.918,9.075,0,0.117,0.120,255,255
5,0.052,0.839,18.570,0,0.839,18.623,0,0.052,0.052,255,255
6,0.420,1.311,18.544,0,1.731,18.544,0,0.420,0.341,255,255
6,0.417,1.180,18.203,0,1.311,18.544,0,0.365,0.318,255,255
6,0.395,1.862,18.203,0,1.731,18.544,0,0.365,0.386,255,255
6,0.369,1.889,18.833,0,1.731,18.544,0,0.329,0.335,255,255
