Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.127,0.079,25.049,0,0.131,24.944,0,0.117,0.113,255,255
3,0.194,0.184,24.079,0,0.341,24.026,0,0.166,0.184,255,255
3,0.175,0.446,24.157,0,0.341,24.026,0,0.168,0.157,255,255
3,0.153,0.262,23.921,0,0.341,24.026,0,0.131,0.152,255,255
4,0.037,0.236,4.879,0,0.262,4.905,0,0.037,0.037,255,255
5,0.100,0.236,18.964,0,0.289,19.043,0,0.095,0.087,255,255
6,0.127,0.236,22.059,0,0.289,22.164,0,0.117,0.113,255,255
7,0.026,0.236,23.633,0,0.262,23.633,0,0.026,0.026,255,255
8,0.131,0.262,13.377,0,0.393,13.377,0,0.131,0.131,255,255
9,0.063,0.262,21.482,0,0.289,21.430,0,0.059,0.056,255,255
10,0.190,0.315,2.728,0,0.472,2.649,0,0.176,0.171,255,255
11,0.079,0.315,4.616,0,0.315,4.695,0,0.079,0.079,255,255
12,0.100,0.315,6.505,0,0.393,6.557,0,0.095,0.087,255,255
13,0.063,0.315,15.895,0,0.341,15.843,0,0.059,0.056,255,255
14,0.026,0.341,6.059,0,0.341,6.085,0,0.026,0.026,255,255
15,0.037,0.393,3.384,0,0.420,3.357,0,0.037,0.037,255,255
16,0.295,0.472,16.734,0,0.498,16.472,0,0.264,0.224,255,255
16,0.242,0.577,16.262,0,0.498,16.472,0,0.224,0.231,255,255
16,0.116,0.393,16.498,0,0.498,16.472,0,0.108,0.121,255,255
16,0.090,0.525,16.787,0,0.472,16.734,0,0.074,0.082,255,255
16,0.037,0.446,16.761,0,0.472,16.734,0,0.037,0.037,255,255
17,0.485,0.813,21.141,0,0.446,21.193,0,0.371,0.465,255,255
17,0.116,0.525,21.246,0,0.446,21.193,0,0.095,0.108,255,255
17,0.100,0.393,21.272,0,0.446,21.193,0,0.095,0.098,255,255
18,0.127,0.420,11.016,0,0.498,10.938,0,0.111,0.115,255,255
20,0.190,0.472,1.548,0,0.551,1.705,0,0.176,0.174,255,255
21,0.037,0.472,9.548,0,0.498,9.521,0,0.037,0.037,255,255
23,0.026,0.472,21.902,0,0.498,21.902,0,0.026,0.026,255,255
24,0.511,0.472,25.364,0,0.630,24.918,0,0.473,0.479,255,255
25,0.026,0.498,8.315,0,0.498,8.341,0,0.026,0.026,255,255
26,0.079,0.525,4.144,0,0.525,4.223,0,0.079,0.079,255,255
27,0.164,0.525,18.728,0,0.656,18.649,0,0.153,0.158,255,255
28,0.074,0.551,0.839,0,0.603,0.787,0,0.074,0.074,255,255
29,0.063,0.603,10.151,0,0.656,10.177,0,0.059,0.056,255,255
30,0.275,0.603,20.039,0,0.761,19.830,0,0.262,0.262,255,255
31,0.026,0.630,25.731,0,0.630,25.757,0,0.026,0.026,255,255
32,0.138,0.656,6.689,0,0.734,6.584,0,0.131,0.144,255,255
34,0.153,0.682,2.990,0,0.813,2.990,0,0.131,0.136,255,255
35,0.063,0.682,3.489,0,0.734,3.462,0,0.059,0.056,255,255
36,0.963,0.997,6.138,0,1.285,5.639,0,0.576,0.910,255,255
36,0.801,1.023,4.984,0,1.285,5.639,0,0.706,0.740,255,255
36,0.605,0.761,5.534,0,1.285,5.639,0,0.535,0.583,255,255
36,0.395,0.682,5.115,0,1.023,4.984,0,0.365,0.365,255,255
36,0.164,1.154,4.905,0,1.023,4.984,0,0.153,0.109,255,255
37,0.295,0.682,7.318,0,0.761,7.056,0,0.274,0.270,255,255
38,0.026,0.682,8.708,0,0.682,8.734,0,0.026,0.026,255,255
40,0.090,0.813,9.233,0,0.787,9.311,0,0.083,0.056,255,255
40,0.063,0.734,9.338,0,0.787,9.311,0,0.059,0.056,255,255
40,0.063,0.813,9.364,0,0.787,9.311,0,0.059,0.026,255,255
41,0.026,0.761,18.072,0,0.761,18.098,0,0.026,0.026,255,255
42,0.026,0.787,1.915,0,0.813,1.915,0,0.026,0.026,255,255
43,0.179,0.813,0.656,0,0.970,0.656,0,0.157,0.163,255,255
44,0.327,0.813,17.338,0,0.970,17.600,0,0.306,0.292,255,255
45,0.343,0.839,15.161,0,1.128,15.239,0,0.299,0.347,255,255
45,0.100,1.128,15.318,0,1.128,15.239,0,0.079,0.104,255,255
45,0.079,1.207,15.239,0,1.128,15.239,0,0.079,0.079,255,255
46,0.026,0.866,9.810,0,0.892,9.810,0,0.026,0.026,255,255
47,0.100,0.866,13.220,0,0.944,13.167,0,0.095,0.087,255,255
48,0.459,0.866,18.754,0,0.944,19.016,0,0.274,0.405,255,255
48,0.221,0.970,19.226,0,0.944,19.016,0,0.211,0.227,255,255
48,0.153,1.075,19.069,0,0.944,19.016,0,0.141,0.147,255,255
49,0.179,0.892,12.852,0,1.049,12.800,0,0.166,0.162,255,255
50,0.100,0.918,7.895,0,0.918,7.974,0,0.079,0.090,255,255
51,0.026,0.918,10.990,0,0.918,11.016,0,0.026,0.026,255,255
52,0.369,1.311,21.246,0,0.997,21.377,0,0.341,0.380,255,255
52,0.138,0.918,21.272,0,0.997,21.377,0,0.131,0.131,255,255
52,0.116,0.970,21.482,0,0.997,21.377,0,0.108,0.120,255,255
53,0.212,1.102,0.970,0,0.970,1.128,0,0.205,0.215,255,255
53,0.127,1.075,1.180,0,0.970,1.128,0,0.117,0.124,255,255
53,0.026,0.944,1.128,0,0.970,1.128,0,0.026,0.026,255,255
54,0.037,0.970,19.672,0,0.997,19.646,0,0.037,0.037,255,255
56,0.142,1.023,0.262,0,1.154,0.289,0,0.134,0.132,255,255
57,0.037,1.049,25.311,0,1.075,25.338,0,0.037,0.037,255,255
58,0.037,1.102,10.282,0,1.128,10.256,0,0.037,0.037,255,255
59,0.063,1.102,11.331,0,1.128,11.384,0,0.059,0.056,255,255
60,0.232,1.128,18.125,0,1.180,18.334,0,0.216,0.235,255,255
61,0.164,1.180,7.685,0,1.285,7.580,0,0.148,0.155,255,255
62,0.238,1.207,7.003,0,1.338,7.187,0,0.226,0.228,255,255
63,0.090,1.233,1.574,0,1.259,1.652,0,0.083,0.083,255,255
64,0.063,1.233,26.702,0,1.285,26.728,0,0.059,0.056,255,255
65,0.063,1.259,12.669,0,1.285,12.616,0,0.059,0.056,255,255
66,0.127,1.285,2.334,0,1.338,2.439,0,0.117,0.135,255,255
67,0.633,1.495,10.020,0,1.626,9.521,0,0.515,0.509,255,255
67,0.312,1.285,9.810,0,1.495,10.020,0,0.297,0.295,255,255
67,0.205,1.443,9.574,0,1.626,9.521,0,0.191,0.201,255,255
67,0.190,1.574,10.177,0,1.495,10.020,0,0.176,0.182,255,255
67,0.127,1.679,9.416,0,1.626,9.521,0,0.117,0.083,255,255
69,0.063,1.311,11.121,0,1.338,11.174,0,0.059,0.066,255,255
70,0.175,1.338,1.023,0,1.443,0.892,0,0.168,0.178,255,255
71,0.052,1.338,15.449,0,1.390,15.449,0,0.052,0.052,255,255
72,0.026,1.338,26.072,0,1.364,26.072,0,0.026,0.026,255,255
73,0.238,1.364,8.813,0,1.548,8.944,0,0.226,0.228,255,255
74,0.026,1.364,14.295,0,1.390,14.295,0,0.026,0.026,255,255
75,0.100,1.390,12.249,0,1.469,12.302,0,0.095,0.087,255,255
76,0.052,1.390,16.341,0,1.390,16.393,0,0.052,0.052,255,255
77,0.026,1.390,24.157,0,1.390,24.184,0,0.026,0.026,255,255
78,0.116,1.443,14.977,0,1.548,14.951,0,0.108,0.110,255,255
79,0.090,1.469,3.148,0,1.548,3.174,0,0.083,0.083,255,255
80,0.227,1.469,19.803,0,1.574,19.620,0,0.211,0.231,255,255
81,0.227,1.495,4.643,0,1.600,4.459,0,0.211,0.217,255,255
82,0.201,1.495,17.679,0,1.600,17.836,0,0.189,0.174,255,255
82,0.168,1.757,17.810,0,1.600,17.836,0,0.160,0.160,255,255
82,0.100,1.652,17.915,0,1.600,17.836,0,0.095,0.093,255,255
84,0.432,1.574,11.226,0,1.679,11.489,0,0.283,0.395,255,255
85,0.037,1.574,20.774,0,1.600,20.800,0,0.037,0.037,255,255
87,0.164,1.600,12.826,0,1.679,12.695,0,0.153,0.157,255,255
87,0.142,1.652,12.564,0,1.679,12.695,0,0.134,0.132,255,255
87,0.100,1.757,12.695,0,1.679,12.695,0,0.079,0.093,255,255
88,0.026,1.626,22.741,0,1.626,22.767,0,0.026,0.026,255,255
89,0.164,1.652,26.702,0,1.784,26.623,0,0.153,0.150,255,255
90,0.026,1.679,0.367,0,1.705,0.367,0,0.026,0.026,255,255
91,0.026,1.679,4.275,0,1.705,4.275,0,0.026,0.026,255,255
92,0.380,1.679,16.210,0,1.915,16.446,0,0.334,0.361,255,255
93,0.269,1.941,25.548,0,1.705,25.574,0,0.238,0.280,255,255
93,0.205,1.705,25.390,0,1.705,25.574,0,0.184,0.201,255,255
93,0.063,1.679,25.626,0,1.705,25.574,0,0.059,0.063,255,255
94,0.026,1.705,23.790,0,1.731,23.790,0,0.026,0.026,255,255
95,1.053,1.731,7.030,0,2.649,6.793,0,0.948,1.014,255,255
95,0.258,2.885,6.846,0,2.649,6.793,0,0.242,0.241,255,255
95,0.127,2.702,6.689,0,2.649,6.793,0,0.117,0.131,255,255
96,0.074,1.836,23.449,0,1.810,23.475,0,0.037,0.000,0,0
96,0.063,1.862,23.502,0,1.810,23.475,0,0.059,0.026,255,255
96,0.026,1.784,23.475,0,1.810,23.475,0,0.026,0.026,255,255
97,0.428,1.810,11.934,0,2.072,11.646,0,0.390,0.408,255,255
97,0.242,2.282,11.725,0,2.072,11.646,0,0.224,0.218,255,255
97,0.201,1.993,11.515,0,2.072,11.646,0,0.153,0.187,255,255
98,0.026,1.810,22.007,0,1.836,22.007,0,0.026,0.026,255,255
99,0.037,1.836,6.007,0,1.862,5.980,0,0.037,0.037,255,255
100,0.352,1.889,13.980,0,2.230,14.007,0,0.342,0.344,255,255
101,0.242,2.308,2.125,0,2.098,2.151,0,0.211,0.218,255,255
101,0.205,1.915,2.203,0,2.098,2.151,0,0.191,0.190,255,255
101,0.100,2.151,2.230,0,2.098,2.151,0,0.095,0.093,255,255
102,0.131,1.915,25.836,0,1.915,25.967,0,0.131,0.131,255,255
103,0.142,1.941,0.866,0,2.072,0.892,0,0.134,0.132,255,255
105,0.127,1.967,16.000,0,2.072,16.000,0,0.105,0.108,255,255
106,0.116,1.967,20.433,0,2.072,20.407,0,0.108,0.106,255,255
107,0.052,1.967,26.334,0,2.020,26.334,0,0.052,0.052,255,255
108,0.026,1.993,20.905,0,2.020,20.905,0,0.026,0.026,255,255
109,0.127,2.020,0.131,0,2.125,0.184,0,0.117,0.116,255,255
110,0.052,2.020,10.990,0,2.020,11.043,0,0.052,0.052,255,255
111,0.052,2.020,22.190,0,2.072,22.190,0,0.052,0.052,255,255
112,0.116,2.046,3.882,0,2.151,3.856,0,0.108,0.107,255,255
114,0.090,2.072,12.354,0,2.098,12.275,0,0.083,0.080,255,255
115,0.063,2.098,18.518,0,2.151,18.492,0,0.059,0.056,255,255
117,0.116,2.125,0.498,0,2.203,0.551,0,0.095,0.104,255,255
118,0.063,2.125,25.600,0,2.151,25.652,0,0.059,0.066,255,255
119,0.037,2.230,2.833,0,2.256,2.807,0,0.037,0.037,255,255
120,0.090,2.230,18.334,0,2.308,18.361,0,0.083,0.080,255,255
122,0.026,2.256,16.000,0,2.282,16.000,0,0.026,0.026,255,255
123,0.037,2.256,17.915,0,2.282,17.941,0,0.037,0.037,255,255
124,0.063,2.282,4.170,0,2.334,4.144,0,0.059,0.056,255,255
125,0.026,2.282,9.967,0,2.308,9.967,0,0.026,0.026,255,255
126,0.037,2.282,16.472,0,2.308,16.446,0,0.037,0.037,255,255
127,0.216,2.334,6.295,0,2.439,6.452,0,0.189,0.210,255,255
128,0.026,2.334,11.436,0,2.334,11.462,0,0.026,0.026,255,255
130,0.380,2.413,0.656,0,2.466,0.970,0,0.319,0.347,255,255
131,0.063,2.413,13.193,0,2.439,13.246,0,0.059,0.066,255,255
132,0.052,2.439,14.662,0,2.492,14.662,0,0.052,0.052,255,255
133,0.522,2.439,21.902,0,2.859,21.744,0,0.448,0.490,255,255
134,0.079,2.466,11.830,0,2.544,11.830,0,0.079,0.079,255,255
136,0.205,2.492,1.495,0,2.544,1.679,0,0.191,0.196,255,255
137,0.037,2.518,17.574,0,2.544,17.548,0,0.037,0.037,255,255
138,0.063,2.518,26.072,0,2.544,26.020,0,0.059,0.056,255,255
139,0.026,2.544,15.161,0,2.544,15.187,0,0.026,0.026,255,255
140,0.026,2.544,22.584,0,2.544,22.610,0,0.026,0.026,255,255
141,0.242,2.570,10.046,0,2.597,10.256,0,0.211,0.227,255,255
143,0.127,2.597,23.764,0,2.649,23.869,0,0.117,0.109,255,255
143,0.127,2.754,23.816,0,2.649,23.869,0,0.117,0.124,255,255
143,0.063,2.623,23.921,0,2.649,23.869,0,0.059,0.063,255,255
144,0.026,2.597,24.498,0,2.597,24.525,0,0.026,0.026,255,255
145,0.037,2.623,1.416,0,2.649,1.390,0,0.037,0.037,255,255
146,0.063,2.623,16.367,0,2.649,16.315,0,0.059,0.066,255,255
148,0.688,2.649,3.751,0,3.121,4.197,0,0.649,0.665,255,255
149,0.037,2.649,25.731,0,2.675,25.757,0,0.037,0.037,255,255
150,0.052,2.675,5.062,0,2.728,5.062,0,0.052,0.052,255,255
151,0.026,2.675,9.731,0,2.702,9.731,0,0.026,0.026,255,255
152,0.100,2.702,16.603,0,2.780,16.656,0,0.095,0.098,255,255
154,0.201,2.728,11.830,0,2.885,11.934,0,0.189,0.184,255,255
155,0.592,2.728,19.436,0,3.121,19.384,0,0.397,0.562,255,255
156,0.026,2.754,5.744,0,2.780,5.744,0,0.026,0.026,255,255
157,0.194,2.754,26.072,0,2.780,26.256,0,0.185,0.187,255,255
158,0.026,2.780,8.105,0,2.807,8.105,0,0.026,0.026,255,255
159,0.037,2.807,15.895,0,2.833,15.921,0,0.037,0.037,255,255
160,0.052,2.833,3.174,0,2.885,3.174,0,0.052,0.052,255,255
161,0.138,2.833,18.387,0,2.859,18.492,0,0.108,0.109,255,255
162,0.242,2.833,20.118,0,2.911,20.328,0,0.224,0.226,255,255
163,0.354,2.833,24.918,0,2.990,25.154,0,0.284,0.342,255,255
164,0.037,2.859,2.990,0,2.885,2.964,0,0.037,0.037,255,255
165,0.037,2.859,23.161,0,2.885,23.134,0,0.037,0.037,255,255
166,0.074,2.911,7.921,0,2.964,7.974,0,0.074,0.074,255,255
167,0.878,3.620,9.784,0,3.567,8.970,0,0.815,0.837,255,255
167,0.777,2.911,8.472,0,3.121,9.075,0,0.639,0.732,255,255
167,0.603,3.174,8.446,0,3.489,8.918,0,0.567,0.589,255,255
167,0.592,4.144,8.656,0,3.751,9.023,0,0.538,0.519,255,255
167,0.498,4.066,9.390,0,3.751,9.023,0,0.484,0.478,255,255
167,0.448,3.121,9.075,0,3.489,8.918,0,0.400,0.392,255,255
167,0.280,2.911,9.207,0,3.121,9.075,0,0.247,0.211,255,255
167,0.205,3.567,8.970,0,3.751,9.023,0,0.191,0.107,255,255
167,0.100,3.489,8.918,0,3.567,8.970,0,0.095,0.037,255,255
168,0.063,2.938,2.728,0,2.990,2.702,0,0.059,0.066,255,255
169,0.738,2.964,1.285,0,3.174,1.810,0,0.565,0.698,255,255
170,0.026,2.964,11.541,0,2.990,11.541,0,0.026,0.026,255,255
171,0.052,2.990,9.548,0,3.043,9.548,0,0.052,0.052,255,255
172,0.205,2.990,9.993,0,3.174,9.941,0,0.191,0.187,255,255
173,0.026,3.016,15.344,0,3.043,15.344,0,0.026,0.026,255,255
174,0.374,3.148,20.066,0,3.121,19.725,0,0.342,0.370,255,255
174,0.190,3.279,19.751,0,3.121,19.725,0,0.160,0.166,255,255
174,0.116,3.016,19.751,0,3.121,19.725,0,0.108,0.121,255,255
175,0.037,3.016,24.262,0,3.043,24.236,0,0.037,0.037,255,255
176,0.063,3.043,7.318,0,3.069,7.266,0,0.059,0.056,255,255
178,0.063,3.095,3.121,0,3.121,3.174,0,0.059,0.066,255,255
180,0.153,3.121,7.003,0,3.252,6.951,0,0.141,0.152,255,255
181,0.063,3.148,6.689,0,3.200,6.715,0,0.059,0.066,255,255
182,0.190,3.200,22.531,0,3.226,22.374,0,0.160,0.163,255,255
183,0.369,3.226,18.492,0,3.331,18.780,0,0.307,0.351,255,255
183,0.164,3.436,18.885,0,3.331,18.780,0,0.148,0.146,255,255
183,0.090,3.252,18.807,0,3.331,18.780,0,0.083,0.094,255,255
184,0.037,3.252,10.256,0,3.279,10.282,0,0.037,0.037,255,255
185,0.317,3.698,11.095,0,3.462,11.252,0,0.284,0.291,255,255
185,0.253,3.252,11.357,0,3.462,11.252,0,0.235,0.256,255,255
