Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.164,0.052,26.020,0,0.184,25.993,0,0.134,0.136,255,255
2,1.088,0.157,23.843,0,0.839,23.344,0,0.845,1.023,255,255
2,0.650,1.154,23.843,0,0.839,23.344,0,0.589,0.568,255,255
2,0.428,1.180,23.187,0,0.839,23.344,0,0.376,0.349,255,255
3,0.649,0.551,24.866,0,0.289,25.390,0,0.587,0.613,255,255
3,0.127,0.315,25.469,0,0.289,25.390,0,0.083,0.119,255,255
3,0.116,0.184,25.364,0,0.289,25.390,0,0.108,0.110,255,255
4,0.730,0.498,3.331,0,1.207,3.331,0,0.708,0.686,255,255
4,0.697,1.784,3.620,0,1.207,3.331,0,0.645,0.651,255,255
4,0.517,0.210,2.964,0,0.498,3.331,0,0.467,0.492,255,255
4,0.517,1.023,4.013,0,1.259,3.593,0,0.482,0.489,255,255
4,0.422,0.367,3.698,0,0.498,3.331,0,0.390,0.368,255,255
4,0.365,1.548,3.777,0,1.259,3.593,0,0.342,0.336,255,255
4,0.306,1.207,3.331,0,1.259,3.593,0,0.267,0.231,255,255
5,1.024,0.236,11.646,0,0.892,12.275,0,0.909,0.941,255,255
5,0.745,1.311,12.800,0,0.892,12.275,0,0.672,0.706,255,255
5,0.485,1.311,12.328,0,0.892,12.275,0,0.423,0.451,255,255
6,0.227,0.498,10.675,0,0.393,10.492,0,0.211,0.203,255,255
6,0.194,0.315,10.361,0,0.393,10.492,0,0.153,0.176,255,255
6,0.190,0.262,10.597,0,0.393,10.492,0,0.168,0.166,255,255
7,0.026,0.315,6.505,0,0.341,6.505,0,0.026,0.026,255,255
8,0.290,0.315,26.702,0,0.551,26.570,0,0.270,0.263,255,255
9,0.306,0.367,2.020,0,0.472,1.810,0,0.235,0.257,255,255
10,0.026,0.393,7.318,0,0.393,7.344,0,0.026,0.026,255,255
11,0.849,0.603,9.102,0,1.049,9.705,0,0.750,0.797,255,255
12,0.127,0.603,16.656,0,0.682,16.577,0,0.111,0.108,255,255
13,0.138,0.630,8.289,0,0.734,8.367,0,0.131,0.120,255,255
14,0.063,0.656,17.836,0,0.708,17.810,0,0.059,0.066,255,255
15,0.625,0.866,24.997,0,0.866,24.393,0,0.603,0.623,255,255
15,0.275,0.682,24.210,0,0.866,24.393,0,0.260,0.261,255,255
15,0.079,0.944,24.393,0,0.866,24.393,0,0.079,0.079,255,255
16,0.747,0.708,6.636,0,0.761,7.318,0,0.684,0.726,255,255
17,0.306,1.154,17.259,0,0.944,17.154,0,0.235,0.292,255,255
17,0.142,0.813,17.128,0,0.944,17.154,0,0.134,0.137,255,255
17,0.100,1.023,17.102,0,0.944,17.154,0,0.095,0.100,255,255
18,0.297,1.259,25.810,0,1.075,25.600,0,0.279,0.297,255,255
18,0.269,0.839,25.574,0,1.075,25.600,0,0.238,0.245,255,255
