Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.026,0.052,6.216,0,0.052,6.243,0,0.026,0.026,255,255
2,0.026,0.079,25.128,0,0.079,25.154,0,0.026,0.026,255,255
3,0.127,0.079,25.600,0,0.184,25.600,0,0.105,0.119,255,255
4,0.037,0.105,22.610,0,0.131,22.636,0,0.037,0.037,255,255
5,0.052,0.131,14.977,0,0.184,14.977,0,0.052,0.052,255,255
6,0.116,0.157,6.426,0,0.236,6.374,0,0.095,0.104,255,255
7,0.391,0.184,1.338,0,0.367,1.023,0,0.364,0.390,255,255
8,0.100,0.184,18.780,0,0.184,18.859,0,0.079,0.093,255,255
9,0.026,0.236,11.305,0,0.262,11.305,0,0.026,0.026,255,255
10,0.063,0.262,0.341,0,0.289,0.289,0,0.059,0.056,255,255
11,0.670,0.262,3.620,0,0.577,3.462,0,0.352,0.597,255,255
12,0.116,0.262,6.085,0,0.367,6.111,0,0.108,0.106,255,255
13,0.157,0.289,4.407,0,0.446,4.407,0,0.157,0.157,255,255
14,0.242,0.289,4.957,0,0.420,5.115,0,0.205,0.230,255,255
15,0.074,0.289,13.849,0,0.341,13.797,0,0.074,0.074,255,255
16,0.100,0.315,4.092,0,0.367,4.013,0,0.095,0.087,255,255
17,0.517,0.315,14.321,0,0.682,14.243,0,0.376,0.468,255,255
17,0.448,0.997,14.321,0,1.390,14.452,0,0.415,0.361,255,255
17,0.400,1.207,14.715,0,1.390,14.452,0,0.320,0.370,255,255
17,0.347,1.705,14.426,0,1.390,14.452,0,0.316,0.335,255,255
17,0.347,0.682,14.243,0,0.997,14.321,0,0.324,0.264,255,255
17,0.074,1.049,14.269,0,0.997,14.321,0,0.074,0.074,255,255
17,0.052,0.682,14.190,0,0.682,14.243,0,0.052,0.052,255,255
18,0.063,0.315,24.367,0,0.367,24.393,0,0.059,0.056,255,255
20,0.037,0.367,15.974,0,0.393,16.000,0,0.037,0.037,255,255
21,0.037,0.367,20.931,0,0.393,20.957,0,0.037,0.037,255,255
22,0.026,0.367,21.325,0,0.393,21.325,0,0.026,0.026,255,255
23,0.264,0.367,21.849,0,0.525,22.033,0,0.242,0.244,255,255
24,0.090,0.393,0.708,0,0.420,0.630,0,0.083,0.094,255,255
25,1.680,1.259,6.977,0,0.918,8.367,0,1.431,1.596,255,255
25,0.801,0.603,9.023,0,0.918,8.367,0,0.727,0.716,255,255
25,0.533,0.630,9.548,0,0.787,9.993,0,0.473,0.418,255,255
25,0.422,0.603,9.180,0,0.630,9.548,0,0.368,0.329,255,255
25,0.343,1.049,10.151,0,0.787,9.993,0,0.306,0.332,255,255
25,0.269,0.682,8.289,0,0.918,8.367,0,0.249,0.187,255,255
25,0.258,0.551,10.046,0,0.787,9.993,0,0.242,0.247,255,255
25,0.253,0.498,8.367,0,0.682,8.289,0,0.200,0.219,255,255
25,0.242,0.420,8.105,0,0.630,8.184,0,0.224,0.219,255,255
25,0.212,0.472,8.866,0,0.603,9.023,0,0.205,0.191,255,255
25,0.205,0.787,9.233,0,0.603,9.180,0,0.191,0.188,255,255
25,0.179,0.787,9.548,0,0.630,9.548,0,0.157,0.185,255,255
25,0.179,0.603,9.023,0,0.603,9.180,0,0.157,0.116,255,255
25,0.127,0.630,8.184,0,0.682,8.289,0,0.117,0.056,255,255
25,0.074,0.682,8.131,0,0.630,8.184,0,0.074,0.074,255,255
27,0.063,0.420,18.413,0,0.446,18.361,0,0.059,0.066,255,255
29,0.074,0.472,22.452,0,0.525,22.400,0,0.074,0.074,255,255
30,0.026,0.472,24.577,0,0.498,24.577,0,0.026,0.026,255,255
31,0.465,0.892,25.390,0,0.656,25.023,0,0.437,0.452,255,255
31,0.216,0.734,24.839,0,0.656,25.023,0,0.200,0.213,255,255
31,0.205,0.472,25.023,0,0.656,25.023,0,0.184,0.187,255,255
32,0.347,0.498,6.820,0,0.813,6.741,0,0.324,0.340,255,255
33,0.074,0.498,14.741,0,0.551,14.793,0,0.074,0.074,255,255
34,0.026,0.498,16.787,0,0.525,16.787,0,0.026,0.026,255,255
37,0.037,0.577,5.010,0,0.603,5.036,0,0.037,0.037,255,255
38,0.655,0.630,4.223,0,1.075,3.882,0,0.561,0.599,255,255
39,0.037,0.682,16.603,0,0.708,16.630,0,0.037,0.037,255,255
40,0.026,0.708,0.682,0,0.734,0.682,0,0.026,0.026,255,255
41,0.026,0.708,17.862,0,0.734,17.862,0,0.026,0.026,255,255
42,0.026,0.734,15.685,0,0.761,15.685,0,0.026,0.026,255,255
43,0.074,0.761,12.302,0,0.813,12.354,0,0.074,0.074,255,255
44,0.026,0.839,15.554,0,0.839,15.580,0,0.026,0.026,255,255
45,0.553,0.866,11.698,0,1.207,11.515,0,0.387,0.518,255,255
46,0.074,0.866,26.308,0,0.918,26.308,0,0.052,0.063,255,255
47,0.428,0.892,3.462,0,1.154,3.174,0,0.390,0.409,255,255
48,0.063,0.892,18.675,0,0.944,18.702,0,0.059,0.066,255,255
49,0.026,0.892,23.397,0,0.918,23.397,0,0.026,0.026,255,255
50,0.138,0.918,19.410,0,0.997,19.305,0,0.131,0.144,255,255
51,0.727,1.154,21.875,0,1.023,22.452,0,0.592,0.638,255,255
51,0.441,0.918,22.820,0,1.023,22.452,0,0.382,0.427,255,255
51,0.426,1.390,22.505,0,1.023,22.452,0,0.371,0.413,255,255
52,0.037,0.944,16.813,0,0.970,16.787,0,0.037,0.037,255,255
53,0.127,0.997,12.590,0,1.102,12.538,0,0.117,0.113,255,255
54,0.327,0.997,21.062,0,1.259,20.905,0,0.306,0.294,255,255
55,0.116,0.997,25.836,0,1.102,25.862,0,0.108,0.107,255,255
56,0.037,1.023,2.754,0,1.049,2.728,0,0.037,0.037,255,255
57,0.037,1.023,20.616,0,1.049,20.643,0,0.037,0.037,255,255
58,0.090,1.023,24.157,0,1.102,24.184,0,0.083,0.094,255,255
60,0.697,1.338,13.115,0,1.128,13.666,0,0.589,0.662,255,255
60,0.153,1.259,13.718,0,1.128,13.666,0,0.141,0.147,255,255
60,0.116,1.049,13.718,0,1.128,13.666,0,0.095,0.106,255,255
62,0.052,1.049,17.652,0,1.049,17.705,0,0.052,0.052,255,255
63,0.063,1.049,18.282,0,1.075,18.334,0,0.059,0.066,255,255
64,0.026,1.075,5.377,0,1.075,5.403,0,0.026,0.026,255,255
65,0.965,1.154,10.780,0,1.731,11.384,0,0.835,0.901,255,255
66,0.590,1.154,12.302,0,1.679,12.144,0,0.548,0.558,255,255
67,0.317,1.154,16.393,0,1.311,16.577,0,0.242,0.304,255,255
68,0.242,1.180,1.574,0,1.285,1.390,0,0.211,0.225,255,255
69,0.063,1.180,24.866,0,1.207,24.918,0,0.059,0.066,255,255
70,0.190,1.207,17.154,0,1.338,17.049,0,0.168,0.167,255,255
71,0.074,1.207,20.407,0,1.259,20.354,0,0.074,0.074,255,255
72,0.432,1.233,9.469,0,1.285,9.679,0,0.216,0.390,255,255
73,0.138,1.259,9.023,0,1.338,9.128,0,0.131,0.120,255,255
74,0.127,1.259,15.318,0,1.338,15.397,0,0.111,0.108,255,255
75,0.269,1.469,24.787,0,1.390,24.551,0,0.249,0.269,255,255
75,0.142,1.259,24.577,0,1.390,24.551,0,0.134,0.148,255,255
75,0.074,1.443,24.498,0,1.390,24.551,0,0.074,0.074,255,255
76,0.116,1.259,26.282,0,1.285,26.177,0,0.108,0.107,255,255
77,0.116,1.285,0.315,0,1.311,0.420,0,0.108,0.110,255,255
78,1.627,1.285,6.321,0,1.889,5.666,0,0.891,1.490,255,255
79,0.052,1.285,15.554,0,1.285,15.607,0,0.052,0.052,255,255
80,0.052,1.311,12.879,0,1.364,12.879,0,0.052,0.052,255,255
81,0.153,1.338,2.177,0,1.390,2.308,0,0.141,0.156,255,255
82,0.026,1.390,7.134,0,1.416,7.134,0,0.026,0.026,255,255
83,0.100,1.443,4.066,0,1.495,4.144,0,0.095,0.087,255,255
84,0.063,1.443,20.511,0,1.469,20.564,0,0.059,0.056,255,255
85,0.127,1.495,9.548,0,1.548,9.652,0,0.117,0.109,255,255
86,0.295,1.679,18.413,0,1.521,18.597,0,0.242,0.274,255,255
86,0.026,1.495,18.597,0,1.521,18.597,0,0.026,0.026,255,255
86,0.026,1.521,18.597,0,1.521,18.597,0,0.000,0.000,0,0
87,0.205,1.521,23.187,0,1.705,23.134,0,0.191,0.187,255,255
88,0.621,1.548,7.711,0,1.784,7.266,0,0.505,0.595,255,255
89,0.301,1.548,17.652,0,1.731,17.443,0,0.279,0.273,255,255
90,0.138,1.548,20.249,0,1.652,20.328,0,0.131,0.138,255,255
91,0.153,1.574,19.121,0,1.574,19.252,0,0.131,0.147,255,255
91,0.116,1.600,19.357,0,1.574,19.252,0,0.108,0.109,255,255
91,0.079,1.652,19.252,0,1.574,19.252,0,0.079,0.079,255,255
92,0.232,1.600,22.190,0,1.810,22.190,0,0.210,0.228,255,255
93,0.052,1.626,5.377,0,1.679,5.377,0,0.052,0.052,255,255
94,0.194,1.626,13.010,0,1.652,13.193,0,0.185,0.185,255,255
95,0.142,1.626,16.472,0,1.652,16.603,0,0.134,0.137,255,255
97,0.769,2.361,18.466,0,1.915,18.702,0,0.505,0.705,255,255
97,0.522,1.652,19.069,0,1.915,18.702,0,0.451,0.484,255,255
97,0.090,1.889,18.623,0,1.915,18.702,0,0.083,0.083,255,255
98,0.284,1.993,25.469,0,1.731,25.469,0,0.262,0.274,255,255
98,0.153,1.652,25.574,0,1.731,25.469,0,0.131,0.134,255,255
