Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.579,0.551,24.472,0,1.757,24.498,0,1.207,1.502,255,255
1,0.640,2.413,25.075,0,2.046,24.603,0,0.598,0.617,255,255
1,0.358,2.334,24.525,0,2.046,24.603,0,0.299,0.327,255,255
1,0.332,1.757,24.498,0,2.046,24.603,0,0.307,0.250,255,255
1,0.142,1.652,24.551,0,1.757,24.498,0,0.117,0.132,255,255
2,0.153,1.023,15.633,0,1.154,15.633,0,0.131,0.147,255,255
3,0.052,1.180,6.636,0,1.233,6.636,0,0.052,0.052,255,255
4,0.138,1.180,11.803,0,1.259,11.908,0,0.131,0.131,255,255
5,0.727,2.387,11.646,0,2.151,11.016,0,0.672,0.685,255,255
5,0.647,2.754,10.964,0,2.151,11.016,0,0.606,0.626,255,255
5,0.542,1.574,11.567,0,1.679,11.069,0,0.509,0.479,255,255
5,0.494,1.679,11.069,0,2.151,11.016,0,0.475,0.451,255,255
5,0.469,1.285,10.885,0,1.679,11.069,0,0.434,0.433,255,255
6,0.585,1.626,25.416,0,2.125,25.364,0,0.501,0.533,255,255
7,0.496,1.652,19.148,0,1.731,18.728,0,0.427,0.448,255,255
8,1.068,2.308,17.652,0,2.807,16.997,0,0.824,1.017,255,255
8,0.605,3.357,16.866,0,2.807,16.997,0,0.566,0.556,255,255
8,0.326,2.675,16.551,0,2.649,16.866,0,0.316,0.326,255,255
8,0.321,2.361,16.787,0,2.649,16.866,0,0.299,0.298,255,255
8,0.212,2.649,16.866,0,2.807,16.997,0,0.205,0.087,255,255
9,0.153,2.492,16.289,0,2.544,16.157,0,0.141,0.135,255,255
10,0.201,2.649,10.098,0,2.807,10.203,0,0.189,0.185,255,255
11,0.961,2.754,2.623,0,3.489,3.095,0,0.873,0.895,255,255
12,0.948,3.043,24.630,0,3.882,24.367,0,0.879,0.900,255,255
12,0.677,4.407,24.000,0,3.882,24.367,0,0.640,0.633,255,255
12,0.450,4.170,24.682,0,3.882,24.367,0,0.427,0.433,255,255
13,0.168,3.069,15.711,0,3.200,15.659,0,0.141,0.155,255,255
14,2.015,5.167,10.282,0,6.033,9.128,0,1.443,1.868,255,255
14,1.549,3.672,10.702,0,5.036,10.780,0,1.366,1.420,255,255
14,1.047,6.164,10.728,0,5.193,10.649,0,0.974,1.007,255,255
14,0.703,4.643,9.889,0,5.167,10.282,0,0.656,0.595,255,255
14,0.452,6.531,8.839,0,6.111,8.813,0,0.420,0.423,255,255
14,0.402,3.148,10.754,0,3.436,10.518,0,0.373,0.371,255,255
14,0.378,5.167,10.282,0,5.193,10.649,0,0.368,0.315,255,255
14,0.365,5.744,9.311,0,6.033,9.128,0,0.342,0.335,255,255
14,0.363,6.164,8.472,0,6.111,8.813,0,0.345,0.369,255,255
14,0.347,6.033,9.128,0,6.111,8.813,0,0.324,0.266,255,255
14,0.323,3.200,10.308,0,3.436,10.518,0,0.316,0.302,255,255
14,0.312,3.436,10.518,0,3.672,10.702,0,0.299,0.228,255,255
14,0.275,3.515,10.911,0,3.672,10.702,0,0.262,0.261,255,255
14,0.227,5.036,10.780,0,5.193,10.649,0,0.205,0.157,255,255
14,0.168,4.669,9.731,0,4.643,9.889,0,0.160,0.168,255,255
14,0.090,4.564,9.915,0,4.643,9.889,0,0.083,0.083,255,255
14,0.052,5.036,10.833,0,5.036,10.780,0,0.052,0.052,255,255
15,1.605,6.190,15.607,0,4.957,14.767,0,1.491,1.531,255,255
15,1.597,5.010,14.479,0,5.770,13.351,0,1.360,1.479,255,255
15,1.556,4.748,16.236,0,4.957,14.767,0,1.484,1.517,255,255
15,1.478,3.751,14.111,0,4.957,14.767,0,1.373,1.419,255,255
15,1.426,5.797,12.066,0,5.770,13.351,0,1.286,1.332,255,255
15,1.211,4.354,13.561,0,5.010,14.479,0,1.128,1.188,255,255
15,0.851,6.426,13.823,0,5.770,13.351,0,0.808,0.774,255,255
15,0.310,4.957,14.767,0,5.010,14.479,0,0.293,0.227,255,255
16,0.063,3.934,2.702,0,3.961,2.754,0,0.059,0.056,255,255
17,0.275,4.275,17.023,0,4.485,16.918,0,0.235,0.233,255,255
18,0.201,4.328,3.436,0,4.433,3.489,0,0.117,0.160,255,255
19,0.258,4.616,23.134,0,4.669,23.370,0,0.242,0.245,255,255
20,0.153,4.669,22.295,0,4.800,22.348,0,0.141,0.138,255,255
21,0.052,4.669,26.597,0,4.721,26.597,0,0.052,0.052,255,255
22,1.147,4.800,2.780,0,5.849,3.016,0,1.075,1.007,255,255
22,0.959,5.849,3.016,0,6.374,3.462,0,0.688,0.815,255,255
22,0.426,4.879,2.387,0,4.800,2.780,0,0.401,0.426,255,255
22,0.336,4.748,3.095,0,4.800,2.780,0,0.319,0.318,255,255
22,0.242,5.928,3.226,0,5.849,3.016,0,0.224,0.227,255,255
22,0.242,6.348,3.672,0,6.374,3.462,0,0.211,0.231,255,255
22,0.153,6.243,3.515,0,6.374,3.462,0,0.141,0.135,255,255
23,0.469,4.826,24.551,0,5.010,24.157,0,0.434,0.430,255,255
24,0.374,4.905,3.987,0,4.984,4.328,0,0.350,0.351,255,255
24,0.127,4.879,4.380,0,4.984,4.328,0,0.117,0.113,255,255
24,0.100,5.062,4.380,0,4.984,4.328,0,0.095,0.056,255,255
25,0.262,4.931,6.951,0,4.931,7.213,0,0.262,0.262,255,255
26,1.398,5.482,16.970,0,6.662,17.495,0,1.292,1.320,255,255
26,1.230,6.793,16.341,0,6.662,17.495,0,1.162,1.202,255,255
26,0.823,7.816,17.836,0,7.134,18.020,0,0.706,0.783,255,255
