Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.105,0.289,18.439,0,0.393,18.439,0,0.105,0.105,255,255
2,1.166,0.997,21.377,0,1.102,20.616,0,0.768,1.011,255,255
2,0.747,0.367,21.167,0,0.997,21.377,0,0.664,0.707,255,255
2,0.310,0.813,20.669,0,1.102,20.616,0,0.293,0.292,255,255
2,0.116,1.023,21.482,0,0.997,21.377,0,0.108,0.116,255,255
2,0.074,1.154,20.564,0,1.102,20.616,0,0.074,0.074,255,255
3,0.026,0.551,21.744,0,0.551,21.770,0,0.026,0.026,255,255
4,1.339,0.866,10.885,0,1.784,10.308,0,1.084,1.191,255,255
4,0.996,1.102,11.725,0,0.708,11.148,0,0.698,0.911,255,255
4,0.965,2.492,10.780,0,1.784,10.308,0,0.851,0.904,255,255
4,0.887,2.203,9.626,0,1.784,10.308,0,0.801,0.866,255,255
4,0.491,0.577,10.754,0,0.708,11.148,0,0.415,0.462,255,255
4,0.327,0.708,11.148,0,0.866,10.885,0,0.306,0.296,255,255
4,0.052,0.866,10.833,0,0.866,10.885,0,0.052,0.052,255,255
5,0.138,0.603,21.561,0,0.708,21.639,0,0.131,0.138,255,255
6,0.516,1.154,23.318,0,1.049,23.790,0,0.484,0.508,255,255
6,0.400,0.682,23.869,0,1.049,23.790,0,0.376,0.384,255,255
6,0.127,1.128,23.869,0,1.049,23.790,0,0.111,0.113,255,255
7,0.310,1.207,14.007,0,0.918,13.954,0,0.293,0.295,255,255
7,0.275,0.787,13.770,0,0.918,13.954,0,0.226,0.261,255,255
7,0.216,0.839,14.138,0,0.918,13.954,0,0.200,0.139,255,255
7,0.090,0.892,14.190,0,0.839,14.138,0,0.074,0.082,255,255
7,0.074,0.787,14.190,0,0.839,14.138,0,0.074,0.074,255,255
8,1.162,1.574,14.138,0,2.282,14.898,0,1.039,1.099,255,255
8,1.127,1.731,16.892,0,1.626,15.895,0,1.002,1.068,255,255
8,0.930,2.046,15.685,0,2.702,16.184,0,0.824,0.882,255,255
8,0.905,0.787,15.738,0,1.626,15.895,0,0.854,0.871,255,255
8,0.886,3.043,14.636,0,2.282,14.898,0,0.805,0.747,255,255
8,0.885,2.046,15.685,0,2.282,14.898,0,0.822,0.810,255,255
8,0.753,2.807,15.423,0,2.282,14.898,0,0.742,0.731,255,255
8,0.729,1.233,15.370,0,1.810,15.738,0,0.684,0.700,255,255
8,0.280,2.702,16.184,0,2.938,16.289,0,0.258,0.209,255,255
8,0.264,1.626,15.895,0,1.810,15.738,0,0.242,0.120,255,255
8,0.258,1.810,15.738,0,2.046,15.685,0,0.242,0.214,255,255
8,0.227,2.885,16.079,0,2.702,16.184,0,0.211,0.211,255,255
8,0.138,3.016,16.184,0,2.938,16.289,0,0.131,0.135,255,255
8,0.063,2.990,16.315,0,2.938,16.289,0,0.059,0.063,255,255
9,0.747,2.072,9.102,0,1.390,8.997,0,0.690,0.674,255,255
9,0.443,1.207,8.630,0,1.390,8.997,0,0.411,0.401,255,255
9,0.347,0.866,9.023,0,1.180,9.102,0,0.324,0.327,255,255
9,0.258,1.180,9.338,0,1.180,9.102,0,0.236,0.253,255,255
9,0.253,1.180,9.102,0,1.390,8.997,0,0.235,0.113,255,255
10,0.138,1.049,12.092,0,1.128,12.197,0,0.131,0.144,255,255
11,0.269,1.154,3.567,0,1.364,3.620,0,0.216,0.238,255,255
12,0.769,1.941,11.777,0,2.098,12.459,0,0.700,0.713,255,255
12,0.690,2.098,12.459,0,2.675,12.695,0,0.623,0.609,255,255
12,0.559,1.679,12.721,0,2.098,12.459,0,0.495,0.451,255,255
12,0.517,1.443,12.302,0,1.679,12.721,0,0.482,0.385,255,255
12,0.507,2.885,13.115,0,2.675,12.695,0,0.469,0.513,255,255
12,0.505,1.207,12.695,0,1.679,12.721,0,0.473,0.480,255,255
12,0.216,2.859,12.774,0,2.675,12.695,0,0.200,0.199,255,255
