Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.190,0.262,7.921,0,0.184,8.079,0,0.176,0.178,255,255
1,0.100,0.131,8.157,0,0.184,8.079,0,0.095,0.098,255,255
1,0.090,0.262,8.105,0,0.184,8.079,0,0.083,0.082,255,255
2,0.290,0.184,8.262,0,0.393,8.420,0,0.262,0.273,255,255
3,0.052,0.210,10.413,0,0.210,10.466,0,0.052,0.052,255,255
4,0.116,0.236,10.675,0,0.341,10.702,0,0.108,0.110,255,255
5,0.090,0.577,3.908,0,0.603,3.987,0,0.083,0.080,255,255
6,0.738,1.679,2.151,0,1.049,2.361,0,0.664,0.699,255,255
6,0.622,0.918,2.885,0,1.049,2.361,0,0.541,0.575,255,255
6,0.369,0.734,2.282,0,1.049,2.361,0,0.324,0.328,255,255
7,0.885,1.915,4.538,0,1.364,4.118,0,0.692,0.828,255,255
7,0.823,1.390,4.643,0,1.364,4.118,0,0.525,0.755,255,255
7,0.581,0.761,3.541,0,1.075,3.961,0,0.525,0.530,255,255
7,0.487,0.892,4.380,0,1.180,4.013,0,0.467,0.421,255,255
7,0.295,1.180,4.013,0,1.364,4.118,0,0.211,0.249,255,255
7,0.238,0.918,4.118,0,1.075,3.961,0,0.223,0.217,255,255
7,0.127,1.075,3.961,0,1.180,4.013,0,0.117,0.026,255,255
7,0.063,0.944,4.407,0,0.892,4.380,0,0.059,0.026,255,255
7,0.037,0.866,4.407,0,0.892,4.380,0,0.037,0.037,255,255
8,0.079,0.839,15.292,0,0.918,15.292,0,0.079,0.079,255,255
9,1.180,1.416,20.039,0,2.334,19.593,0,1.021,1.112,255,255
9,1.077,1.679,18.964,0,2.334,19.593,0,0.909,0.971,255,255
9,0.806,3.043,19.777,0,2.334,19.593,0,0.732,0.758,255,255
9,0.653,1.548,18.387,0,1.679,18.964,0,0.592,0.606,255,255
9,0.439,1.364,19.226,0,1.679,18.964,0,0.410,0.416,255,255
10,1.570,2.334,26.256,0,1.862,24.918,0,1.419,1.483,255,255
10,0.491,1.548,24.603,0,1.862,24.918,0,0.445,0.465,255,255
10,0.428,2.203,24.761,0,1.862,24.918,0,0.376,0.409,255,255
11,1.385,2.256,13.875,0,2.570,15.108,0,1.272,1.261,255,255
11,0.740,1.993,15.502,0,2.570,15.108,0,0.698,0.688,255,255
11,0.640,3.384,15.659,0,2.885,15.318,0,0.604,0.618,255,255
11,0.517,2.702,15.738,0,2.885,15.318,0,0.458,0.484,255,255
