Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.116,0.367,4.013,0,0.472,4.039,0,0.108,0.106,255,255
2,0.026,0.393,3.279,0,0.420,3.279,0,0.026,0.026,255,255
3,0.168,0.630,13.692,0,0.787,13.718,0,0.160,0.161,255,255
4,0.417,1.259,12.984,0,0.918,13.062,0,0.350,0.382,255,255
4,0.406,1.233,13.089,0,0.918,13.062,0,0.316,0.384,255,255
4,0.205,0.734,13.010,0,0.918,13.062,0,0.191,0.192,255,255
5,0.828,1.469,15.580,0,1.338,16.289,0,0.720,0.777,255,255
5,0.622,0.892,15.974,0,1.338,16.289,0,0.546,0.486,255,255
5,0.570,1.574,16.761,0,1.338,16.289,0,0.528,0.558,255,255
5,0.269,0.813,15.738,0,0.892,15.974,0,0.249,0.248,255,255
5,0.063,0.944,16.000,0,0.892,15.974,0,0.059,0.063,255,255
6,0.026,0.918,24.289,0,0.944,24.289,0,0.026,0.026,255,255
7,0.153,1.259,18.675,0,1.311,18.544,0,0.141,0.138,255,255
8,0.644,1.311,7.711,0,1.836,8.000,0,0.599,0.606,255,255
9,1.192,1.548,13.220,0,2.387,12.695,0,0.990,1.065,255,255
9,0.896,2.334,14.085,0,2.990,13.692,0,0.765,0.777,255,255
9,0.760,2.518,12.721,0,3.016,12.643,0,0.505,0.655,255,255
9,0.675,2.649,13.220,0,2.990,13.692,0,0.582,0.531,255,255
9,0.579,1.626,12.695,0,1.548,13.220,0,0.530,0.554,255,255
9,0.533,1.889,13.875,0,2.334,14.085,0,0.493,0.422,255,255
9,0.474,2.020,13.456,0,1.889,13.875,0,0.440,0.460,255,255
9,0.469,1.495,13.692,0,1.889,13.875,0,0.434,0.460,255,255
9,0.465,2.282,13.351,0,2.649,13.220,0,0.390,0.422,255,255
9,0.375,2.938,12.748,0,2.649,12.957,0,0.357,0.354,255,255
9,0.290,2.518,12.721,0,2.649,12.957,0,0.270,0.193,255,255
9,0.284,2.649,12.957,0,2.649,13.220,0,0.262,0.221,255,255
9,0.232,2.151,12.538,0,2.361,12.590,0,0.216,0.131,255,255
9,0.201,2.020,12.669,0,2.151,12.538,0,0.185,0.204,255,255
9,0.153,2.098,12.407,0,2.151,12.538,0,0.141,0.141,255,255
9,0.142,3.148,12.616,0,3.016,12.643,0,0.134,0.147,255,255
9,0.142,2.387,12.695,0,2.518,12.721,0,0.134,0.079,255,255
9,0.138,2.439,12.485,0,2.361,12.590,0,0.131,0.120,255,255
9,0.131,1.548,13.351,0,1.548,13.220,0,0.131,0.131,255,255
9,0.127,2.282,14.190,0,2.334,14.085,0,0.117,0.123,255,255
9,0.127,3.095,13.744,0,2.990,13.692,0,0.117,0.135,255,255
9,0.116,2.361,12.590,0,2.387,12.695,0,0.108,0.080,255,255
9,0.063,2.990,12.695,0,3.016,12.643,0,0.059,0.063,255,255
10,0.026,1.521,21.508,0,1.521,21.534,0,0.026,0.026,255,255
11,0.100,1.548,12.538,0,1.626,12.538,0,0.079,0.082,255,255
12,0.063,1.574,21.508,0,1.626,21.482,0,0.059,0.066,255,255
13,0.153,1.757,20.197,0,1.889,20.249,0,0.141,0.135,255,255
14,1.394,1.915,24.866,0,2.754,24.315,0,1.004,1.302,255,255
14,0.775,1.915,24.866,0,2.492,24.918,0,0.579,0.658,255,255
14,0.760,3.069,24.944,0,2.754,24.315,0,0.704,0.717,255,255
14,0.468,1.915,25.311,0,1.915,24.866,0,0.446,0.454,255,255
14,0.443,2.833,24.184,0,3.095,23.895,0,0.390,0.379,255,255
14,0.395,2.911,23.843,0,2.833,24.184,0,0.350,0.389,255,255
14,0.164,2.754,24.315,0,2.833,24.184,0,0.153,0.093,255,255
14,0.157,2.492,25.075,0,2.492,24.918,0,0.157,0.157,255,255
14,0.142,2.623,24.944,0,2.492,24.918,0,0.134,0.133,255,255
14,0.100,3.174,23.895,0,3.095,23.895,0,0.079,0.104,255,255
14,0.063,3.121,23.843,0,3.095,23.895,0,0.059,0.066,255,255
15,0.395,2.570,25.731,0,2.230,25.626,0,0.357,0.386,255,255
15,0.284,1.967,25.574,0,2.230,25.626,0,0.267,0.267,255,255
15,0.280,2.177,25.390,0,2.230,25.626,0,0.242,0.226,255,255
15,0.185,2.308,25.784,0,2.230,25.626,0,0.176,0.175,255,255
16,0.242,2.046,4.039,0,2.256,4.118,0,0.224,0.245,255,255
17,0.179,2.151,23.213,0,2.282,23.239,0,0.134,0.155,255,255
18,0.327,2.597,2.938,0,2.754,2.675,0,0.306,0.305,255,255
19,0.297,3.043,16.393,0,3.252,16.603,0,0.297,0.297,255,255
21,3.692,8.367,12.354,0,10.938,14.951,0,3.654,3.612,255,255
21,3.230,10.046,9.967,0,12.092,12.328,0,3.124,3.160,255,255
21,3.195,11.672,12.485,0,9.390,10.282,0,3.172,3.173,255,255
21,3.182,12.485,12.066,0,10.675,9.810,0,2.892,3.138,255,255
21,3.136,8.866,11.489,0,11.121,13.613,0,3.099,3.056,255,255
21,3.119,5.062,13.062,0,7.318,11.016,0,3.045,3.063,255,255
21,2.776,13.193,11.725,0,11.357,9.731,0,2.710,2.752,255,255
21,2.649,4.748,12.616,0,6.584,10.728,0,2.634,2.635,255,255
21,2.638,9.023,15.790,0,7.134,13.980,0,2.616,2.611,255,255
21,2.439,8.315,8.656,0,8.734,6.689,0,2.011,2.317,255,255
21,2.137,7.134,13.980,0,8.367,12.354,0,2.041,2.004,255,255
21,2.118,15.030,11.489,0,13.403,10.518,0,1.894,2.011,255,255
21,2.084,11.489,9.705,0,12.669,8.131,0,1.967,2.024,255,255
21,2.074,12.905,16.577,0,11.803,18.098,0,1.878,2.015,255,255
21,2.047,12.302,16.079,0,11.567,17.626,0,1.713,2.017,255,255
21,2.042,10.728,19.541,0,11.803,18.098,0,1.799,1.844,255,255
21,1.916,13.403,16.813,0,12.511,18.230,0,1.674,1.860,255,255
21,1.794,8.315,8.656,0,9.416,9.993,0,1.733,1.680,255,255
21,1.758,5.010,16.105,0,6.452,15.344,0,1.631,1.684,255,255
21,1.722,10.754,8.105,0,10.807,9.784,0,1.680,1.679,255,255
21,1.646,6.452,15.344,0,7.134,13.980,0,1.525,1.472,255,255
21,1.598,14.846,18.570,0,13.508,18.833,0,1.363,1.550,255,255
21,1.589,5.325,9.469,0,6.374,8.315,0,1.560,1.550,255,255
21,1.584,11.489,9.705,0,12.931,10.046,0,1.482,1.477,255,255
21,1.570,8.603,16.052,0,9.836,16.866,0,1.477,1.512,255,255
21,1.568,8.289,21.220,0,8.393,22.636,0,1.420,1.421,255,255
21,1.538,4.485,18.990,0,5.298,19.908,0,1.226,1.428,255,255
21,1.520,8.079,23.528,0,8.866,24.630,0,1.354,1.361,255,255
21,1.492,14.820,10.702,0,13.403,10.518,0,1.428,1.489,255,255
21,1.483,6.846,24.131,0,8.079,23.528,0,1.372,1.311,255,255
21,1.462,14.269,8.787,0,13.220,9.784,0,1.447,1.434,255,255
21,1.424,8.866,11.489,0,9.390,10.282,0,1.316,1.337,255,255
21,1.413,5.246,8.262,0,5.325,9.469,0,1.209,1.318,255,255
21,1.396,4.590,17.548,0,4.511,16.367,0,1.183,1.320,255,255
21,1.386,7.318,11.016,0,8.367,11.830,0,1.327,1.278,255,255
21,1.377,6.689,20.511,0,8.000,20.669,0,1.321,1.282,255,255
21,1.371,7.475,7.633,0,8.315,8.656,0,1.323,1.252,255,255
21,1.355,13.744,17.416,0,12.748,18.282,0,1.320,1.320,255,255
21,1.353,4.695,11.174,0,5.718,10.413,0,1.275,1.282,255,255
21,1.280,4.223,20.380,0,5.351,20.275,0,1.133,1.193,255,255
21,1.255,3.882,12.092,0,4.695,11.174,0,1.226,1.229,255,255
21,1.247,9.836,16.866,0,10.964,16.787,0,1.131,1.132,255,255
21,1.244,13.220,9.784,0,14.452,9.810,0,1.233,1.130,255,255
21,1.177,3.646,11.593,0,4.616,11.148,0,1.068,1.143,255,255
21,1.151,10.964,16.787,0,11.567,17.626,0,1.034,1.049,255,255
21,1.144,14.111,7.030,0,13.220,7.475,0,0.997,1.079,255,255
21,1.121,6.426,21.561,0,6.400,20.538,0,1.023,1.088,255,255
21,1.115,9.180,18.466,0,8.367,17.862,0,1.012,1.065,255,255
21,1.107,5.325,9.469,0,5.718,10.413,0,1.023,1.032,255,255
21,1.105,8.630,19.908,0,9.285,19.305,0,0.891,1.050,255,255
21,1.091,10.020,7.318,0,10.754,8.105,0,1.076,1.076,255,255
21,1.072,11.121,13.613,0,11.961,14.138,0,0.990,0.993,255,255
21,1.064,10.964,16.787,0,11.200,15.843,0,0.973,1.006,255,255
21,1.044,8.079,23.528,0,8.393,22.636,0,0.946,0.926,255,255
21,1.035,8.866,24.630,0,9.652,24.105,0,0.946,0.902,255,255
21,1.035,11.200,15.843,0,12.013,15.344,0,0.954,0.921,255,255
21,1.009,3.095,15.974,0,3.830,16.000,0,0.735,0.944,255,255
21,1.002,8.420,17.731,0,8.997,17.075,0,0.873,0.834,255,255
21,1.000,10.938,14.951,0,11.200,15.843,0,0.930,0.897,255,255
21,0.996,5.718,10.413,0,6.584,10.728,0,0.921,0.866,255,255
21,0.972,3.830,16.000,0,4.511,16.367,0,0.775,0.894,255,255
21,0.959,4.433,15.580,0,3.830,16.000,0,0.735,0.894,255,255
