Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.675,1.128,18.308,0,0.551,18.230,0,0.582,0.618,255,255
1,0.232,0.341,18.282,0,0.551,18.230,0,0.216,0.214,255,255
1,0.168,0.577,18.387,0,0.551,18.230,0,0.160,0.168,255,255
2,0.127,0.551,1.521,0,0.603,1.626,0,0.117,0.127,255,255
3,1.199,1.652,0.446,0,1.679,1.443,0,0.997,1.132,255,255
3,0.695,1.626,2.072,0,1.679,1.443,0,0.632,0.656,255,255
3,0.636,1.075,1.364,0,1.679,1.443,0,0.608,0.588,255,255
3,0.290,0.944,1.128,0,1.075,1.364,0,0.270,0.261,255,255
3,0.227,0.970,1.548,0,1.075,1.364,0,0.211,0.169,255,255
4,1.609,2.203,16.210,0,2.151,17.521,0,1.313,1.521,255,255
4,1.363,1.469,15.843,0,1.731,17.075,0,1.260,1.240,255,255
4,0.860,1.495,18.675,0,1.993,18.098,0,0.762,0.810,255,255
4,0.749,1.757,18.675,0,1.993,18.098,0,0.623,0.708,255,255
4,0.664,1.993,18.098,0,2.151,17.521,0,0.598,0.580,255,255
4,0.635,1.731,17.075,0,2.151,17.521,0,0.612,0.560,255,255
4,0.590,1.023,15.869,0,1.469,15.843,0,0.447,0.534,255,255
4,0.432,1.600,15.502,0,1.469,15.843,0,0.365,0.399,255,255
4,0.323,1.495,17.285,0,1.731,17.075,0,0.316,0.309,255,255
5,0.063,1.075,16.577,0,1.128,16.603,0,0.059,0.066,255,255
6,1.348,1.705,7.554,0,1.993,8.761,0,1.241,1.279,255,255
6,1.013,2.990,8.997,0,2.151,8.839,0,0.854,0.928,255,255
6,0.766,1.102,8.525,0,1.705,8.918,0,0.720,0.776,255,255
6,0.511,1.810,9.364,0,1.705,8.918,0,0.458,0.485,255,255
6,0.434,2.466,9.128,0,2.151,8.839,0,0.427,0.413,255,255
6,0.369,1.705,8.918,0,1.993,8.761,0,0.329,0.267,255,255
6,0.190,1.993,8.761,0,2.151,8.839,0,0.176,0.106,255,255
7,0.148,1.285,2.387,0,1.390,2.492,0,0.148,0.148,255,255
8,0.063,1.311,18.623,0,1.338,18.675,0,0.059,0.056,255,255
10,0.116,1.679,14.872,0,1.784,14.846,0,0.108,0.106,255,255
11,0.037,2.046,13.193,0,2.072,13.220,0,0.037,0.037,255,255
13,0.063,3.200,6.321,0,3.252,6.295,0,0.059,0.056,255,255
14,0.280,3.279,17.049,0,3.410,16.839,0,0.247,0.251,255,255
14,0.194,3.384,16.656,0,3.410,16.839,0,0.185,0.161,255,255
14,0.074,3.462,16.892,0,3.410,16.839,0,0.074,0.037,255,255
15,1.657,6.269,20.852,0,4.931,21.220,0,1.387,1.546,255,255
15,1.417,4.643,21.220,0,5.089,22.452,0,1.311,1.321,255,255
15,1.392,3.698,22.295,0,4.538,21.272,0,1.323,1.371,255,255
15,1.218,5.797,20.407,0,4.931,21.220,0,1.188,1.183,255,255
15,1.138,3.541,21.561,0,4.538,21.272,0,1.038,1.093,255,255
15,1.068,4.407,19.489,0,4.590,20.459,0,0.988,0.953,255,255
15,0.869,4.590,20.459,0,4.643,21.220,0,0.762,0.754,255,255
15,0.842,3.987,19.882,0,4.590,20.459,0,0.835,0.821,255,255
15,0.806,3.698,19.305,0,4.407,19.489,0,0.732,0.778,255,255
15,0.585,5.089,22.452,0,5.587,22.662,0,0.541,0.472,255,255
15,0.310,4.643,21.220,0,4.931,21.220,0,0.289,0.228,255,255
15,0.273,5.115,22.715,0,5.089,22.452,0,0.264,0.269,255,255
15,0.153,5.639,22.793,0,5.587,22.662,0,0.141,0.147,255,255
15,0.142,4.538,21.272,0,4.643,21.220,0,0.117,0.063,255,255
15,0.105,5.692,22.662,0,5.587,22.662,0,0.105,0.105,255,255
15,0.100,4.407,19.410,0,4.407,19.489,0,0.079,0.093,255,255
16,2.648,4.774,11.541,0,5.089,9.154,0,2.408,2.432,255,255
16,2.470,7.816,20.144,0,8.472,18.177,0,2.074,2.332,255,255
16,2.125,13.534,13.797,0,12.511,15.344,0,1.855,2.021,255,255
16,1.909,5.220,9.075,0,6.977,8.918,0,1.764,1.739,255,255
16,1.905,10.570,16.970,0,10.938,15.239,0,1.770,1.761,255,255
16,1.588,5.639,13.902,0,6.820,14.662,0,1.404,1.509,255,255
16,1.574,4.354,7.318,0,5.377,8.262,0,1.392,1.483,255,255
16,1.519,11.069,15.161,0,12.511,15.344,0,1.454,1.413,255,255
16,1.509,9.469,16.734,0,10.570,16.970,0,1.127,1.348,255,255
16,1.485,13.167,15.764,0,14.400,16.262,0,1.330,1.324,255,255
16,1.395,18.020,17.233,0,17.338,16.236,0,1.208,1.347,255,255
16,1.370,9.731,15.475,0,10.938,15.239,0,1.229,1.304,255,255
16,1.302,10.649,14.033,0,11.069,15.161,0,1.203,1.238,255,255
16,1.295,7.659,13.666,0,6.557,13.272,0,1.170,1.230,255,255
16,1.239,16.131,16.157,0,17.338,16.236,0,1.209,1.161,255,255
16,1.221,8.944,14.872,0,7.843,15.003,0,1.109,1.164,255,255
16,1.213,4.459,7.607,0,5.298,8.472,0,1.206,1.199,255,255
16,1.208,9.652,17.889,0,9.364,16.866,0,1.063,1.142,255,255
16,1.173,8.341,17.102,0,8.472,18.177,0,1.083,1.069,255,255
16,1.147,17.207,17.285,0,17.338,16.236,0,1.057,1.105,255,255
16,1.119,14.400,16.262,0,15.475,16.262,0,1.075,1.008,255,255
16,1.118,8.289,14.085,0,7.843,15.003,0,1.021,1.100,255,255
16,1.091,12.433,16.551,0,13.167,15.764,0,1.076,1.063,255,255
16,1.046,17.915,14.636,0,17.416,15.475,0,0.976,0.988,255,255
16,1.029,18.990,16.603,0,18.125,16.420,0,0.885,0.928,255,255
16,1.018,7.580,15.895,0,7.843,15.003,0,0.930,0.896,255,255
16,1.011,6.452,13.062,0,7.213,12.459,0,0.971,0.942,255,255
16,0.982,4.774,11.541,0,5.377,12.197,0,0.891,0.858,255,255
16,0.954,10.570,16.970,0,10.807,17.784,0,0.847,0.860,255,255
16,0.943,5.770,13.744,0,6.400,13.062,0,0.928,0.915,255,255
16,0.934,3.620,9.049,0,4.380,8.839,0,0.789,0.885,255,255
16,0.906,6.767,13.718,0,7.056,14.505,0,0.838,0.781,255,255
16,0.906,6.033,7.659,0,5.377,8.262,0,0.891,0.906,255,255
16,0.905,9.311,18.282,0,8.472,18.177,0,0.846,0.871,255,255
16,0.897,12.511,15.344,0,13.167,15.764,0,0.779,0.786,255,255
16,0.840,6.374,12.170,0,6.085,12.826,0,0.716,0.795,255,255
16,0.839,4.380,8.839,0,5.089,9.154,0,0.775,0.753,255,255
16,0.812,7.449,13.875,0,6.767,13.718,0,0.700,0.763,255,255
16,0.810,7.554,16.236,0,8.052,16.787,0,0.743,0.741,255,255
16,0.806,17.416,16.184,0,18.125,16.420,0,0.747,0.741,255,255
16,0.794,16.000,16.839,0,15.475,16.262,0,0.780,0.767,255,255
16,0.780,7.685,14.033,0,7.370,14.636,0,0.680,0.748,255,255
16,0.754,8.708,16.787,0,9.364,16.866,0,0.660,0.644,255,255
16,0.745,3.567,8.367,0,4.118,8.656,0,0.622,0.701,255,255
16,0.736,16.866,15.082,0,17.416,15.475,0,0.677,0.611,255,255
16,0.730,17.416,15.475,0,17.416,16.184,0,0.708,0.663,255,255
16,0.712,5.377,12.197,0,5.639,12.800,0,0.658,0.605,255,255
16,0.699,15.475,16.262,0,16.131,16.157,0,0.664,0.658,255,255
16,0.698,13.849,17.364,0,14.269,16.839,0,0.672,0.670,255,255
16,0.684,3.620,8.498,0,4.118,8.656,0,0.523,0.646,255,255
16,0.679,8.525,16.184,0,8.708,16.787,0,0.631,0.549,255,255
16,0.658,5.220,9.075,0,5.298,8.472,0,0.608,0.572,255,255
16,0.631,14.269,16.839,0,14.400,16.262,0,0.592,0.551,255,255
16,0.629,18.282,16.918,0,18.125,16.420,0,0.523,0.592,255,255
16,0.618,7.370,14.636,0,7.843,15.003,0,0.598,0.470,255,255
16,0.603,5.718,11.751,0,5.377,12.197,0,0.561,0.573,255,255
16,0.596,4.879,13.351,0,5.351,13.089,0,0.540,0.464,255,255
