 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,86,42,45,134,1551,0.626,41,1,2.050
2,7,3,5,9,132,0.647,3,0,1.210
3,3,1,3,4,74,0.819,1,0,1.172
4,12,5,8,19,309,0.857,4,1,2.699
5,6,2,5,10,60,0.362,1,1,0.673
6,9,4,6,10,150,0.556,4,0,1.575
7,15,7,9,25,216,0.514,7,0,1.346
8,3,1,3,3,43,0.485,1,0,0.747
9,3,1,3,3,73,0.765,1,0,1.271
10,7,3,5,10,77,0.399,3,0,0.729
11,5,2,4,8,108,0.733,2,0,1.157
12,49,23,27,76,942,0.649,21,2,2.551
13,7,3,5,9,114,0.546,3,0,1.813
14,17,8,10,24,249,0.513,8,0,0.970
15,7,3,5,8,133,0.627,3,0,1.553
16,7,3,5,10,91,0.476,3,0,0.830
17,22,10,13,31,379,0.569,9,1,1.426
18,17,8,10,27,209,0.438,8,0,1.431
19,8,3,6,10,140,0.617,2,1,1.135
20,32,15,18,40,611,0.644,14,1,2.483
21,17,8,10,27,348,0.730,8,0,1.541
22,21,10,12,31,402,0.645,10,0,1.573
23,13,6,8,20,202,0.532,6,0,1.123
24,7,3,5,11,151,0.740,3,0,1.926
25,9,4,6,12,202,0.743,4,0,1.251
26,13,6,8,17,214,0.561,6,0,1.472
27,20,9,12,35,271,0.480,8,1,1.535
28,33,16,18,49,499,0.539,16,0,1.810
29,20,9,12,27,319,0.547,8,1,1.280
30,3,1,3,3,114,1.145,1,0,1.473
31,25,12,14,40,351,0.513,12,0,1.341
32,1,0,2,0,49,1.637,0,0,1.637
33,25,12,14,40,536,0.705,12,0,1.437
34,31,15,17,52,609,0.678,15,0,2.134
35,5,2,4,6,112,0.761,2,0,1.094
36,17,8,10,21,349,0.708,8,0,2.170
37,3,1,3,3,88,1.009,1,0,1.600
38,10,4,7,13,290,0.938,3,1,3.320
