 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,5,2,4,7,87,0.583,2,0,1.654
2,11,5,7,16,99,0.338,5,0,0.603
3,7,3,5,11,104,0.516,3,0,0.695
4,7,3,5,10,98,0.516,3,0,0.821
5,1,0,2,0,62,1.870,0,0,1.870
6,3,1,3,4,51,0.589,1,0,1.177
7,7,3,5,6,105,0.498,3,0,0.906
8,7,3,5,7,106,0.542,3,0,1.240
9,10,4,7,17,89,0.350,3,1,0.913
10,5,2,4,8,53,0.386,2,0,0.710
11,7,3,5,9,89,0.443,3,0,0.933
12,5,2,4,7,91,0.628,2,0,1.337
13,7,3,5,11,166,0.788,3,0,1.883
14,7,3,5,7,105,0.506,3,0,1.490
15,3,1,3,1,69,0.706,1,0,1.090
16,4,1,4,6,89,0.720,0,1,1.007
17,9,4,6,16,132,0.513,4,0,0.928
18,5,2,4,7,73,0.526,2,0,1.094
19,9,4,6,12,169,0.663,4,0,1.238
20,13,6,8,17,213,0.551,6,0,1.354
