 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,5,2,4,6,61,0.425,2,0,0.963
2,11,5,7,16,213,0.646,5,0,1.805
3,7,3,5,10,93,0.445,3,0,1.081
4,4,1,4,5,158,1.407,0,1,1.812
5,5,2,4,7,69,0.501,2,0,0.821
6,5,2,4,6,85,0.574,2,0,1.706
7,7,3,5,10,166,0.803,3,0,1.151
8,3,1,3,4,76,0.891,1,0,1.133
9,3,1,3,4,77,0.862,1,0,1.731
10,15,7,9,22,233,0.530,7,0,1.228
11,3,1,3,4,59,0.665,1,0,1.055
12,11,5,7,15,90,0.320,5,0,0.485
13,9,4,6,13,113,0.428,4,0,1.064
14,5,2,4,8,71,0.471,2,0,0.791
15,5,2,4,8,91,0.635,2,0,0.965
16,29,14,16,45,512,0.595,14,0,2.518
17,17,8,10,27,360,0.728,8,0,1.664
18,9,4,6,9,160,0.615,4,0,1.478
19,20,9,12,30,349,0.628,8,1,1.513
20,6,2,5,8,164,0.881,1,1,2.067
21,5,2,4,7,182,1.118,2,0,3.339
22,35,17,19,43,799,0.775,17,0,1.712
23,3,1,3,4,53,0.596,1,0,0.837
24,5,2,4,4,59,0.414,2,0,0.679
25,24,11,14,34,406,0.591,10,1,1.118
26,15,7,9,24,191,0.436,7,0,0.872
27,9,4,6,12,107,0.423,4,0,1.055
28,7,3,5,8,79,0.425,3,0,0.945
29,10,4,7,15,196,0.654,3,1,1.416
30,10,4,7,19,153,0.532,3,1,1.240
31,9,4,6,12,178,0.720,4,0,1.355
32,3,1,3,3,70,0.761,1,0,1.455
33,5,2,4,7,98,0.682,2,0,0.828
34,3,1,3,3,60,0.677,1,0,0.941
35,9,4,6,12,81,0.353,4,0,0.659
36,8,3,6,10,109,0.475,2,1,0.863
37,5,2,4,6,109,0.715,2,0,1.083
38,11,5,7,15,130,0.417,5,0,0.894
