 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,15,7,9,21,367,0.824,7,0,2.232
2,3,1,3,3,71,0.759,1,0,1.494
3,38,18,21,59,774,0.716,17,1,1.704
4,9,4,5,12,111,0.434,3,1,1.669
5,10,4,7,14,153,0.544,3,1,1.121
6,3,1,3,3,62,0.676,1,0,0.843
7,13,6,8,18,230,0.601,6,0,1.455
8,7,3,5,11,84,0.425,3,0,1.042
9,7,3,5,7,87,0.429,3,0,0.706
10,7,3,5,7,114,0.541,3,0,1.171
11,25,12,14,39,515,0.691,12,0,1.643
12,7,3,5,7,132,0.651,3,0,1.201
13,52,24,29,92,1060,0.685,21,3,2.542
14,3,1,3,4,69,0.786,1,0,1.114
15,11,5,7,17,112,0.383,5,0,0.763
16,5,2,4,4,74,0.494,2,0,1.343
17,9,4,6,11,121,0.491,4,0,1.038
18,3,1,3,3,77,0.858,1,0,1.127
19,19,9,11,27,376,0.670,9,0,1.900
20,18,8,11,27,383,0.713,7,1,2.075
21,6,2,5,10,109,0.616,1,1,1.332
22,123,59,65,171,2621,0.725,55,4,2.460
23,43,21,23,60,663,0.535,21,0,1.758
24,5,2,4,6,99,0.680,2,0,1.382
25,13,6,8,18,289,0.757,6,0,1.649
26,19,9,11,28,274,0.507,9,0,1.533
