 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,12,5,8,15,195,0.563,4,1,1.218
2,3,1,3,4,75,0.806,1,0,1.048
3,3,1,3,3,81,0.842,1,0,1.258
4,7,3,5,11,122,0.600,3,0,1.249
5,6,2,5,12,78,0.497,1,1,0.893
6,7,3,5,5,126,0.597,3,0,3.086
7,5,2,4,8,119,0.810,2,0,1.308
8,9,4,6,12,124,0.477,4,0,1.079
9,1,0,2,0,44,1.408,0,0,1.408
10,7,3,5,11,105,0.527,3,0,1.160
11,5,2,4,4,51,0.367,2,0,0.539
12,6,2,5,7,122,0.686,1,1,2.234
13,3,1,3,4,87,0.962,1,0,1.132
14,3,1,3,1,77,0.855,1,0,1.435
15,3,1,3,3,72,0.753,1,0,0.963
16,14,6,9,24,167,0.433,5,1,0.933
17,11,5,7,16,124,0.406,5,0,1.101
