 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,3,1,3,4,55,0.620,1,0,0.716
2,19,9,11,34,283,0.513,9,0,1.142
3,27,13,15,44,547,0.683,13,0,2.401
4,11,5,7,18,151,0.508,5,0,0.928
5,12,5,8,21,152,0.460,4,1,0.911
6,5,2,4,7,41,0.302,2,0,0.710
7,19,9,11,25,242,0.448,9,0,0.871
8,3,1,3,1,55,0.583,1,0,1.011
9,15,7,9,21,169,0.422,7,0,1.142
10,20,9,12,34,201,0.363,8,1,0.830
11,13,6,8,20,120,0.351,6,0,1.124
12,7,3,5,12,74,0.391,3,0,0.707
13,9,4,6,12,136,0.535,4,0,1.441
14,15,7,9,18,159,0.374,7,0,1.175
15,5,2,4,6,111,0.732,2,0,1.079
16,10,4,7,14,128,0.470,3,1,0.686
17,9,4,6,9,99,0.381,4,0,0.603
18,10,4,7,14,155,0.550,3,1,1.570
19,12,5,8,21,182,0.515,4,1,1.280
20,5,2,4,8,147,0.937,2,0,2.322
21,4,1,4,6,93,0.748,0,1,1.144
22,8,3,6,13,109,0.483,2,1,1.263
23,9,4,6,13,137,0.547,4,0,1.172
24,5,2,4,7,44,0.331,2,0,0.786
25,5,2,4,6,79,0.512,2,0,1.601
26,5,2,4,7,84,0.578,2,0,0.937
27,13,6,8,19,199,0.565,6,0,1.293
28,7,3,5,10,105,0.518,3,0,2.044
29,7,3,5,8,86,0.422,3,0,1.173
30,3,1,3,4,78,0.825,1,0,1.228
31,9,4,6,14,119,0.467,4,0,1.009
32,11,5,7,16,167,0.523,5,0,0.933
33,13,6,8,19,118,0.344,6,0,1.098
34,7,3,5,11,83,0.408,3,0,0.979
35,15,7,9,19,249,0.570,7,0,1.149
36,13,6,8,18,222,0.589,6,0,1.598
37,5,2,4,8,60,0.439,2,0,0.664
38,29,13,16,44,398,0.480,10,3,1.546
39,17,7,11,27,248,0.504,6,0,1.246
40,11,5,7,16,164,0.533,5,0,1.029
41,13,6,8,23,178,0.479,6,0,0.911
42,12,5,8,16,141,0.414,4,1,0.786
43,7,3,5,6,111,0.543,3,0,0.917
44,5,2,4,7,80,0.579,2,0,1.124
45,13,6,8,18,197,0.533,6,0,0.792
46,54,25,30,72,781,0.511,22,3,1.489
47,23,11,13,30,244,0.374,11,0,1.123
48,10,4,7,14,205,0.700,3,1,1.664
49,16,7,10,22,179,0.407,6,1,1.328
50,7,3,5,11,137,0.663,3,0,1.136
51,6,2,5,8,89,0.527,1,1,0.801
52,11,5,7,13,149,0.469,5,0,1.022
53,13,6,8,22,168,0.460,6,0,1.254
