 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,20,9,12,33,244,0.429,8,1,1.123
2,7,3,5,9,58,0.316,3,0,0.710
3,21,10,12,31,304,0.515,10,0,1.249
4,15,7,9,23,186,0.458,7,0,1.075
5,7,3,5,10,140,0.684,3,0,1.090
6,19,9,11,23,291,0.517,9,0,1.376
7,22,10,13,33,239,0.405,9,1,1.208
8,13,6,8,19,132,0.375,6,0,0.762
9,12,5,8,14,132,0.387,4,1,0.627
10,11,5,7,9,135,0.419,5,0,0.991
11,8,3,6,15,116,0.501,2,1,1.105
12,10,4,7,16,155,0.531,3,1,1.311
13,14,6,9,19,177,0.451,5,1,1.103
14,15,7,9,20,279,0.614,7,0,1.813
15,9,4,6,12,122,0.462,4,0,1.173
16,7,3,5,8,122,0.577,3,0,1.651
17,7,3,5,10,103,0.524,3,0,1.313
18,11,5,7,14,171,0.521,5,0,2.240
19,19,9,11,29,253,0.484,9,0,1.047
20,12,5,8,17,142,0.433,4,1,1.485
21,11,5,7,19,107,0.366,5,0,0.784
22,9,4,6,12,124,0.497,4,0,1.111
23,9,4,6,14,137,0.515,4,0,1.295
24,9,4,6,15,130,0.492,4,0,0.915
25,15,7,9,18,250,0.557,7,0,1.125
26,41,18,24,65,633,0.542,15,2,1.886
27,12,5,8,18,102,0.314,4,1,0.764
28,5,2,4,7,90,0.629,2,0,1.212
29,7,3,5,8,74,0.372,3,0,0.885
30,11,5,7,15,182,0.554,5,0,0.988
31,7,3,5,11,85,0.433,3,0,0.860
32,13,5,9,22,160,0.448,4,0,0.943
33,7,3,5,10,91,0.470,3,0,1.210
34,3,1,3,4,73,0.788,1,0,1.313
35,13,6,8,19,225,0.581,6,0,1.883
36,9,4,6,15,153,0.575,4,0,1.149
37,13,5,9,25,200,0.560,4,0,1.206
38,28,13,16,41,349,0.432,12,1,1.393
39,11,5,7,10,187,0.559,5,0,1.450
40,3,1,3,3,68,0.751,1,0,1.310
