 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,36,17,20,52,350,0.358,16,1,1.135
2,16,7,10,21,165,0.373,6,1,0.732
3,5,2,4,7,103,0.674,2,0,1.509
4,9,4,6,13,124,0.478,4,0,0.950
5,11,5,7,14,111,0.359,5,0,0.664
6,7,2,6,14,74,0.424,0,2,0.751
7,3,1,3,3,78,0.845,1,0,1.013
8,8,3,6,10,145,0.604,2,1,1.493
9,19,9,11,26,212,0.391,9,0,0.791
10,13,6,8,18,196,0.518,6,0,0.984
11,11,5,7,16,159,0.487,5,0,1.072
12,12,5,8,14,163,0.499,4,1,1.605
13,11,5,7,15,154,0.485,5,0,1.651
14,3,1,3,3,81,0.850,1,0,1.494
15,9,4,6,12,109,0.428,4,0,0.758
16,7,3,5,11,175,0.830,3,0,2.943
17,5,2,4,7,98,0.634,2,0,1.518
18,13,6,8,20,159,0.438,6,0,1.087
19,7,3,5,9,82,0.404,3,0,0.832
20,10,4,7,19,194,0.656,3,1,1.348
21,11,5,7,17,238,0.714,5,0,1.748
22,17,8,10,27,248,0.520,8,0,1.627
23,9,4,6,12,112,0.444,4,0,0.928
24,3,1,3,3,49,0.581,1,0,1.247
25,13,5,9,23,193,0.527,3,2,1.387
26,9,4,6,11,111,0.448,4,0,1.594
27,17,8,10,22,158,0.348,8,0,0.784
28,13,6,8,18,167,0.443,6,0,0.928
29,5,2,4,7,101,0.665,2,0,1.260
30,3,1,3,4,67,0.731,1,0,1.365
31,5,2,4,4,55,0.399,2,0,0.629
32,5,2,4,2,96,0.625,2,0,0.897
33,14,6,9,23,225,0.568,5,1,1.483
34,11,5,7,16,123,0.412,5,0,1.059
35,11,5,7,13,142,0.462,5,0,1.452
36,5,2,4,5,68,0.460,2,0,0.715
37,7,3,5,11,99,0.517,3,0,1.208
