 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,3,1,3,3,81,0.890,1,0,1.135
2,7,3,5,9,89,0.471,3,0,1.072
3,9,4,6,15,176,0.677,4,0,1.356
4,7,3,5,11,77,0.379,3,0,0.848
5,5,2,4,7,129,0.894,2,0,1.839
6,25,12,14,40,430,0.603,12,0,1.774
7,8,3,6,14,63,0.317,2,1,0.478
8,20,9,12,33,323,0.559,8,1,1.526
9,7,3,5,11,131,0.629,3,0,1.005
10,9,4,6,13,105,0.415,4,0,0.775
11,112,55,58,161,3031,0.955,54,1,4.044
12,9,4,6,14,97,0.394,4,0,0.784
13,7,3,4,9,69,0.383,2,1,0.736
14,7,3,5,10,120,0.581,3,0,1.291
15,10,4,7,16,181,0.645,3,1,0.956
16,12,5,8,16,147,0.432,4,1,0.854
17,9,3,7,17,142,0.554,1,2,1.713
18,17,8,10,22,124,0.280,8,0,0.570
19,5,2,4,5,105,0.693,2,0,0.981
20,11,5,7,18,176,0.557,5,0,1.007
21,14,6,9,20,176,0.457,5,1,1.035
22,7,3,5,8,70,0.369,3,0,0.517
23,20,9,12,29,210,0.390,8,1,0.943
24,23,11,13,39,281,0.441,11,0,2.063
25,5,2,4,4,89,0.593,2,0,1.256
26,9,4,6,13,141,0.534,4,0,0.756
27,7,3,5,7,109,0.552,3,0,0.956
28,13,6,8,15,140,0.393,6,0,1.066
29,24,11,14,37,389,0.586,10,1,1.570
30,13,6,8,20,218,0.580,6,0,0.963
31,3,1,3,3,68,0.758,1,0,1.166
32,5,2,4,4,78,0.509,2,0,1.180
