 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,42,1.389,0,0,1.389
2,7,3,5,12,148,0.757,3,0,1.917
3,10,4,7,16,218,0.750,3,1,1.435
4,3,1,3,3,66,0.675,1,0,0.983
5,8,3,6,13,161,0.686,2,1,1.350
6,7,3,5,10,75,0.400,3,0,0.828
7,10,4,7,18,313,1.023,3,1,1.883
8,9,4,6,10,101,0.401,4,0,0.846
9,7,3,5,7,134,0.650,3,0,1.426
10,4,1,4,6,66,0.554,0,1,1.005
11,4,1,4,6,64,0.558,0,1,0.764
12,7,3,5,9,94,0.462,3,0,0.837
13,15,7,9,18,333,0.772,7,0,1.598
14,6,2,5,8,80,0.491,1,1,0.709
15,3,1,3,3,78,0.871,1,0,1.210
16,6,2,5,9,209,1.169,1,1,1.701
17,53,25,29,80,1010,0.675,24,0,2.388
18,3,1,3,3,67,0.706,1,0,1.055
19,15,7,9,21,192,0.465,7,0,1.039
20,7,3,5,9,119,0.573,3,0,1.177
21,35,17,19,43,1277,1.219,17,0,3.004
22,5,2,4,6,73,0.513,2,0,0.837
23,7,3,5,9,112,0.534,3,0,0.885
24,8,3,6,11,133,0.557,2,1,0.935
25,7,3,5,12,108,0.553,3,0,1.064
26,7,3,5,8,139,0.665,3,0,1.413
27,5,2,4,7,58,0.396,2,0,0.848
