 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,19,9,11,29,302,0.555,9,0,1.673
2,7,3,5,11,86,0.442,3,0,0.913
3,5,2,4,7,131,0.826,2,0,1.404
4,19,9,11,27,274,0.523,9,0,1.461
5,19,9,11,21,211,0.404,9,0,0.797
6,5,2,4,6,159,0.996,2,0,2.003
7,28,13,16,43,590,0.722,12,1,1.966
8,19,9,11,25,195,0.364,9,0,0.841
9,13,6,8,21,149,0.414,6,0,0.769
10,5,2,4,5,72,0.469,2,0,0.841
11,7,3,5,11,117,0.563,3,0,0.860
12,13,6,8,20,205,0.556,6,0,1.891
13,9,4,6,15,81,0.343,4,0,0.581
14,9,4,6,12,166,0.635,4,0,1.236
15,7,3,5,8,122,0.620,3,0,1.166
16,17,8,10,25,281,0.574,8,0,1.245
17,11,5,7,12,178,0.568,5,0,1.256
18,13,5,9,25,184,0.515,3,2,1.467
19,3,1,3,3,71,0.809,1,0,1.900
20,17,8,10,26,318,0.651,8,0,1.203
21,17,8,10,28,279,0.606,8,0,1.238
22,9,4,6,11,112,0.438,4,0,0.697
23,28,13,16,35,617,0.763,12,1,2.110
24,32,14,19,44,673,0.753,11,3,1.826
25,15,7,9,20,179,0.434,7,0,1.201
26,19,9,11,26,305,0.553,9,0,1.277
27,5,2,4,4,58,0.417,2,0,0.775
28,22,10,13,32,365,0.575,9,1,1.614
29,13,6,8,17,176,0.472,6,0,0.924
30,3,1,3,1,67,0.735,1,0,0.856
31,8,3,6,9,77,0.372,2,1,0.661
32,3,1,3,3,78,0.838,1,0,1.059
33,7,3,5,10,74,0.390,3,0,0.865
34,30,13,18,47,353,0.424,11,1,1.343
35,5,2,4,5,80,0.553,2,0,1.114
36,21,10,12,29,290,0.487,10,0,1.031
37,9,4,6,14,160,0.615,4,0,1.760
38,5,2,4,8,157,0.990,2,0,2.239
39,41,20,22,62,508,0.447,20,0,1.077
40,11,5,7,11,176,0.533,5,0,1.808
41,11,5,7,13,131,0.428,5,0,0.902
