 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,7,3,5,7,79,0.404,3,0,0.701
2,7,3,5,12,110,0.548,3,0,1.029
3,5,2,4,7,118,0.800,2,0,1.217
4,28,13,16,42,686,0.846,12,1,3.214
5,13,6,8,16,240,0.638,6,0,1.256
6,15,7,9,23,229,0.523,7,0,1.682
7,15,7,9,22,188,0.430,7,0,1.210
8,13,6,8,18,243,0.651,6,0,1.315
9,5,2,4,6,109,0.725,2,0,1.123
10,17,8,10,26,188,0.400,8,0,0.970
11,9,4,6,14,139,0.555,4,0,1.646
12,13,6,8,19,165,0.449,6,0,1.033
13,5,2,4,8,82,0.596,2,0,0.936
14,9,4,6,12,137,0.527,4,0,1.646
15,25,11,15,38,418,0.580,9,2,2.123
16,7,3,5,8,135,0.647,3,0,1.121
17,15,7,9,23,302,0.724,7,0,1.424
18,10,4,7,15,251,0.873,3,1,1.590
19,19,9,11,29,290,0.541,9,0,1.009
20,7,3,5,11,85,0.450,3,0,0.698
21,5,2,4,7,117,0.829,2,0,2.074
22,18,8,11,31,185,0.386,7,1,0.959
