 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,21,10,12,29,781,1.222,10,0,2.561
2,7,3,5,10,311,1.485,3,0,2.744
3,3,1,3,4,126,1.324,1,0,1.662
4,20,9,12,32,396,0.676,8,1,1.957
5,9,4,6,12,136,0.544,4,0,1.273
6,5,2,4,4,157,0.945,2,0,1.995
7,7,3,5,11,161,0.789,3,0,1.384
8,14,6,9,21,299,0.750,5,1,1.237
9,3,1,3,4,81,0.858,1,0,1.426
10,33,16,18,46,703,0.737,16,0,2.752
11,7,3,5,11,131,0.628,3,0,0.928
12,33,16,18,49,815,0.836,16,0,4.350
13,3,1,3,5,97,1.061,1,0,1.236
14,17,8,10,24,407,0.827,8,0,1.598
15,13,6,8,18,265,0.687,6,0,1.365
16,23,11,13,36,620,0.925,11,0,2.205
