 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,15,7,9,17,254,0.591,7,0,1.297
2,5,2,4,6,113,0.742,2,0,2.055
3,9,4,6,11,135,0.531,4,0,1.138
4,6,2,5,12,68,0.440,1,1,0.701
5,19,9,11,26,262,0.493,9,0,1.249
6,13,6,8,17,237,0.609,6,0,1.214
7,11,5,7,9,236,0.702,5,0,2.042
8,10,4,7,12,170,0.552,3,1,1.889
9,11,5,7,10,138,0.433,5,0,1.325
10,21,10,12,35,199,0.350,10,0,0.758
11,5,2,4,7,106,0.724,2,0,1.286
12,69,34,36,104,1213,0.611,34,0,2.398
13,27,13,15,45,335,0.445,13,0,0.773
14,11,5,7,17,93,0.328,5,0,0.817
15,14,6,9,18,210,0.515,5,1,1.332
16,5,2,4,4,83,0.544,2,0,0.784
17,21,10,12,33,248,0.426,10,0,1.455
18,3,1,3,1,54,0.567,1,0,0.810
19,11,5,7,16,265,0.799,5,0,1.730
20,11,5,7,15,158,0.527,5,0,1.447
21,10,4,7,18,143,0.506,3,1,1.058
22,9,4,6,8,129,0.492,4,0,1.577
23,14,6,9,24,153,0.397,5,1,0.885
24,5,2,4,6,86,0.594,2,0,0.754
25,11,5,7,13,191,0.581,5,0,1.142
26,63,30,34,100,1251,0.676,28,2,1.900
27,9,4,6,13,135,0.520,4,0,1.456
28,13,6,7,19,157,0.416,5,1,1.319
29,9,4,6,12,131,0.506,4,0,0.967
30,7,3,5,11,74,0.387,3,0,0.810
31,3,1,3,3,38,0.470,1,0,0.612
32,9,4,6,14,201,0.742,4,0,1.584
33,20,9,12,27,345,0.605,8,1,1.575
34,7,3,5,10,117,0.565,3,0,1.247
35,7,2,6,10,150,0.735,1,0,1.419
36,9,3,7,19,191,0.768,2,0,1.347
37,5,2,4,2,103,0.660,2,0,0.976
38,12,5,8,18,315,0.880,4,1,1.721
39,15,7,9,25,122,0.318,7,0,0.843
